"plh0215","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","lower secondary degree","in school","","","",""
"1 Strongly disagree","2005","lower secondary degree","inadequately","","","",""
"1 Strongly disagree","2005","lower secondary degree","general elemantary","101","0.0759171880002361","0.0624094276723614","0.0894249483281108"
"1 Strongly disagree","2005","lower secondary degree","middle vocational","207","0.0465571593989348","0.0406597984077745","0.0524545203900951"
"1 Strongly disagree","2005","lower secondary degree","vocational + Abi","1","","",""
"1 Strongly disagree","2005","lower secondary degree","higher vocational","15","","",""
"1 Strongly disagree","2005","lower secondary degree","higher education","5","","",""
"1 Strongly disagree","2005","secondary school degree","in school","","","",""
"1 Strongly disagree","2005","secondary school degree","inadequately","","","",""
"1 Strongly disagree","2005","secondary school degree","general elemantary","9","","",""
"1 Strongly disagree","2005","secondary school degree","middle vocational","79","0.0195081093407835","0.0152643807263299","0.0237518379552371"
"1 Strongly disagree","2005","secondary school degree","vocational + Abi","1","","",""
"1 Strongly disagree","2005","secondary school degree","higher vocational","8","","",""
"1 Strongly disagree","2005","secondary school degree","higher education","7","","",""
"1 Strongly disagree","2005","college entrance qualification","in school","","","",""
"1 Strongly disagree","2005","college entrance qualification","inadequately","","","",""
"1 Strongly disagree","2005","college entrance qualification","general elemantary","","","",""
"1 Strongly disagree","2005","college entrance qualification","middle vocational","5","","",""
"1 Strongly disagree","2005","college entrance qualification","vocational + Abi","14","","",""
"1 Strongly disagree","2005","college entrance qualification","higher vocational","5","","",""
"1 Strongly disagree","2005","college entrance qualification","higher education","16","","",""
"1 Strongly disagree","2005","Other degree","in school","","","",""
"1 Strongly disagree","2005","Other degree","inadequately","4","","",""
"1 Strongly disagree","2005","Other degree","general elemantary","37","0.116826997035637","0.0820118114983341","0.15164218257294"
"1 Strongly disagree","2005","Other degree","middle vocational","34","0.0864666149678081","0.0582826007103844","0.114650629225232"
"1 Strongly disagree","2005","Other degree","vocational + Abi","6","","",""
"1 Strongly disagree","2005","Other degree","higher vocational","1","","",""
"1 Strongly disagree","2005","Other degree","higher education","5","","",""
"1 Strongly disagree","2005","no degree/no degree yet","in school","8","","",""
"1 Strongly disagree","2005","no degree/no degree yet","inadequately","26","","",""
"1 Strongly disagree","2005","no degree/no degree yet","general elemantary","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","middle vocational","1","","",""
"1 Strongly disagree","2005","no degree/no degree yet","vocational + Abi","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","higher vocational","","","",""
"1 Strongly disagree","2005","no degree/no degree yet","higher education","","","",""
