"plh0215","year","e11102","migback","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","Not Employed","no migration background","321","0.0572516809712898","0.0516172475200106","0.062886114422569"
"1 Strongly disagree","2005","Not Employed","direct migration background","74","0.0671974196955682","0.0516018349998369","0.0827930043912995"
"1 Strongly disagree","2005","Not Employed","indirect migration background","10","","",""
"1 Strongly disagree","2005","Employed","no migration background","134","0.015823441614769","0.0134822169052707","0.0181646663242672"
"1 Strongly disagree","2005","Employed","direct migration background","55","0.0359168695753012","0.0259942372982241","0.0458395018523782"
"1 Strongly disagree","2005","Employed","indirect migration background","10","","",""
"2 on scale 1-7 ","2005","Not Employed","no migration background","487","0.0860469266292877","0.0792456900884507","0.0928481631701247"
"2 on scale 1-7 ","2005","Not Employed","direct migration background","104","0.107642169593875","0.0883362170414632","0.126948122146286"
"2 on scale 1-7 ","2005","Not Employed","indirect migration background","16","","",""
"2 on scale 1-7 ","2005","Employed","no migration background","391","0.0334291630436603","0.0300567892031962","0.0368015368841245"
"2 on scale 1-7 ","2005","Employed","direct migration background","73","0.0519805092439173","0.0401433002730196","0.063817718214815"
"2 on scale 1-7 ","2005","Employed","indirect migration background","15","","",""
"3 on scale 1-7 ","2005","Not Employed","no migration background","952","0.151005789157525","0.142322037151191","0.159689541163859"
"3 on scale 1-7 ","2005","Not Employed","direct migration background","182","0.149768021379985","0.127539593010657","0.171996449749314"
"3 on scale 1-7 ","2005","Not Employed","indirect migration background","32","0.121388526219711","0.0833396242887473","0.159437428150675"
"3 on scale 1-7 ","2005","Employed","no migration background","1170","0.116023906455441","0.110015627083602","0.12203218582728"
"3 on scale 1-7 ","2005","Employed","direct migration background","172","0.132061128743307","0.11400799961786","0.150114257868754"
"3 on scale 1-7 ","2005","Employed","indirect migration background","40","0.0835468475522498","0.0603794111111656","0.106714283993334"
"4 on scale 1-7","2005","Not Employed","no migration background","1780","0.272548383758417","0.261749419315996","0.283347348200838"
"4 on scale 1-7","2005","Not Employed","direct migration background","262","0.266651721259707","0.239105766624033","0.294197675895382"
"4 on scale 1-7","2005","Not Employed","indirect migration background","66","0.211199015594412","0.163645290806435","0.258752740382389"
