"plh0215","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence"
"1 Strongly disagree","2005","16-34 y.","Urban Area","42","0.0109839108005058","0.00755678012464182","0.0144110414763698"
"1 Strongly disagree","2005","16-34 y.","Rural Area","25","","",""
"1 Strongly disagree","2005","35-65 y.","Urban Area","177","0.026394463023848","0.0228300705771843","0.0299588554705116"
"1 Strongly disagree","2005","35-65 y.","Rural Area","84","0.025707066148561","0.020675882269543","0.030738250027579"
"1 Strongly disagree","2005","66 and older","Urban Area","188","0.0768253294459434","0.0663206766682022","0.0873299822236847"
"1 Strongly disagree","2005","66 and older","Rural Area","88","0.0773315153478597","0.0625707500752362","0.0920922806204832"
"2 on scale 1-7 ","2005","16-34 y.","Urban Area","145","0.0378911777315682","0.0316130284533715","0.0441693270097649"
"2 on scale 1-7 ","2005","16-34 y.","Rural Area","74","0.039284633909773","0.0302239398775527","0.0483453279419932"
"2 on scale 1-7 ","2005","35-65 y.","Urban Area","346","0.0473031922607709","0.0425829948569104","0.0520233896646314"
"2 on scale 1-7 ","2005","35-65 y.","Rural Area","158","0.0420994288141448","0.0357153612573155","0.0484834963709742"
"2 on scale 1-7 ","2005","66 and older","Urban Area","232","0.106198796814599","0.0940462357577547","0.118351357871444"
"2 on scale 1-7 ","2005","66 and older","Rural Area","131","0.105429891294976","0.0884593052101025","0.122400477379849"
"3 on scale 1-7 ","2005","16-34 y.","Urban Area","368","0.108124525422351","0.0979136093822686","0.118335441462433"
"3 on scale 1-7 ","2005","16-34 y.","Rural Area","181","0.0956407473162935","0.0819242028723336","0.109357291760253"
"3 on scale 1-7 ","2005","35-65 y.","Urban Area","932","0.12909106554064","0.121635646691541","0.136546484389739"
"3 on scale 1-7 ","2005","35-65 y.","Rural Area","440","0.120266408403375","0.109925780407979","0.130607036398771"
"3 on scale 1-7 ","2005","66 and older","Urban Area","407","0.172230762596337","0.157337235852176","0.187124289340498"
"3 on scale 1-7 ","2005","66 and older","Rural Area","220","0.163114643125651","0.142697864018278","0.183531422233024"
"4 on scale 1-7","2005","16-34 y.","Urban Area","873","0.256227338433374","0.241872995235681","0.270581681631067"
"4 on scale 1-7","2005","16-34 y.","Rural Area","443","0.253457304687881","0.233169620642003","0.27374498873376"
"4 on scale 1-7","2005","35-65 y.","Urban Area","2086","0.275000364215651","0.265072104937155","0.284928623494147"
