"ple0018","year","migback","sex","n","percent","lower_confidence","upper_confidence","value"
"No","2009","indirect migration background","Male","329","0.953914233393527","0.931789572853806","0.976038893933248","2"
"No","2009","no migration background","Male","5618","0.756626766373565","0.746938302978121","0.766315229769009","2"
"No","2009","no migration background","Female","6259","0.745090859344533","0.735662129408981","0.754519589280086","2"
"No","2009","indirect migration background","Female","353","0.949362148077783","0.927021239970616","0.97170305618495","2"
"No","2009","direct migration background","Male","603","0.795018240839427","0.766374352201036","0.823662129477819","2"
"No","2009","direct migration background","Female","710","0.781832388482322","0.754924738556027","0.808740038408618","2"
"Yes","2009","no migration background","Male","1918","0.243373233626435","0.233684770230991","0.253061697021879","1"
"Yes","2009","no migration background","Female","1948","0.254909140655467","0.245480410719914","0.264337870591019","1"
"Yes","2009","direct migration background","Male","160","0.204981759160573","0.176337870522181","0.233625647798964","1"
"Yes","2009","direct migration background","Female","195","0.218167611517678","0.191259961591382","0.245075261443973","1"
"Yes","2009","indirect migration background","Male","16","","","","1"
"Yes","2009","indirect migration background","Female","17","","","","1"
"No","2010","indirect migration background","Male","","","","","2"
"No","2010","no migration background","Male","","","","","2"
"No","2010","indirect migration background","Female","","","","","2"
"No","2010","no migration background","Female","","","","","2"
"No","2010","direct migration background","Male","","","","","2"
"No","2010","direct migration background","Female","","","","","2"
"Yes","2010","no migration background","Male","","","","","1"
"Yes","2010","no migration background","Female","","","","","1"
"Yes","2010","direct migration background","Male","","","","","1"
"Yes","2010","direct migration background","Female","","","","","1"
"Yes","2010","indirect migration background","Male","","","","","1"
"Yes","2010","indirect migration background","Female","","","","","1"
"No","2011","no migration background","Male","6199","0.727945822965538","0.718520700758027","0.737370945173049","2"
"No","2011","indirect migration background","Male","361","0.95254726034874","0.931199146269249","0.973895374428232","2"
"No","2011","indirect migration background","Female","392","0.939128818396522","0.916208090786299","0.962049546006746","2"
"No","2011","no migration background","Female","7141","0.731367947758141","0.722443948461287","0.740291947054995","2"
"No","2011","direct migration background","Male","686","0.757106116318877","0.728995782796658","0.785216449841095","2"
"No","2011","direct migration background","Female","872","0.770551901158849","0.745992256682432","0.795111545635266","2"
"Yes","2011","no migration background","Male","2365","0.272054177034462","0.262629054826951","0.281479299241973","1"
"Yes","2011","no migration background","Female","2336","0.268632052241859","0.259708052945005","0.277556051538713","1"
"Yes","2011","direct migration background","Male","208","0.242893883681123","0.214783550158905","0.271004217203342","1"
"Yes","2011","direct migration background","Female","254","0.229448098841151","0.204888454364734","0.254007743317568","1"
"Yes","2011","indirect migration background","Male","20","","","","1"
"Yes","2011","indirect migration background","Female","26","","","","1"
"No","2012","no migration background","Male","","","","","2"
"No","2012","no migration background","Female","","","","","2"
"No","2012","indirect migration background","Male","","","","","2"
"No","2012","indirect migration background","Female","","","","","2"
"No","2012","direct migration background","Male","","","","","2"
"No","2012","direct migration background","Female","","","","","2"
"Yes","2012","no migration background","Male","","","","","1"
"Yes","2012","no migration background","Female","","","","","1"
"Yes","2012","direct migration background","Male","","","","","1"
"Yes","2012","direct migration background","Female","","","","","1"
"Yes","2012","indirect migration background","Male","","","","","1"
"Yes","2012","indirect migration background","Female","","","","","1"
"No","2013","no migration background","Male","5315","0.686138770945662","0.675836268982374","0.696441272908951","2"
"No","2013","no migration background","Female","6270","0.695396422359093","0.685761330560265","0.705031514157921","2"
"No","2013","direct migration background","Male","567","0.763280291847834","0.732550214435901","0.794010369259768","2"
"No","2013","direct migration background","Female","718","0.734554110016753","0.706635981868409","0.762472238165096","2"
"No","2013","indirect migration background","Male","316","0.888223463199035","0.854974738734223","0.921472187663847","2"
"No","2013","indirect migration background","Female","338","0.892957910732017","0.86149825836469","0.924417563099345","2"
"Yes","2013","no migration background","Male","2479","0.313861229054338","0.303558727091049","0.324163731017626","1"
"Yes","2013","no migration background","Female","2495","0.304603577640907","0.294968485842079","0.314238669439735","1"
"Yes","2013","direct migration background","Male","168","0.236719708152166","0.205989630740232","0.267449785564099","1"
"Yes","2013","direct migration background","Female","243","0.265445889983247","0.237527761834904","0.293364018131591","1"
"Yes","2013","indirect migration background","Male","29","","","","1"
"Yes","2013","indirect migration background","Female","33","0.107042089267983","0.0755824369006552","0.13850174163531","1"
"No","2014","no migration background","Male","","","","","2"
"No","2014","no migration background","Female","","","","","2"
"No","2014","direct migration background","Male","","","","","2"
"No","2014","direct migration background","Female","","","","","2"
"No","2014","indirect migration background","Male","","","","","2"
"No","2014","indirect migration background","Female","","","","","2"
"Yes","2014","no migration background","Male","","","","","1"
"Yes","2014","no migration background","Female","","","","","1"
"Yes","2014","direct migration background","Male","","","","","1"
"Yes","2014","direct migration background","Female","","","","","1"
"Yes","2014","indirect migration background","Male","","","","","1"
"Yes","2014","indirect migration background","Female","","","","","1"
"No","2015","no migration background","Male","6257","0.69090409793084","0.681258735487866","0.700549460373814","2"
"No","2015","no migration background","Female","7809","0.709967582749814","0.701245590123644","0.718689575375984","2"
"No","2015","direct migration background","Male","1619","0.792444931208762","0.774426047146496","0.810463815271028","2"
"No","2015","direct migration background","Female","1992","0.800168036114345","0.784086061889441","0.81625001033925","2"
"No","2015","indirect migration background","Male","694","0.934153054604382","0.916438614160349","0.951867495048416","2"
"No","2015","indirect migration background","Female","823","0.937629799575175","0.921652218662704","0.953607380487646","2"
"Yes","2015","no migration background","Male","2561","0.30909590206916","0.299450539626186","0.318741264512134","1"
"Yes","2015","no migration background","Female","2589","0.290032417250186","0.281310424624016","0.298754409876356","1"
"Yes","2015","direct migration background","Male","327","0.207555068791238","0.189536184728972","0.225573952853504","1"
"Yes","2015","direct migration background","Female","383","0.199831963885655","0.18374998966075","0.215913938110559","1"
