"ple0018","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","2009","lower secondary degree","in school","","","",""
"Yes","2009","lower secondary degree","inadequately","","","",""
"Yes","2009","lower secondary degree","general elemantary","381","1","1","1"
"Yes","2009","lower secondary degree","middle vocational","1383","1","1","1"
"Yes","2009","lower secondary degree","vocational + Abi","2","","",""
"Yes","2009","lower secondary degree","higher vocational","136","1","1","1"
"Yes","2009","lower secondary degree","higher education","81","1","1","1"
"Yes","2009","secondary school degree","in school","","","",""
"Yes","2009","secondary school degree","inadequately","","","",""
"Yes","2009","secondary school degree","general elemantary","41","1","1","1"
"Yes","2009","secondary school degree","middle vocational","762","1","1","1"
"Yes","2009","secondary school degree","vocational + Abi","8","","",""
"Yes","2009","secondary school degree","higher vocational","142","1","1","1"
"Yes","2009","secondary school degree","higher education","175","1","1","1"
"Yes","2009","college entrance qualification","in school","","","",""
"Yes","2009","college entrance qualification","inadequately","","","",""
"Yes","2009","college entrance qualification","general elemantary","","","",""
"Yes","2009","college entrance qualification","middle vocational","27","","",""
"Yes","2009","college entrance qualification","vocational + Abi","122","1","1","1"
"Yes","2009","college entrance qualification","higher vocational","57","1","1","1"
"Yes","2009","college entrance qualification","higher education","656","1","1","1"
"Yes","2009","Other degree","in school","","","",""
"Yes","2009","Other degree","inadequately","3","","",""
"Yes","2009","Other degree","general elemantary","67","1","1","1"
"Yes","2009","Other degree","middle vocational","69","1","1","1"
"Yes","2009","Other degree","vocational + Abi","19","","",""
"Yes","2009","Other degree","higher vocational","15","","",""
"Yes","2009","Other degree","higher education","32","1","1","1"
"Yes","2009","no degree/no degree yet","in school","2","","",""
"Yes","2009","no degree/no degree yet","inadequately","39","1","1","1"
"Yes","2009","no degree/no degree yet","general elemantary","","","",""
"Yes","2009","no degree/no degree yet","middle vocational","11","","",""
"Yes","2009","no degree/no degree yet","vocational + Abi","","","",""
"Yes","2009","no degree/no degree yet","higher vocational","1","","",""
"Yes","2009","no degree/no degree yet","higher education","","","",""
"Yes","2010","lower secondary degree","in school","","","",""
"Yes","2010","lower secondary degree","inadequately","","","",""
"Yes","2010","lower secondary degree","general elemantary","","","",""
"Yes","2010","lower secondary degree","middle vocational","","","",""
"Yes","2010","lower secondary degree","vocational + Abi","","","",""
"Yes","2010","lower secondary degree","higher vocational","","","",""
"Yes","2010","lower secondary degree","higher education","","","",""
"Yes","2010","secondary school degree","in school","","","",""
"Yes","2010","secondary school degree","inadequately","","","",""
"Yes","2010","secondary school degree","general elemantary","","","",""
"Yes","2010","secondary school degree","middle vocational","","","",""
"Yes","2010","secondary school degree","vocational + Abi","","","",""
"Yes","2010","secondary school degree","higher vocational","","","",""
"Yes","2010","secondary school degree","higher education","","","",""
"Yes","2010","college entrance qualification","in school","","","",""
"Yes","2010","college entrance qualification","inadequately","","","",""
"Yes","2010","college entrance qualification","general elemantary","","","",""
"Yes","2010","college entrance qualification","middle vocational","","","",""
"Yes","2010","college entrance qualification","vocational + Abi","","","",""
"Yes","2010","college entrance qualification","higher vocational","","","",""
"Yes","2010","college entrance qualification","higher education","","","",""
"Yes","2010","Other degree","in school","","","",""
"Yes","2010","Other degree","inadequately","","","",""
"Yes","2010","Other degree","general elemantary","","","",""
"Yes","2010","Other degree","middle vocational","","","",""
"Yes","2010","Other degree","vocational + Abi","","","",""
