"ple0018","year","age_gr","pgisced97","n","percent","lower_confidence","upper_confidence"
"Yes","2009","16-34 y.","in school","2","","",""
"Yes","2009","16-34 y.","inadequately","2","","",""
"Yes","2009","16-34 y.","general elemantary","19","","",""
"Yes","2009","16-34 y.","middle vocational","55","0.040338057267231","0.0312462727377886","0.0494298417966733"
"Yes","2009","16-34 y.","vocational + Abi","11","","",""
"Yes","2009","16-34 y.","higher vocational","7","","",""
"Yes","2009","16-34 y.","higher education","9","","",""
"Yes","2009","35-65 y.","in school","","","",""
"Yes","2009","35-65 y.","inadequately","17","","",""
"Yes","2009","35-65 y.","general elemantary","142","0.267403925610654","0.231689944211877","0.303117907009431"
"Yes","2009","35-65 y.","middle vocational","1184","0.241812577244117","0.230079537172064","0.253545617316171"
"Yes","2009","35-65 y.","vocational + Abi","96","0.159006557503507","0.128933488866431","0.189079626140583"
"Yes","2009","35-65 y.","higher vocational","195","0.203173392771661","0.177016781414214","0.229330004129107"
"Yes","2009","35-65 y.","higher education","527","0.174875917646289","0.160327861234767","0.189423974057811"
"Yes","2009","66 and older","in school","","","",""
"Yes","2009","66 and older","inadequately","23","","",""
"Yes","2009","66 and older","general elemantary","328","0.521634879793387","0.483782072248025","0.559487687338749"
"Yes","2009","66 and older","middle vocational","1026","0.460511866384499","0.439664879933019","0.481358852835979"
"Yes","2009","66 and older","vocational + Abi","44","0.426354506571068","0.327937659906852","0.524771353235284"
"Yes","2009","66 and older","higher vocational","151","0.466170576540968","0.411513451408698","0.520827701673239"
"Yes","2009","66 and older","higher education","410","0.460716192532722","0.427968664989306","0.493463720076138"
"No","2009","16-34 y.","in school","311","0.986003116067007","0.972988518407927","0.999017713726087"
"No","2009","16-34 y.","inadequately","39","0.97991969685922","0.936982218184185","1.02285717553426"
"No","2009","16-34 y.","general elemantary","534","0.968193504765515","0.953567540226499","0.982819469304531"
"No","2009","16-34 y.","middle vocational","1744","0.959661942732769","0.950570158203327","0.968753727262211"
"No","2009","16-34 y.","vocational + Abi","327","0.979092213634504","0.963839203240524","0.994345224028484"
"No","2009","16-34 y.","higher vocational","102","0.928529537684341","0.880168456720312","0.976890618648371"
"No","2009","16-34 y.","higher education","531","0.982004259385265","0.970792009732177","0.993216509038353"
"No","2009","35-65 y.","in school","","","",""
"No","2009","35-65 y.","inadequately","68","0.800419190479456","0.715450922734203","0.88538745822471"
"No","2009","35-65 y.","general elemantary","448","0.732596074389346","0.696882092990569","0.768310055788122"
"No","2009","35-65 y.","middle vocational","3932","0.758187422755883","0.746454382683829","0.769920462827936"
"No","2009","35-65 y.","vocational + Abi","472","0.840993442496493","0.810920373859417","0.871066511133569"
"No","2009","35-65 y.","higher vocational","714","0.796826607228339","0.770669995870893","0.822983218585786"
"No","2009","35-65 y.","higher education","2092","0.825124082353711","0.810576025942189","0.839672138765233"
"No","2009","66 and older","in school","","","",""
"No","2009","66 and older","inadequately","20","","",""
"No","2009","66 and older","general elemantary","341","0.478365120206613","0.440512312661251","0.516217927751976"
"No","2009","66 and older","middle vocational","1170","0.539488133615501","0.518641147164021","0.560335120066981"
"No","2009","66 and older","vocational + Abi","53","0.573645493428932","0.475228646764716","0.672062340093148"
"No","2009","66 and older","higher vocational","169","0.533829423459032","0.479172298326761","0.588486548591302"
"No","2009","66 and older","higher education","480","0.539283807467278","0.506536279923862","0.572031335010694"
"Yes","2010","16-34 y.","in school","","","",""
"Yes","2010","16-34 y.","inadequately","","","",""
"Yes","2010","16-34 y.","general elemantary","","","",""
"Yes","2010","16-34 y.","middle vocational","","","",""
"Yes","2010","16-34 y.","vocational + Abi","","","",""
"Yes","2010","16-34 y.","higher vocational","","","",""
"Yes","2010","16-34 y.","higher education","","","",""
"Yes","2010","35-65 y.","in school","","","",""
"Yes","2010","35-65 y.","inadequately","","","",""
"Yes","2010","35-65 y.","general elemantary","","","",""
"Yes","2010","35-65 y.","middle vocational","","","",""
"Yes","2010","35-65 y.","vocational + Abi","","","",""
"Yes","2010","35-65 y.","higher vocational","","","",""
"Yes","2010","35-65 y.","higher education","","","",""
"Yes","2010","66 and older","in school","","","",""
"Yes","2010","66 and older","inadequately","","","",""
"Yes","2010","66 and older","general elemantary","","","",""
"Yes","2010","66 and older","middle vocational","","","",""
"Yes","2010","66 and older","vocational + Abi","","","",""
"Yes","2010","66 and older","higher vocational","","","",""
"Yes","2010","66 and older","higher education","","","",""
"No","2010","16-34 y.","in school","","","",""
"No","2010","16-34 y.","inadequately","","","",""
"No","2010","16-34 y.","general elemantary","","","",""
"No","2010","16-34 y.","middle vocational","","","",""
"No","2010","16-34 y.","vocational + Abi","","","",""
"No","2010","16-34 y.","higher vocational","","","",""
"No","2010","16-34 y.","higher education","","","",""
"No","2010","35-65 y.","in school","","","",""
"No","2010","35-65 y.","inadequately","","","",""
"No","2010","35-65 y.","general elemantary","","","",""
"No","2010","35-65 y.","middle vocational","","","",""
"No","2010","35-65 y.","vocational + Abi","","","",""
"No","2010","35-65 y.","higher vocational","","","",""
"No","2010","35-65 y.","higher education","","","",""
"No","2010","66 and older","in school","","","",""
"No","2010","66 and older","inadequately","","","",""
"No","2010","66 and older","general elemantary","","","",""
"No","2010","66 and older","middle vocational","","","",""
"No","2010","66 and older","vocational + Abi","","","",""
"No","2010","66 and older","higher vocational","","","",""
"No","2010","66 and older","higher education","","","",""
"Yes","2011","16-34 y.","in school","2","","",""
"Yes","2011","16-34 y.","inadequately","","","",""
"Yes","2011","16-34 y.","general elemantary","22","","",""
"Yes","2011","16-34 y.","middle vocational","71","0.0348968145342312","0.0267283777255656","0.0430652513428968"
"Yes","2011","16-34 y.","vocational + Abi","18","","",""
"Yes","2011","16-34 y.","higher vocational","5","","",""
"Yes","2011","16-34 y.","higher education","12","","",""
"Yes","2011","35-65 y.","in school","","","",""
"Yes","2011","35-65 y.","inadequately","29","","",""
"Yes","2011","35-65 y.","general elemantary","179","0.254233042342373","0.223695074034144","0.284771010650601"
"Yes","2011","35-65 y.","middle vocational","1473","0.26261837796925","0.251424687885575","0.273812068052926"
"Yes","2011","35-65 y.","vocational + Abi","111","0.173894136972564","0.145634317100761","0.202153956844366"
"Yes","2011","35-65 y.","higher vocational","229","0.261517619322349","0.233542981769721","0.289492256874977"
"Yes","2011","35-65 y.","higher education","598","0.194184795214501","0.179682313773654","0.208687276655347"
"Yes","2011","66 and older","in school","","","",""
"Yes","2011","66 and older","inadequately","30","0.444390317730447","0.319694935672827","0.569085699788067"
"Yes","2011","66 and older","general elemantary","408","0.501985950240627","0.468113084509852","0.535858815971402"
"Yes","2011","66 and older","middle vocational","1257","0.470871392876093","0.451945270743111","0.489797515009075"
"Yes","2011","66 and older","vocational + Abi","63","0.475170999581493","0.388658874100275","0.561683125062711"
"Yes","2011","66 and older","higher vocational","185","0.486373608680034","0.43625199143818","0.536495225921888"
"Yes","2011","66 and older","higher education","504","0.490139404752607","0.460530212131697","0.519748597373518"
"No","2011","16-34 y.","in school","311","0.99337113020731","0.984381301151368","1.00236095926325"
"No","2011","16-34 y.","inadequately","54","1","1","1"
"No","2011","16-34 y.","general elemantary","548","0.966199668770067","0.951364086938785","0.981035250601349"
"No","2011","16-34 y.","middle vocational","1868","0.965103185465769","0.956934748657103","0.973271622274434"
"No","2011","16-34 y.","vocational + Abi","372","0.952799488384088","0.931752503062539","0.973846473705637"
"No","2011","16-34 y.","higher vocational","119","0.966594707961837","0.934967045781235","0.998222370142438"
"No","2011","16-34 y.","higher education","635","0.98309377778184","0.973159948070323","0.993027607493358"
"No","2011","35-65 y.","in school","","","",""
"No","2011","35-65 y.","inadequately","89","0.721388598468215","0.640499281757144","0.802277915179285"
"No","2011","35-65 y.","general elemantary","602","0.745766957657627","0.715228989349399","0.776304925965856"
"No","2011","35-65 y.","middle vocational","4464","0.73738162203075","0.726187931947074","0.748575312114425"
"No","2011","35-65 y.","vocational + Abi","580","0.826105863027436","0.797846043155634","0.854365682899239"
"No","2011","35-65 y.","higher vocational","719","0.738482380677651","0.710507743125023","0.766457018230279"
"No","2011","35-65 y.","higher education","2260","0.805815204785499","0.791312723344653","0.820317686226346"
"No","2011","66 and older","in school","","","",""
"No","2011","66 and older","inadequately","31","0.555609682269553","0.430914300211933","0.680305064327173"
"No","2011","66 and older","general elemantary","429","0.498014049759373","0.464141184028598","0.531886915490148"
