"ple0018","year","hgtyp1hh","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","2009","1-pers.-HH","vocational + Abi","128","0.82955036889289","0.77035310212012","0.888747635665661","2"
"No","2009","Single parent ","in school","44","0.940444168025438","0.871297622064244","1.00959071398663","2"
"No","2009","(Married) couple without C. ","vocational + Abi","220","0.806310772243762","0.761137828722973","0.851483715764552","2"
"No","2009","1-pers.-HH","inadequately","18","","","","2"
"No","2009","(Married) couple without C. ","middle vocational","2323","0.667717874178156","0.65215283691935","0.683282911436961","2"
"No","2009","1-pers.-HH","in school","1","","","","2"
"No","2009","Couple + C. LE 16 ","middle vocational","1237","0.902022851084107","0.886211485706691","0.917834216461524","2"
"No","2009","Couple + C. LE 16 ","in school","","","","","2"
"No","2009","Couple + C. GT 16 ","general elemantary","297","0.864038281454374","0.82781867854499","0.900257884363759","2"
"No","2009","Couple + C. GT 16 ","middle vocational","1275","0.838017460571625","0.819890697303474","0.856144223839775","2"
"No","2009","Single parent ","higher education","135","0.882857400673011","0.832065970726658","0.933648830619363","2"
"No","2009","Couple + C. GT 16 ","higher education","447","0.766716456412056","0.732386499536393","0.801046413287719","2"
"No","2009","Couple + C. LE and GT 16","in school","119","1","1","1","2"
"No","2009","Couple + C. LE and GT 16","inadequately","10","","","","2"
"No","2009","Couple + C. LE and GT 16","general elemantary","131","0.94980417936663","0.913241448562431","0.986366910170829","2"
"No","2009","Couple + C. LE and GT 16","middle vocational","421","0.866404425922277","0.836311548833628","0.896497303010926","2"
"No","2009","Couple + C. LE and GT 16","vocational + Abi","61","0.904018803854421","0.834515514840698","0.973522092868144","2"
"No","2009","Couple + C. LE and GT 16","higher vocational","66","0.860690655187852","0.783845859831303","0.937535450544401","2"
"No","2009","Couple + C. LE and GT 16","higher education","172","0.825597682978081","0.774153614706159","0.877041751250003","2"
"No","2009","1-pers.-HH","general elemantary","219","0.564718158330011","0.515886480177203","0.613549836482818","2"
"No","2009","1-pers.-HH","middle vocational","1049","0.683616727500332","0.66011297147932","0.707120483521344","2"
"No","2009","(Married) couple without C. ","higher vocational","324","0.656631966411042","0.615701776394021","0.697562156428063","2"
"No","2009","(Married) couple without C. ","higher education","1205","0.71865361108703","0.697550070231172","0.739757151942888","2"
"No","2009","Couple + C. LE 16 ","inadequately","24","","","","2"
"No","2009","Couple + C. LE 16 ","general elemantary","164","0.878491197411185","0.830894000041908","0.926088394780463","2"
"No","2009","Couple + C. GT 16 ","vocational + Abi","126","0.780055697934928","0.711686938563684","0.848424457306172","2"
"No","2009","Couple + C. GT 16 ","higher vocational","150","0.716873387952823","0.65579514665999","0.777951629245656","2"
"No","2009","1-pers.-HH","higher vocational","131","0.720773925012469","0.656646074119716","0.784901775905221","2"
"No","2009","1-pers.-HH","higher education","462","0.796546014259022","0.764651872844134","0.82844015567391","2"
"No","2009","(Married) couple without C. ","in school","3","","","","2"
"No","2009","(Married) couple without C. ","inadequately","30","0.518702955940691","0.38543762878917","0.651968283092212","2"
"No","2009","(Married) couple without C. ","general elemantary","322","0.590389251260153","0.54808156204803","0.632696940472277","2"
"No","2009","Single parent ","inadequately","15","","","","2"
"No","2009","Single parent ","general elemantary","144","0.869175149696047","0.818780707631672","0.919569591760421","2"
"No","2009","Single parent ","middle vocational","416","0.851626241907012","0.819859065193841","0.883393418620182","2"
"No","2009","Single parent ","vocational + Abi","43","0.968307349003643","0.916545753948201","1.02006894405908","2"
"No","2009","Single parent ","higher vocational","35","1","1","1","2"
"No","2009","Couple + C. LE 16 ","vocational + Abi","261","0.933706135668583","0.90482146402203","0.962590807315137","2"
"No","2009","Couple + C. LE 16 ","higher vocational","266","0.888428458252491","0.852255040452756","0.924601876052226","2"
"No","2009","Couple + C. LE 16 ","higher education","651","0.920280189749268","0.90030049239762","0.940259887100916","2"
"No","2009","Couple + C. GT 16 ","in school","138","0.998542739151792","0.992201229344624","1.00488424895896","2"
"No","2009","Couple + C. GT 16 ","inadequately","26","","","","2"
"Yes","2009","1-pers.-HH","in school","","","","","1"
"Yes","2009","1-pers.-HH","inadequately","7","","","","1"
"Yes","2009","1-pers.-HH","general elemantary","177","0.435281841669989","0.386450163517182","0.484113519822797","1"
"Yes","2009","1-pers.-HH","middle vocational","455","0.316383272499668","0.292879516478656","0.33988702852068","1"
"Yes","2009","1-pers.-HH","vocational + Abi","27","","","","1"
"Yes","2009","1-pers.-HH","higher vocational","57","0.279226074987531","0.215098224094779","0.343353925880284","1"
"Yes","2009","1-pers.-HH","higher education","150","0.203453985740978","0.17155984432609","0.235348127155866","1"
"Yes","2009","(Married) couple without C. ","in school","","","","","1"
"Yes","2009","(Married) couple without C. ","inadequately","24","","","","1"
"Yes","2009","(Married) couple without C. ","general elemantary","197","0.409610748739847","0.367303059527723","0.45191843795197","1"
"Yes","2009","(Married) couple without C. ","middle vocational","1195","0.332282125821844","0.316717088563039","0.34784716308065","1"
"Yes","2009","(Married) couple without C. ","vocational + Abi","74","0.193689227756238","0.148516284235448","0.238862171277027","1"
"Yes","2009","(Married) couple without C. ","higher vocational","193","0.343368033588958","0.302437843571938","0.384298223605979","1"
"Yes","2009","(Married) couple without C. ","higher education","539","0.28134638891297","0.260242848057112","0.302449929768828","1"
"Yes","2009","Single parent ","in school","1","","","","1"
"Yes","2009","Single parent ","inadequately","3","","","","1"
"Yes","2009","Single parent ","general elemantary","28","","","","1"
"Yes","2009","Single parent ","middle vocational","65","0.148373758092988","0.116606581379818","0.180140934806159","1"
"Yes","2009","Single parent ","vocational + Abi","1","","","","1"
"Yes","2009","Single parent ","higher vocational","","","","","1"
"Yes","2009","Single parent ","higher education","19","","","","1"
"Yes","2009","Couple + C. LE 16 ","in school","","","","","1"
