"ple0018","year","education","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2009","lower secondary degree","Male","891","1","1","1"
"Yes","2009","lower secondary degree","Female","1092","1","1","1"
"Yes","2009","secondary school degree","Male","535","1","1","1"
"Yes","2009","secondary school degree","Female","593","1","1","1"
"Yes","2009","college entrance qualification","Male","542","1","1","1"
"Yes","2009","college entrance qualification","Female","320","1","1","1"
"Yes","2009","Other degree","Male","97","1","1","1"
"Yes","2009","Other degree","Female","108","1","1","1"
"Yes","2009","no degree/no degree yet","Male","19","","",""
"Yes","2009","no degree/no degree yet","Female","34","1","1","1"
"Yes","2010","lower secondary degree","Male","","","",""
"Yes","2010","lower secondary degree","Female","","","",""
"Yes","2010","secondary school degree","Male","","","",""
"Yes","2010","secondary school degree","Female","","","",""
"Yes","2010","college entrance qualification","Male","","","",""
"Yes","2010","college entrance qualification","Female","","","",""
"Yes","2010","Other degree","Male","","","",""
"Yes","2010","Other degree","Female","","","",""
"Yes","2010","no degree/no degree yet","Male","","","",""
"Yes","2010","no degree/no degree yet","Female","","","",""
"Yes","2011","lower secondary degree","Male","1098","1","1","1"
"Yes","2011","lower secondary degree","Female","1243","1","1","1"
"Yes","2011","secondary school degree","Male","667","1","1","1"
"Yes","2011","secondary school degree","Female","761","1","1","1"
"Yes","2011","college entrance qualification","Male","652","1","1","1"
"Yes","2011","college entrance qualification","Female","382","1","1","1"
"Yes","2011","Other degree","Male","130","1","1","1"
"Yes","2011","Other degree","Female","166","1","1","1"
"Yes","2011","no degree/no degree yet","Male","32","1","1","1"
"Yes","2011","no degree/no degree yet","Female","43","1","1","1"
"Yes","2012","lower secondary degree","Male","","","",""
"Yes","2012","lower secondary degree","Female","","","",""
"Yes","2012","secondary school degree","Male","","","",""
"Yes","2012","secondary school degree","Female","","","",""
"Yes","2012","college entrance qualification","Male","","","",""
"Yes","2012","college entrance qualification","Female","","","",""
"Yes","2012","Other degree","Male","","","",""
"Yes","2012","Other degree","Female","","","",""
"Yes","2012","no degree/no degree yet","Male","","","",""
"Yes","2012","no degree/no degree yet","Female","","","",""
"Yes","2013","lower secondary degree","Male","1073","1","1","1"
"Yes","2013","lower secondary degree","Female","1222","1","1","1"
"Yes","2013","secondary school degree","Male","729","1","1","1"
"Yes","2013","secondary school degree","Female","857","1","1","1"
"Yes","2013","college entrance qualification","Male","708","1","1","1"
"Yes","2013","college entrance qualification","Female","454","1","1","1"
"Yes","2013","Other degree","Male","121","1","1","1"
"Yes","2013","Other degree","Female","175","1","1","1"
"Yes","2013","no degree/no degree yet","Male","28","","",""
"Yes","2013","no degree/no degree yet","Female","38","1","1","1"
"Yes","2014","lower secondary degree","Male","","","",""
"Yes","2014","lower secondary degree","Female","","","",""
"Yes","2014","secondary school degree","Male","","","",""
"Yes","2014","secondary school degree","Female","","","",""
"Yes","2014","college entrance qualification","Male","","","",""
"Yes","2014","college entrance qualification","Female","","","",""
"Yes","2014","Other degree","Male","","","",""
"Yes","2014","Other degree","Female","","","",""
"Yes","2014","no degree/no degree yet","Male","","","",""
"Yes","2014","no degree/no degree yet","Female","","","",""
"Yes","2015","lower secondary degree","Male","1073","1","1","1"
"Yes","2015","lower secondary degree","Female","1166","1","1","1"
"Yes","2015","secondary school degree","Male","808","1","1","1"
"Yes","2015","secondary school degree","Female","972","1","1","1"
"Yes","2015","college entrance qualification","Male","748","1","1","1"
"Yes","2015","college entrance qualification","Female","513","1","1","1"
"Yes","2015","Other degree","Male","243","1","1","1"
"Yes","2015","Other degree","Female","276","1","1","1"
"Yes","2015","no degree/no degree yet","Male","40","1","1","1"
"Yes","2015","no degree/no degree yet","Female","62","1","1","1"
"Yes","2016","lower secondary degree","Male","","","",""
"Yes","2016","lower secondary degree","Female","","","",""
"Yes","2016","secondary school degree","Male","","","",""
"Yes","2016","secondary school degree","Female","","","",""
"Yes","2016","college entrance qualification","Male","","","",""
"Yes","2016","college entrance qualification","Female","","","",""
"Yes","2016","Other degree","Male","","","",""
"Yes","2016","Other degree","Female","","","",""
"Yes","2016","no degree/no degree yet","Male","","","",""
"Yes","2016","no degree/no degree yet","Female","","","",""
"Yes","2017","lower secondary degree","Male","1042","1","1","1"
"Yes","2017","lower secondary degree","Female","1108","1","1","1"
"Yes","2017","secondary school degree","Male","916","1","1","1"
"Yes","2017","secondary school degree","Female","1155","1","1","1"
"Yes","2017","college entrance qualification","Male","903","1","1","1"
"Yes","2017","college entrance qualification","Female","560","1","1","1"
"Yes","2017","Other degree","Male","288","1","1","1"
"Yes","2017","Other degree","Female","296","1","1","1"
"Yes","2017","no degree/no degree yet","Male","48","1","1","1"
