"ple0018","year","education","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Yes","2009","lower secondary degree","1-pers.-HH","479","1","1","1"
"Yes","2009","lower secondary degree","(Married) couple without C. ","1097","1","1","1"
"Yes","2009","lower secondary degree","Single parent ","48","1","1","1"
"Yes","2009","lower secondary degree","Couple + C. LE 16 ","66","1","1","1"
"Yes","2009","lower secondary degree","Couple + C. GT 16 ","220","1","1","1"
"Yes","2009","lower secondary degree","Couple + C. LE and GT 16","30","1","1","1"
"Yes","2009","secondary school degree","1-pers.-HH","206","1","1","1"
"Yes","2009","secondary school degree","(Married) couple without C. ","524","1","1","1"
"Yes","2009","secondary school degree","Single parent ","43","1","1","1"
"Yes","2009","secondary school degree","Couple + C. LE 16 ","95","1","1","1"
"Yes","2009","secondary school degree","Couple + C. GT 16 ","182","1","1","1"
"Yes","2009","secondary school degree","Couple + C. LE and GT 16","53","1","1","1"
"Yes","2009","college entrance qualification","1-pers.-HH","139","1","1","1"
"Yes","2009","college entrance qualification","(Married) couple without C. ","456","1","1","1"
"Yes","2009","college entrance qualification","Single parent ","15","","",""
"Yes","2009","college entrance qualification","Couple + C. LE 16 ","73","1","1","1"
"Yes","2009","college entrance qualification","Couple + C. GT 16 ","128","1","1","1"
"Yes","2009","college entrance qualification","Couple + C. LE and GT 16","42","1","1","1"
"Yes","2009","Other degree","1-pers.-HH","37","1","1","1"
"Yes","2009","Other degree","(Married) couple without C. ","104","1","1","1"
"Yes","2009","Other degree","Single parent ","8","","",""
"Yes","2009","Other degree","Couple + C. LE 16 ","8","","",""
"Yes","2009","Other degree","Couple + C. GT 16 ","34","1","1","1"
"Yes","2009","Other degree","Couple + C. LE and GT 16","7","","",""
"Yes","2009","no degree/no degree yet","1-pers.-HH","10","","",""
"Yes","2009","no degree/no degree yet","(Married) couple without C. ","32","1","1","1"
"Yes","2009","no degree/no degree yet","Single parent ","2","","",""
"Yes","2009","no degree/no degree yet","Couple + C. LE 16 ","2","","",""
"Yes","2009","no degree/no degree yet","Couple + C. GT 16 ","7","","",""
"Yes","2009","no degree/no degree yet","Couple + C. LE and GT 16","","","",""
"Yes","2010","lower secondary degree","1-pers.-HH","","","",""
"Yes","2010","lower secondary degree","(Married) couple without C. ","","","",""
"Yes","2010","lower secondary degree","Single parent ","","","",""
"Yes","2010","lower secondary degree","Couple + C. LE 16 ","","","",""
"Yes","2010","lower secondary degree","Couple + C. GT 16 ","","","",""
"Yes","2010","lower secondary degree","Couple + C. LE and GT 16","","","",""
"Yes","2010","secondary school degree","1-pers.-HH","","","",""
"Yes","2010","secondary school degree","(Married) couple without C. ","","","",""
"Yes","2010","secondary school degree","Single parent ","","","",""
"Yes","2010","secondary school degree","Couple + C. LE 16 ","","","",""
"Yes","2010","secondary school degree","Couple + C. GT 16 ","","","",""
"Yes","2010","secondary school degree","Couple + C. LE and GT 16","","","",""
"Yes","2010","college entrance qualification","1-pers.-HH","","","",""
"Yes","2010","college entrance qualification","(Married) couple without C. ","","","",""
"Yes","2010","college entrance qualification","Single parent ","","","",""
"Yes","2010","college entrance qualification","Couple + C. LE 16 ","","","",""
"Yes","2010","college entrance qualification","Couple + C. GT 16 ","","","",""
"Yes","2010","college entrance qualification","Couple + C. LE and GT 16","","","",""
"Yes","2010","Other degree","1-pers.-HH","","","",""
"Yes","2010","Other degree","(Married) couple without C. ","","","",""
"Yes","2010","Other degree","Single parent ","","","",""
"Yes","2010","Other degree","Couple + C. LE 16 ","","","",""
"Yes","2010","Other degree","Couple + C. GT 16 ","","","",""
"Yes","2010","Other degree","Couple + C. LE and GT 16","","","",""
"Yes","2010","no degree/no degree yet","1-pers.-HH","","","",""
"Yes","2010","no degree/no degree yet","(Married) couple without C. ","","","",""
"Yes","2010","no degree/no degree yet","Single parent ","","","",""
"Yes","2010","no degree/no degree yet","Couple + C. LE 16 ","","","",""
"Yes","2010","no degree/no degree yet","Couple + C. GT 16 ","","","",""
"Yes","2010","no degree/no degree yet","Couple + C. LE and GT 16","","","",""
"Yes","2011","lower secondary degree","1-pers.-HH","562","1","1","1"
"Yes","2011","lower secondary degree","(Married) couple without C. ","1334","1","1","1"
"Yes","2011","lower secondary degree","Single parent ","61","1","1","1"
"Yes","2011","lower secondary degree","Couple + C. LE 16 ","75","1","1","1"
"Yes","2011","lower secondary degree","Couple + C. GT 16 ","221","1","1","1"
"Yes","2011","lower secondary degree","Couple + C. LE and GT 16","36","1","1","1"
"Yes","2011","secondary school degree","1-pers.-HH","272","1","1","1"
"Yes","2011","secondary school degree","(Married) couple without C. ","719","1","1","1"
"Yes","2011","secondary school degree","Single parent ","47","1","1","1"
"Yes","2011","secondary school degree","Couple + C. LE 16 ","129","1","1","1"
"Yes","2011","secondary school degree","Couple + C. GT 16 ","188","1","1","1"
"Yes","2011","secondary school degree","Couple + C. LE and GT 16","51","1","1","1"
"Yes","2011","college entrance qualification","1-pers.-HH","193","1","1","1"
"Yes","2011","college entrance qualification","(Married) couple without C. ","566","1","1","1"
"Yes","2011","college entrance qualification","Single parent ","20","","",""
"Yes","2011","college entrance qualification","Couple + C. LE 16 ","89","1","1","1"
"Yes","2011","college entrance qualification","Couple + C. GT 16 ","123","1","1","1"
"Yes","2011","college entrance qualification","Couple + C. LE and GT 16","31","1","1","1"
"Yes","2011","Other degree","1-pers.-HH","60","1","1","1"
"Yes","2011","Other degree","(Married) couple without C. ","148","1","1","1"
"Yes","2011","Other degree","Single parent ","13","","",""
"Yes","2011","Other degree","Couple + C. LE 16 ","15","","",""
"Yes","2011","Other degree","Couple + C. GT 16 ","36","1","1","1"
"Yes","2011","Other degree","Couple + C. LE and GT 16","12","","",""
"Yes","2011","no degree/no degree yet","1-pers.-HH","20","","",""
"Yes","2011","no degree/no degree yet","(Married) couple without C. ","31","1","1","1"
"Yes","2011","no degree/no degree yet","Single parent ","3","","",""
"Yes","2011","no degree/no degree yet","Couple + C. LE 16 ","2","","",""
"Yes","2011","no degree/no degree yet","Couple + C. GT 16 ","13","","",""
"Yes","2011","no degree/no degree yet","Couple + C. LE and GT 16","1","","",""
"Yes","2012","lower secondary degree","1-pers.-HH","","","",""
"Yes","2012","lower secondary degree","(Married) couple without C. ","","","",""
"Yes","2012","lower secondary degree","Single parent ","","","",""
"Yes","2012","lower secondary degree","Couple + C. LE 16 ","","","",""
"Yes","2012","lower secondary degree","Couple + C. GT 16 ","","","",""
"Yes","2012","lower secondary degree","Couple + C. LE and GT 16","","","",""
"Yes","2012","secondary school degree","1-pers.-HH","","","",""
"Yes","2012","secondary school degree","(Married) couple without C. ","","","",""
"Yes","2012","secondary school degree","Single parent ","","","",""
"Yes","2012","secondary school degree","Couple + C. LE 16 ","","","",""
"Yes","2012","secondary school degree","Couple + C. GT 16 ","","","",""
"Yes","2012","secondary school degree","Couple + C. LE and GT 16","","","",""
"Yes","2012","college entrance qualification","1-pers.-HH","","","",""
"Yes","2012","college entrance qualification","(Married) couple without C. ","","","",""
"Yes","2012","college entrance qualification","Single parent ","","","",""
"Yes","2012","college entrance qualification","Couple + C. LE 16 ","","","",""
"Yes","2012","college entrance qualification","Couple + C. GT 16 ","","","",""
"Yes","2012","college entrance qualification","Couple + C. LE and GT 16","","","",""
"Yes","2012","Other degree","1-pers.-HH","","","",""
"Yes","2012","Other degree","(Married) couple without C. ","","","",""
"Yes","2012","Other degree","Single parent ","","","",""
"Yes","2012","Other degree","Couple + C. LE 16 ","","","",""
"Yes","2012","Other degree","Couple + C. GT 16 ","","","",""
"Yes","2012","Other degree","Couple + C. LE and GT 16","","","",""
"Yes","2012","no degree/no degree yet","1-pers.-HH","","","",""
"Yes","2012","no degree/no degree yet","(Married) couple without C. ","","","",""
"Yes","2012","no degree/no degree yet","Single parent ","","","",""
"Yes","2012","no degree/no degree yet","Couple + C. LE 16 ","","","",""
"Yes","2012","no degree/no degree yet","Couple + C. GT 16 ","","","",""
"Yes","2012","no degree/no degree yet","Couple + C. LE and GT 16","","","",""
"Yes","2013","lower secondary degree","1-pers.-HH","564","1","1","1"
"Yes","2013","lower secondary degree","(Married) couple without C. ","1324","1","1","1"
"Yes","2013","lower secondary degree","Single parent ","73","1","1","1"
"Yes","2013","lower secondary degree","Couple + C. LE 16 ","66","1","1","1"
"Yes","2013","lower secondary degree","Couple + C. GT 16 ","195","1","1","1"
"Yes","2013","lower secondary degree","Couple + C. LE and GT 16","35","1","1","1"
"Yes","2013","secondary school degree","1-pers.-HH","325","1","1","1"
"Yes","2013","secondary school degree","(Married) couple without C. ","831","1","1","1"
"Yes","2013","secondary school degree","Single parent ","57","1","1","1"
"Yes","2013","secondary school degree","Couple + C. LE 16 ","125","1","1","1"
"Yes","2013","secondary school degree","Couple + C. GT 16 ","185","1","1","1"
"Yes","2013","secondary school degree","Couple + C. LE and GT 16","39","1","1","1"
"Yes","2013","college entrance qualification","1-pers.-HH","241","1","1","1"
"Yes","2013","college entrance qualification","(Married) couple without C. ","632","1","1","1"
"Yes","2013","college entrance qualification","Single parent ","25","","",""
"Yes","2013","college entrance qualification","Couple + C. LE 16 ","91","1","1","1"
"Yes","2013","college entrance qualification","Couple + C. GT 16 ","118","1","1","1"
"Yes","2013","college entrance qualification","Couple + C. LE and GT 16","38","1","1","1"
"Yes","2013","Other degree","1-pers.-HH","47","1","1","1"
"Yes","2013","Other degree","(Married) couple without C. ","153","1","1","1"
"Yes","2013","Other degree","Single parent ","15","","",""
"Yes","2013","Other degree","Couple + C. LE 16 ","18","","",""
"Yes","2013","Other degree","Couple + C. GT 16 ","34","1","1","1"
"Yes","2013","Other degree","Couple + C. LE and GT 16","13","","",""
"Yes","2013","no degree/no degree yet","1-pers.-HH","18","","",""
"Yes","2013","no degree/no degree yet","(Married) couple without C. ","27","","",""
"Yes","2013","no degree/no degree yet","Single parent ","4","","",""
"Yes","2013","no degree/no degree yet","Couple + C. LE 16 ","2","","",""
"Yes","2013","no degree/no degree yet","Couple + C. GT 16 ","5","","",""
"Yes","2013","no degree/no degree yet","Couple + C. LE and GT 16","7","","",""
"Yes","2014","lower secondary degree","1-pers.-HH","","","",""
"Yes","2014","lower secondary degree","(Married) couple without C. ","","","",""
"Yes","2014","lower secondary degree","Single parent ","","","",""
"Yes","2014","lower secondary degree","Couple + C. LE 16 ","","","",""
"Yes","2014","lower secondary degree","Couple + C. GT 16 ","","","",""
"Yes","2014","lower secondary degree","Couple + C. LE and GT 16","","","",""
"Yes","2014","secondary school degree","1-pers.-HH","","","",""
"Yes","2014","secondary school degree","(Married) couple without C. ","","","",""
"Yes","2014","secondary school degree","Single parent ","","","",""
"Yes","2014","secondary school degree","Couple + C. LE 16 ","","","",""
"Yes","2014","secondary school degree","Couple + C. GT 16 ","","","",""
"Yes","2014","secondary school degree","Couple + C. LE and GT 16","","","",""
