"ple0018","year","pgcasmin","sex","n","percent","lower_confidence","upper_confidence"
"Yes","2009","(0) in school","Male","2","","",""
"Yes","2009","(0) in school","Female","","","",""
"Yes","2009","(1a) inadequately completed","Male","17","","",""
"Yes","2009","(1a) inadequately completed","Female","34","1","1","1"
"Yes","2009","(1b) general elementary school","Male","85","1","1","1"
"Yes","2009","(1b) general elementary school","Female","366","1","1","1"
"Yes","2009","(1c) basic vocational qualification","Male","808","1","1","1"
"Yes","2009","(1c) basic vocational qualification","Female","772","1","1","1"
"Yes","2009","(2b) intermediate general qualification","Male","13","","",""
"Yes","2009","(2b) intermediate general qualification","Female","28","","",""
"Yes","2009","(2a) intermediate vocational","Male","425","1","1","1"
"Yes","2009","(2a) intermediate vocational","Female","484","1","1","1"
"Yes","2009","(2c_gen) general maturity certificate","Male","12","","",""
"Yes","2009","(2c_gen) general maturity certificate","Female","24","","",""
"Yes","2009","(2c_voc) vocational maturity certificate","Male","112","1","1","1"
"Yes","2009","(2c_voc) vocational maturity certificate","Female","105","1","1","1"
"Yes","2009","(3a) lower tertiary education","Male","260","1","1","1"
"Yes","2009","(3a) lower tertiary education","Female","160","1","1","1"
"Yes","2009","(3b) higher tertiary education","Male","351","1","1","1"
"Yes","2009","(3b) higher tertiary education","Female","175","1","1","1"
"Yes","2010","(0) in school","Male","","","",""
"Yes","2010","(0) in school","Female","","","",""
"Yes","2010","(1a) inadequately completed","Male","","","",""
"Yes","2010","(1a) inadequately completed","Female","","","",""
"Yes","2010","(1b) general elementary school","Male","","","",""
"Yes","2010","(1b) general elementary school","Female","","","",""
"Yes","2010","(1c) basic vocational qualification","Male","","","",""
"Yes","2010","(1c) basic vocational qualification","Female","","","",""
"Yes","2010","(2b) intermediate general qualification","Male","","","",""
"Yes","2010","(2b) intermediate general qualification","Female","","","",""
"Yes","2010","(2a) intermediate vocational","Male","","","",""
"Yes","2010","(2a) intermediate vocational","Female","","","",""
"Yes","2010","(2c_gen) general maturity certificate","Male","","","",""
"Yes","2010","(2c_gen) general maturity certificate","Female","","","",""
"Yes","2010","(2c_voc) vocational maturity certificate","Male","","","",""
"Yes","2010","(2c_voc) vocational maturity certificate","Female","","","",""
"Yes","2010","(3a) lower tertiary education","Male","","","",""
"Yes","2010","(3a) lower tertiary education","Female","","","",""
"Yes","2010","(3b) higher tertiary education","Male","","","",""
"Yes","2010","(3b) higher tertiary education","Female","","","",""
"Yes","2011","(0) in school","Male","2","","",""
"Yes","2011","(0) in school","Female","","","",""
"Yes","2011","(1a) inadequately completed","Male","30","1","1","1"
"Yes","2011","(1a) inadequately completed","Female","43","1","1","1"
"Yes","2011","(1b) general elementary school","Male","114","1","1","1"
"Yes","2011","(1b) general elementary school","Female","430","1","1","1"
"Yes","2011","(1c) basic vocational qualification","Male","998","1","1","1"
"Yes","2011","(1c) basic vocational qualification","Female","888","1","1","1"
"Yes","2011","(2b) intermediate general qualification","Male","13","","",""
"Yes","2011","(2b) intermediate general qualification","Female","58","1","1","1"
"Yes","2011","(2a) intermediate vocational","Male","538","1","1","1"
"Yes","2011","(2a) intermediate vocational","Female","614","1","1","1"
"Yes","2011","(2c_gen) general maturity certificate","Male","26","","",""
"Yes","2011","(2c_gen) general maturity certificate","Female","38","1","1","1"
"Yes","2011","(2c_voc) vocational maturity certificate","Male","145","1","1","1"
"Yes","2011","(2c_voc) vocational maturity certificate","Female","130","1","1","1"
"Yes","2011","(3a) lower tertiary education","Male","288","1","1","1"
"Yes","2011","(3a) lower tertiary education","Female","174","1","1","1"
"Yes","2011","(3b) higher tertiary education","Male","429","1","1","1"
"Yes","2011","(3b) higher tertiary education","Female","223","1","1","1"
