"ple0018","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Yes","2009","1-pers.-HH","873","0.297103008659976","0.280499458305761","0.313706559014191"
"Yes","2009","(Married) couple without C. ","2222","0.322135901439117","0.310930736953226","0.333341065925008"
"Yes","2009","Single parent ","118","0.116314553534732","0.0964039556181485","0.136225151451316"
"Yes","2009","Couple + C. LE 16 ","244","0.0928998129989358","0.0822608298114245","0.103538796186447"
"Yes","2009","Couple + C. GT 16 ","577","0.161362507957293","0.148546590887898","0.174178425026687"
"Yes","2009","Couple + C. LE and GT 16","136","0.107301734618138","0.0896503467144549","0.124953122521821"
"No","2009","1-pers.-HH","2037","0.702896991340024","0.686293440985809","0.719500541694239"
"No","2009","(Married) couple without C. ","4459","0.677864098560883","0.666658934074992","0.689069263046774"
"No","2009","Single parent ","878","0.883685446465268","0.863774848548684","0.903596044381852"
"No","2009","Couple + C. LE 16 ","2616","0.907100187001064","0.896461203813553","0.917739170188576"
"No","2009","Couple + C. GT 16 ","2588","0.838637492042707","0.825821574973313","0.851453409112102"
"No","2009","Couple + C. LE and GT 16","1045","0.892698265381862","0.875046877478179","0.910349653285545"
"Yes","2010","1-pers.-HH","","","",""
"Yes","2010","(Married) couple without C. ","","","",""
"Yes","2010","Single parent ","","","",""
"Yes","2010","Couple + C. LE 16 ","","","",""
"Yes","2010","Couple + C. GT 16 ","","","",""
"Yes","2010","Couple + C. LE and GT 16","","","",""
"No","2010","1-pers.-HH","","","",""
"No","2010","(Married) couple without C. ","","","",""
"No","2010","Single parent ","","","",""
"No","2010","Couple + C. LE 16 ","","","",""
"No","2010","Couple + C. GT 16 ","","","",""
"No","2010","Couple + C. LE and GT 16","","","",""
"Yes","2011","1-pers.-HH","1116","0.297597207017833","0.282608010368281","0.312586403667384"
"Yes","2011","(Married) couple without C. ","2810","0.332811924735848","0.322578379259663","0.343045470212034"
"Yes","2011","Single parent ","147","0.117631163799884","0.0992022253298535","0.136060102269915"
"Yes","2011","Couple + C. LE 16 ","311","0.11710713760492","0.105818919923727","0.128395355286114"
"Yes","2011","Couple + C. GT 16 ","585","0.173886980701455","0.160757168311708","0.187016793091203"
"Yes","2011","Couple + C. LE and GT 16","135","0.104889158129766","0.0877931695227793","0.121985146736753"
"No","2011","1-pers.-HH","2458","0.702402792982167","0.687413596332616","0.717391989631719"
"No","2011","(Married) couple without C. ","5335","0.667188075264151","0.656954529787966","0.677421620740337"
"No","2011","Single parent ","1027","0.882368836200116","0.863939897730085","0.900797774670147"
"No","2011","Couple + C. LE 16 ","2806","0.88289286239508","0.871604644713886","0.894181080076273"
"No","2011","Couple + C. GT 16 ","2616","0.826113019298545","0.812983206908797","0.839242831688292"
"No","2011","Couple + C. LE and GT 16","1099","0.895110841870233","0.878014853263246","0.912206830477221"
"Yes","2012","1-pers.-HH","","","",""
"Yes","2012","(Married) couple without C. ","","","",""
"Yes","2012","Single parent ","","","",""
"Yes","2012","Couple + C. LE 16 ","","","",""
"Yes","2012","Couple + C. GT 16 ","","","",""
"Yes","2012","Couple + C. LE and GT 16","","","",""
"No","2012","1-pers.-HH","","","",""
"No","2012","(Married) couple without C. ","","","",""
"No","2012","Single parent ","","","",""
"No","2012","Couple + C. LE 16 ","","","",""
"No","2012","Couple + C. GT 16 ","","","",""
"No","2012","Couple + C. LE and GT 16","","","",""
"Yes","2013","1-pers.-HH","1201","0.345098690644248","0.329287838240953","0.360909543047544"
"Yes","2013","(Married) couple without C. ","2985","0.376858484923751","0.366002781115128","0.387714188732373"
"Yes","2013","Single parent ","176","0.164661423367058","0.142902209775168","0.186420636958949"
"Yes","2013","Couple + C. LE 16 ","304","0.11428078326186","0.102439253958308","0.126122312565412"
"Yes","2013","Couple + C. GT 16 ","544","0.193299527974625","0.178219166279739","0.208379889669511"
"Yes","2013","Couple + C. LE and GT 16","136","0.149912216424375","0.127115461008825","0.172708971839924"
"No","2013","1-pers.-HH","2272","0.654901309355752","0.639090456952456","0.670712161759047"
"No","2013","(Married) couple without C. ","4670","0.623141515076249","0.612285811267627","0.633997218884872"
"No","2013","Single parent ","940","0.835338576632942","0.813579363041051","0.857097790224832"
"No","2013","Couple + C. LE 16 ","2469","0.88571921673814","0.873877687434588","0.897560746041692"
"No","2013","Couple + C. GT 16 ","2090","0.806700472025375","0.791620110330489","0.821780833720261"
"No","2013","Couple + C. LE and GT 16","806","0.850087783575625","0.827291028160076","0.872884538991175"
"Yes","2014","1-pers.-HH","","","",""
"Yes","2014","(Married) couple without C. ","","","",""
"Yes","2014","Single parent ","","","",""
"Yes","2014","Couple + C. LE 16 ","","","",""
"Yes","2014","Couple + C. GT 16 ","","","",""
"Yes","2014","Couple + C. LE and GT 16","","","",""
"No","2014","1-pers.-HH","","","",""
"No","2014","(Married) couple without C. ","","","",""
"No","2014","Single parent ","","","",""
"No","2014","Couple + C. LE 16 ","","","",""
"No","2014","Couple + C. GT 16 ","","","",""
"No","2014","Couple + C. LE and GT 16","","","",""
"Yes","2015","1-pers.-HH","1235","0.357330244634598","0.341503841114059","0.373156648155136"
"Yes","2015","(Married) couple without C. ","2853","0.367965830482713","0.357053096063378","0.378878564902049"
"Yes","2015","Single parent ","319","0.127503174073365","0.113960246481384","0.141046101665346"
"Yes","2015","Couple + C. LE 16 ","611","0.104506120914401","0.0968191424730115","0.112193099355791"
"Yes","2015","Couple + C. GT 16 ","563","0.183415540304268","0.16933989206096","0.197491188547575"
"Yes","2015","Couple + C. LE and GT 16","255","0.111852727575006","0.0985546716959436","0.125150783454068"
"No","2015","1-pers.-HH","2287","0.642669755365402","0.626843351844864","0.658496158885941"
"No","2015","(Married) couple without C. ","4649","0.632034169517287","0.621121435097951","0.642946903936622"
"No","2015","Single parent ","2011","0.872496825926635","0.858953898334654","0.886039753518616"
"No","2015","Couple + C. LE 16 ","5473","0.895493879085599","0.887806900644209","0.903180857526989"
"No","2015","Couple + C. GT 16 ","2341","0.816584459695732","0.802508811452425","0.83066010793904"
