"ple0018","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","2009","1-pers.-HH","(0) in school","","","",""
"Yes","2009","1-pers.-HH","(1a) inadequately completed","10","","",""
"Yes","2009","1-pers.-HH","(1b) general elementary school","164","1","1","1"
"Yes","2009","1-pers.-HH","(1c) basic vocational qualification","326","1","1","1"
"Yes","2009","1-pers.-HH","(2b) intermediate general qualification","13","","",""
"Yes","2009","1-pers.-HH","(2a) intermediate vocational","164","1","1","1"
"Yes","2009","1-pers.-HH","(2c_gen) general maturity certificate","8","","",""
"Yes","2009","1-pers.-HH","(2c_voc) vocational maturity certificate","36","1","1","1"
"Yes","2009","1-pers.-HH","(3a) lower tertiary education","61","1","1","1"
"Yes","2009","1-pers.-HH","(3b) higher tertiary education","89","1","1","1"
"Yes","2009","(Married) couple without C. ","(0) in school","","","",""
"Yes","2009","(Married) couple without C. ","(1a) inadequately completed","32","1","1","1"
"Yes","2009","(Married) couple without C. ","(1b) general elementary school","187","1","1","1"
"Yes","2009","(Married) couple without C. ","(1c) basic vocational qualification","914","1","1","1"
"Yes","2009","(Married) couple without C. ","(2b) intermediate general qualification","10","","",""
"Yes","2009","(Married) couple without C. ","(2a) intermediate vocational","406","1","1","1"
"Yes","2009","(Married) couple without C. ","(2c_gen) general maturity certificate","14","","",""
"Yes","2009","(Married) couple without C. ","(2c_voc) vocational maturity certificate","111","1","1","1"
"Yes","2009","(Married) couple without C. ","(3a) lower tertiary education","249","1","1","1"
"Yes","2009","(Married) couple without C. ","(3b) higher tertiary education","290","1","1","1"
"Yes","2009","Single parent ","(0) in school","1","","",""
"Yes","2009","Single parent ","(1a) inadequately completed","1","","",""
"Yes","2009","Single parent ","(1b) general elementary school","24","","",""
"Yes","2009","Single parent ","(1c) basic vocational qualification","30","1","1","1"
"Yes","2009","Single parent ","(2b) intermediate general qualification","6","","",""
"Yes","2009","Single parent ","(2a) intermediate vocational","35","1","1","1"
"Yes","2009","Single parent ","(2c_gen) general maturity certificate","","","",""
"Yes","2009","Single parent ","(2c_voc) vocational maturity certificate","1","","",""
"Yes","2009","Single parent ","(3a) lower tertiary education","6","","",""
"Yes","2009","Single parent ","(3b) higher tertiary education","13","","",""
"Yes","2009","Couple + C. LE 16 ","(0) in school","","","",""
"Yes","2009","Couple + C. LE 16 ","(1a) inadequately completed","2","","",""
"Yes","2009","Couple + C. LE 16 ","(1b) general elementary school","13","","",""
"Yes","2009","Couple + C. LE 16 ","(1c) basic vocational qualification","53","1","1","1"
"Yes","2009","Couple + C. LE 16 ","(2b) intermediate general qualification","4","","",""
"Yes","2009","Couple + C. LE 16 ","(2a) intermediate vocational","88","1","1","1"
"Yes","2009","Couple + C. LE 16 ","(2c_gen) general maturity certificate","1","","",""
"Yes","2009","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","28","","",""
"Yes","2009","Couple + C. LE 16 ","(3a) lower tertiary education","27","","",""
"Yes","2009","Couple + C. LE 16 ","(3b) higher tertiary education","28","","",""
"Yes","2009","Couple + C. GT 16 ","(0) in school","1","","",""
"Yes","2009","Couple + C. GT 16 ","(1a) inadequately completed","6","","",""
"Yes","2009","Couple + C. GT 16 ","(1b) general elementary school","43","1","1","1"
"Yes","2009","Couple + C. GT 16 ","(1c) basic vocational qualification","196","1","1","1"
"Yes","2009","Couple + C. GT 16 ","(2b) intermediate general qualification","4","","",""
"Yes","2009","Couple + C. GT 16 ","(2a) intermediate vocational","148","1","1","1"
"Yes","2009","Couple + C. GT 16 ","(2c_gen) general maturity certificate","9","","",""
"Yes","2009","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","28","","",""
"Yes","2009","Couple + C. GT 16 ","(3a) lower tertiary education","61","1","1","1"
"Yes","2009","Couple + C. GT 16 ","(3b) higher tertiary education","75","1","1","1"
"Yes","2009","Couple + C. LE and GT 16","(0) in school","","","",""
"Yes","2009","Couple + C. LE and GT 16","(1a) inadequately completed","","","",""
"Yes","2009","Couple + C. LE and GT 16","(1b) general elementary school","4","","",""
"Yes","2009","Couple + C. LE and GT 16","(1c) basic vocational qualification","29","","",""
"Yes","2009","Couple + C. LE and GT 16","(2b) intermediate general qualification","2","","",""
"Yes","2009","Couple + C. LE and GT 16","(2a) intermediate vocational","48","1","1","1"
"Yes","2009","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","3","","",""
"Yes","2009","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","10","","",""
"Yes","2009","Couple + C. LE and GT 16","(3a) lower tertiary education","12","","",""
"Yes","2009","Couple + C. LE and GT 16","(3b) higher tertiary education","25","","",""
"Yes","2010","1-pers.-HH","(0) in school","","","",""
"Yes","2010","1-pers.-HH","(1a) inadequately completed","","","",""
"Yes","2010","1-pers.-HH","(1b) general elementary school","","","",""
