"ple0018","year","e11102","migback","n","percent","lower_confidence","upper_confidence"
"Yes","2009","Not Employed","no migration background","2230","0.381701229990421","0.369409946128821","0.393992513852021"
"Yes","2009","Not Employed","direct migration background","243","0.351319503864505","0.315570054594929","0.387068953134081"
"Yes","2009","Not Employed","indirect migration background","8","","",""
"Yes","2009","Employed","no migration background","1636","0.165066296108737","0.157694399630578","0.172438192586896"
"Yes","2009","Employed","direct migration background","112","0.119809201421228","0.0995087904108239","0.140109612431632"
"Yes","2009","Employed","indirect migration background","25","","",""
"No","2009","Not Employed","no migration background","3771","0.618298770009579","0.606007486147979","0.630590053871179"
"No","2009","Not Employed","direct migration background","442","0.648680496135495","0.612931046865919","0.684429945405071"
"No","2009","Not Employed","indirect migration background","186","0.953560566177997","0.923948764940767","0.983172367415228"
"No","2009","Employed","no migration background","8106","0.834933703891263","0.827561807413104","0.842305600369422"
"No","2009","Employed","direct migration background","871","0.880190798578772","0.859890387568368","0.900491209589176"
"No","2009","Employed","indirect migration background","496","0.951041689634431","0.932513106201592","0.96957027306727"
"Yes","2010","Not Employed","no migration background","","","",""
"Yes","2010","Not Employed","direct migration background","","","",""
"Yes","2010","Not Employed","indirect migration background","","","",""
"Yes","2010","Employed","no migration background","","","",""
"Yes","2010","Employed","direct migration background","","","",""
"Yes","2010","Employed","indirect migration background","","","",""
"No","2010","Not Employed","no migration background","","","",""
"No","2010","Not Employed","direct migration background","","","",""
"No","2010","Not Employed","indirect migration background","","","",""
"No","2010","Employed","no migration background","","","",""
"No","2010","Employed","direct migration background","","","",""
"No","2010","Employed","indirect migration background","","","",""
"Yes","2011","Not Employed","no migration background","2710","0.407036585319252","0.395580857662203","0.4184923129763"
"Yes","2011","Not Employed","direct migration background","314","0.394938866567199","0.362172400850799","0.427705332283599"
"Yes","2011","Not Employed","indirect migration background","10","","",""
"Yes","2011","Employed","no migration background","1991","0.181061970115426","0.173858111472781","0.18826582875807"
"Yes","2011","Employed","direct migration background","148","0.133450416592657","0.113923134319365","0.152977698865948"
"Yes","2011","Employed","indirect migration background","36","0.0481638260843632","0.0306325966801054","0.065695055488621"
"No","2011","Not Employed","no migration background","4355","0.592963414680748","0.5815076870237","0.604419142337796"
"No","2011","Not Employed","direct migration background","541","0.605061133432801","0.572294667716401","0.637827599149201"
