"ple0018","year","e11102","education","n","percent","lower_confidence","upper_confidence"
"Yes","2009","Not Employed","lower secondary degree","1440","1","1","1"
"Yes","2009","Not Employed","secondary school degree","478","1","1","1"
"Yes","2009","Not Employed","college entrance qualification","366","1","1","1"
"Yes","2009","Not Employed","Other degree","146","1","1","1"
"Yes","2009","Not Employed","no degree/no degree yet","43","1","1","1"
"Yes","2009","Employed","lower secondary degree","543","1","1","1"
"Yes","2009","Employed","secondary school degree","650","1","1","1"
"Yes","2009","Employed","college entrance qualification","496","1","1","1"
"Yes","2009","Employed","Other degree","59","1","1","1"
"Yes","2009","Employed","no degree/no degree yet","10","","",""
"Yes","2010","Not Employed","lower secondary degree","","","",""
"Yes","2010","Not Employed","secondary school degree","","","",""
"Yes","2010","Not Employed","college entrance qualification","","","",""
"Yes","2010","Not Employed","Other degree","","","",""
"Yes","2010","Not Employed","no degree/no degree yet","","","",""
"Yes","2010","Employed","lower secondary degree","","","",""
"Yes","2010","Employed","secondary school degree","","","",""
"Yes","2010","Employed","college entrance qualification","","","",""
"Yes","2010","Employed","Other degree","","","",""
"Yes","2010","Employed","no degree/no degree yet","","","",""
"Yes","2011","Not Employed","lower secondary degree","1689","1","1","1"
"Yes","2011","Not Employed","secondary school degree","611","1","1","1"
"Yes","2011","Not Employed","college entrance qualification","462","1","1","1"
"Yes","2011","Not Employed","Other degree","198","1","1","1"
"Yes","2011","Not Employed","no degree/no degree yet","58","1","1","1"
"Yes","2011","Employed","lower secondary degree","652","1","1","1"
"Yes","2011","Employed","secondary school degree","817","1","1","1"
"Yes","2011","Employed","college entrance qualification","572","1","1","1"
"Yes","2011","Employed","Other degree","98","1","1","1"
"Yes","2011","Employed","no degree/no degree yet","17","","",""
"Yes","2012","Not Employed","lower secondary degree","","","",""
"Yes","2012","Not Employed","secondary school degree","","","",""
"Yes","2012","Not Employed","college entrance qualification","","","",""
"Yes","2012","Not Employed","Other degree","","","",""
"Yes","2012","Not Employed","no degree/no degree yet","","","",""
"Yes","2012","Employed","lower secondary degree","","","",""
"Yes","2012","Employed","secondary school degree","","","",""
"Yes","2012","Employed","college entrance qualification","","","",""
"Yes","2012","Employed","Other degree","","","",""
"Yes","2012","Employed","no degree/no degree yet","","","",""
"Yes","2013","Not Employed","lower secondary degree","1649","1","1","1"
"Yes","2013","Not Employed","secondary school degree","718","1","1","1"
"Yes","2013","Not Employed","college entrance qualification","514","1","1","1"
"Yes","2013","Not Employed","Other degree","188","1","1","1"
"Yes","2013","Not Employed","no degree/no degree yet","45","1","1","1"
"Yes","2013","Employed","lower secondary degree","646","1","1","1"
"Yes","2013","Employed","secondary school degree","868","1","1","1"
"Yes","2013","Employed","college entrance qualification","648","1","1","1"
"Yes","2013","Employed","Other degree","108","1","1","1"
"Yes","2013","Employed","no degree/no degree yet","21","","",""
"Yes","2014","Not Employed","lower secondary degree","","","",""
"Yes","2014","Not Employed","secondary school degree","","","",""
"Yes","2014","Not Employed","college entrance qualification","","","",""
"Yes","2014","Not Employed","Other degree","","","",""
"Yes","2014","Not Employed","no degree/no degree yet","","","",""
"Yes","2014","Employed","lower secondary degree","","","",""
"Yes","2014","Employed","secondary school degree","","","",""
"Yes","2014","Employed","college entrance qualification","","","",""
"Yes","2014","Employed","Other degree","","","",""
"Yes","2014","Employed","no degree/no degree yet","","","",""
"Yes","2015","Not Employed","lower secondary degree","1554","1","1","1"
"Yes","2015","Not Employed","secondary school degree","731","1","1","1"
"Yes","2015","Not Employed","college entrance qualification","520","1","1","1"
"Yes","2015","Not Employed","Other degree","254","1","1","1"
"Yes","2015","Not Employed","no degree/no degree yet","70","1","1","1"
"Yes","2015","Employed","lower secondary degree","685","1","1","1"
"Yes","2015","Employed","secondary school degree","1049","1","1","1"
"Yes","2015","Employed","college entrance qualification","741","1","1","1"
"Yes","2015","Employed","Other degree","265","1","1","1"
"Yes","2015","Employed","no degree/no degree yet","32","1","1","1"
"Yes","2016","Not Employed","lower secondary degree","","","",""
"Yes","2016","Not Employed","secondary school degree","","","",""
"Yes","2016","Not Employed","college entrance qualification","","","",""
"Yes","2016","Not Employed","Other degree","","","",""
"Yes","2016","Not Employed","no degree/no degree yet","","","",""
"Yes","2016","Employed","lower secondary degree","","","",""
"Yes","2016","Employed","secondary school degree","","","",""
"Yes","2016","Employed","college entrance qualification","","","",""
"Yes","2016","Employed","Other degree","","","",""
"Yes","2016","Employed","no degree/no degree yet","","","",""
"Yes","2017","Not Employed","lower secondary degree","1410","1","1","1"
"Yes","2017","Not Employed","secondary school degree","813","1","1","1"
"Yes","2017","Not Employed","college entrance qualification","567","1","1","1"
"Yes","2017","Not Employed","Other degree","285","1","1","1"
"Yes","2017","Not Employed","no degree/no degree yet","83","1","1","1"
"Yes","2017","Employed","lower secondary degree","740","1","1","1"
"Yes","2017","Employed","secondary school degree","1258","1","1","1"
"Yes","2017","Employed","college entrance qualification","896","1","1","1"
"Yes","2017","Employed","Other degree","299","1","1","1"
"Yes","2017","Employed","no degree/no degree yet","40","1","1","1"
"Yes","2018","Not Employed","lower secondary degree","","","",""
"Yes","2018","Not Employed","secondary school degree","","","",""
"Yes","2018","Not Employed","college entrance qualification","","","",""
"Yes","2018","Not Employed","Other degree","","","",""
"Yes","2018","Not Employed","no degree/no degree yet","","","",""
"Yes","2018","Employed","lower secondary degree","","","",""
"Yes","2018","Employed","secondary school degree","","","",""
"Yes","2018","Employed","college entrance qualification","","","",""
"Yes","2018","Employed","Other degree","","","",""
"Yes","2018","Employed","no degree/no degree yet","","","",""
"Yes","2019","Not Employed","lower secondary degree","1318","1","1","1"
"Yes","2019","Not Employed","secondary school degree","892","1","1","1"
"Yes","2019","Not Employed","college entrance qualification","602","1","1","1"
"Yes","2019","Not Employed","Other degree","254","1","1","1"
"Yes","2019","Not Employed","no degree/no degree yet","74","1","1","1"
"Yes","2019","Employed","lower secondary degree","697","1","1","1"
"Yes","2019","Employed","secondary school degree","1306","1","1","1"
"Yes","2019","Employed","college entrance qualification","1085","1","1","1"
"Yes","2019","Employed","Other degree","291","1","1","1"
"Yes","2019","Employed","no degree/no degree yet","43","1","1","1"
