"ple0018","year","migback","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","2009","no migration background","(0) in school","2","","",""
"Yes","2009","no migration background","(1a) inadequately completed","15","","",""
"Yes","2009","no migration background","(1b) general elementary school","351","1","1","1"
"Yes","2009","no migration background","(1c) basic vocational qualification","1469","1","1","1"
"Yes","2009","no migration background","(2b) intermediate general qualification","35","1","1","1"
"Yes","2009","no migration background","(2a) intermediate vocational","887","1","1","1"
"Yes","2009","no migration background","(2c_gen) general maturity certificate","26","","",""
"Yes","2009","no migration background","(2c_voc) vocational maturity certificate","174","1","1","1"
"Yes","2009","no migration background","(3a) lower tertiary education","402","1","1","1"
"Yes","2009","no migration background","(3b) higher tertiary education","487","1","1","1"
"Yes","2009","direct migration background","(0) in school","","","",""
"Yes","2009","direct migration background","(1a) inadequately completed","36","1","1","1"
"Yes","2009","direct migration background","(1b) general elementary school","96","1","1","1"
"Yes","2009","direct migration background","(1c) basic vocational qualification","100","1","1","1"
"Yes","2009","direct migration background","(2b) intermediate general qualification","6","","",""
"Yes","2009","direct migration background","(2a) intermediate vocational","16","","",""
"Yes","2009","direct migration background","(2c_gen) general maturity certificate","9","","",""
"Yes","2009","direct migration background","(2c_voc) vocational maturity certificate","39","1","1","1"
"Yes","2009","direct migration background","(3a) lower tertiary education","15","","",""
"Yes","2009","direct migration background","(3b) higher tertiary education","36","1","1","1"
"Yes","2009","indirect migration background","(0) in school","","","",""
"Yes","2009","indirect migration background","(1a) inadequately completed","","","",""
"Yes","2009","indirect migration background","(1b) general elementary school","4","","",""
"Yes","2009","indirect migration background","(1c) basic vocational qualification","11","","",""
"Yes","2009","indirect migration background","(2b) intermediate general qualification","","","",""
"Yes","2009","indirect migration background","(2a) intermediate vocational","6","","",""
"Yes","2009","indirect migration background","(2c_gen) general maturity certificate","1","","",""
"Yes","2009","indirect migration background","(2c_voc) vocational maturity certificate","4","","",""
"Yes","2009","indirect migration background","(3a) lower tertiary education","3","","",""
"Yes","2009","indirect migration background","(3b) higher tertiary education","3","","",""
"Yes","2010","no migration background","(0) in school","","","",""
