"ple0018","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"Yes","2009","16-34 y.","lower secondary degree","20","","",""
"Yes","2009","16-34 y.","secondary school degree","44","1","1","1"
"Yes","2009","16-34 y.","college entrance qualification","31","1","1","1"
"Yes","2009","16-34 y.","Other degree","3","","",""
"Yes","2009","16-34 y.","no degree/no degree yet","2","","",""
"Yes","2009","35-65 y.","lower secondary degree","749","1","1","1"
"Yes","2009","35-65 y.","secondary school degree","763","1","1","1"
"Yes","2009","35-65 y.","college entrance qualification","514","1","1","1"
"Yes","2009","35-65 y.","Other degree","106","1","1","1"
"Yes","2009","35-65 y.","no degree/no degree yet","21","","",""
"Yes","2009","66 and older","lower secondary degree","1214","1","1","1"
"Yes","2009","66 and older","secondary school degree","321","1","1","1"
"Yes","2009","66 and older","college entrance qualification","317","1","1","1"
"Yes","2009","66 and older","Other degree","96","1","1","1"
"Yes","2009","66 and older","no degree/no degree yet","30","1","1","1"
"Yes","2010","16-34 y.","lower secondary degree","","","",""
"Yes","2010","16-34 y.","secondary school degree","","","",""
"Yes","2010","16-34 y.","college entrance qualification","","","",""
"Yes","2010","16-34 y.","Other degree","","","",""
"Yes","2010","16-34 y.","no degree/no degree yet","","","",""
"Yes","2010","35-65 y.","lower secondary degree","","","",""
"Yes","2010","35-65 y.","secondary school degree","","","",""
"Yes","2010","35-65 y.","college entrance qualification","","","",""
"Yes","2010","35-65 y.","Other degree","","","",""
"Yes","2010","35-65 y.","no degree/no degree yet","","","",""
"Yes","2010","66 and older","lower secondary degree","","","",""
"Yes","2010","66 and older","secondary school degree","","","",""
"Yes","2010","66 and older","college entrance qualification","","","",""
"Yes","2010","66 and older","Other degree","","","",""
"Yes","2010","66 and older","no degree/no degree yet","","","",""
"Yes","2011","16-34 y.","lower secondary degree","28","","",""
"Yes","2011","16-34 y.","secondary school degree","46","1","1","1"
"Yes","2011","16-34 y.","college entrance qualification","46","1","1","1"
"Yes","2011","16-34 y.","Other degree","4","","",""
"Yes","2011","16-34 y.","no degree/no degree yet","2","","",""
"Yes","2011","35-65 y.","lower secondary degree","895","1","1","1"
"Yes","2011","35-65 y.","secondary school degree","939","1","1","1"
"Yes","2011","35-65 y.","college entrance qualification","577","1","1","1"
"Yes","2011","35-65 y.","Other degree","155","1","1","1"
"Yes","2011","35-65 y.","no degree/no degree yet","37","1","1","1"
"Yes","2011","66 and older","lower secondary degree","1418","1","1","1"
"Yes","2011","66 and older","secondary school degree","443","1","1","1"
"Yes","2011","66 and older","college entrance qualification","411","1","1","1"
"Yes","2011","66 and older","Other degree","137","1","1","1"
"Yes","2011","66 and older","no degree/no degree yet","36","1","1","1"
"Yes","2012","16-34 y.","lower secondary degree","","","",""
"Yes","2012","16-34 y.","secondary school degree","","","",""
"Yes","2012","16-34 y.","college entrance qualification","","","",""
"Yes","2012","16-34 y.","Other degree","","","",""
"Yes","2012","16-34 y.","no degree/no degree yet","","","",""
"Yes","2012","35-65 y.","lower secondary degree","","","",""
"Yes","2012","35-65 y.","secondary school degree","","","",""
"Yes","2012","35-65 y.","college entrance qualification","","","",""
"Yes","2012","35-65 y.","Other degree","","","",""
"Yes","2012","35-65 y.","no degree/no degree yet","","","",""
"Yes","2012","66 and older","lower secondary degree","","","",""
"Yes","2012","66 and older","secondary school degree","","","",""
"Yes","2012","66 and older","college entrance qualification","","","",""
"Yes","2012","66 and older","Other degree","","","",""
"Yes","2012","66 and older","no degree/no degree yet","","","",""
"Yes","2013","16-34 y.","lower secondary degree","25","","",""
"Yes","2013","16-34 y.","secondary school degree","43","1","1","1"
"Yes","2013","16-34 y.","college entrance qualification","63","1","1","1"
"Yes","2013","16-34 y.","Other degree","4","","",""
"Yes","2013","16-34 y.","no degree/no degree yet","9","","",""
"Yes","2013","35-65 y.","lower secondary degree","874","1","1","1"
"Yes","2013","35-65 y.","secondary school degree","1018","1","1","1"
"Yes","2013","35-65 y.","college entrance qualification","637","1","1","1"
