"ple0018","year","e11102","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Yes","2009","Not Employed","1-pers.-HH","655","0.440947322820945","0.415566298544162","0.466328347097728"
"Yes","2009","Not Employed","(Married) couple without C. ","1510","0.445791381452272","0.429064204900006","0.462518558004539"
"Yes","2009","Not Employed","Single parent ","52","0.170151624279161","0.127125551786451","0.213177696771871"
"Yes","2009","Not Employed","Couple + C. LE 16 ","34","0.0626239169522877","0.0396969559032207","0.0855508780013547"
"Yes","2009","Not Employed","Couple + C. GT 16 ","159","0.167453386048986","0.142203484199225","0.192703287898748"
"Yes","2009","Not Employed","Couple + C. LE and GT 16","19","","",""
"Yes","2009","Employed","1-pers.-HH","218","0.160125222087169","0.14118417485065","0.179066269323688"
"Yes","2009","Employed","(Married) couple without C. ","712","0.203577274819863","0.189816191502012","0.217338358137713"
"Yes","2009","Employed","Single parent ","66","0.0927898072549174","0.0713424134907547","0.11423720101908"
"Yes","2009","Employed","Couple + C. LE 16 ","210","0.0982123425377458","0.0863821778633769","0.110042507212115"
"Yes","2009","Employed","Couple + C. GT 16 ","418","0.159081846537559","0.144214831246767","0.173948861828352"
"Yes","2009","Employed","Couple + C. LE and GT 16","117","0.114725315834839","0.093657364476169","0.135793267193509"
"No","2009","Not Employed","1-pers.-HH","815","0.559052677179055","0.533671652902272","0.584433701455838"
"No","2009","Not Employed","(Married) couple without C. ","1882","0.554208618547728","0.537481441995461","0.570935795099994"
"No","2009","Not Employed","Single parent ","241","0.829848375720839","0.786822303228129","0.872874448213549"
"No","2009","Not Employed","Couple + C. LE 16 ","395","0.937376083047712","0.914449121998645","0.960303044096779"
"No","2009","Not Employed","Couple + C. GT 16 ","681","0.832546613951013","0.807296712101252","0.857796515800775"
"No","2009","Not Employed","Couple + C. LE and GT 16","283","0.916518350329624","0.885321502599468","0.947715198059781"
"No","2009","Employed","1-pers.-HH","1222","0.839874777912831","0.820933730676312","0.85881582514935"
"No","2009","Employed","(Married) couple without C. ","2577","0.796422725180137","0.782661641862287","0.810183808497988"
"No","2009","Employed","Single parent ","637","0.907210192745083","0.88576279898092","0.928657586509245"
"No","2009","Employed","Couple + C. LE 16 ","2221","0.901787657462254","0.889957492787885","0.913617822136623"
"No","2009","Employed","Couple + C. GT 16 ","1907","0.84091815346244","0.826051138171648","0.855785168753233"
"No","2009","Employed","Couple + C. LE and GT 16","762","0.885274684165161","0.864206732806491","0.906342635523831"
"Yes","2010","Not Employed","1-pers.-HH","","","",""
"Yes","2010","Not Employed","(Married) couple without C. ","","","",""
"Yes","2010","Not Employed","Single parent ","","","",""
"Yes","2010","Not Employed","Couple + C. LE 16 ","","","",""
"Yes","2010","Not Employed","Couple + C. GT 16 ","","","",""
"Yes","2010","Not Employed","Couple + C. LE and GT 16","","","",""
"Yes","2010","Employed","1-pers.-HH","","","",""
"Yes","2010","Employed","(Married) couple without C. ","","","",""
"Yes","2010","Employed","Single parent ","","","",""
"Yes","2010","Employed","Couple + C. LE 16 ","","","",""
"Yes","2010","Employed","Couple + C. GT 16 ","","","",""
"Yes","2010","Employed","Couple + C. LE and GT 16","","","",""
"No","2010","Not Employed","1-pers.-HH","","","",""
"No","2010","Not Employed","(Married) couple without C. ","","","",""
"No","2010","Not Employed","Single parent ","","","",""
"No","2010","Not Employed","Couple + C. LE 16 ","","","",""
"No","2010","Not Employed","Couple + C. GT 16 ","","","",""
"No","2010","Not Employed","Couple + C. LE and GT 16","","","",""
"No","2010","Employed","1-pers.-HH","","","",""
"No","2010","Employed","(Married) couple without C. ","","","",""
"No","2010","Employed","Single parent ","","","",""
"No","2010","Employed","Couple + C. LE 16 ","","","",""
"No","2010","Employed","Couple + C. GT 16 ","","","",""
"No","2010","Employed","Couple + C. LE and GT 16","","","",""
