"ple0018","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence","value"
"No","2009","1-pers.-HH","no migration background","1842","0.694532464125302","0.67698558330139","0.712079344949215","2"
"No","2009","(Married) couple without C. ","direct migration background","342","0.645245630601555","0.604397781210297","0.686093479992812","2"
"No","2009","Couple + C. LE 16 ","direct migration background","323","0.943233466453912","0.918564808175838","0.967902124731985","2"
"No","2009","1-pers.-HH","indirect migration background","70","0.911156846057433","0.848016152964178","0.974297539150687","2"
"No","2009","(Married) couple without C. ","no migration background","4012","0.67707200335052","0.665279665885807","0.688864340815233","2"
"No","2009","Couple + C. GT 16 ","no migration background","2174","0.82163434043938","0.807159653781528","0.836109027097232","2"
"No","2009","Couple + C. GT 16 ","direct migration background","257","0.847747114648881","0.80807286332294","0.887421365974821","2"
"No","2009","Couple + C. LE and GT 16","no migration background","790","0.875503786606841","0.854053431787186","0.896954141426497","2"
"No","2009","Couple + C. LE and GT 16","direct migration background","153","0.88373979775025","0.835413616060435","0.932065979440065","2"
"No","2009","Couple + C. LE and GT 16","indirect migration background","102","1","1","1","2"
"No","2009","Couple + C. LE 16 ","indirect migration background","161","0.961607807175022","0.932553274157984","0.99066234019206","2"
"No","2009","1-pers.-HH","direct migration background","125","0.699272513548215","0.633192211744202","0.765352815352229","2"
"No","2009","Couple + C. GT 16 ","indirect migration background","157","0.982963298095951","0.96309705697544","1.00282953921646","2"
"No","2009","(Married) couple without C. ","indirect migration background","105","0.906260809038311","0.852757226168153","0.959764391908469","2"
"No","2009","Single parent ","no migration background","730","0.87386883570054","0.851323333250381","0.896414338150699","2"
"No","2009","Single parent ","direct migration background","76","0.898250225131714","0.83544171618058","0.961058734082849","2"
"No","2009","Single parent ","indirect migration background","72","0.955676287285266","0.90878353734237","1.00256903722816","2"
"No","2009","Couple + C. LE 16 ","no migration background","2132","0.893742063321967","0.881293144065988","0.906190982577946","2"
"Yes","2009","1-pers.-HH","no migration background","805","0.305467535874697","0.287920655050785","0.32301441669861","1"
"Yes","2009","1-pers.-HH","direct migration background","60","0.300727486451785","0.234647184647772","0.366807788255799","1"
"Yes","2009","1-pers.-HH","indirect migration background","8","","","","1"
"Yes","2009","(Married) couple without C. ","no migration background","2028","0.32292799664948","0.311135659184767","0.334720334114193","1"
"Yes","2009","(Married) couple without C. ","direct migration background","185","0.354754369398445","0.313906520007188","0.395602218789703","1"
"Yes","2009","(Married) couple without C. ","indirect migration background","9","","","","1"
"Yes","2009","Single parent ","no migration background","103","0.12613116429946","0.103585661849301","0.148676666749619","1"
