"ple0018","year","bula_h","migback","n","percent","lower_confidence","upper_confidence"
"Yes","2009","Schleswig-Holstein","no migration background","113","0.236083914567097","0.197359654375429","0.274808174758764"
"Yes","2009","Schleswig-Holstein","direct migration background","15","","",""
"Yes","2009","Schleswig-Holstein","indirect migration background","","","",""
"Yes","2009","Hamburg","no migration background","57","0.254942045274656","0.200917160729834","0.308966929819478"
"Yes","2009","Hamburg","direct migration background","2","","",""
"Yes","2009","Hamburg","indirect migration background","1","","",""
"Yes","2009","Lower Saxony","no migration background","392","0.276301807998251","0.253442660451371","0.299160955545132"
"Yes","2009","Lower Saxony","direct migration background","24","","",""
"Yes","2009","Lower Saxony","indirect migration background","3","","",""
"Yes","2009","Bremen","no migration background","25","","",""
"Yes","2009","Bremen","direct migration background","1","","",""
"Yes","2009","Bremen","indirect migration background","","","",""
"Yes","2009","North Rhine-Westphalia","no migration background","704","0.234969955890988","0.219800831716155","0.250139080065822"
"Yes","2009","North Rhine-Westphalia","direct migration background","94","0.20779011518383","0.170178074268311","0.24540215609935"
"Yes","2009","North Rhine-Westphalia","indirect migration background","8","","",""
"Yes","2009","Hesse","no migration background","242","0.274464984961595","0.246862136799159","0.302067833124031"
"Yes","2009","Hesse","direct migration background","30","0.184556466478877","0.124633027019264","0.244479905938489"
"Yes","2009","Hesse","indirect migration background","2","","",""
"Yes","2009","Rhineland-Palatinate,Saarland","no migration background","203","0.25869082877939","0.229041403167208","0.288340254391571"
"Yes","2009","Rhineland-Palatinate,Saarland","direct migration background","21","","",""
"Yes","2009","Rhineland-Palatinate,Saarland","indirect migration background","2","","",""
"Yes","2009","Baden-Württemberg","no migration background","319","0.214003653186671","0.193976409689971","0.234030896683371"
"Yes","2009","Baden-Württemberg","direct migration background","71","0.227276658335673","0.183497622516408","0.271055694154939"
"Yes","2009","Baden-Württemberg","indirect migration background","7","","",""
"Yes","2009","Bavaria","no migration background","498","0.22580827973402","0.208501172714439","0.243115386753601"
"Yes","2009","Bavaria","direct migration background","62","0.243238404044427","0.191287505899951","0.295189302188902"
"Yes","2009","Bavaria","indirect migration background","7","","",""
"Yes","2009","Berlin","no migration background","157","0.270314402521842","0.235185354122843","0.305443450920842"
"Yes","2009","Berlin","direct migration background","12","","",""
"Yes","2009","Berlin","indirect migration background","1","","",""
"Yes","2009","Brandenburg","no migration background","221","0.262548519319001","0.231469003737016","0.293628034900985"
"Yes","2009","Brandenburg","direct migration background","3","","",""
"Yes","2009","Brandenburg","indirect migration background","1","","",""
"Yes","2009","Mecklenburg-Western Pomerania","no migration background","132","0.303350505100059","0.261790203882682","0.344910806317436"
"Yes","2009","Mecklenburg-Western Pomerania","direct migration background","3","","",""
"Yes","2009","Mecklenburg-Western Pomerania","indirect migration background","","","",""
"Yes","2009","Saxony","no migration background","376","0.273815890800921","0.24994951927276","0.297682262329083"
"Yes","2009","Saxony","direct migration background","8","","",""
"Yes","2009","Saxony","indirect migration background","","","",""
"Yes","2009","Saxony-Anhalt","no migration background","222","0.302700872942579","0.269886281581281","0.335515464303877"
"Yes","2009","Saxony-Anhalt","direct migration background","7","","",""
"Yes","2009","Saxony-Anhalt","indirect migration background","1","","",""
"Yes","2009","Thuringia","no migration background","205","0.233797980808965","0.204542173239717","0.263053788378214"
"Yes","2009","Thuringia","direct migration background","2","","",""
"Yes","2009","Thuringia","indirect migration background","","","",""
"No","2009","Schleswig-Holstein","no migration background","349","0.763916085432903","0.725191825241236","0.802640345624571"
"No","2009","Schleswig-Holstein","direct migration background","30","0.674087885321426","0.53714157137014","0.811034199272712"
"No","2009","Schleswig-Holstein","indirect migration background","9","","",""
"No","2009","Hamburg","no migration background","193","0.745057954725344","0.691033070180522","0.799082839270166"
"No","2009","Hamburg","direct migration background","11","","",""
"No","2009","Hamburg","indirect migration background","7","","",""
"No","2009","Lower Saxony","no migration background","1078","0.723698192001749","0.700839044454868","0.746557339548629"
"No","2009","Lower Saxony","direct migration background","108","0.826805589463709","0.762250607608254","0.891360571319164"
"No","2009","Lower Saxony","indirect migration background","42","0.903971480412545","0.817888099504937","0.990054861320154"
"No","2009","Bremen","no migration background","88","0.757300382075641","0.678254817891031","0.836345946260251"
"No","2009","Bremen","direct migration background","4","","",""
"No","2009","Bremen","indirect migration background","2","","",""
"No","2009","North Rhine-Westphalia","no migration background","2297","0.765030044109012","0.749860919934178","0.780199168283845"
"No","2009","North Rhine-Westphalia","direct migration background","353","0.79220988481617","0.75459784390065","0.829821925731689"
"No","2009","North Rhine-Westphalia","indirect migration background","189","0.957211133801113","0.928950347692564","0.985471919909663"
"No","2009","Hesse","no migration background","762","0.725535015038405","0.697932166875969","0.753137863200841"
"No","2009","Hesse","direct migration background","131","0.815443533521123","0.755520094061511","0.875366972980736"
"No","2009","Hesse","indirect migration background","59","0.985053498438444","0.954603809647772","1.01550318722912"
"No","2009","Rhineland-Palatinate,Saarland","no migration background","635","0.74130917122061","0.711659745608429","0.770958596832792"
"No","2009","Rhineland-Palatinate,Saarland","direct migration background","112","0.873724224530964","0.817273505099232","0.930174943962696"
"No","2009","Rhineland-Palatinate,Saarland","indirect migration background","54","0.948179848033505","0.890123624921492","1.00623607114552"
"No","2009","Baden-Württemberg","no migration background","1292","0.785996346813329","0.765969103316629","0.806023590310029"
"No","2009","Baden-Württemberg","direct migration background","281","0.772723341664327","0.728944305845061","0.816502377483592"
"No","2009","Baden-Württemberg","indirect migration background","148","0.951456584968314","0.917623477139138","0.98528969279749"
"No","2009","Bavaria","no migration background","1744","0.77419172026598","0.756884613246399","0.791498827285561"
"No","2009","Bavaria","direct migration background","200","0.756761595955573","0.704810697811098","0.808712494100049"
"No","2009","Bavaria","indirect migration background","117","0.939327821823604","0.897309313110335","0.981346330536873"
"No","2009","Berlin","no migration background","457","0.729685597478158","0.694556549079158","0.764814645877157"
"No","2009","Berlin","direct migration background","38","0.864906976844484","0.770160242640209","0.959653711048758"
"No","2009","Berlin","indirect migration background","21","","",""
"No","2009","Brandenburg","no migration background","549","0.737451480680999","0.706371965099015","0.768530996262983"
"No","2009","Brandenburg","direct migration background","10","","",""
"No","2009","Brandenburg","indirect migration background","11","","",""
"No","2009","Mecklenburg-Western Pomerania","no migration background","338","0.696649494899941","0.655089193682564","0.738209796117318"
"No","2009","Mecklenburg-Western Pomerania","direct migration background","2","","",""
"No","2009","Mecklenburg-Western Pomerania","indirect migration background","1","","",""
"No","2009","Saxony","no migration background","965","0.726184109199079","0.702317737670917","0.75005048072724"
"No","2009","Saxony","direct migration background","16","","",""
"No","2009","Saxony","indirect migration background","9","","",""
"No","2009","Saxony-Anhalt","no migration background","531","0.697299127057421","0.664484535696123","0.730113718418719"
