"ple0018","year","e11102","regtyp","n","percent","lower_confidence","upper_confidence","value"
"No","2009","Employed","Urban Area","6338","0.862470409636364","0.854616530417841","0.870324288854888","2"
"No","2009","Employed","Rural Area","3135","0.815108372517816","0.802860039059742","0.827356705975889","2"
"No","2009","Not Employed","Rural Area","1490","0.632008274738569","0.612718266204317","0.651298283272822","2"
"No","2009","Not Employed","Urban Area","2909","0.63346756809078","0.619355977876966","0.647579158304594","2"
"Yes","2009","Not Employed","Urban Area","1570","0.36653243190922","0.352420841695406","0.380644022123034","1"
"Yes","2009","Not Employed","Rural Area","911","0.367991725261431","0.348701716727178","0.387281733795683","1"
"Yes","2009","Employed","Urban Area","1049","0.137529590363636","0.129675711145112","0.145383469582159","1"
"Yes","2009","Employed","Rural Area","724","0.184891627482184","0.172643294024111","0.197139960940258","1"
"No","2010","Not Employed","Rural Area","","","","","2"
"No","2010","Not Employed","Urban Area","","","","","2"
"No","2010","Employed","Urban Area","","","","","2"
"No","2010","Employed","Rural Area","","","","","2"
"Yes","2010","Not Employed","Urban Area","","","","","1"
"Yes","2010","Not Employed","Rural Area","","","","","1"
"Yes","2010","Employed","Urban Area","","","","","1"
"Yes","2010","Employed","Rural Area","","","","","1"
"No","2011","Not Employed","Rural Area","1721","0.59114547937089","0.573042235905203","0.609248722836577","2"
"No","2011","Employed","Rural Area","3568","0.803506747006509","0.791807287429644","0.815206206583374","2"
"No","2011","Not Employed","Urban Area","3391","0.607820979938799","0.594692688633499","0.620949271244099","2"
"No","2011","Employed","Urban Area","6971","0.844053683629198","0.836240521156112","0.851866846102284","2"
"Yes","2011","Not Employed","Rural Area","1112","0.40885452062911","0.390751277163423","0.426957764094797","1"
"Yes","2011","Employed","Urban Area","1312","0.155946316370802","0.148133153897716","0.163759478843888","1"
"Yes","2011","Employed","Rural Area","863","0.196493252993491","0.184793793416626","0.208192712570356","1"
"Yes","2011","Not Employed","Urban Area","1922","0.392179020061201","0.379050728755901","0.405307311366501","1"
"No","2012","Not Employed","Rural Area","","","","","2"
"No","2012","Employed","Rural Area","","","","","2"
"No","2012","Not Employed","Urban Area","","","","","2"
"No","2012","Employed","Urban Area","","","","","2"
"Yes","2012","Not Employed","Rural Area","","","","","1"
"Yes","2012","Employed","Urban Area","","","","","1"
"Yes","2012","Employed","Rural Area","","","","","1"
"Yes","2012","Not Employed","Urban Area","","","","","1"
"No","2013","Not Employed","Rural Area","1439","0.541519479440578","0.522508876902177","0.560530081978979","2"
