"pli0082","year","education","migback","n","percent","lower_confidence","upper_confidence"
"Daily","1990","lower secondary degree","no migration background","13","","",""
"Daily","1990","lower secondary degree","direct migration background","3","","",""
"Daily","1990","lower secondary degree","indirect migration background","","","",""
"Daily","1990","secondary school degree","no migration background","3","","",""
"Daily","1990","secondary school degree","direct migration background","","","",""
"Daily","1990","secondary school degree","indirect migration background","","","",""
"Daily","1990","college entrance qualification","no migration background","4","","",""
"Daily","1990","college entrance qualification","direct migration background","","","",""
"Daily","1990","college entrance qualification","indirect migration background","","","",""
"Daily","1990","Other degree","no migration background","","","",""
"Daily","1990","Other degree","direct migration background","7","","",""
"Daily","1990","Other degree","indirect migration background","","","",""
"Daily","1990","no degree/no degree yet","no migration background","2","","",""
"Daily","1990","no degree/no degree yet","direct migration background","1","","",""
"Daily","1990","no degree/no degree yet","indirect migration background","1","","",""
"Min 1x per week","1990","lower secondary degree","no migration background","285","0.07418486914867","0.0658676613653753","0.0825020769319646"
"Min 1x per week","1990","lower secondary degree","direct migration background","44","0.0734341363789474","0.0523145004735281","0.0945537722843666"
"Min 1x per week","1990","lower secondary degree","indirect migration background","10","","",""
"Min 1x per week","1990","secondary school degree","no migration background","131","0.0966337524646613","0.0815810809124361","0.111686424016886"
"Min 1x per week","1990","secondary school degree","direct migration background","10","","",""
"Min 1x per week","1990","secondary school degree","indirect migration background","5","","",""
"Min 1x per week","1990","college entrance qualification","no migration background","112","0.117878675155889","0.0984480380510474","0.13730931226073"
"Min 1x per week","1990","college entrance qualification","direct migration background","11","","",""
"Min 1x per week","1990","college entrance qualification","indirect migration background","","","",""
"Min 1x per week","1990","Other degree","no migration background","4","","",""
"Min 1x per week","1990","Other degree","direct migration background","49","0.0663526218544806","0.0505336476576442","0.082171596051317"
"Min 1x per week","1990","Other degree","indirect migration background","1","","",""
"Min 1x per week","1990","no degree/no degree yet","no migration background","7","","",""
"Min 1x per week","1990","no degree/no degree yet","direct migration background","30","0.0376618156801136","0.0228194188830454","0.0525042124771818"
"Min 1x per week","1990","no degree/no degree yet","indirect migration background","2","","",""
"Min 1x per month","1990","lower secondary degree","no migration background","1176","0.302528278556755","0.287950074101267","0.317106483012242"
"Min 1x per month","1990","lower secondary degree","direct migration background","159","0.262030233057557","0.226426603837117","0.297633862277997"
"Min 1x per month","1990","lower secondary degree","indirect migration background","47","0.295146154711256","0.218490051506047","0.371802257916465"
"Min 1x per month","1990","secondary school degree","no migration background","531","0.349111861477072","0.324826044693449","0.373397678260695"
"Min 1x per month","1990","secondary school degree","direct migration background","56","0.401312462104762","0.322343093528152","0.480281830681372"
"Min 1x per month","1990","secondary school degree","indirect migration background","15","","",""
"Min 1x per month","1990","college entrance qualification","no migration background","471","0.430931252548596","0.401091747120396","0.460770757976796"
"Min 1x per month","1990","college entrance qualification","direct migration background","46","0.470613394493177","0.38055468827948","0.560672100706875"
