"pli0082","year","bula_h","education","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Schleswig-Holstein","lower secondary degree","2","","",""
"Daily","1990","Schleswig-Holstein","secondary school degree","","","",""
"Daily","1990","Schleswig-Holstein","college entrance qualification","","","",""
"Daily","1990","Schleswig-Holstein","Other degree","","","",""
"Daily","1990","Schleswig-Holstein","no degree/no degree yet","","","",""
"Daily","1990","Hamburg","lower secondary degree","","","",""
"Daily","1990","Hamburg","secondary school degree","","","",""
"Daily","1990","Hamburg","college entrance qualification","","","",""
"Daily","1990","Hamburg","Other degree","","","",""
"Daily","1990","Hamburg","no degree/no degree yet","","","",""
"Daily","1990","Lower Saxony","lower secondary degree","1","","",""
"Daily","1990","Lower Saxony","secondary school degree","","","",""
"Daily","1990","Lower Saxony","college entrance qualification","","","",""
"Daily","1990","Lower Saxony","Other degree","1","","",""
"Daily","1990","Lower Saxony","no degree/no degree yet","","","",""
"Daily","1990","Bremen","lower secondary degree","1","","",""
"Daily","1990","Bremen","secondary school degree","","","",""
"Daily","1990","Bremen","college entrance qualification","","","",""
"Daily","1990","Bremen","Other degree","","","",""
"Daily","1990","Bremen","no degree/no degree yet","2","","",""
"Daily","1990","North Rhine-Westphalia","lower secondary degree","4","","",""
"Daily","1990","North Rhine-Westphalia","secondary school degree","1","","",""
"Daily","1990","North Rhine-Westphalia","college entrance qualification","1","","",""
"Daily","1990","North Rhine-Westphalia","Other degree","4","","",""
"Daily","1990","North Rhine-Westphalia","no degree/no degree yet","1","","",""
"Daily","1990","Hesse","lower secondary degree","4","","",""
"Daily","1990","Hesse","secondary school degree","1","","",""
"Daily","1990","Hesse","college entrance qualification","","","",""
"Daily","1990","Hesse","Other degree","","","",""
"Daily","1990","Hesse","no degree/no degree yet","","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","lower secondary degree","","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","secondary school degree","1","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","college entrance qualification","1","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","Other degree","","","",""
"Daily","1990","Rhineland-Palatinate,Saarland","no degree/no degree yet","","","",""
"Daily","1990","Baden-Württemberg","lower secondary degree","2","","",""
"Daily","1990","Baden-Württemberg","secondary school degree","","","",""
"Daily","1990","Baden-Württemberg","college entrance qualification","2","","",""
"Daily","1990","Baden-Württemberg","Other degree","1","","",""
"Daily","1990","Baden-Württemberg","no degree/no degree yet","1","","",""
"Daily","1990","Bavaria","lower secondary degree","2","","",""
"Daily","1990","Bavaria","secondary school degree","","","",""
"Daily","1990","Bavaria","college entrance qualification","","","",""
"Daily","1990","Bavaria","Other degree","1","","",""
"Daily","1990","Bavaria","no degree/no degree yet","","","",""
"Daily","1990","Berlin","lower secondary degree","","","",""
"Daily","1990","Berlin","secondary school degree","","","",""
"Daily","1990","Berlin","college entrance qualification","","","",""
"Daily","1990","Berlin","Other degree","","","",""
"Daily","1990","Berlin","no degree/no degree yet","","","",""
"Daily","1990","Brandenburg","lower secondary degree","","","",""
"Daily","1990","Brandenburg","secondary school degree","","","",""
"Daily","1990","Brandenburg","college entrance qualification","","","",""
"Daily","1990","Brandenburg","Other degree","","","",""
"Daily","1990","Brandenburg","no degree/no degree yet","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","lower secondary degree","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","secondary school degree","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","college entrance qualification","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","Other degree","","","",""
"Daily","1990","Mecklenburg-Western Pomerania","no degree/no degree yet","","","",""
"Daily","1990","Saxony","lower secondary degree","","","",""
"Daily","1990","Saxony","secondary school degree","","","",""
"Daily","1990","Saxony","college entrance qualification","","","",""
"Daily","1990","Saxony","Other degree","","","",""
"Daily","1990","Saxony","no degree/no degree yet","","","",""
"Daily","1990","Saxony-Anhalt","lower secondary degree","","","",""
"Daily","1990","Saxony-Anhalt","secondary school degree","","","",""
"Daily","1990","Saxony-Anhalt","college entrance qualification","","","",""
"Daily","1990","Saxony-Anhalt","Other degree","","","",""
"Daily","1990","Saxony-Anhalt","no degree/no degree yet","","","",""
"Daily","1990","Thuringia","lower secondary degree","","","",""
"Daily","1990","Thuringia","secondary school degree","","","",""
"Daily","1990","Thuringia","college entrance qualification","","","",""
"Daily","1990","Thuringia","Other degree","","","",""
"Daily","1990","Thuringia","no degree/no degree yet","","","",""
"Min 1x per week","1990","Schleswig-Holstein","lower secondary degree","8","","",""
"Min 1x per week","1990","Schleswig-Holstein","secondary school degree","3","","",""
"Min 1x per week","1990","Schleswig-Holstein","college entrance qualification","7","","",""
"Min 1x per week","1990","Schleswig-Holstein","Other degree","","","",""
"Min 1x per week","1990","Schleswig-Holstein","no degree/no degree yet","1","","",""
"Min 1x per week","1990","Hamburg","lower secondary degree","6","","",""
"Min 1x per week","1990","Hamburg","secondary school degree","5","","",""
"Min 1x per week","1990","Hamburg","college entrance qualification","","","",""
"Min 1x per week","1990","Hamburg","Other degree","","","",""
"Min 1x per week","1990","Hamburg","no degree/no degree yet","2","","",""
"Min 1x per week","1990","Lower Saxony","lower secondary degree","23","","",""
"Min 1x per week","1990","Lower Saxony","secondary school degree","21","","",""
"Min 1x per week","1990","Lower Saxony","college entrance qualification","11","","",""
"Min 1x per week","1990","Lower Saxony","Other degree","3","","",""
"Min 1x per week","1990","Lower Saxony","no degree/no degree yet","2","","",""
"Min 1x per week","1990","Bremen","lower secondary degree","6","","",""
"Min 1x per week","1990","Bremen","secondary school degree","3","","",""
"Min 1x per week","1990","Bremen","college entrance qualification","1","","",""
"Min 1x per week","1990","Bremen","Other degree","","","",""
"Min 1x per week","1990","Bremen","no degree/no degree yet","","","",""
"Min 1x per week","1990","North Rhine-Westphalia","lower secondary degree","77","0.0657359912956005","0.0514191620014249","0.0800528205897762"
"Min 1x per week","1990","North Rhine-Westphalia","secondary school degree","32","0.0739779732463922","0.049902100587846","0.0980538459049385"
"Min 1x per week","1990","North Rhine-Westphalia","college entrance qualification","22","","",""
"Min 1x per week","1990","North Rhine-Westphalia","Other degree","15","","",""
"Min 1x per week","1990","North Rhine-Westphalia","no degree/no degree yet","10","","",""
"Min 1x per week","1990","Hesse","lower secondary degree","29","","",""
"Min 1x per week","1990","Hesse","secondary school degree","20","","",""
"Min 1x per week","1990","Hesse","college entrance qualification","18","","",""
"Min 1x per week","1990","Hesse","Other degree","6","","",""
"Min 1x per week","1990","Hesse","no degree/no degree yet","7","","",""
"Min 1x per week","1990","Rhineland-Palatinate,Saarland","lower secondary degree","42","0.0983141429464263","0.0695643242201319","0.127063961672721"
"Min 1x per week","1990","Rhineland-Palatinate,Saarland","secondary school degree","9","","",""
"Min 1x per week","1990","Rhineland-Palatinate,Saarland","college entrance qualification","3","","",""
"Min 1x per week","1990","Rhineland-Palatinate,Saarland","Other degree","1","","",""
"Min 1x per week","1990","Rhineland-Palatinate,Saarland","no degree/no degree yet","1","","",""
"Min 1x per week","1990","Baden-Württemberg","lower secondary degree","60","0.0707747684483822","0.0534220773384487","0.0881274595583156"
"Min 1x per week","1990","Baden-Württemberg","secondary school degree","18","","",""
"Min 1x per week","1990","Baden-Württemberg","college entrance qualification","20","","",""
"Min 1x per week","1990","Baden-Württemberg","Other degree","16","","",""
"Min 1x per week","1990","Baden-Württemberg","no degree/no degree yet","11","","",""
"Min 1x per week","1990","Bavaria","lower secondary degree","75","0.0970540301403677","0.0766296449370296","0.117478415343706"
"Min 1x per week","1990","Bavaria","secondary school degree","29","","",""
"Min 1x per week","1990","Bavaria","college entrance qualification","35","0.197208691811075","0.141926416457509","0.252490967164641"
"Min 1x per week","1990","Bavaria","Other degree","12","","",""
"Min 1x per week","1990","Bavaria","no degree/no degree yet","5","","",""
"Min 1x per week","1990","Berlin","lower secondary degree","13","","",""
"Min 1x per week","1990","Berlin","secondary school degree","6","","",""
"Min 1x per week","1990","Berlin","college entrance qualification","6","","",""
"Min 1x per week","1990","Berlin","Other degree","1","","",""
"Min 1x per week","1990","Berlin","no degree/no degree yet","","","",""
"Min 1x per week","1990","Brandenburg","lower secondary degree","","","",""
"Min 1x per week","1990","Brandenburg","secondary school degree","","","",""
"Min 1x per week","1990","Brandenburg","college entrance qualification","","","",""
"Min 1x per week","1990","Brandenburg","Other degree","","","",""
"Min 1x per week","1990","Brandenburg","no degree/no degree yet","","","",""
"Min 1x per week","1990","Mecklenburg-Western Pomerania","lower secondary degree","","","",""
"Min 1x per week","1990","Mecklenburg-Western Pomerania","secondary school degree","","","",""
"Min 1x per week","1990","Mecklenburg-Western Pomerania","college entrance qualification","","","",""
"Min 1x per week","1990","Mecklenburg-Western Pomerania","Other degree","","","",""
"Min 1x per week","1990","Mecklenburg-Western Pomerania","no degree/no degree yet","","","",""
"Min 1x per week","1990","Saxony","lower secondary degree","","","",""
"Min 1x per week","1990","Saxony","secondary school degree","","","",""
"Min 1x per week","1990","Saxony","college entrance qualification","","","",""
"Min 1x per week","1990","Saxony","Other degree","","","",""
"Min 1x per week","1990","Saxony","no degree/no degree yet","","","",""
"Min 1x per week","1990","Saxony-Anhalt","lower secondary degree","","","",""
"Min 1x per week","1990","Saxony-Anhalt","secondary school degree","","","",""
"Min 1x per week","1990","Saxony-Anhalt","college entrance qualification","","","",""
"Min 1x per week","1990","Saxony-Anhalt","Other degree","","","",""
"Min 1x per week","1990","Saxony-Anhalt","no degree/no degree yet","","","",""
"Min 1x per week","1990","Thuringia","lower secondary degree","","","",""
"Min 1x per week","1990","Thuringia","secondary school degree","","","",""
"Min 1x per week","1990","Thuringia","college entrance qualification","","","",""
"Min 1x per week","1990","Thuringia","Other degree","","","",""
"Min 1x per week","1990","Thuringia","no degree/no degree yet","","","",""
"Min 1x per month","1990","Schleswig-Holstein","lower secondary degree","50","0.308815110384378","0.236082591114153","0.381547629654602"
"Min 1x per month","1990","Schleswig-Holstein","secondary school degree","23","","",""
"Min 1x per month","1990","Schleswig-Holstein","college entrance qualification","10","","",""
"Min 1x per month","1990","Schleswig-Holstein","Other degree","1","","",""
"Min 1x per month","1990","Schleswig-Holstein","no degree/no degree yet","1","","",""
"Min 1x per month","1990","Hamburg","lower secondary degree","31","0.387646253842861","0.277381567980136","0.497910939705587"
"Min 1x per month","1990","Hamburg","secondary school degree","13","","",""
"Min 1x per month","1990","Hamburg","college entrance qualification","18","","",""
"Min 1x per month","1990","Hamburg","Other degree","8","","",""
"Min 1x per month","1990","Hamburg","no degree/no degree yet","","","",""
"Min 1x per month","1990","Lower Saxony","lower secondary degree","156","0.302711094577041","0.26252120811746","0.342900981036621"
"Min 1x per month","1990","Lower Saxony","secondary school degree","86","0.404497914775638","0.33889416735079","0.470101662200487"
