"pli0082","year","education","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Daily","1990","lower secondary degree","1-pers.-HH","1","","",""
"Daily","1990","lower secondary degree","(Married) couple without C. ","6","","",""
"Daily","1990","lower secondary degree","Single parent ","","","",""
"Daily","1990","lower secondary degree","Couple + C. LE 16 ","","","",""
"Daily","1990","lower secondary degree","Couple + C. GT 16 ","5","","",""
"Daily","1990","lower secondary degree","Couple + C. LE and GT 16","2","","",""
"Daily","1990","secondary school degree","1-pers.-HH","1","","",""
"Daily","1990","secondary school degree","(Married) couple without C. ","","","",""
"Daily","1990","secondary school degree","Single parent ","","","",""
"Daily","1990","secondary school degree","Couple + C. LE 16 ","","","",""
"Daily","1990","secondary school degree","Couple + C. GT 16 ","2","","",""
"Daily","1990","secondary school degree","Couple + C. LE and GT 16","","","",""
"Daily","1990","college entrance qualification","1-pers.-HH","","","",""
"Daily","1990","college entrance qualification","(Married) couple without C. ","2","","",""
"Daily","1990","college entrance qualification","Single parent ","","","",""
"Daily","1990","college entrance qualification","Couple + C. LE 16 ","","","",""
"Daily","1990","college entrance qualification","Couple + C. GT 16 ","2","","",""
"Daily","1990","college entrance qualification","Couple + C. LE and GT 16","","","",""
"Daily","1990","Other degree","1-pers.-HH","","","",""
"Daily","1990","Other degree","(Married) couple without C. ","3","","",""
"Daily","1990","Other degree","Single parent ","","","",""
"Daily","1990","Other degree","Couple + C. LE 16 ","3","","",""
"Daily","1990","Other degree","Couple + C. GT 16 ","1","","",""
"Daily","1990","Other degree","Couple + C. LE and GT 16","","","",""
"Daily","1990","no degree/no degree yet","1-pers.-HH","","","",""
"Daily","1990","no degree/no degree yet","(Married) couple without C. ","1","","",""
"Daily","1990","no degree/no degree yet","Single parent ","","","",""
"Daily","1990","no degree/no degree yet","Couple + C. LE 16 ","1","","",""
"Daily","1990","no degree/no degree yet","Couple + C. GT 16 ","1","","",""
"Daily","1990","no degree/no degree yet","Couple + C. LE and GT 16","1","","",""
"Min 1x per week","1990","lower secondary degree","1-pers.-HH","37","0.0705718090657259","0.0486851856858107","0.0924584324456411"
"Min 1x per week","1990","lower secondary degree","(Married) couple without C. ","128","0.0996980375154385","0.0833490583985243","0.116047016632353"
"Min 1x per week","1990","lower secondary degree","Single parent ","14","","",""
"Min 1x per week","1990","lower secondary degree","Couple + C. LE 16 ","54","0.0651172029041506","0.0489164315852557","0.0813179742230455"
"Min 1x per week","1990","lower secondary degree","Couple + C. GT 16 ","62","0.0561331296065788","0.0414729901713832","0.0707932690417744"
"Min 1x per week","1990","lower secondary degree","Couple + C. LE and GT 16","20","","",""
"Min 1x per week","1990","secondary school degree","1-pers.-HH","22","","",""
"Min 1x per week","1990","secondary school degree","(Married) couple without C. ","45","0.109512625867395","0.0802672629482527","0.138757988786538"
"Min 1x per week","1990","secondary school degree","Single parent ","4","","",""
"Min 1x per week","1990","secondary school degree","Couple + C. LE 16 ","34","0.091925344684384","0.0635761938962128","0.120274495472555"
"Min 1x per week","1990","secondary school degree","Couple + C. GT 16 ","32","0.0850573656254561","0.0563596270520827","0.11375510419883"
"Min 1x per week","1990","secondary school degree","Couple + C. LE and GT 16","5","","",""
"Min 1x per week","1990","college entrance qualification","1-pers.-HH","25","","",""
"Min 1x per week","1990","college entrance qualification","(Married) couple without C. ","32","0.108567879579665","0.0737683221688257","0.143367436990504"
