"pli0082","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"Daily","1990","no migration background","Urban Area","16","","",""
"Daily","1990","no migration background","Rural Area","6","","",""
"Daily","1990","direct migration background","Urban Area","8","","",""
"Daily","1990","direct migration background","Rural Area","4","","",""
"Daily","1990","indirect migration background","Urban Area","1","","",""
"Daily","1990","indirect migration background","Rural Area","","","",""
"Min 1x per week","1990","no migration background","Urban Area","436","0.0891781920063743","0.0813479009119964","0.0970084831007522"
"Min 1x per week","1990","no migration background","Rural Area","111","0.0731516059928629","0.0602221382251554","0.0860810737605704"
"Min 1x per week","1990","direct migration background","Urban Area","127","0.0667435348440935","0.0563522722823761","0.0771347974058109"
"Min 1x per week","1990","direct migration background","Rural Area","20","","",""
"Min 1x per week","1990","indirect migration background","Urban Area","15","","",""
"Min 1x per week","1990","indirect migration background","Rural Area","4","","",""
"Min 1x per month","1990","no migration background","Urban Area","1761","0.335222126294375","0.322252230647672","0.348192021941077"
"Min 1x per month","1990","no migration background","Rural Area","501","0.322330613506573","0.299123342424802","0.345537884588343"
"Min 1x per month","1990","direct migration background","Urban Area","516","0.279031566542003","0.260357108504706","0.2977060245793"
"Min 1x per month","1990","direct migration background","Rural Area","79","0.28271005421713","0.2326621500847","0.33275795834956"
"Min 1x per month","1990","indirect migration background","Urban Area","79","0.332029456856289","0.274564220012647","0.389494693699931"
"Min 1x per month","1990","indirect migration background","Rural Area","14","","",""
"Rarely","1990","no migration background","Urban Area","2468","0.47566007141224","0.461939042506794","0.489381100317687"
"Rarely","1990","no migration background","Rural Area","810","0.511127733654961","0.486306304254711","0.535949163055211"
"Rarely","1990","direct migration background","Urban Area","1039","0.467927891423324","0.447153040017926","0.488702742828723"
"Rarely","1990","direct migration background","Rural Area","147","0.490187710492627","0.434628731501312","0.545746689483941"
"Rarely","1990","indirect migration background","Urban Area","131","0.522338049032277","0.46138795311404","0.583288144950515"
"Rarely","1990","indirect migration background","Rural Area","16","","",""
"Never","1990","no migration background","Urban Area","408","0.0970889813606295","0.0889543230713649","0.105223639649894"
"Never","1990","no migration background","Rural Area","130","0.0896933857999824","0.075504822480432","0.103881949119533"
"Never","1990","direct migration background","Urban Area","526","0.183203387676644","0.167097416150728","0.19930935920256"
"Never","1990","direct migration background","Rural Area","61","0.148262928844039","0.108768398015113","0.187757459672965"
"Never","1990","indirect migration background","Urban Area","32","0.0804903142233421","0.0472941271302545","0.11368650131643"
"Never","1990","indirect migration background","Rural Area","3","","",""
"Daily","1991","no migration background","Urban Area","","","",""
"Daily","1991","no migration background","Rural Area","","","",""
"Daily","1991","direct migration background","Urban Area","","","",""
"Daily","1991","direct migration background","Rural Area","","","",""
"Daily","1991","indirect migration background","Urban Area","","","",""
"Daily","1991","indirect migration background","Rural Area","","","",""
"Min 1x per week","1991","no migration background","Urban Area","","","",""
"Min 1x per week","1991","no migration background","Rural Area","","","",""
"Min 1x per week","1991","direct migration background","Urban Area","","","",""
"Min 1x per week","1991","direct migration background","Rural Area","","","",""
"Min 1x per week","1991","indirect migration background","Urban Area","","","",""
"Min 1x per week","1991","indirect migration background","Rural Area","","","",""
"Min 1x per month","1991","no migration background","Urban Area","","","",""
"Min 1x per month","1991","no migration background","Rural Area","","","",""
"Min 1x per month","1991","direct migration background","Urban Area","","","",""
"Min 1x per month","1991","direct migration background","Rural Area","","","",""
"Min 1x per month","1991","indirect migration background","Urban Area","","","",""
"Min 1x per month","1991","indirect migration background","Rural Area","","","",""
"Rarely","1991","no migration background","Urban Area","","","",""
"Rarely","1991","no migration background","Rural Area","","","",""
"Rarely","1991","direct migration background","Urban Area","","","",""
"Rarely","1991","direct migration background","Rural Area","","","",""
"Rarely","1991","indirect migration background","Urban Area","","","",""
"Rarely","1991","indirect migration background","Rural Area","","","",""
"Never","1991","no migration background","Urban Area","","","",""
"Never","1991","no migration background","Rural Area","","","",""
"Never","1991","direct migration background","Urban Area","","","",""
"Never","1991","direct migration background","Rural Area","","","",""
"Never","1991","indirect migration background","Urban Area","","","",""
"Never","1991","indirect migration background","Rural Area","","","",""
"Daily","1992","no migration background","Urban Area","","","",""
"Daily","1992","no migration background","Rural Area","","","",""
"Daily","1992","direct migration background","Urban Area","","","",""
"Daily","1992","direct migration background","Rural Area","","","",""
"Daily","1992","indirect migration background","Urban Area","","","",""
"Daily","1992","indirect migration background","Rural Area","","","",""
"Min 1x per week","1992","no migration background","Urban Area","","","",""
"Min 1x per week","1992","no migration background","Rural Area","","","",""
"Min 1x per week","1992","direct migration background","Urban Area","","","",""
"Min 1x per week","1992","direct migration background","Rural Area","","","",""
"Min 1x per week","1992","indirect migration background","Urban Area","","","",""
"Min 1x per week","1992","indirect migration background","Rural Area","","","",""
"Min 1x per month","1992","no migration background","Urban Area","","","",""
"Min 1x per month","1992","no migration background","Rural Area","","","",""
"Min 1x per month","1992","direct migration background","Urban Area","","","",""
"Min 1x per month","1992","direct migration background","Rural Area","","","",""
"Min 1x per month","1992","indirect migration background","Urban Area","","","",""
"Min 1x per month","1992","indirect migration background","Rural Area","","","",""
"Rarely","1992","no migration background","Urban Area","","","",""
"Rarely","1992","no migration background","Rural Area","","","",""
"Rarely","1992","direct migration background","Urban Area","","","",""
"Rarely","1992","direct migration background","Rural Area","","","",""
"Rarely","1992","indirect migration background","Urban Area","","","",""
"Rarely","1992","indirect migration background","Rural Area","","","",""
"Never","1992","no migration background","Urban Area","","","",""
"Never","1992","no migration background","Rural Area","","","",""
"Never","1992","direct migration background","Urban Area","","","",""
"Never","1992","direct migration background","Rural Area","","","",""
"Never","1992","indirect migration background","Urban Area","","","",""
"Never","1992","indirect migration background","Rural Area","","","",""
"Daily","1993","no migration background","Urban Area","","","",""
"Daily","1993","no migration background","Rural Area","","","",""
"Daily","1993","direct migration background","Urban Area","","","",""
"Daily","1993","direct migration background","Rural Area","","","",""
"Daily","1993","indirect migration background","Urban Area","","","",""
"Daily","1993","indirect migration background","Rural Area","","","",""
"Min 1x per week","1993","no migration background","Urban Area","","","",""
"Min 1x per week","1993","no migration background","Rural Area","","","",""
"Min 1x per week","1993","direct migration background","Urban Area","","","",""
"Min 1x per week","1993","direct migration background","Rural Area","","","",""
"Min 1x per week","1993","indirect migration background","Urban Area","","","",""
"Min 1x per week","1993","indirect migration background","Rural Area","","","",""
"Min 1x per month","1993","no migration background","Urban Area","","","",""
"Min 1x per month","1993","no migration background","Rural Area","","","",""
"Min 1x per month","1993","direct migration background","Urban Area","","","",""
"Min 1x per month","1993","direct migration background","Rural Area","","","",""
"Min 1x per month","1993","indirect migration background","Urban Area","","","",""
"Min 1x per month","1993","indirect migration background","Rural Area","","","",""
"Rarely","1993","no migration background","Urban Area","","","",""
"Rarely","1993","no migration background","Rural Area","","","",""
"Rarely","1993","direct migration background","Urban Area","","","",""
"Rarely","1993","direct migration background","Rural Area","","","",""
"Rarely","1993","indirect migration background","Urban Area","","","",""
"Rarely","1993","indirect migration background","Rural Area","","","",""
"Never","1993","no migration background","Urban Area","","","",""
"Never","1993","no migration background","Rural Area","","","",""
"Never","1993","direct migration background","Urban Area","","","",""
"Never","1993","direct migration background","Rural Area","","","",""
"Never","1993","indirect migration background","Urban Area","","","",""
"Never","1993","indirect migration background","Rural Area","","","",""
"Daily","1994","no migration background","Urban Area","","","",""
"Daily","1994","no migration background","Rural Area","","","",""
"Daily","1994","direct migration background","Urban Area","","","",""
"Daily","1994","direct migration background","Rural Area","","","",""
"Daily","1994","indirect migration background","Urban Area","","","",""
"Daily","1994","indirect migration background","Rural Area","","","",""
"Min 1x per week","1994","no migration background","Urban Area","","","",""
"Min 1x per week","1994","no migration background","Rural Area","","","",""
"Min 1x per week","1994","direct migration background","Urban Area","","","",""
"Min 1x per week","1994","direct migration background","Rural Area","","","",""
"Min 1x per week","1994","indirect migration background","Urban Area","","","",""
"Min 1x per week","1994","indirect migration background","Rural Area","","","",""
"Min 1x per month","1994","no migration background","Urban Area","","","",""
"Min 1x per month","1994","no migration background","Rural Area","","","",""
"Min 1x per month","1994","direct migration background","Urban Area","","","",""
"Min 1x per month","1994","direct migration background","Rural Area","","","",""
"Min 1x per month","1994","indirect migration background","Urban Area","","","",""
"Min 1x per month","1994","indirect migration background","Rural Area","","","",""
"Rarely","1994","no migration background","Urban Area","","","",""
"Rarely","1994","no migration background","Rural Area","","","",""
"Rarely","1994","direct migration background","Urban Area","","","",""
"Rarely","1994","direct migration background","Rural Area","","","",""
"Rarely","1994","indirect migration background","Urban Area","","","",""
"Rarely","1994","indirect migration background","Rural Area","","","",""
"Never","1994","no migration background","Urban Area","","","",""
"Never","1994","no migration background","Rural Area","","","",""
"Never","1994","direct migration background","Urban Area","","","",""
"Never","1994","direct migration background","Rural Area","","","",""
"Never","1994","indirect migration background","Urban Area","","","",""
"Never","1994","indirect migration background","Rural Area","","","",""
"Daily","1995","no migration background","Urban Area","6","","",""
"Daily","1995","no migration background","Rural Area","6","","",""
"Daily","1995","direct migration background","Urban Area","4","","",""
"Daily","1995","direct migration background","Rural Area","2","","",""
"Daily","1995","indirect migration background","Urban Area","2","","",""
"Daily","1995","indirect migration background","Rural Area","","","",""
"Min 1x per week","1995","no migration background","Urban Area","393","0.068502846307113","0.0621480911824851","0.0748576014317409"
"Min 1x per week","1995","no migration background","Rural Area","197","0.0559477314490696","0.048748743132983","0.0631467197651563"
"Min 1x per week","1995","direct migration background","Urban Area","89","0.0415187948689405","0.0334101032786735","0.0496274864592075"
"Min 1x per week","1995","direct migration background","Rural Area","16","","",""
"Min 1x per week","1995","indirect migration background","Urban Area","21","","",""
"Min 1x per week","1995","indirect migration background","Rural Area","1","","",""
"Min 1x per month","1995","no migration background","Urban Area","1815","0.293386529178579","0.281932328534007","0.304840729823151"
"Min 1x per month","1995","no migration background","Rural Area","1173","0.286320167374534","0.27216027704449","0.300480057704579"
"Min 1x per month","1995","direct migration background","Urban Area","429","0.216558076674942","0.199815310614031","0.233300842735853"
"Min 1x per month","1995","direct migration background","Rural Area","96","0.229175035080134","0.190890874015507","0.267459196144762"
"Min 1x per month","1995","indirect migration background","Urban Area","87","0.20269232593232","0.164958010837314","0.240426641027326"
"Min 1x per month","1995","indirect migration background","Rural Area","18","","",""
"Rarely","1995","no migration background","Urban Area","3274","0.518936841121266","0.506367513487047","0.531506168755485"
"Rarely","1995","no migration background","Rural Area","2166","0.539457168709871","0.523843832724339","0.555070504695403"
"Rarely","1995","direct migration background","Urban Area","1255","0.529898017954673","0.509610505424149","0.550185530485197"
"Rarely","1995","direct migration background","Rural Area","281","0.572575549570563","0.527514253823735","0.617636845317392"
"Rarely","1995","indirect migration background","Urban Area","246","0.580748978381","0.534432435211131","0.627065521550868"
"Rarely","1995","indirect migration background","Rural Area","52","0.641064581851341","0.531771850374349","0.750357313328334"
"Never","1995","no migration background","Urban Area","582","0.11803066488887","0.10991399440533","0.12614733537241"
"Never","1995","no migration background","Rural Area","373","0.116148686927026","0.10611226372492","0.126185110129132"
"Never","1995","direct migration background","Urban Area","548","0.208590198382515","0.192074981804617","0.225105414960413"
"Never","1995","direct migration background","Rural Area","68","0.150553858711854","0.117979830742639","0.18312788668107"
"Never","1995","indirect migration background","Urban Area","80","0.16145941563398","0.126921304871363","0.195997526396598"
"Never","1995","indirect migration background","Rural Area","3","","",""
"Daily","1996","no migration background","Urban Area","","","",""
"Daily","1996","no migration background","Rural Area","","","",""
"Daily","1996","direct migration background","Urban Area","","","",""
"Daily","1996","direct migration background","Rural Area","","","",""
"Daily","1996","indirect migration background","Urban Area","","","",""
"Daily","1996","indirect migration background","Rural Area","","","",""
"Min 1x per week","1996","no migration background","Urban Area","","","",""
"Min 1x per week","1996","no migration background","Rural Area","","","",""
"Min 1x per week","1996","direct migration background","Urban Area","","","",""
