"pli0082","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"Daily","1990","lower secondary degree","in school","","","",""
"Daily","1990","lower secondary degree","inadequately","","","",""
"Daily","1990","lower secondary degree","general elemantary","6","","",""
"Daily","1990","lower secondary degree","middle vocational","8","","",""
"Daily","1990","lower secondary degree","vocational + Abi","","","",""
"Daily","1990","lower secondary degree","higher vocational","2","","",""
"Daily","1990","lower secondary degree","higher education","","","",""
"Daily","1990","secondary school degree","in school","","","",""
"Daily","1990","secondary school degree","inadequately","","","",""
"Daily","1990","secondary school degree","general elemantary","1","","",""
"Daily","1990","secondary school degree","middle vocational","2","","",""
"Daily","1990","secondary school degree","vocational + Abi","","","",""
"Daily","1990","secondary school degree","higher vocational","","","",""
"Daily","1990","secondary school degree","higher education","","","",""
"Daily","1990","college entrance qualification","in school","","","",""
"Daily","1990","college entrance qualification","inadequately","","","",""
"Daily","1990","college entrance qualification","general elemantary","","","",""
"Daily","1990","college entrance qualification","middle vocational","","","",""
"Daily","1990","college entrance qualification","vocational + Abi","","","",""
"Daily","1990","college entrance qualification","higher vocational","1","","",""
"Daily","1990","college entrance qualification","higher education","3","","",""
"Daily","1990","Other degree","in school","","","",""
"Daily","1990","Other degree","inadequately","","","",""
"Daily","1990","Other degree","general elemantary","7","","",""
"Daily","1990","Other degree","middle vocational","","","",""
"Daily","1990","Other degree","vocational + Abi","","","",""
"Daily","1990","Other degree","higher vocational","","","",""
"Daily","1990","Other degree","higher education","","","",""
"Daily","1990","no degree/no degree yet","in school","1","","",""
"Daily","1990","no degree/no degree yet","inadequately","3","","",""
"Daily","1990","no degree/no degree yet","general elemantary","","","",""
"Daily","1990","no degree/no degree yet","middle vocational","","","",""
"Daily","1990","no degree/no degree yet","vocational + Abi","","","",""
"Daily","1990","no degree/no degree yet","higher vocational","","","",""
"Daily","1990","no degree/no degree yet","higher education","","","",""
"Min 1x per week","1990","lower secondary degree","in school","","","",""
"Min 1x per week","1990","lower secondary degree","inadequately","","","",""
"Min 1x per week","1990","lower secondary degree","general elemantary","103","0.055897594519106","0.0446095396239618","0.0671856494142502"
"Min 1x per week","1990","lower secondary degree","middle vocational","221","0.0852282119966657","0.0746980786992436","0.0957583452940878"
"Min 1x per week","1990","lower secondary degree","vocational + Abi","1","","",""
"Min 1x per week","1990","lower secondary degree","higher vocational","13","","",""
"Min 1x per week","1990","lower secondary degree","higher education","1","","",""
"Min 1x per week","1990","secondary school degree","in school","","","",""
"Min 1x per week","1990","secondary school degree","inadequately","","","",""
"Min 1x per week","1990","secondary school degree","general elemantary","22","","",""
"Min 1x per week","1990","secondary school degree","middle vocational","99","0.0969418663195754","0.0794806747397382","0.114403057899413"
"Min 1x per week","1990","secondary school degree","vocational + Abi","","","",""
"Min 1x per week","1990","secondary school degree","higher vocational","14","","",""
"Min 1x per week","1990","secondary school degree","higher education","11","","",""
"Min 1x per week","1990","college entrance qualification","in school","","","",""
"Min 1x per week","1990","college entrance qualification","inadequately","","","",""
"Min 1x per week","1990","college entrance qualification","general elemantary","","","",""
"Min 1x per week","1990","college entrance qualification","middle vocational","22","","",""
"Min 1x per week","1990","college entrance qualification","vocational + Abi","16","","",""
"Min 1x per week","1990","college entrance qualification","higher vocational","16","","",""
"Min 1x per week","1990","college entrance qualification","higher education","69","0.127232040007761","0.100343344831461","0.154120735184062"
"Min 1x per week","1990","Other degree","in school","","","",""
"Min 1x per week","1990","Other degree","inadequately","3","","",""
