"pli0082","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Full Time","1-pers.-HH","","","",""
"Daily","1990","Full Time","(Married) couple without C. ","3","","",""
"Daily","1990","Full Time","Single parent ","","","",""
"Daily","1990","Full Time","Couple + C. LE 16 ","1","","",""
"Daily","1990","Full Time","Couple + C. GT 16 ","5","","",""
"Daily","1990","Full Time","Couple + C. LE and GT 16","2","","",""
"Daily","1990","Part Time","1-pers.-HH","","","",""
"Daily","1990","Part Time","(Married) couple without C. ","3","","",""
"Daily","1990","Part Time","Single parent ","","","",""
"Daily","1990","Part Time","Couple + C. LE 16 ","2","","",""
"Daily","1990","Part Time","Couple + C. GT 16 ","1","","",""
"Daily","1990","Part Time","Couple + C. LE and GT 16","1","","",""
"Daily","1990","Not Working","1-pers.-HH","2","","",""
"Daily","1990","Not Working","(Married) couple without C. ","6","","",""
"Daily","1990","Not Working","Single parent ","","","",""
"Daily","1990","Not Working","Couple + C. LE 16 ","2","","",""
"Daily","1990","Not Working","Couple + C. GT 16 ","5","","",""
"Daily","1990","Not Working","Couple + C. LE and GT 16","","","",""
"Min 1x per week","1990","Full Time","1-pers.-HH","44","0.124498402208546","0.0929616182129012","0.156035186204192"
"Min 1x per week","1990","Full Time","(Married) couple without C. ","89","0.0887052378589395","0.0715162303053537","0.105894245412525"
"Min 1x per week","1990","Full Time","Single parent ","16","","",""
"Min 1x per week","1990","Full Time","Couple + C. LE 16 ","86","0.0988484769272965","0.0810319679039048","0.116664985950688"
"Min 1x per week","1990","Full Time","Couple + C. GT 16 ","82","0.0816042342746148","0.0644205190598069","0.0987879494894227"
"Min 1x per week","1990","Full Time","Couple + C. LE and GT 16","24","","",""
"Min 1x per week","1990","Part Time","1-pers.-HH","10","","",""
"Min 1x per week","1990","Part Time","(Married) couple without C. ","33","0.105629174256129","0.0711911575615145","0.140067190950743"
"Min 1x per week","1990","Part Time","Single parent ","9","","",""
"Min 1x per week","1990","Part Time","Couple + C. LE 16 ","29","","",""
"Min 1x per week","1990","Part Time","Couple + C. GT 16 ","26","","",""
"Min 1x per week","1990","Part Time","Couple + C. LE and GT 16","8","","",""
"Min 1x per week","1990","Not Working","1-pers.-HH","32","0.0672437702834043","0.0453137347602509","0.0891738058065577"
"Min 1x per week","1990","Not Working","(Married) couple without C. ","101","0.112734685924024","0.0925914781186644","0.132877893729383"
"Min 1x per week","1990","Not Working","Single parent ","6","","",""
"Min 1x per week","1990","Not Working","Couple + C. LE 16 ","30","0.0742960558757582","0.0516901582701584","0.096901953481358"
"Min 1x per week","1990","Not Working","Couple + C. GT 16 ","35","0.0568613526250155","0.0391805592951575","0.0745421459548734"
"Min 1x per week","1990","Not Working","Couple + C. LE and GT 16","13","","",""
"Min 1x per month","1990","Full Time","1-pers.-HH","156","0.370543847761819","0.324411071845229","0.416676623678409"
"Min 1x per month","1990","Full Time","(Married) couple without C. ","390","0.385795797848735","0.356366366455475","0.415225229241995"
"Min 1x per month","1990","Full Time","Single parent ","67","0.368252951899415","0.302704694176578","0.433801209622252"
"Min 1x per month","1990","Full Time","Couple + C. LE 16 ","364","0.363920121324239","0.33519925248302","0.392640990165458"
"Min 1x per month","1990","Full Time","Couple + C. GT 16 ","303","0.341518582119451","0.311752291716836","0.371284872522067"
