"pli0082","year","e11103","sex","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","Full Time","Male","12","","","","1"
"Daily","1990","Full Time","Female","1","","","","1"
"Daily","1990","Part Time","Male","3","","","","1"
"Daily","1990","Part Time","Female","4","","","","1"
"Daily","1990","Not Working","Male","5","","","","1"
"Daily","1990","Not Working","Female","10","","","","1"
"Min 1x per month","1990","Full Time","Female","404","0.34119659386995","0.315551990326305","0.366841197413596","3"
"Min 1x per month","1990","Full Time","Male","1062","0.368074393582551","0.351108059504559","0.385040727660543","3"
"Min 1x per month","1990","Part Time","Male","174","0.369579574750076","0.327354993531422","0.411804155968729","3"
"Min 1x per month","1990","Part Time","Female","401","0.34875161663858","0.3220092634959","0.375493969781259","3"
"Min 1x per month","1990","Not Working","Male","300","0.293023652028139","0.265688149148201","0.320359154908077","3"
"Min 1x per month","1990","Not Working","Female","609","0.269866798061231","0.251586226725828","0.288147369396634","3"
"Min 1x per week","1990","Full Time","Female","104","0.0928744463405119","0.0771745224359531","0.108574370245071","2"
"Min 1x per week","1990","Full Time","Male","256","0.0913444071932932","0.0812093111730385","0.101479503213548","2"
"Min 1x per week","1990","Part Time","Male","34","0.0777593895968935","0.0543335710514219","0.101185208142365","2"
"Min 1x per week","1990","Part Time","Female","88","0.0709065435175842","0.0565039390489878","0.0853091479861806","2"
"Min 1x per week","1990","Not Working","Male","86","0.0911394376513597","0.07385421059328","0.108424664709439","2"
"Min 1x per week","1990","Not Working","Female","145","0.0723209882636263","0.0616539211037673","0.0829880554234853","2"
"Never","1990","Full Time","Male","263","0.0486171354691258","0.0410512531746332","0.0561830177636184","5"
"Never","1990","Full Time","Female","135","0.0557922432278588","0.0433775377318572","0.0682069487238604","5"
"Never","1990","Part Time","Male","67","0.0959766327740612","0.0702093386282052","0.121743926919917","5"
"Never","1990","Part Time","Female","121","0.0719966468377338","0.0574922697043193","0.0865010239711484","5"
"Never","1990","Not Working","Male","177","0.148587079353888","0.127225471977644","0.169948686730131","5"
"Never","1990","Not Working","Female","397","0.185882498315621","0.169861971844666","0.201903024786575","5"
"Rarely","1990","Full Time","Female","669","0.508946375889412","0.481905783517041","0.535986968261783","4"
"Rarely","1990","Part Time","Male","224","0.452445609730051","0.408905145580021","0.495986073880081","4"
"Rarely","1990","Full Time","Male","1511","0.488899459946172","0.471314143677981","0.506484776214362","4"
"Rarely","1990","Not Working","Male","497","0.463630292876341","0.433680673301203","0.493579912451478","4"
"Rarely","1990","Part Time","Female","606","0.505505986666947","0.477450885030802","0.533561088303093","4"
"Rarely","1990","Not Working","Female","1104","0.467795501355641","0.447246946742375","0.488344055968907","4"
"Daily","1991","Full Time","Male","","","","","1"
"Daily","1991","Full Time","Female","","","","","1"
"Daily","1991","Part Time","Male","","","","","1"
"Daily","1991","Part Time","Female","","","","","1"
"Daily","1991","Not Working","Male","","","","","1"
"Daily","1991","Not Working","Female","","","","","1"
"Min 1x per month","1991","Full Time","Female","","","","","3"
"Min 1x per month","1991","Full Time","Male","","","","","3"
"Min 1x per month","1991","Part Time","Male","","","","","3"
"Min 1x per month","1991","Part Time","Female","","","","","3"
"Min 1x per month","1991","Not Working","Male","","","","","3"
"Min 1x per month","1991","Not Working","Female","","","","","3"
"Min 1x per week","1991","Full Time","Male","","","","","2"
"Min 1x per week","1991","Full Time","Female","","","","","2"
"Min 1x per week","1991","Part Time","Male","","","","","2"
"Min 1x per week","1991","Part Time","Female","","","","","2"
"Min 1x per week","1991","Not Working","Male","","","","","2"
"Min 1x per week","1991","Not Working","Female","","","","","2"
"Never","1991","Full Time","Male","","","","","5"
"Never","1991","Full Time","Female","","","","","5"
"Never","1991","Part Time","Male","","","","","5"
"Never","1991","Part Time","Female","","","","","5"
"Never","1991","Not Working","Male","","","","","5"
"Never","1991","Not Working","Female","","","","","5"
"Rarely","1991","Full Time","Female","","","","","4"
"Rarely","1991","Full Time","Male","","","","","4"
"Rarely","1991","Part Time","Male","","","","","4"
"Rarely","1991","Part Time","Female","","","","","4"
"Rarely","1991","Not Working","Male","","","","","4"
"Rarely","1991","Not Working","Female","","","","","4"
"Daily","1992","Full Time","Male","","","","","1"
"Daily","1992","Full Time","Female","","","","","1"
"Daily","1992","Part Time","Male","","","","","1"
"Daily","1992","Part Time","Female","","","","","1"
"Daily","1992","Not Working","Male","","","","","1"
"Daily","1992","Not Working","Female","","","","","1"
"Min 1x per month","1992","Full Time","Female","","","","","3"
"Min 1x per month","1992","Full Time","Male","","","","","3"
"Min 1x per month","1992","Part Time","Male","","","","","3"
"Min 1x per month","1992","Part Time","Female","","","","","3"
"Min 1x per month","1992","Not Working","Male","","","","","3"
"Min 1x per month","1992","Not Working","Female","","","","","3"
"Min 1x per week","1992","Full Time","Male","","","","","2"
"Min 1x per week","1992","Part Time","Male","","","","","2"
"Min 1x per week","1992","Full Time","Female","","","","","2"
"Min 1x per week","1992","Not Working","Male","","","","","2"
"Min 1x per week","1992","Part Time","Female","","","","","2"
"Min 1x per week","1992","Not Working","Female","","","","","2"
"Never","1992","Full Time","Male","","","","","5"
"Never","1992","Full Time","Female","","","","","5"
"Never","1992","Part Time","Male","","","","","5"
"Never","1992","Part Time","Female","","","","","5"
"Never","1992","Not Working","Male","","","","","5"
"Never","1992","Not Working","Female","","","","","5"
"Rarely","1992","Full Time","Male","","","","","4"
"Rarely","1992","Full Time","Female","","","","","4"
"Rarely","1992","Part Time","Male","","","","","4"
"Rarely","1992","Part Time","Female","","","","","4"
"Rarely","1992","Not Working","Male","","","","","4"
"Rarely","1992","Not Working","Female","","","","","4"
"Daily","1993","Full Time","Male","","","","","1"
"Daily","1993","Full Time","Female","","","","","1"
"Daily","1993","Part Time","Male","","","","","1"
"Daily","1993","Part Time","Female","","","","","1"
"Daily","1993","Not Working","Male","","","","","1"
"Daily","1993","Not Working","Female","","","","","1"
"Min 1x per month","1993","Full Time","Male","","","","","3"
"Min 1x per month","1993","Full Time","Female","","","","","3"
"Min 1x per month","1993","Part Time","Male","","","","","3"
"Min 1x per month","1993","Part Time","Female","","","","","3"
"Min 1x per month","1993","Not Working","Male","","","","","3"
"Min 1x per month","1993","Not Working","Female","","","","","3"
"Min 1x per week","1993","Full Time","Male","","","","","2"
"Min 1x per week","1993","Full Time","Female","","","","","2"
"Min 1x per week","1993","Part Time","Male","","","","","2"
"Min 1x per week","1993","Part Time","Female","","","","","2"
"Min 1x per week","1993","Not Working","Male","","","","","2"
"Min 1x per week","1993","Not Working","Female","","","","","2"
"Never","1993","Full Time","Male","","","","","5"
"Never","1993","Full Time","Female","","","","","5"
"Never","1993","Part Time","Male","","","","","5"
"Never","1993","Part Time","Female","","","","","5"
