"pli0082","year","migback","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","no migration background","West Germany","22","","","","1"
"Daily","1990","no migration background","East Germany","","","","","1"
"Daily","1990","direct migration background","West Germany","12","","","","1"
"Daily","1990","direct migration background","East Germany","","","","","1"
"Daily","1990","indirect migration background","West Germany","1","","","","1"
"Daily","1990","indirect migration background","East Germany","","","","","1"
"Min 1x per month","1990","no migration background","East Germany","","","","","3"
"Min 1x per month","1990","no migration background","West Germany","2262","0.332205115894132","0.320882156403576","0.343528075384689","3"
"Min 1x per month","1990","direct migration background","West Germany","595","0.279557412441136","0.262059724587271","0.297055100295002","3"
"Min 1x per month","1990","direct migration background","East Germany","","","","","3"
"Min 1x per month","1990","indirect migration background","West Germany","93","0.328692006309537","0.275088578396782","0.382295434222293","3"
"Min 1x per month","1990","indirect migration background","East Germany","","","","","3"
"Min 1x per week","1990","no migration background","East Germany","","","","","2"
"Min 1x per week","1990","no migration background","West Germany","547","0.0854274780693027","0.0787078827495567","0.0921470733890488","2"
"Min 1x per week","1990","direct migration background","West Germany","147","0.0666351046050827","0.0569116018113534","0.0763586073988119","2"
"Min 1x per week","1990","direct migration background","East Germany","","","","","2"
"Min 1x per week","1990","indirect migration background","West Germany","19","","","","2"
"Min 1x per week","1990","indirect migration background","East Germany","","","","","2"
"Never","1990","no migration background","West Germany","538","0.0953581845883863","0.0882974064078733","0.102418962768899","5"
"Never","1990","no migration background","East Germany","","","","","5"
"Never","1990","direct migration background","West Germany","587","0.17820859127833","0.163287843571951","0.193129338984708","5"
"Never","1990","direct migration background","East Germany","","","","","5"
"Never","1990","indirect migration background","West Germany","35","0.0939431485607759","0.0606505753618881","0.127235721759664","5"
"Never","1990","indirect migration background","East Germany","","","","","5"
"Rarely","1990","no migration background","East Germany","","","","","4"
"Rarely","1990","direct migration background","West Germany","1186","0.471109969387645","0.451647886951157","0.490572051824132","4"
"Rarely","1990","no migration background","West Germany","3278","0.48396059499081","0.471946759366813","0.495974430614806","4"
"Rarely","1990","indirect migration background","West Germany","147","0.502626659400579","0.44557068921","0.559682629591158","4"
"Rarely","1990","direct migration background","East Germany","","","","","4"
"Rarely","1990","indirect migration background","East Germany","","","","","4"
"Daily","1991","no migration background","West Germany","","","","","1"
"Daily","1991","no migration background","East Germany","","","","","1"
"Daily","1991","direct migration background","West Germany","","","","","1"
"Daily","1991","direct migration background","East Germany","","","","","1"
"Daily","1991","indirect migration background","West Germany","","","","","1"
"Daily","1991","indirect migration background","East Germany","","","","","1"
"Min 1x per month","1991","no migration background","East Germany","","","","","3"
"Min 1x per month","1991","no migration background","West Germany","","","","","3"
"Min 1x per month","1991","direct migration background","West Germany","","","","","3"
"Min 1x per month","1991","direct migration background","East Germany","","","","","3"
"Min 1x per month","1991","indirect migration background","West Germany","","","","","3"
"Min 1x per month","1991","indirect migration background","East Germany","","","","","3"
"Min 1x per week","1991","no migration background","West Germany","","","","","2"
"Min 1x per week","1991","no migration background","East Germany","","","","","2"
"Min 1x per week","1991","direct migration background","West Germany","","","","","2"
"Min 1x per week","1991","direct migration background","East Germany","","","","","2"
"Min 1x per week","1991","indirect migration background","West Germany","","","","","2"
"Min 1x per week","1991","indirect migration background","East Germany","","","","","2"
"Never","1991","no migration background","West Germany","","","","","5"
"Never","1991","no migration background","East Germany","","","","","5"
"Never","1991","direct migration background","West Germany","","","","","5"
"Never","1991","direct migration background","East Germany","","","","","5"
"Never","1991","indirect migration background","West Germany","","","","","5"
"Never","1991","indirect migration background","East Germany","","","","","5"
"Rarely","1991","no migration background","East Germany","","","","","4"
"Rarely","1991","no migration background","West Germany","","","","","4"
"Rarely","1991","direct migration background","West Germany","","","","","4"
"Rarely","1991","direct migration background","East Germany","","","","","4"
"Rarely","1991","indirect migration background","West Germany","","","","","4"
"Rarely","1991","indirect migration background","East Germany","","","","","4"
"Daily","1992","no migration background","West Germany","","","","","1"
"Daily","1992","no migration background","East Germany","","","","","1"
"Daily","1992","direct migration background","West Germany","","","","","1"
"Daily","1992","direct migration background","East Germany","","","","","1"
"Daily","1992","indirect migration background","West Germany","","","","","1"
"Daily","1992","indirect migration background","East Germany","","","","","1"
"Min 1x per month","1992","no migration background","East Germany","","","","","3"
"Min 1x per month","1992","no migration background","West Germany","","","","","3"
"Min 1x per month","1992","direct migration background","West Germany","","","","","3"
"Min 1x per month","1992","direct migration background","East Germany","","","","","3"
"Min 1x per month","1992","indirect migration background","West Germany","","","","","3"
"Min 1x per month","1992","indirect migration background","East Germany","","","","","3"
"Min 1x per week","1992","no migration background","West Germany","","","","","2"
"Min 1x per week","1992","direct migration background","West Germany","","","","","2"
"Min 1x per week","1992","no migration background","East Germany","","","","","2"
"Min 1x per week","1992","indirect migration background","West Germany","","","","","2"
"Min 1x per week","1992","direct migration background","East Germany","","","","","2"
"Min 1x per week","1992","indirect migration background","East Germany","","","","","2"
"Never","1992","no migration background","West Germany","","","","","5"
"Never","1992","no migration background","East Germany","","","","","5"
"Never","1992","direct migration background","West Germany","","","","","5"
"Never","1992","direct migration background","East Germany","","","","","5"
"Never","1992","indirect migration background","West Germany","","","","","5"
"Never","1992","indirect migration background","East Germany","","","","","5"
"Rarely","1992","no migration background","West Germany","","","","","4"
"Rarely","1992","no migration background","East Germany","","","","","4"
"Rarely","1992","direct migration background","West Germany","","","","","4"
"Rarely","1992","direct migration background","East Germany","","","","","4"
"Rarely","1992","indirect migration background","West Germany","","","","","4"
"Rarely","1992","indirect migration background","East Germany","","","","","4"
"Daily","1993","no migration background","West Germany","","","","","1"
"Daily","1993","no migration background","East Germany","","","","","1"
"Daily","1993","direct migration background","West Germany","","","","","1"
"Daily","1993","direct migration background","East Germany","","","","","1"
"Daily","1993","indirect migration background","West Germany","","","","","1"
"Daily","1993","indirect migration background","East Germany","","","","","1"
"Min 1x per month","1993","no migration background","West Germany","","","","","3"
"Min 1x per month","1993","no migration background","East Germany","","","","","3"
"Min 1x per month","1993","direct migration background","West Germany","","","","","3"
"Min 1x per month","1993","direct migration background","East Germany","","","","","3"
"Min 1x per month","1993","indirect migration background","West Germany","","","","","3"
"Min 1x per month","1993","indirect migration background","East Germany","","","","","3"
"Min 1x per week","1993","no migration background","West Germany","","","","","2"
"Min 1x per week","1993","no migration background","East Germany","","","","","2"
"Min 1x per week","1993","direct migration background","West Germany","","","","","2"
"Min 1x per week","1993","direct migration background","East Germany","","","","","2"
"Min 1x per week","1993","indirect migration background","West Germany","","","","","2"
"Min 1x per week","1993","indirect migration background","East Germany","","","","","2"
"Never","1993","no migration background","West Germany","","","","","5"
"Never","1993","no migration background","East Germany","","","","","5"
"Never","1993","direct migration background","West Germany","","","","","5"
"Never","1993","direct migration background","East Germany","","","","","5"
"Never","1993","indirect migration background","West Germany","","","","","5"
"Never","1993","indirect migration background","East Germany","","","","","5"
"Rarely","1993","no migration background","West Germany","","","","","4"
"Rarely","1993","no migration background","East Germany","","","","","4"
"Rarely","1993","direct migration background","West Germany","","","","","4"
"Rarely","1993","direct migration background","East Germany","","","","","4"
"Rarely","1993","indirect migration background","West Germany","","","","","4"
"Rarely","1993","indirect migration background","East Germany","","","","","4"
"Daily","1994","no migration background","West Germany","","","","","1"
"Daily","1994","no migration background","East Germany","","","","","1"
"Daily","1994","direct migration background","West Germany","","","","","1"
"Daily","1994","direct migration background","East Germany","","","","","1"
"Daily","1994","indirect migration background","West Germany","","","","","1"
"Daily","1994","indirect migration background","East Germany","","","","","1"
"Min 1x per month","1994","no migration background","East Germany","","","","","3"
"Min 1x per month","1994","no migration background","West Germany","","","","","3"
"Min 1x per month","1994","direct migration background","West Germany","","","","","3"
"Min 1x per month","1994","direct migration background","East Germany","","","","","3"
"Min 1x per month","1994","indirect migration background","East Germany","","","","","3"
"Min 1x per month","1994","indirect migration background","West Germany","","","","","3"
"Min 1x per week","1994","no migration background","West Germany","","","","","2"
"Min 1x per week","1994","no migration background","East Germany","","","","","2"
"Min 1x per week","1994","direct migration background","West Germany","","","","","2"
"Min 1x per week","1994","direct migration background","East Germany","","","","","2"
"Min 1x per week","1994","indirect migration background","East Germany","","","","","2"
