"pli0082","year","migback","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Daily","1990","no migration background","(0) in school","","","",""
"Daily","1990","no migration background","(1a) inadequately completed","2","","",""
"Daily","1990","no migration background","(1b) general elementary school","5","","",""
"Daily","1990","no migration background","(1c) basic vocational qualification","8","","",""
"Daily","1990","no migration background","(2b) intermediate general qualification","1","","",""
"Daily","1990","no migration background","(2a) intermediate vocational","2","","",""
"Daily","1990","no migration background","(2c_gen) general maturity certificate","","","",""
"Daily","1990","no migration background","(2c_voc) vocational maturity certificate","1","","",""
"Daily","1990","no migration background","(3a) lower tertiary education","1","","",""
"Daily","1990","no migration background","(3b) higher tertiary education","2","","",""
"Daily","1990","direct migration background","(0) in school","","","",""
"Daily","1990","direct migration background","(1a) inadequately completed","1","","",""
"Daily","1990","direct migration background","(1b) general elementary school","8","","",""
"Daily","1990","direct migration background","(1c) basic vocational qualification","2","","",""
"Daily","1990","direct migration background","(2b) intermediate general qualification","","","",""
"Daily","1990","direct migration background","(2a) intermediate vocational","","","",""
"Daily","1990","direct migration background","(2c_gen) general maturity certificate","","","",""
"Daily","1990","direct migration background","(2c_voc) vocational maturity certificate","","","",""
"Daily","1990","direct migration background","(3a) lower tertiary education","","","",""
"Daily","1990","direct migration background","(3b) higher tertiary education","","","",""
"Daily","1990","indirect migration background","(0) in school","1","","",""
"Daily","1990","indirect migration background","(1a) inadequately completed","","","",""
"Daily","1990","indirect migration background","(1b) general elementary school","","","",""
"Daily","1990","indirect migration background","(1c) basic vocational qualification","","","",""
"Daily","1990","indirect migration background","(2b) intermediate general qualification","","","",""
"Daily","1990","indirect migration background","(2a) intermediate vocational","","","",""
"Daily","1990","indirect migration background","(2c_gen) general maturity certificate","","","",""
"Daily","1990","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Daily","1990","indirect migration background","(3a) lower tertiary education","","","",""
"Daily","1990","indirect migration background","(3b) higher tertiary education","","","",""
"Min 1x per week","1990","no migration background","(0) in school","5","","",""
"Min 1x per week","1990","no migration background","(1a) inadequately completed","2","","",""
"Min 1x per week","1990","no migration background","(1b) general elementary school","74","0.0532104273189963","0.04076762530092","0.0656532293370725"
"Min 1x per week","1990","no migration background","(1c) basic vocational qualification","214","0.0849480700567224","0.07421070205551","0.0956854380579348"
"Min 1x per week","1990","no migration background","(2b) intermediate general qualification","17","","",""
"Min 1x per week","1990","no migration background","(2a) intermediate vocational","103","0.0989625826214505","0.081718949470768","0.116206215772133"
"Min 1x per week","1990","no migration background","(2c_gen) general maturity certificate","19","","",""
"Min 1x per week","1990","no migration background","(2c_voc) vocational maturity certificate","31","0.117933747137431","0.0810662141094574","0.154801280165405"
"Min 1x per week","1990","no migration background","(3a) lower tertiary education","33","0.17419542751395","0.122775440212081","0.225615414815819"
"Min 1x per week","1990","no migration background","(3b) higher tertiary education","42","0.116223521169243","0.0846575807852347","0.147789461553252"
"Min 1x per week","1990","direct migration background","(0) in school","2","","",""
"Min 1x per week","1990","direct migration background","(1a) inadequately completed","29","","",""
"Min 1x per week","1990","direct migration background","(1b) general elementary school","43","0.0657257274644401","0.04859700540481","0.0828544495240702"
"Min 1x per week","1990","direct migration background","(1c) basic vocational qualification","34","0.0660052789612375","0.0455682336502486","0.0864423242722263"
"Min 1x per week","1990","direct migration background","(2b) intermediate general qualification","2","","",""
"Min 1x per week","1990","direct migration background","(2a) intermediate vocational","8","","",""
"Min 1x per week","1990","direct migration background","(2c_gen) general maturity certificate","7","","",""
"Min 1x per week","1990","direct migration background","(2c_voc) vocational maturity certificate","11","","",""
"Min 1x per week","1990","direct migration background","(3a) lower tertiary education","3","","",""
"Min 1x per week","1990","direct migration background","(3b) higher tertiary education","6","","",""
"Min 1x per week","1990","indirect migration background","(0) in school","1","","",""
"Min 1x per week","1990","indirect migration background","(1a) inadequately completed","1","","",""
"Min 1x per week","1990","indirect migration background","(1b) general elementary school","8","","",""
"Min 1x per week","1990","indirect migration background","(1c) basic vocational qualification","3","","",""
"Min 1x per week","1990","indirect migration background","(2b) intermediate general qualification","3","","",""
"Min 1x per week","1990","indirect migration background","(2a) intermediate vocational","1","","",""
"Min 1x per week","1990","indirect migration background","(2c_gen) general maturity certificate","1","","",""
"Min 1x per week","1990","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
"Min 1x per week","1990","indirect migration background","(3a) lower tertiary education","","","",""
"Min 1x per week","1990","indirect migration background","(3b) higher tertiary education","","","",""
"Min 1x per month","1990","no migration background","(0) in school","30","0.307205665524122","0.217234327703527","0.397177003344718"
"Min 1x per month","1990","no migration background","(1a) inadequately completed","10","","",""
"Min 1x per month","1990","no migration background","(1b) general elementary school","308","0.232159790418764","0.208754070079869","0.255565510757659"
"Min 1x per month","1990","no migration background","(1c) basic vocational qualification","874","0.336807135364922","0.318605568591488","0.355008702138357"
