"pli0082","year","education","sex","n","percent","lower_confidence","upper_confidence"
"Daily","1990","lower secondary degree","Male","10","","",""
"Daily","1990","lower secondary degree","Female","6","","",""
"Daily","1990","secondary school degree","Male","1","","",""
"Daily","1990","secondary school degree","Female","2","","",""
"Daily","1990","college entrance qualification","Male","3","","",""
"Daily","1990","college entrance qualification","Female","1","","",""
"Daily","1990","Other degree","Male","3","","",""
"Daily","1990","Other degree","Female","4","","",""
"Daily","1990","no degree/no degree yet","Male","2","","",""
"Daily","1990","no degree/no degree yet","Female","2","","",""
"Min 1x per week","1990","lower secondary degree","Male","172","0.0804455063880313","0.0689861798968434","0.0919048328792193"
"Min 1x per week","1990","lower secondary degree","Female","167","0.0690352100162982","0.0588330365905716","0.0792373834420248"
"Min 1x per week","1990","secondary school degree","Male","62","0.0938284048207159","0.0720399586100791","0.115616851031353"
"Min 1x per week","1990","secondary school degree","Female","84","0.0945684637029853","0.076368335710835","0.112768591695136"
"Min 1x per week","1990","college entrance qualification","Male","80","0.12240220424769","0.0988830847592106","0.145921323736169"
"Min 1x per week","1990","college entrance qualification","Female","43","0.105699813296626","0.0774806300003979","0.133918996592854"
"Min 1x per week","1990","Other degree","Male","36","0.0866281409992577","0.0639691509625143","0.109287131036001"
"Min 1x per week","1990","Other degree","Female","18","","",""
"Min 1x per week","1990","no degree/no degree yet","Male","19","","",""
"Min 1x per week","1990","no degree/no degree yet","Female","20","","",""
"Min 1x per month","1990","lower secondary degree","Male","702","0.32338240631579","0.303674100160858","0.343090712470723"
"Min 1x per month","1990","lower secondary degree","Female","680","0.279292367073383","0.261237269370567","0.297347464776198"
"Min 1x per month","1990","secondary school degree","Male","261","0.386972721990528","0.350578373610183","0.423367070370873"
"Min 1x per month","1990","secondary school degree","Female","341","0.330498695271544","0.30124140804621","0.359755982496878"
"Min 1x per month","1990","college entrance qualification","Male","338","0.43526172398636","0.399684051891366","0.470839396081354"
"Min 1x per month","1990","college entrance qualification","Female","194","0.432406340323871","0.386935763440938","0.477876917206804"
"Min 1x per month","1990","Other degree","Male","136","0.2444582243068","0.209838882608638","0.279077566004962"
"Min 1x per month","1990","Other degree","Female","91","0.225522092163475","0.185117917211666","0.265926267115284"
"Min 1x per month","1990","no degree/no degree yet","Male","70","0.251466262566203","0.207729388082728","0.295203137049679"
"Min 1x per month","1990","no degree/no degree yet","Female","76","0.217331820288038","0.179642381328221","0.255021259247854"
