"pli0082","year","hgtyp1hh","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Daily","1990","Couple + C. LE 16 ","(3b) higher tertiary education","","","",""
"Daily","1990","Couple + C. GT 16 ","(0) in school","1","","",""
"Daily","1990","Couple + C. GT 16 ","(1a) inadequately completed","","","",""
"Daily","1990","Couple + C. GT 16 ","(1b) general elementary school","3","","",""
"Daily","1990","Couple + C. GT 16 ","(1c) basic vocational qualification","3","","",""
"Daily","1990","Couple + C. GT 16 ","(2b) intermediate general qualification","","","",""
"Daily","1990","Couple + C. GT 16 ","(2a) intermediate vocational","2","","",""
"Daily","1990","Couple + C. GT 16 ","(2c_gen) general maturity certificate","","","",""
"Daily","1990","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","","","",""
"Daily","1990","Couple + C. GT 16 ","(3a) lower tertiary education","","","",""
"Daily","1990","Couple + C. GT 16 ","(3b) higher tertiary education","2","","",""
"Daily","1990","Couple + C. LE and GT 16","(0) in school","","","",""
"Daily","1990","Couple + C. LE and GT 16","(1a) inadequately completed","1","","",""
"Daily","1990","Couple + C. LE and GT 16","(1b) general elementary school","1","","",""
"Daily","1990","Couple + C. LE and GT 16","(1c) basic vocational qualification","1","","",""
"Daily","1990","Couple + C. LE and GT 16","(2b) intermediate general qualification","","","",""
"Daily","1990","Couple + C. LE and GT 16","(2a) intermediate vocational","","","",""
"Daily","1990","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","","","",""
"Daily","1990","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","","","",""
"Daily","1990","Couple + C. LE and GT 16","(3a) lower tertiary education","","","",""
"Daily","1990","Couple + C. LE and GT 16","(3b) higher tertiary education","","","",""
"Min 1x per week","1990","1-pers.-HH","(0) in school","","","",""
"Min 1x per week","1990","1-pers.-HH","(1a) inadequately completed","1","","",""
"Min 1x per week","1990","1-pers.-HH","(1b) general elementary school","11","","",""
"Min 1x per week","1990","1-pers.-HH","(1c) basic vocational qualification","25","","",""
"Min 1x per week","1990","1-pers.-HH","(2b) intermediate general qualification","5","","",""
"Min 1x per week","1990","1-pers.-HH","(2a) intermediate vocational","14","","",""
"Min 1x per week","1990","1-pers.-HH","(2c_gen) general maturity certificate","4","","",""
"Min 1x per week","1990","1-pers.-HH","(2c_voc) vocational maturity certificate","8","","",""
"Min 1x per week","1990","1-pers.-HH","(3a) lower tertiary education","11","","",""
"Min 1x per week","1990","1-pers.-HH","(3b) higher tertiary education","6","","",""
"Min 1x per week","1990","(Married) couple without C. ","(0) in school","","","",""
"Min 1x per week","1990","(Married) couple without C. ","(1a) inadequately completed","2","","",""
"Min 1x per week","1990","(Married) couple without C. ","(1b) general elementary school","37","0.0783147481470807","0.0543794684321145","0.102250027862047"
"Min 1x per week","1990","(Married) couple without C. ","(1c) basic vocational qualification","102","0.110924072471095","0.090762589953903","0.131085554988287"
"Min 1x per week","1990","(Married) couple without C. ","(2b) intermediate general qualification","2","","",""
"Min 1x per week","1990","(Married) couple without C. ","(2a) intermediate vocational","42","0.121010522720885","0.0876434225326403","0.15437762290913"
"Min 1x per week","1990","(Married) couple without C. ","(2c_gen) general maturity certificate","5","","",""
"Min 1x per week","1990","(Married) couple without C. ","(2c_voc) vocational maturity certificate","12","","",""
"Min 1x per week","1990","(Married) couple without C. ","(3a) lower tertiary education","6","","",""
"Min 1x per week","1990","(Married) couple without C. ","(3b) higher tertiary education","15","","",""
"Min 1x per week","1990","Single parent ","(0) in school","","","",""
"Min 1x per week","1990","Single parent ","(1a) inadequately completed","3","","",""
"Min 1x per week","1990","Single parent ","(1b) general elementary school","9","","",""
"Min 1x per week","1990","Single parent ","(1c) basic vocational qualification","6","","",""
"Min 1x per week","1990","Single parent ","(2b) intermediate general qualification","","","",""
"Min 1x per week","1990","Single parent ","(2a) intermediate vocational","3","","",""
"Min 1x per week","1990","Single parent ","(2c_gen) general maturity certificate","3","","",""
"Min 1x per week","1990","Single parent ","(2c_voc) vocational maturity certificate","2","","",""
"Min 1x per week","1990","Single parent ","(3a) lower tertiary education","2","","",""
"Min 1x per week","1990","Single parent ","(3b) higher tertiary education","2","","",""
"Min 1x per week","1990","Couple + C. LE 16 ","(0) in school","","","",""
"Min 1x per week","1990","Couple + C. LE 16 ","(1a) inadequately completed","6","","",""
"Min 1x per week","1990","Couple + C. LE 16 ","(1b) general elementary school","19","","",""
"Min 1x per week","1990","Couple + C. LE 16 ","(1c) basic vocational qualification","45","0.0685249103416847","0.0506335415953408","0.0864162790880285"
"Min 1x per week","1990","Couple + C. LE 16 ","(2b) intermediate general qualification","2","","",""
"Min 1x per week","1990","Couple + C. LE 16 ","(2a) intermediate vocational","31","0.0958559984125627","0.065360549704933","0.126351447120192"
"Min 1x per week","1990","Couple + C. LE 16 ","(2c_gen) general maturity certificate","5","","",""
"Min 1x per week","1990","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","10","","",""
"Min 1x per week","1990","Couple + C. LE 16 ","(3a) lower tertiary education","6","","",""
"Min 1x per week","1990","Couple + C. LE 16 ","(3b) higher tertiary education","17","","",""
"Min 1x per week","1990","Couple + C. GT 16 ","(0) in school","6","","",""
"Min 1x per week","1990","Couple + C. GT 16 ","(1a) inadequately completed","6","","",""
"Min 1x per week","1990","Couple + C. GT 16 ","(1b) general elementary school","25","","",""
"Min 1x per week","1990","Couple + C. GT 16 ","(1c) basic vocational qualification","48","0.0646017286569742","0.0458048491547523","0.0833986081591962"
"Min 1x per week","1990","Couple + C. GT 16 ","(2b) intermediate general qualification","9","","",""
"Min 1x per week","1990","Couple + C. GT 16 ","(2a) intermediate vocational","17","","",""
"Min 1x per week","1990","Couple + C. GT 16 ","(2c_gen) general maturity certificate","7","","",""
"Min 1x per week","1990","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","6","","",""
"Min 1x per week","1990","Couple + C. GT 16 ","(3a) lower tertiary education","11","","",""
"Min 1x per week","1990","Couple + C. GT 16 ","(3b) higher tertiary education","6","","",""
"Min 1x per week","1990","Couple + C. LE and GT 16","(0) in school","1","","",""
"Min 1x per week","1990","Couple + C. LE and GT 16","(1a) inadequately completed","9","","",""
"Min 1x per week","1990","Couple + C. LE and GT 16","(1b) general elementary school","12","","",""
"Min 1x per week","1990","Couple + C. LE and GT 16","(1c) basic vocational qualification","11","","",""
"Min 1x per week","1990","Couple + C. LE and GT 16","(2b) intermediate general qualification","2","","",""
"Min 1x per week","1990","Couple + C. LE and GT 16","(2a) intermediate vocational","3","","",""
"Min 1x per week","1990","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","1","","",""
"Min 1x per week","1990","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","4","","",""
"Min 1x per week","1990","Couple + C. LE and GT 16","(3a) lower tertiary education","","","",""
"Min 1x per week","1990","Couple + C. LE and GT 16","(3b) higher tertiary education","1","","",""
"Min 1x per month","1990","1-pers.-HH","(0) in school","","","",""
"Min 1x per month","1990","1-pers.-HH","(1a) inadequately completed","10","","",""
"Min 1x per month","1990","1-pers.-HH","(1b) general elementary school","53","0.18496446802682","0.137950179260271","0.231978756793369"
"Min 1x per month","1990","1-pers.-HH","(1c) basic vocational qualification","101","0.309134027654447","0.257854844152814","0.360413211156079"
"Min 1x per month","1990","1-pers.-HH","(2b) intermediate general qualification","14","","",""
"Min 1x per month","1990","1-pers.-HH","(2a) intermediate vocational","57","0.324792563709774","0.251306084785813","0.398279042633736"
"Min 1x per month","1990","1-pers.-HH","(2c_gen) general maturity certificate","12","","",""
"Min 1x per month","1990","1-pers.-HH","(2c_voc) vocational maturity certificate","32","0.541079622744261","0.418030909496763","0.664128335991758"
"Min 1x per month","1990","1-pers.-HH","(3a) lower tertiary education","13","","",""
"Min 1x per month","1990","1-pers.-HH","(3b) higher tertiary education","32","0.402256429686161","0.289771170096625","0.514741689275698"
"Min 1x per month","1990","(Married) couple without C. ","(0) in school","","","",""
"Min 1x per month","1990","(Married) couple without C. ","(1a) inadequately completed","13","","",""
"Min 1x per month","1990","(Married) couple without C. ","(1b) general elementary school","130","0.257914754582313","0.21893937061083","0.296890138553797"
"Min 1x per month","1990","(Married) couple without C. ","(1c) basic vocational qualification","323","0.349245701020659","0.318639164131839","0.37985223790948"
"Min 1x per month","1990","(Married) couple without C. ","(2b) intermediate general qualification","29","","",""
"Min 1x per month","1990","(Married) couple without C. ","(2a) intermediate vocational","131","0.34070703609145","0.292217857124226","0.389196215058674"
"Min 1x per month","1990","(Married) couple without C. ","(2c_gen) general maturity certificate","9","","",""
"Min 1x per month","1990","(Married) couple without C. ","(2c_voc) vocational maturity certificate","50","0.387350076958097","0.299454888368398","0.475245265547797"
"Min 1x per month","1990","(Married) couple without C. ","(3a) lower tertiary education","45","0.588916558374679","0.479017340150992","0.698815776598366"
"Min 1x per month","1990","(Married) couple without C. ","(3b) higher tertiary education","64","0.521899205987738","0.432525345309528","0.611273066665947"
"Min 1x per month","1990","Single parent ","(0) in school","4","","",""
"Min 1x per month","1990","Single parent ","(1a) inadequately completed","2","","",""
"Min 1x per month","1990","Single parent ","(1b) general elementary school","21","","",""
"Min 1x per month","1990","Single parent ","(1c) basic vocational qualification","52","0.3371107679863","0.2596312577191","0.414590278253501"
"Min 1x per month","1990","Single parent ","(2b) intermediate general qualification","9","","",""
"Min 1x per month","1990","Single parent ","(2a) intermediate vocational","18","","",""
"Min 1x per month","1990","Single parent ","(2c_gen) general maturity certificate","11","","",""
"Min 1x per month","1990","Single parent ","(2c_voc) vocational maturity certificate","4","","",""
"Min 1x per month","1990","Single parent ","(3a) lower tertiary education","2","","",""
"Min 1x per month","1990","Single parent ","(3b) higher tertiary education","7","","",""
"Min 1x per month","1990","Couple + C. LE 16 ","(0) in school","1","","",""
"Min 1x per month","1990","Couple + C. LE 16 ","(1a) inadequately completed","31","0.184075029104561","0.12476218924933","0.243387868959791"
"Min 1x per month","1990","Couple + C. LE 16 ","(1b) general elementary school","75","0.21463293370303","0.172967280115949","0.256298587290111"
"Min 1x per month","1990","Couple + C. LE 16 ","(1c) basic vocational qualification","267","0.352618739577621","0.318783717633319","0.386453761521923"
"Min 1x per month","1990","Couple + C. LE 16 ","(2b) intermediate general qualification","10","","",""
"Min 1x per month","1990","Couple + C. LE 16 ","(2a) intermediate vocational","134","0.369569618108504","0.31956924148885","0.419569994728158"
"Min 1x per month","1990","Couple + C. LE 16 ","(2c_gen) general maturity certificate","17","","",""
"Min 1x per month","1990","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","39","0.418362489977331","0.321192296699055","0.515532683255607"
"Min 1x per month","1990","Couple + C. LE 16 ","(3a) lower tertiary education","27","","",""
"Min 1x per month","1990","Couple + C. LE 16 ","(3b) higher tertiary education","68","0.497833645826097","0.4134910167003","0.582176274951894"
"Min 1x per month","1990","Couple + C. GT 16 ","(0) in school","20","","",""
"Min 1x per month","1990","Couple + C. GT 16 ","(1a) inadequately completed","19","","",""
"Min 1x per month","1990","Couple + C. GT 16 ","(1b) general elementary school","113","0.255230256398416","0.214812572747109","0.295647940049723"
"Min 1x per month","1990","Couple + C. GT 16 ","(1c) basic vocational qualification","197","0.321252015739176","0.285545899592043","0.356958131886309"
"Min 1x per month","1990","Couple + C. GT 16 ","(2b) intermediate general qualification","42","0.343922926353081","0.261308817006451","0.426537035699711"
"Min 1x per month","1990","Couple + C. GT 16 ","(2a) intermediate vocational","74","0.342572138664568","0.280424568411587","0.404719708917549"
"Min 1x per month","1990","Couple + C. GT 16 ","(2c_gen) general maturity certificate","43","0.276934744017135","0.201728117829837","0.352141370204432"
"Min 1x per month","1990","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","32","0.460639188122995","0.345505616251459","0.575772759994531"
"Min 1x per month","1990","Couple + C. GT 16 ","(3a) lower tertiary education","13","","",""
"Min 1x per month","1990","Couple + C. GT 16 ","(3b) higher tertiary education","34","0.45336299188143","0.338374496575114","0.568351487187745"
"Min 1x per month","1990","Couple + C. LE and GT 16","(0) in school","14","","",""
"Min 1x per month","1990","Couple + C. LE and GT 16","(1a) inadequately completed","13","","",""
"Min 1x per month","1990","Couple + C. LE and GT 16","(1b) general elementary school","56","0.224430095163827","0.172505481776408","0.276354708551245"
"Min 1x per month","1990","Couple + C. LE and GT 16","(1c) basic vocational qualification","58","0.247607739771832","0.191947333923967","0.303268145619698"
"Min 1x per month","1990","Couple + C. LE and GT 16","(2b) intermediate general qualification","18","","",""
"Min 1x per month","1990","Couple + C. LE and GT 16","(2a) intermediate vocational","25","","",""
"Min 1x per month","1990","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","6","","",""
"Min 1x per month","1990","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","5","","",""
"Min 1x per month","1990","Couple + C. LE and GT 16","(3a) lower tertiary education","6","","",""
"Min 1x per month","1990","Couple + C. LE and GT 16","(3b) higher tertiary education","8","","",""
"Rarely","1990","1-pers.-HH","(0) in school","3","","",""
"Rarely","1990","1-pers.-HH","(1a) inadequately completed","10","","",""
"Rarely","1990","1-pers.-HH","(1b) general elementary school","107","0.402946370413078","0.343554399041666","0.462338341784489"
"Rarely","1990","1-pers.-HH","(1c) basic vocational qualification","126","0.407630791237888","0.353105182492676","0.4621563999831"
"Rarely","1990","1-pers.-HH","(2b) intermediate general qualification","19","","",""
"Rarely","1990","1-pers.-HH","(2a) intermediate vocational","67","0.442988571136537","0.365038932563857","0.520938209709216"
"Rarely","1990","1-pers.-HH","(2c_gen) general maturity certificate","13","","",""
"Rarely","1990","1-pers.-HH","(2c_voc) vocational maturity certificate","18","","",""
"Rarely","1990","1-pers.-HH","(3a) lower tertiary education","13","","",""
"Rarely","1990","1-pers.-HH","(3b) higher tertiary education","34","0.482807211027697","0.368176822224949","0.597437599830445"
"Rarely","1990","(Married) couple without C. ","(0) in school","","","",""
"Rarely","1990","(Married) couple without C. ","(1a) inadequately completed","42","0.586011626805613","0.477398645728015","0.69462460788321"
"Rarely","1990","(Married) couple without C. ","(1b) general elementary school","241","0.528273069591633","0.483799705573787","0.57274643360948"
"Rarely","1990","(Married) couple without C. ","(1c) basic vocational qualification","426","0.44842509143961","0.416495942820921","0.480354240058298"
"Rarely","1990","(Married) couple without C. ","(2b) intermediate general qualification","24","","",""
"Rarely","1990","(Married) couple without C. ","(2a) intermediate vocational","183","0.51279908218792","0.461661201284828","0.563936963091012"
"Rarely","1990","(Married) couple without C. ","(2c_gen) general maturity certificate","26","","",""
"Rarely","1990","(Married) couple without C. ","(2c_voc) vocational maturity certificate","49","0.43992401984297","0.350362924026922","0.529485115659018"
"Rarely","1990","(Married) couple without C. ","(3a) lower tertiary education","23","","",""
"Rarely","1990","(Married) couple without C. ","(3b) higher tertiary education","36","0.302233643291756","0.220069206227304","0.384398080356208"
"Rarely","1990","Single parent ","(0) in school","9","","",""
"Rarely","1990","Single parent ","(1a) inadequately completed","12","","",""
"Rarely","1990","Single parent ","(1b) general elementary school","58","0.57190336115782","0.481469431180254","0.662337291135385"
"Rarely","1990","Single parent ","(1c) basic vocational qualification","67","0.481433216943845","0.39953952597985","0.56332690790784"
"Rarely","1990","Single parent ","(2b) intermediate general qualification","20","","",""
"Rarely","1990","Single parent ","(2a) intermediate vocational","23","","",""
"Rarely","1990","Single parent ","(2c_gen) general maturity certificate","15","","",""
"Rarely","1990","Single parent ","(2c_voc) vocational maturity certificate","9","","",""
"Rarely","1990","Single parent ","(3a) lower tertiary education","2","","",""
"Rarely","1990","Single parent ","(3b) higher tertiary education","7","","",""
"Rarely","1990","Couple + C. LE 16 ","(0) in school","","","",""
"Rarely","1990","Couple + C. LE 16 ","(1a) inadequately completed","91","0.558592972394581","0.482596484469745","0.634589460319417"
"Rarely","1990","Couple + C. LE 16 ","(1b) general elementary school","197","0.535592723872107","0.484979906036172","0.586205541708042"
"Rarely","1990","Couple + C. LE 16 ","(1c) basic vocational qualification","397","0.513151755425199","0.477755817902046","0.548547692948352"
"Rarely","1990","Couple + C. LE 16 ","(2b) intermediate general qualification","16","","",""
"Rarely","1990","Couple + C. LE 16 ","(2a) intermediate vocational","188","0.523557720049206","0.471821581769423","0.57529385832899"
"Rarely","1990","Couple + C. LE 16 ","(2c_gen) general maturity certificate","26","","",""
"Rarely","1990","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","43","0.42148158360895","0.324211701470011","0.51875146574789"
"Rarely","1990","Couple + C. LE 16 ","(3a) lower tertiary education","24","","",""
"Rarely","1990","Couple + C. LE 16 ","(3b) higher tertiary education","49","0.352069362050011","0.271501918836025","0.432636805263997"
"Rarely","1990","Couple + C. GT 16 ","(0) in school","42","0.589333044361709","0.474901912800185","0.703764175923233"
"Rarely","1990","Couple + C. GT 16 ","(1a) inadequately completed","81","0.511187238651761","0.432745527071065","0.589628950232456"
"Rarely","1990","Couple + C. GT 16 ","(1b) general elementary school","234","0.566955880254173","0.52102179899772","0.612889961510626"
"Rarely","1990","Couple + C. GT 16 ","(1c) basic vocational qualification","359","0.5500251501499","0.511984248618878","0.588066051680922"
"Rarely","1990","Couple + C. GT 16 ","(2b) intermediate general qualification","62","0.504392443914215","0.417436459494922","0.591348428333507"
"Rarely","1990","Couple + C. GT 16 ","(2a) intermediate vocational","127","0.564108589569356","0.499171234787286","0.629045944351426"
"Rarely","1990","Couple + C. GT 16 ","(2c_gen) general maturity certificate","77","0.616890358240593","0.535186198295166","0.69859451818602"
"Rarely","1990","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","28","","",""
"Rarely","1990","Couple + C. GT 16 ","(3a) lower tertiary education","16","","",""
"Rarely","1990","Couple + C. GT 16 ","(3b) higher tertiary education","30","0.433658554852721","0.319187687305285","0.548129422400157"
"Rarely","1990","Couple + C. LE and GT 16","(0) in school","40","0.629275232778528","0.5100072328574","0.748543232699656"
"Rarely","1990","Couple + C. LE and GT 16","(1a) inadequately completed","58","0.459606897285994","0.370439593375045","0.548774201196944"
"Rarely","1990","Couple + C. LE and GT 16","(1b) general elementary school","131","0.570261410817396","0.50864996227798","0.631872859356813"
"Rarely","1990","Couple + C. LE and GT 16","(1c) basic vocational qualification","132","0.607993072633781","0.545036904368817","0.670949240898746"
"Rarely","1990","Couple + C. LE and GT 16","(2b) intermediate general qualification","26","","",""
"Rarely","1990","Couple + C. LE and GT 16","(2a) intermediate vocational","39","0.569401281991187","0.454224615914221","0.684577948068153"
"Rarely","1990","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","13","","",""
"Rarely","1990","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","4","","",""
"Rarely","1990","Couple + C. LE and GT 16","(3a) lower tertiary education","6","","",""
"Rarely","1990","Couple + C. LE and GT 16","(3b) higher tertiary education","12","","",""
"Never","1990","1-pers.-HH","(0) in school","","","",""
"Never","1990","1-pers.-HH","(1a) inadequately completed","19","","",""
"Never","1990","1-pers.-HH","(1b) general elementary school","90","0.365188695974891","0.30688736974584","0.423490022203943"
"Never","1990","1-pers.-HH","(1c) basic vocational qualification","60","0.195974861823701","0.151928931124806","0.240020792522596"
"Never","1990","1-pers.-HH","(2b) intermediate general qualification","3","","",""
"Never","1990","1-pers.-HH","(2a) intermediate vocational","18","","",""
"Never","1990","1-pers.-HH","(2c_gen) general maturity certificate","4","","",""
"Never","1990","1-pers.-HH","(2c_voc) vocational maturity certificate","5","","",""
"Never","1990","1-pers.-HH","(3a) lower tertiary education","","","",""
"Never","1990","1-pers.-HH","(3b) higher tertiary education","1","","",""
"Never","1990","(Married) couple without C. ","(0) in school","","","",""
"Never","1990","(Married) couple without C. ","(1a) inadequately completed","21","","",""
"Never","1990","(Married) couple without C. ","(1b) general elementary school","71","0.129743486360568","0.0998076198646785","0.159679352856458"
"Never","1990","(Married) couple without C. ","(1c) basic vocational qualification","77","0.0871139246141048","0.0690091877936629","0.105218661434547"
"Never","1990","(Married) couple without C. ","(2b) intermediate general qualification","1","","",""
"Never","1990","(Married) couple without C. ","(2a) intermediate vocational","11","","",""
"Never","1990","(Married) couple without C. ","(2c_gen) general maturity certificate","1","","",""
"Never","1990","(Married) couple without C. ","(2c_voc) vocational maturity certificate","6","","",""
"Never","1990","(Married) couple without C. ","(3a) lower tertiary education","2","","",""
"Never","1990","(Married) couple without C. ","(3b) higher tertiary education","5","","",""
"Never","1990","Single parent ","(0) in school","","","",""
"Never","1990","Single parent ","(1a) inadequately completed","12","","",""
"Never","1990","Single parent ","(1b) general elementary school","27","","",""
"Never","1990","Single parent ","(1c) basic vocational qualification","18","","",""
"Never","1990","Single parent ","(2b) intermediate general qualification","3","","",""
"Never","1990","Single parent ","(2a) intermediate vocational","","","",""
"Never","1990","Single parent ","(2c_gen) general maturity certificate","2","","",""
"Never","1990","Single parent ","(2c_voc) vocational maturity certificate","2","","",""
"Never","1990","Single parent ","(3a) lower tertiary education","","","",""
"Never","1990","Single parent ","(3b) higher tertiary education","1","","",""
"Never","1990","Couple + C. LE 16 ","(0) in school","","","",""
"Never","1990","Couple + C. LE 16 ","(1a) inadequately completed","35","0.225269680418279","0.161332597973198","0.289206762863359"
"Never","1990","Couple + C. LE 16 ","(1b) general elementary school","79","0.190171198710948","0.150345568562045","0.229996828859851"
"Never","1990","Couple + C. LE 16 ","(1c) basic vocational qualification","57","0.0657045946554955","0.0481587741196379","0.083250415191353"
"Never","1990","Couple + C. LE 16 ","(2b) intermediate general qualification","2","","",""
"Never","1990","Couple + C. LE 16 ","(2a) intermediate vocational","5","","",""
"Never","1990","Couple + C. LE 16 ","(2c_gen) general maturity certificate","7","","",""
"Never","1990","Couple + C. LE 16 ","(2c_voc) vocational maturity certificate","7","","",""
"Never","1990","Couple + C. LE 16 ","(3a) lower tertiary education","2","","",""
"Never","1990","Couple + C. LE 16 ","(3b) higher tertiary education","1","","",""
"Never","1990","Couple + C. GT 16 ","(0) in school","2","","",""
"Never","1990","Couple + C. GT 16 ","(1a) inadequately completed","50","0.255428795100385","0.186994493810017","0.323863096390753"
"Never","1990","Couple + C. GT 16 ","(1b) general elementary school","72","0.128416500019536","0.097402395654584","0.159430604384488"
"Never","1990","Couple + C. GT 16 ","(1c) basic vocational qualification","50","0.0599921417602857","0.0418337102726381","0.0781505732479334"
"Never","1990","Couple + C. GT 16 ","(2b) intermediate general qualification","14","","",""
"Never","1990","Couple + C. GT 16 ","(2a) intermediate vocational","4","","",""
"Never","1990","Couple + C. GT 16 ","(2c_gen) general maturity certificate","9","","",""
"Never","1990","Couple + C. GT 16 ","(2c_voc) vocational maturity certificate","6","","",""
"Never","1990","Couple + C. GT 16 ","(3a) lower tertiary education","","","",""
"Never","1990","Couple + C. GT 16 ","(3b) higher tertiary education","","","",""
"Never","1990","Couple + C. LE and GT 16","(0) in school","8","","",""
"Never","1990","Couple + C. LE and GT 16","(1a) inadequately completed","39","0.306153960603559","0.223690991840399","0.388616929366719"
"Never","1990","Couple + C. LE and GT 16","(1b) general elementary school","48","0.130859082929127","0.0888861531453788","0.172832012712875"
"Never","1990","Couple + C. LE and GT 16","(1c) basic vocational qualification","29","","",""
"Never","1990","Couple + C. LE and GT 16","(2b) intermediate general qualification","3","","",""
"Never","1990","Couple + C. LE and GT 16","(2a) intermediate vocational","4","","",""
"Never","1990","Couple + C. LE and GT 16","(2c_gen) general maturity certificate","1","","",""
"Never","1990","Couple + C. LE and GT 16","(2c_voc) vocational maturity certificate","3","","",""
"Never","1990","Couple + C. LE and GT 16","(3a) lower tertiary education","","","",""
"Never","1990","Couple + C. LE and GT 16","(3b) higher tertiary education","2","","",""
"Daily","1991","1-pers.-HH","(0) in school","","","",""
"Daily","1991","1-pers.-HH","(1a) inadequately completed","","","",""
"Daily","1991","1-pers.-HH","(1b) general elementary school","","","",""
"Daily","1991","1-pers.-HH","(1c) basic vocational qualification","","","",""
"Daily","1991","1-pers.-HH","(2b) intermediate general qualification","","","",""
"Daily","1991","1-pers.-HH","(2a) intermediate vocational","","","",""
"Daily","1991","1-pers.-HH","(2c_gen) general maturity certificate","","","",""
"Daily","1991","1-pers.-HH","(2c_voc) vocational maturity certificate","","","",""
"Daily","1991","1-pers.-HH","(3a) lower tertiary education","","","",""
"Daily","1991","1-pers.-HH","(3b) higher tertiary education","","","",""
"Daily","1991","(Married) couple without C. ","(0) in school","","","",""
"Daily","1991","(Married) couple without C. ","(1a) inadequately completed","","","",""
"Daily","1991","(Married) couple without C. ","(1b) general elementary school","","","",""
"Daily","1991","(Married) couple without C. ","(1c) basic vocational qualification","","","",""
"Daily","1991","(Married) couple without C. ","(2b) intermediate general qualification","","","",""
"Daily","1991","(Married) couple without C. ","(2a) intermediate vocational","","","",""
"Daily","1991","(Married) couple without C. ","(2c_gen) general maturity certificate","","","",""
"Daily","1991","(Married) couple without C. ","(2c_voc) vocational maturity certificate","","","",""
"Daily","1991","(Married) couple without C. ","(3a) lower tertiary education","","","",""
"Daily","1991","(Married) couple without C. ","(3b) higher tertiary education","","","",""
"Daily","1991","Single parent ","(0) in school","","","",""
