"pli0082","year","pgisced97","regtyp","n","percent","lower_confidence","upper_confidence"
"Daily","1990","in school","Urban Area","1","","",""
"Daily","1990","in school","Rural Area","","","",""
"Daily","1990","inadequately","Urban Area","3","","",""
"Daily","1990","inadequately","Rural Area","","","",""
"Daily","1990","general elemantary","Urban Area","9","","",""
"Daily","1990","general elemantary","Rural Area","5","","",""
"Daily","1990","middle vocational","Urban Area","8","","",""
"Daily","1990","middle vocational","Rural Area","2","","",""
"Daily","1990","vocational + Abi","Urban Area","","","",""
"Daily","1990","vocational + Abi","Rural Area","","","",""
"Daily","1990","higher vocational","Urban Area","1","","",""
"Daily","1990","higher vocational","Rural Area","2","","",""
"Daily","1990","higher education","Urban Area","2","","",""
"Daily","1990","higher education","Rural Area","1","","",""
"Min 1x per week","1990","in school","Urban Area","7","","",""
"Min 1x per week","1990","in school","Rural Area","1","","",""
"Min 1x per week","1990","inadequately","Urban Area","24","","",""
"Min 1x per week","1990","inadequately","Rural Area","8","","",""
"Min 1x per week","1990","general elemantary","Urban Area","120","0.0614771765041216","0.0507911880852333","0.0721631649230099"
"Min 1x per week","1990","general elemantary","Rural Area","24","","",""
"Min 1x per week","1990","middle vocational","Urban Area","298","0.0919168599648451","0.0824184748251533","0.101415245104537"
"Min 1x per week","1990","middle vocational","Rural Area","69","0.0759879186634113","0.0594985755744879","0.0924772617523346"
"Min 1x per week","1990","vocational + Abi","Urban Area","25","","",""
"Min 1x per week","1990","vocational + Abi","Rural Area","1","","",""
"Min 1x per week","1990","higher vocational","Urban Area","29","","",""
"Min 1x per week","1990","higher vocational","Rural Area","15","","",""
"Min 1x per week","1990","higher education","Urban Area","69","0.128565694269976","0.101693394395931","0.155437994144021"
"Min 1x per week","1990","higher education","Rural Area","15","","",""
"Min 1x per month","1990","in school","Urban Area","33","0.297076888024572","0.219704850046069","0.374448926003076"
"Min 1x per month","1990","in school","Rural Area","9","","",""
"Min 1x per month","1990","inadequately","Urban Area","77","0.194396846247049","0.161353997840211","0.227439694653886"
"Min 1x per month","1990","inadequately","Rural Area","18","","",""
"Min 1x per month","1990","general elemantary","Urban Area","487","0.251006783523794","0.231717460107391","0.270296106940198"
"Min 1x per month","1990","general elemantary","Rural Area","134","0.250692862463953","0.213759302178438","0.287626422749468"
"Min 1x per month","1990","middle vocational","Urban Area","1166","0.328422922534031","0.312982682695276","0.343863162372787"
"Min 1x per month","1990","middle vocational","Rural Area","322","0.335514684811513","0.306132051494036","0.364897318128989"
"Min 1x per month","1990","vocational + Abi","Urban Area","98","0.436756547949125","0.375640449953815","0.497872645944434"
"Min 1x per month","1990","vocational + Abi","Rural Area","18","","",""
"Min 1x per month","1990","higher vocational","Urban Area","168","0.396352146008161","0.348536778073434","0.444167513942888"
"Min 1x per month","1990","higher vocational","Rural Area","38","0.347319371985008","0.25874634916459","0.435892394805426"
"Min 1x per month","1990","higher education","Urban Area","287","0.470143304534898","0.430073308243715","0.510213300826082"
"Min 1x per month","1990","higher education","Rural Area","47","0.429672402557035","0.333129949914068","0.526214855200002"
"Rarely","1990","in school","Urban Area","83","0.621376884847707","0.539251616665048","0.703502153030365"
"Rarely","1990","in school","Rural Area","17","","",""
"Rarely","1990","inadequately","Urban Area","268","0.443074027347952","0.401596851875355","0.484551202820549"
"Rarely","1990","inadequately","Rural Area","36","0.482180426059344","0.373362711279844","0.590998140838843"
"Rarely","1990","general elemantary","Urban Area","955","0.493274890456014","0.47103328972079","0.515516491191237"
"Rarely","1990","general elemantary","Rural Area","270","0.52557989543185","0.48302777861791","0.56813201224579"
"Rarely","1990","middle vocational","Urban Area","1749","0.488195508017256","0.471761695977842","0.504629320056671"
"Rarely","1990","middle vocational","Rural Area","535","0.517859812474338","0.486765208779508","0.548954416169168"
"Rarely","1990","vocational + Abi","Urban Area","107","0.404194907627357","0.343725550057689","0.464664265197026"
"Rarely","1990","vocational + Abi","Rural Area","18","","",""
"Rarely","1990","higher vocational","Urban Area","185","0.44960245256321","0.400974314025007","0.498230591101413"
"Rarely","1990","higher vocational","Rural Area","54","0.488061406631477","0.395072151124895","0.581050662138059"
"Rarely","1990","higher education","Urban Area","226","0.384001212491823","0.344954795528969","0.423047629454678"
"Rarely","1990","higher education","Rural Area","35","0.383982002714603","0.289131521391728","0.478832484037478"
"Never","1990","in school","Urban Area","10","","",""
"Never","1990","in school","Rural Area","1","","",""
"Never","1990","inadequately","Urban Area","179","0.315263568612561","0.276469002162216","0.354058135062907"
"Never","1990","inadequately","Rural Area","19","","",""
"Never","1990","general elemantary","Urban Area","370","0.189989415416412","0.172537408616863","0.20744142221596"
"Never","1990","general elemantary","Rural Area","96","0.175607055484722","0.143183669337989","0.208030441631456"
"Never","1990","middle vocational","Urban Area","333","0.0894728017080494","0.0800889451771996","0.0988566582388991"
"Never","1990","middle vocational","Rural Area","64","0.0692762083470361","0.0534748392514705","0.0850775774426017"
"Never","1990","vocational + Abi","Urban Area","23","","",""
"Never","1990","vocational + Abi","Rural Area","3","","",""
"Never","1990","higher vocational","Urban Area","19","","",""
"Never","1990","higher vocational","Rural Area","2","","",""
"Never","1990","higher education","Urban Area","12","","",""
"Never","1990","higher education","Rural Area","3","","",""
"Daily","1991","in school","Urban Area","","","",""
"Daily","1991","in school","Rural Area","","","",""
"Daily","1991","inadequately","Urban Area","","","",""
"Daily","1991","inadequately","Rural Area","","","",""
"Daily","1991","general elemantary","Urban Area","","","",""
"Daily","1991","general elemantary","Rural Area","","","",""
"Daily","1991","middle vocational","Urban Area","","","",""
"Daily","1991","middle vocational","Rural Area","","","",""
"Daily","1991","vocational + Abi","Urban Area","","","",""
"Daily","1991","vocational + Abi","Rural Area","","","",""
"Daily","1991","higher vocational","Urban Area","","","",""
"Daily","1991","higher vocational","Rural Area","","","",""
"Daily","1991","higher education","Urban Area","","","",""
"Daily","1991","higher education","Rural Area","","","",""
"Min 1x per week","1991","in school","Urban Area","","","",""
"Min 1x per week","1991","in school","Rural Area","","","",""
"Min 1x per week","1991","inadequately","Urban Area","","","",""
"Min 1x per week","1991","inadequately","Rural Area","","","",""
"Min 1x per week","1991","general elemantary","Urban Area","","","",""
"Min 1x per week","1991","general elemantary","Rural Area","","","",""
"Min 1x per week","1991","middle vocational","Urban Area","","","",""
"Min 1x per week","1991","middle vocational","Rural Area","","","",""
"Min 1x per week","1991","vocational + Abi","Urban Area","","","",""
"Min 1x per week","1991","vocational + Abi","Rural Area","","","",""
"Min 1x per week","1991","higher vocational","Urban Area","","","",""
"Min 1x per week","1991","higher vocational","Rural Area","","","",""
"Min 1x per week","1991","higher education","Urban Area","","","",""
"Min 1x per week","1991","higher education","Rural Area","","","",""
"Min 1x per month","1991","in school","Urban Area","","","",""
"Min 1x per month","1991","in school","Rural Area","","","",""
"Min 1x per month","1991","inadequately","Urban Area","","","",""
"Min 1x per month","1991","inadequately","Rural Area","","","",""
"Min 1x per month","1991","general elemantary","Urban Area","","","",""
"Min 1x per month","1991","general elemantary","Rural Area","","","",""
"Min 1x per month","1991","middle vocational","Urban Area","","","",""
"Min 1x per month","1991","middle vocational","Rural Area","","","",""
"Min 1x per month","1991","vocational + Abi","Urban Area","","","",""
"Min 1x per month","1991","vocational + Abi","Rural Area","","","",""
"Min 1x per month","1991","higher vocational","Urban Area","","","",""
"Min 1x per month","1991","higher vocational","Rural Area","","","",""
"Min 1x per month","1991","higher education","Urban Area","","","",""
"Min 1x per month","1991","higher education","Rural Area","","","",""
"Rarely","1991","in school","Urban Area","","","",""
"Rarely","1991","in school","Rural Area","","","",""
"Rarely","1991","inadequately","Urban Area","","","",""
"Rarely","1991","inadequately","Rural Area","","","",""
"Rarely","1991","general elemantary","Urban Area","","","",""
"Rarely","1991","general elemantary","Rural Area","","","",""
"Rarely","1991","middle vocational","Urban Area","","","",""
"Rarely","1991","middle vocational","Rural Area","","","",""
"Rarely","1991","vocational + Abi","Urban Area","","","",""
"Rarely","1991","vocational + Abi","Rural Area","","","",""
"Rarely","1991","higher vocational","Urban Area","","","",""
"Rarely","1991","higher vocational","Rural Area","","","",""
"Rarely","1991","higher education","Urban Area","","","",""
"Rarely","1991","higher education","Rural Area","","","",""
"Never","1991","in school","Urban Area","","","",""
"Never","1991","in school","Rural Area","","","",""
"Never","1991","inadequately","Urban Area","","","",""
"Never","1991","inadequately","Rural Area","","","",""
"Never","1991","general elemantary","Urban Area","","","",""
"Never","1991","general elemantary","Rural Area","","","",""
"Never","1991","middle vocational","Urban Area","","","",""
"Never","1991","middle vocational","Rural Area","","","",""
"Never","1991","vocational + Abi","Urban Area","","","",""
"Never","1991","vocational + Abi","Rural Area","","","",""
"Never","1991","higher vocational","Urban Area","","","",""
"Never","1991","higher vocational","Rural Area","","","",""
"Never","1991","higher education","Urban Area","","","",""
"Never","1991","higher education","Rural Area","","","",""
"Daily","1992","in school","Urban Area","","","",""
"Daily","1992","in school","Rural Area","","","",""
"Daily","1992","inadequately","Urban Area","","","",""
"Daily","1992","inadequately","Rural Area","","","",""
"Daily","1992","general elemantary","Urban Area","","","",""
"Daily","1992","general elemantary","Rural Area","","","",""
"Daily","1992","middle vocational","Urban Area","","","",""
"Daily","1992","middle vocational","Rural Area","","","",""
"Daily","1992","vocational + Abi","Urban Area","","","",""
"Daily","1992","vocational + Abi","Rural Area","","","",""
"Daily","1992","higher vocational","Urban Area","","","",""
"Daily","1992","higher vocational","Rural Area","","","",""
"Daily","1992","higher education","Urban Area","","","",""
