"pli0082","year","education","n","percent","lower_confidence","upper_confidence"
"Daily","1990","lower secondary degree","16","","",""
"Daily","1990","secondary school degree","3","","",""
"Daily","1990","college entrance qualification","4","","",""
"Daily","1990","Other degree","7","","",""
"Daily","1990","no degree/no degree yet","4","","",""
"Min 1x per week","1990","lower secondary degree","339","0.0742580721827845","0.0666280048559046","0.0818881395096644"
"Min 1x per week","1990","secondary school degree","146","0.0942719518375762","0.0803033032364606","0.108240600438692"
"Min 1x per week","1990","college entrance qualification","123","0.116047011965032","0.097940807408546","0.134153216521518"
"Min 1x per week","1990","Other degree","54","0.0719909457893059","0.0559948988141026","0.0879869927645093"
"Min 1x per week","1990","no degree/no degree yet","39","0.0393736213924085","0.0262060398581493","0.0525412029266677"
"Min 1x per month","1990","lower secondary degree","1382","0.299473805870059","0.28614463367307","0.312802978067048"
"Min 1x per month","1990","secondary school degree","602","0.353125569174148","0.330278062682814","0.375973075665483"
"Min 1x per month","1990","college entrance qualification","532","0.434175262037945","0.406155182728111","0.46219534134778"
"Min 1x per month","1990","Other degree","227","0.2371072398641","0.210786276618719","0.263428203109481"
"Min 1x per month","1990","no degree/no degree yet","146","0.234610521293022","0.205919826341371","0.263301216244673"
"Rarely","1990","lower secondary degree","2265","0.492776473700799","0.478227369802128","0.50732557759947"
"Rarely","1990","secondary school degree","857","0.5033353614423","0.479433893438845","0.527236829445755"
"Rarely","1990","college entrance qualification","506","0.413638103107528","0.385796836016958","0.441479370198099"
"Rarely","1990","Other degree","450","0.42160548458722","0.391044817245777","0.452166151928662"
"Rarely","1990","no degree/no degree yet","431","0.532295618261445","0.498513393534417","0.566077842988474"
"Never","1990","lower secondary degree","534","0.130405045351859","0.120605244030745","0.140204846672972"
"Never","1990","secondary school degree","73","0.0470529413948788","0.036930342929721","0.0571755398600366"
"Never","1990","college entrance qualification","37","0.0330296441357228","0.0229265503477656","0.04313273792368"
"Never","1990","Other degree","265","0.261736136490366","0.234531979413077","0.288940293567655"
"Never","1990","no degree/no degree yet","218","0.186357769191153","0.159993449199339","0.212722089182967"
"Daily","1991","lower secondary degree","","","",""
"Daily","1991","secondary school degree","","","",""
"Daily","1991","college entrance qualification","","","",""
"Daily","1991","Other degree","","","",""
"Daily","1991","no degree/no degree yet","","","",""
"Min 1x per week","1991","lower secondary degree","","","",""
"Min 1x per week","1991","secondary school degree","","","",""
"Min 1x per week","1991","college entrance qualification","","","",""
"Min 1x per week","1991","Other degree","","","",""
"Min 1x per week","1991","no degree/no degree yet","","","",""
"Min 1x per month","1991","lower secondary degree","","","",""
"Min 1x per month","1991","secondary school degree","","","",""
"Min 1x per month","1991","college entrance qualification","","","",""
"Min 1x per month","1991","Other degree","","","",""
"Min 1x per month","1991","no degree/no degree yet","","","",""
"Rarely","1991","lower secondary degree","","","",""
"Rarely","1991","secondary school degree","","","",""
"Rarely","1991","college entrance qualification","","","",""
"Rarely","1991","Other degree","","","",""
"Rarely","1991","no degree/no degree yet","","","",""
"Never","1991","lower secondary degree","","","",""
"Never","1991","secondary school degree","","","",""
"Never","1991","college entrance qualification","","","",""
"Never","1991","Other degree","","","",""
"Never","1991","no degree/no degree yet","","","",""
"Daily","1992","lower secondary degree","","","",""
"Daily","1992","secondary school degree","","","",""
"Daily","1992","college entrance qualification","","","",""
"Daily","1992","Other degree","","","",""
"Daily","1992","no degree/no degree yet","","","",""
"Min 1x per week","1992","lower secondary degree","","","",""
"Min 1x per week","1992","secondary school degree","","","",""
"Min 1x per week","1992","college entrance qualification","","","",""
"Min 1x per week","1992","Other degree","","","",""
"Min 1x per week","1992","no degree/no degree yet","","","",""
"Min 1x per month","1992","lower secondary degree","","","",""
"Min 1x per month","1992","secondary school degree","","","",""
"Min 1x per month","1992","college entrance qualification","","","",""
"Min 1x per month","1992","Other degree","","","",""
"Min 1x per month","1992","no degree/no degree yet","","","",""
"Rarely","1992","lower secondary degree","","","",""
"Rarely","1992","secondary school degree","","","",""
"Rarely","1992","college entrance qualification","","","",""
"Rarely","1992","Other degree","","","",""
"Rarely","1992","no degree/no degree yet","","","",""
"Never","1992","lower secondary degree","","","",""
"Never","1992","secondary school degree","","","",""
"Never","1992","college entrance qualification","","","",""
"Never","1992","Other degree","","","",""
"Never","1992","no degree/no degree yet","","","",""
"Daily","1993","lower secondary degree","","","",""
"Daily","1993","secondary school degree","","","",""
"Daily","1993","college entrance qualification","","","",""
"Daily","1993","Other degree","","","",""
"Daily","1993","no degree/no degree yet","","","",""
"Min 1x per week","1993","lower secondary degree","","","",""
"Min 1x per week","1993","secondary school degree","","","",""
"Min 1x per week","1993","college entrance qualification","","","",""
"Min 1x per week","1993","Other degree","","","",""
"Min 1x per week","1993","no degree/no degree yet","","","",""
"Min 1x per month","1993","lower secondary degree","","","",""
"Min 1x per month","1993","secondary school degree","","","",""
"Min 1x per month","1993","college entrance qualification","","","",""
"Min 1x per month","1993","Other degree","","","",""
"Min 1x per month","1993","no degree/no degree yet","","","",""
"Rarely","1993","lower secondary degree","","","",""
"Rarely","1993","secondary school degree","","","",""
"Rarely","1993","college entrance qualification","","","",""
"Rarely","1993","Other degree","","","",""
"Rarely","1993","no degree/no degree yet","","","",""
"Never","1993","lower secondary degree","","","",""
"Never","1993","secondary school degree","","","",""
"Never","1993","college entrance qualification","","","",""
"Never","1993","Other degree","","","",""
"Never","1993","no degree/no degree yet","","","",""
"Daily","1994","lower secondary degree","","","",""
"Daily","1994","secondary school degree","","","",""
"Daily","1994","college entrance qualification","","","",""
"Daily","1994","Other degree","","","",""
"Daily","1994","no degree/no degree yet","","","",""
"Min 1x per week","1994","lower secondary degree","","","",""
"Min 1x per week","1994","secondary school degree","","","",""
"Min 1x per week","1994","college entrance qualification","","","",""
"Min 1x per week","1994","Other degree","","","",""
"Min 1x per week","1994","no degree/no degree yet","","","",""
"Min 1x per month","1994","lower secondary degree","","","",""
"Min 1x per month","1994","secondary school degree","","","",""
"Min 1x per month","1994","college entrance qualification","","","",""
"Min 1x per month","1994","Other degree","","","",""
"Min 1x per month","1994","no degree/no degree yet","","","",""
"Rarely","1994","lower secondary degree","","","",""
"Rarely","1994","secondary school degree","","","",""
"Rarely","1994","college entrance qualification","","","",""
"Rarely","1994","Other degree","","","",""
"Rarely","1994","no degree/no degree yet","","","",""
"Never","1994","lower secondary degree","","","",""
"Never","1994","secondary school degree","","","",""
"Never","1994","college entrance qualification","","","",""
"Never","1994","Other degree","","","",""
"Never","1994","no degree/no degree yet","","","",""
"Daily","1995","lower secondary degree","12","","",""
"Daily","1995","secondary school degree","3","","",""
"Daily","1995","college entrance qualification","1","","",""
"Daily","1995","Other degree","2","","",""
"Daily","1995","no degree/no degree yet","2","","",""
"Min 1x per week","1995","lower secondary degree","283","0.0557400618163881","0.0496165204713554","0.0618636031614208"
"Min 1x per week","1995","secondary school degree","210","0.0669208222867915","0.0587307220073025","0.0751109225662806"
"Min 1x per week","1995","college entrance qualification","131","0.0773501219709531","0.0653726072511832","0.089327636690723"
"Min 1x per week","1995","Other degree","47","0.0483813056667151","0.0360968883946692","0.060665722938761"
"Min 1x per week","1995","no degree/no degree yet","22","","",""
"Min 1x per month","1995","lower secondary degree","1276","0.231172200592872","0.219919532945602","0.242424868240141"
"Min 1x per month","1995","secondary school degree","1144","0.314539882564126","0.299321156787947","0.329758608340305"
"Min 1x per month","1995","college entrance qualification","756","0.419701231782931","0.397574682277021","0.441827781288841"
"Min 1x per month","1995","Other degree","222","0.208424942941635","0.185170540652211","0.231679345231058"
"Min 1x per month","1995","no degree/no degree yet","132","0.167146737492549","0.142152240196484","0.192141234788615"
"Rarely","1995","lower secondary degree","2995","0.533965813662327","0.520650887461972","0.547280739862681"
"Rarely","1995","secondary school degree","2008","0.55644254288468","0.540159542175653","0.572725543593706"
"Rarely","1995","college entrance qualification","946","0.459580133526205","0.43723597397201","0.4819242930804"
"Rarely","1995","Other degree","628","0.518209231868476","0.48960264164196","0.546815822094992"
