"pli0082","year","pgcasmin","sex","n","percent","lower_confidence","upper_confidence"
"Daily","1990","(0) in school","Male","1","","",""
"Daily","1990","(0) in school","Female","","","",""
"Daily","1990","(1a) inadequately completed","Male","1","","",""
"Daily","1990","(1a) inadequately completed","Female","2","","",""
"Daily","1990","(1b) general elementary school","Male","7","","",""
"Daily","1990","(1b) general elementary school","Female","6","","",""
"Daily","1990","(1c) basic vocational qualification","Male","6","","",""
"Daily","1990","(1c) basic vocational qualification","Female","4","","",""
"Daily","1990","(2b) intermediate general qualification","Male","","","",""
"Daily","1990","(2b) intermediate general qualification","Female","1","","",""
"Daily","1990","(2a) intermediate vocational","Male","1","","",""
"Daily","1990","(2a) intermediate vocational","Female","1","","",""
"Daily","1990","(2c_gen) general maturity certificate","Male","","","",""
"Daily","1990","(2c_gen) general maturity certificate","Female","","","",""
"Daily","1990","(2c_voc) vocational maturity certificate","Male","1","","",""
"Daily","1990","(2c_voc) vocational maturity certificate","Female","","","",""
"Daily","1990","(3a) lower tertiary education","Male","","","",""
"Daily","1990","(3a) lower tertiary education","Female","1","","",""
"Daily","1990","(3b) higher tertiary education","Male","2","","",""
"Daily","1990","(3b) higher tertiary education","Female","","","",""
"Min 1x per week","1990","(0) in school","Male","6","","",""
"Min 1x per week","1990","(0) in school","Female","2","","",""
"Min 1x per week","1990","(1a) inadequately completed","Male","14","","",""
"Min 1x per week","1990","(1a) inadequately completed","Female","18","","",""
"Min 1x per week","1990","(1b) general elementary school","Male","52","0.0760584947606975","0.0572240915260164","0.0948928979953786"
"Min 1x per week","1990","(1b) general elementary school","Female","73","0.0485226207407683","0.0371819872128041","0.0598632542687325"
"Min 1x per week","1990","(1c) basic vocational qualification","Male","142","0.0805894975211381","0.068268626559544","0.0929103684827323"
"Min 1x per week","1990","(1c) basic vocational qualification","Female","109","0.0868652402087905","0.0717913914982631","0.101939088919318"
"Min 1x per week","1990","(2b) intermediate general qualification","Male","9","","",""
"Min 1x per week","1990","(2b) intermediate general qualification","Female","13","","",""
"Min 1x per week","1990","(2a) intermediate vocational","Male","44","0.0902190986708938","0.0658281997729422","0.114609997568845"
"Min 1x per week","1990","(2a) intermediate vocational","Female","68","0.10275610439122","0.0808046402145324","0.124707568567908"
"Min 1x per week","1990","(2c_gen) general maturity certificate","Male","17","","",""
"Min 1x per week","1990","(2c_gen) general maturity certificate","Female","10","","",""
"Min 1x per week","1990","(2c_voc) vocational maturity certificate","Male","25","","",""
