"pli0082","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"Daily","1990","no migration background","in school","","","","","1"
"Daily","1990","no migration background","inadequately","2","","","","1"
"Daily","1990","no migration background","general elemantary","6","","","","1"
"Daily","1990","no migration background","middle vocational","9","","","","1"
"Daily","1990","no migration background","vocational + Abi","","","","","1"
"Daily","1990","no migration background","higher vocational","2","","","","1"
"Daily","1990","no migration background","higher education","3","","","","1"
"Daily","1990","direct migration background","in school","","","","","1"
"Daily","1990","direct migration background","inadequately","1","","","","1"
"Daily","1990","direct migration background","general elemantary","8","","","","1"
"Daily","1990","direct migration background","middle vocational","1","","","","1"
"Daily","1990","direct migration background","vocational + Abi","","","","","1"
"Daily","1990","direct migration background","higher vocational","1","","","","1"
"Daily","1990","direct migration background","higher education","","","","","1"
"Daily","1990","indirect migration background","in school","1","","","","1"
"Daily","1990","indirect migration background","inadequately","","","","","1"
"Daily","1990","indirect migration background","general elemantary","","","","","1"
"Daily","1990","indirect migration background","middle vocational","","","","","1"
"Daily","1990","indirect migration background","vocational + Abi","","","","","1"
"Daily","1990","indirect migration background","higher vocational","","","","","1"
"Daily","1990","indirect migration background","higher education","","","","","1"
"Min 1x per month","1990","indirect migration background","vocational + Abi","2","","","","3"
"Min 1x per month","1990","direct migration background","in school","8","","","","3"
"Min 1x per month","1990","direct migration background","inadequately","78","0.168283819111625","0.136989127667135","0.199578510556116","3"
"Min 1x per month","1990","direct migration background","vocational + Abi","26","","","","3"
"Min 1x per month","1990","indirect migration background","general elemantary","33","0.276097127660586","0.194741014709566","0.357453240611606","3"
"Min 1x per month","1990","indirect migration background","middle vocational","40","0.362223090430919","0.266076267908476","0.458369912953362","3"
"Min 1x per month","1990","direct migration background","general elemantary","181","0.21480448811973","0.187179326609536","0.242429649629924","3"
"Min 1x per month","1990","direct migration background","middle vocational","227","0.312874560471419","0.280764954728491","0.344984166214347","3"
"Min 1x per month","1990","direct migration background","higher vocational","17","","","","3"
"Min 1x per month","1990","direct migration background","higher education","41","0.559743727240654","0.456610055035807","0.662877399445501","3"
"Min 1x per month","1990","indirect migration background","in school","4","","","","3"
"Min 1x per month","1990","indirect migration background","inadequately","2","","","","3"
"Min 1x per month","1990","indirect migration background","higher vocational","4","","","","3"
"Min 1x per month","1990","indirect migration background","higher education","3","","","","3"
"Min 1x per month","1990","no migration background","in school","30","0.307205665524122","0.217234327703527","0.397177003344718","3"
"Min 1x per month","1990","no migration background","inadequately","15","","","","3"
"Min 1x per month","1990","no migration background","general elemantary","407","0.256702122180423","0.234633459475858","0.278770784884989","3"
"Min 1x per month","1990","no migration background","middle vocational","1221","0.331347437966615","0.316075180946198","0.346619694987031","3"
"Min 1x per month","1990","no migration background","vocational + Abi","88","0.464515374600114","0.393785163073737","0.535245586126492","3"
"Min 1x per month","1990","no migration background","higher vocational","185","0.39165974946204","0.346956087640889","0.436363411283191","3"
"Min 1x per month","1990","no migration background","higher education","290","0.452597491183161","0.412935011140575","0.492259971225748","3"
"Min 1x per week","1990","indirect migration background","in school","1","","","","2"
"Min 1x per week","1990","indirect migration background","inadequately","1","","","","2"
"Min 1x per week","1990","indirect migration background","general elemantary","11","","","","2"
"Min 1x per week","1990","indirect migration background","middle vocational","5","","","","2"
"Min 1x per week","1990","indirect migration background","vocational + Abi","","","","","2"
"Min 1x per week","1990","indirect migration background","higher vocational","","","","","2"
"Min 1x per week","1990","indirect migration background","higher education","","","","","2"
"Min 1x per week","1990","no migration background","in school","5","","","","2"
"Min 1x per week","1990","no migration background","inadequately","3","","","","2"
"Min 1x per week","1990","no migration background","general elemantary","89","0.0545328673147352","0.0430610499112094","0.066004684718261","2"
"Min 1x per week","1990","no migration background","middle vocational","312","0.0896451986632515","0.0803762597517317","0.0989141375747713","2"
"Min 1x per week","1990","no migration background","vocational + Abi","15","","","","2"
"Min 1x per week","1990","no migration background","higher vocational","42","0.105439871100322","0.0773129267498135","0.13356681545083","2"
"Min 1x per week","1990","no migration background","higher education","75","0.136044080537654","0.108725632659911","0.163362528415397","2"
"Min 1x per week","1990","direct migration background","in school","2","","","","2"
"Min 1x per week","1990","direct migration background","inadequately","28","","","","2"
"Min 1x per week","1990","direct migration background","general elemantary","44","0.0611724977486489","0.0450524896951519","0.077292505802146","2"
"Min 1x per week","1990","direct migration background","middle vocational","50","0.0729801421530705","0.0549674467905739","0.0909928375155671","2"
"Min 1x per week","1990","direct migration background","vocational + Abi","11","","","","2"
"Min 1x per week","1990","direct migration background","higher vocational","2","","","","2"
"Min 1x per week","1990","direct migration background","higher education","9","","","","2"
"Never","1990","indirect migration background","in school","8","","","","5"
"Never","1990","indirect migration background","vocational + Abi","1","","","","5"
"Never","1990","indirect migration background","inadequately","4","","","","5"
"Never","1990","indirect migration background","general elemantary","14","","","","5"
"Never","1990","indirect migration background","middle vocational","6","","","","5"
"Never","1990","direct migration background","in school","2","","","","5"
"Never","1990","direct migration background","inadequately","179","0.341271066578538","0.301609942085381","0.380932191071695","5"
"Never","1990","direct migration background","general elemantary","210","0.202246066404011","0.175227097914913","0.229265034893109","5"
"Never","1990","indirect migration background","higher vocational","","","","","5"
"Never","1990","indirect migration background","higher education","","","","","5"
"Never","1990","direct migration background","middle vocational","151","0.138595411159976","0.114667221129719","0.162523601190233","5"
"Never","1990","direct migration background","vocational + Abi","16","","","","5"
"Never","1990","direct migration background","higher vocational","4","","","","5"
"Never","1990","direct migration background","higher education","6","","","","5"
"Never","1990","no migration background","in school","1","","","","5"
"Never","1990","no migration background","inadequately","15","","","","5"
"Never","1990","no migration background","general elemantary","242","0.185183573132877","0.165558514687465","0.20480863157829","5"
"Never","1990","no migration background","middle vocational","240","0.0801359028078716","0.0713267009731213","0.088945104642622","5"
"Never","1990","no migration background","vocational + Abi","9","","","","5"
"Never","1990","no migration background","higher vocational","17","","","","5"
"Never","1990","no migration background","higher education","9","","","","5"
"Rarely","1990","no migration background","general elemantary","761","0.498840683027437","0.473579791265282","0.524101574789591","4"
"Rarely","1990","no migration background","middle vocational","1867","0.496859133487104","0.480636453739907","0.5130818132343","4"
"Rarely","1990","no migration background","vocational + Abi","79","0.397735040965692","0.328325026873121","0.467145055058263","4"
"Rarely","1990","no migration background","higher vocational","212","0.454874163798923","0.409269488276334","0.500478839321513","4"
"Rarely","1990","no migration background","higher education","228","0.394229764727588","0.355289484343956","0.433170045111221","4"
"Rarely","1990","direct migration background","in school","15","","","","4"
"Rarely","1990","direct migration background","inadequately","263","0.441884026027764","0.400342896959074","0.483425155096454","4"
"Rarely","1990","direct migration background","general elemantary","406","0.513823703766177","0.480203665459191","0.547443742073163","4"
"Rarely","1990","direct migration background","middle vocational","372","0.475374332787819","0.44079039313652","0.509958272439117","4"
"Rarely","1990","direct migration background","vocational + Abi","42","0.470568795607309","0.370199097427457","0.570938493787161","4"
"Rarely","1990","direct migration background","higher vocational","25","","","","4"
"Rarely","1990","direct migration background","higher education","33","0.296032440072692","0.201190798275744","0.39087408186964","4"
"Rarely","1990","indirect migration background","in school","20","","","","4"
"Rarely","1990","indirect migration background","inadequately","11","","","","4"
"Rarely","1990","no migration background","in school","65","0.634485405326283","0.540567027272284","0.728403783380281","4"
"Rarely","1990","no migration background","inadequately","30","0.452521724456954","0.331519159958447","0.573524288955462","4"
"Rarely","1990","indirect migration background","general elemantary","58","0.52187384133566","0.430971909438326","0.612775773232994","4"
"Rarely","1990","indirect migration background","middle vocational","45","0.487613617328302","0.387625319104053","0.58760191555255","4"
"Rarely","1990","indirect migration background","vocational + Abi","4","","","","4"
"Rarely","1990","indirect migration background","higher vocational","2","","","","4"
"Rarely","1990","indirect migration background","higher education","","","","","4"
"Daily","1991","no migration background","in school","","","","","1"
"Daily","1991","no migration background","inadequately","","","","","1"
"Daily","1991","no migration background","general elemantary","","","","","1"
"Daily","1991","no migration background","middle vocational","","","","","1"
"Daily","1991","no migration background","vocational + Abi","","","","","1"
"Daily","1991","no migration background","higher vocational","","","","","1"
"Daily","1991","no migration background","higher education","","","","","1"
"Daily","1991","direct migration background","in school","","","","","1"
"Daily","1991","direct migration background","inadequately","","","","","1"
"Daily","1991","direct migration background","general elemantary","","","","","1"
"Daily","1991","direct migration background","middle vocational","","","","","1"
"Daily","1991","direct migration background","vocational + Abi","","","","","1"
"Daily","1991","direct migration background","higher vocational","","","","","1"
"Daily","1991","direct migration background","higher education","","","","","1"
"Daily","1991","indirect migration background","in school","","","","","1"
"Daily","1991","indirect migration background","inadequately","","","","","1"
"Daily","1991","indirect migration background","general elemantary","","","","","1"
"Daily","1991","indirect migration background","middle vocational","","","","","1"
"Daily","1991","indirect migration background","vocational + Abi","","","","","1"
"Daily","1991","indirect migration background","higher vocational","","","","","1"
"Daily","1991","indirect migration background","higher education","","","","","1"
"Min 1x per month","1991","indirect migration background","middle vocational","","","","","3"
"Min 1x per month","1991","indirect migration background","vocational + Abi","","","","","3"
"Min 1x per month","1991","direct migration background","in school","","","","","3"
"Min 1x per month","1991","direct migration background","inadequately","","","","","3"
"Min 1x per month","1991","direct migration background","general elemantary","","","","","3"
"Min 1x per month","1991","direct migration background","middle vocational","","","","","3"
"Min 1x per month","1991","direct migration background","vocational + Abi","","","","","3"
"Min 1x per month","1991","direct migration background","higher vocational","","","","","3"
"Min 1x per month","1991","direct migration background","higher education","","","","","3"
"Min 1x per month","1991","indirect migration background","in school","","","","","3"
"Min 1x per month","1991","indirect migration background","inadequately","","","","","3"
"Min 1x per month","1991","indirect migration background","general elemantary","","","","","3"
"Min 1x per month","1991","indirect migration background","higher vocational","","","","","3"
"Min 1x per month","1991","indirect migration background","higher education","","","","","3"
"Min 1x per month","1991","no migration background","in school","","","","","3"
"Min 1x per month","1991","no migration background","inadequately","","","","","3"
"Min 1x per month","1991","no migration background","general elemantary","","","","","3"
"Min 1x per month","1991","no migration background","middle vocational","","","","","3"
"Min 1x per month","1991","no migration background","vocational + Abi","","","","","3"
"Min 1x per month","1991","no migration background","higher vocational","","","","","3"
"Min 1x per month","1991","no migration background","higher education","","","","","3"
"Min 1x per week","1991","indirect migration background","in school","","","","","2"
"Min 1x per week","1991","indirect migration background","inadequately","","","","","2"
"Min 1x per week","1991","indirect migration background","general elemantary","","","","","2"
"Min 1x per week","1991","indirect migration background","middle vocational","","","","","2"
"Min 1x per week","1991","indirect migration background","vocational + Abi","","","","","2"
"Min 1x per week","1991","indirect migration background","higher vocational","","","","","2"
"Min 1x per week","1991","indirect migration background","higher education","","","","","2"
"Min 1x per week","1991","direct migration background","vocational + Abi","","","","","2"
"Min 1x per week","1991","direct migration background","higher vocational","","","","","2"
"Min 1x per week","1991","direct migration background","higher education","","","","","2"
