"year","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1990","direct migration background","","","","","","","","","","",""
"1990","indirect migration background","","","","","","","","","","",""
"1990","no migration background","7.53","8","1463","3","6","10","10","7.39","7.67","8","8"
"1991","direct migration background","","","","","","","","","","",""
"1991","indirect migration background","","","","","","","","","","",""
"1991","no migration background","","","","","","","","","","",""
"1992","direct migration background","","","","","","","","","","",""
"1992","indirect migration background","","","","","","","","","","",""
"1992","no migration background","","","","","","","","","","",""
"1993","direct migration background","","","","","","","","","","",""
"1993","indirect migration background","","","","","","","","","","",""
"1993","no migration background","","","","","","","","","","",""
"1994","direct migration background","","","","","","","","","","",""
"1994","indirect migration background","","","","","","","","","","",""
"1994","no migration background","","","","","","","","","","",""
"1995","direct migration background","","","","","","","","","","",""
"1995","indirect migration background","","","","","","","","","","",""
"1995","no migration background","","","","","","","","","","",""
"1996","direct migration background","","","","","","","","","","",""
"1996","indirect migration background","","","","","","","","","","",""
"1996","no migration background","","","","","","","","","","",""
"1997","direct migration background","6.38","7","885","3","5","8","10","6.22","6.54","7","7"
"1997","indirect migration background","6.21","6.57","123","3","5","8","10","5.77","6.65","7","8"
"1997","no migration background","6.39","7","2452","3","5","8","9","6.3","6.48","7","7"
"1998","direct migration background","6.43","7","829","3","5","8","10","6.27","6.59","7","7"
"1998","indirect migration background","5.45","5","124","0","4","8","9","4.98","5.92","6","8"
"1998","no migration background","6.61","7","2723","3","5","8","10","6.52","6.7","7","7"
"1999","direct migration background","6.53","7","788","4","5","8","9","6.37","6.69","7","7"
"1999","indirect migration background","5.85","6","143","0","4","8","10","5.4","6.3","6","8"
"1999","no migration background","6.58","7","2685","3","5","8","10","6.49","6.67","7","7"
"2000","direct migration background","6.71","7","1171","3","5","8","10","6.57","6.85","7","7"
"2000","indirect migration background","6.19","7","199","2","5","8","10","5.81","6.57","7","8"
"2000","no migration background","6.48","7","4574","2","5","8","10","6.4","6.56","7","7"
"2001","direct migration background","6.9","8","835","3","5","9","10","6.73","7.07","7","8"
"2001","indirect migration background","6.3","7","171","2","5","9","10","5.89","6.71","7","8"
"2001","no migration background","6.33","7","3393","2","5","8","10","6.24","6.42","7","7"
"2002","direct migration background","6.52","7","730","3","5","8","10","6.34","6.7","7","7"
"2002","indirect migration background","6.81","7","165","3","5","9","10","6.45","7.17","7","8"
"2002","no migration background","6.37","7","3214","3","5","8","10","6.28","6.46","7","7"
"2003","direct migration background","6.49","7","1151","3","5","8","10","6.35","6.63","7","7"
"2003","indirect migration background","6.22","6","344","4","5","8","10","5.98","6.46","6","7"
"2003","no migration background","6.2","7","7770","3","5","8","9","6.15","6.25","7","7"
"2004","direct migration background","6.31","7","635","3","5","8","9","6.11","6.51","7","7"
"2004","indirect migration background","6.34","7","209","2","5","8","9","6.03","6.65","7","7"
"2004","no migration background","6.25","7","3070","2","5","8","10","6.16","6.34","7","7"
"2005","direct migration background","6.23","7","571","2","5","8","10","6.01","6.45","7","7"
"2005","indirect migration background","6.66","7","212","3","5","9","10","6.3","7.02","7","8"
"2005","no migration background","6.05","7","2949","1","4","8","10","5.95","6.15","7","7"
"2006","direct migration background","6.09","6","539","2","4","8","10","5.87","6.31","6","7"
"2006","indirect migration background","5.88","7","202","1","4","8","9","5.5","6.26","6","7"
"2006","no migration background","6.13","7","2861","1","5","8","9","6.03","6.23","7","7"
"2007","direct migration background","6.1","7","471","1","5","8","9","5.86","6.34","7","7"
"2007","indirect migration background","6.7","7","192","3","5","8","10","6.32","7.08","7","8"
"2007","no migration background","6.15","7","2770","1","5","8","9","6.05","6.25","7","7"
"2008","direct migration background","6.61","7","395","3","5","8","10","6.36","6.86","7","8"
"2008","indirect migration background","6.3","7","190","1","5","8","10","5.92","6.68","7","8"
"2008","no migration background","6.64","7","2285","3","5","8","10","6.54","6.74","7","8"
"2009","direct migration background","6.5","7","334","1","5","9","10","6.21","6.79","7","8"
"2009","indirect migration background","6.95","8","174","3","6","9","10","6.58","7.32","7","8"
"2009","no migration background","6.62","7","2177","3","5","9","10","6.51","6.73","7","8"
"2010","direct migration background","6.7","8","1287","1","5","9","10","6.55","6.85","8","8"
"2010","indirect migration background","6.47","7","461","2","5","9","10","6.21","6.73","7","8"
"2010","no migration background","6.73","7","5133","2","5","9","10","6.66","6.8","8","8"
"2011","direct migration background","7.24","8","1222","4","6","9","10","7.11","7.37","8","8"
"2011","indirect migration background","6.87","8","492","2","5","9","10","6.64","7.1","8","8"
"2011","no migration background","6.87","8","5547","3","5","9","10","6.81","6.93","8","8"
"2012","direct migration background","7.28","8","1153","5","6","9","10","7.15","7.41","8","8"
"2012","indirect migration background","7.23","8","450","4","6","9","10","7.01","7.45","8","8"
"2012","no migration background","7.09","8","5122","4","6","9","10","7.03","7.15","8","8"
"2013","direct migration background","7","8","1052","3","5","9","10","6.87","7.13","8","8"
"2013","indirect migration background","7.24","8","398","4","6","9","10","7","7.48","8","8"
"2013","no migration background","7.14","8","4663","4","6","9","10","7.08","7.2","8","8"
"2014","direct migration background","7.23","8","1692","4","6","9","10","7.12","7.34","8","8"
"2014","indirect migration background","7.23","8","538","3","6","9","10","7.04","7.42","8","8"
"2014","no migration background","7.04","8","4132","3","6","9","10","6.97","7.11","8","8"
"2015","direct migration background","7.41","8","1348","4","6","9","10","7.29","7.53","8","8"
