"year","age_gr","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1990","16-34 y.","general elemantary","","","","","","","","","","",""
"1990","16-34 y.","higher education","7.74","8","265","4","7","10","10","7.46","8.02","8","9"
"1990","16-34 y.","higher vocational","7.76","9","38","2","6","10","10","6.77","8.75","8","10"
"1990","16-34 y.","in school","","","","","","","","","","",""
"1990","16-34 y.","inadequately","","","","","","","","","","",""
"1990","16-34 y.","middle vocational","7.46","8","618","3","6","10","10","7.24","7.68","8","9"
"1990","16-34 y.","vocational + Abi","","","","","","","","","","",""
"1990","35-65 y.","general elemantary","","","","","","","","","","",""
"1990","35-65 y.","higher education","7.24","8","169","4","6","9","10","6.89","7.59","8","8"
"1990","35-65 y.","higher vocational","8.32","9","42","5","8","10","10","7.7","8.94","8","10"
"1990","35-65 y.","in school","","","","","","","","","","",""
"1990","35-65 y.","inadequately","","","","","","","","","","",""
"1990","35-65 y.","middle vocational","7.84","8","256","5","7","10","10","7.55","8.13","8","9"
"1990","35-65 y.","vocational + Abi","","","","","","","","","","",""
"1990","66 and older","general elemantary","","","","","","","","","","",""
"1990","66 and older","higher education","","","","","","","","","","",""
"1990","66 and older","higher vocational","","","","","","","","","","",""
"1990","66 and older","in school","","","","","","","","","","",""
"1990","66 and older","inadequately","","","","","","","","","","",""
"1990","66 and older","middle vocational","","","","","","","","","","",""
"1990","66 and older","vocational + Abi","","","","","","","","","","",""
"1991","16-34 y.","general elemantary","","","","","","","","","","",""
"1991","16-34 y.","higher education","","","","","","","","","","",""
"1991","16-34 y.","higher vocational","","","","","","","","","","",""
"1991","16-34 y.","in school","","","","","","","","","","",""
"1991","16-34 y.","inadequately","","","","","","","","","","",""
"1991","16-34 y.","middle vocational","","","","","","","","","","",""
"1991","16-34 y.","vocational + Abi","","","","","","","","","","",""
"1991","35-65 y.","general elemantary","","","","","","","","","","",""
"1991","35-65 y.","higher education","","","","","","","","","","",""
"1991","35-65 y.","higher vocational","","","","","","","","","","",""
"1991","35-65 y.","in school","","","","","","","","","","",""
"1991","35-65 y.","inadequately","","","","","","","","","","",""
"1991","35-65 y.","middle vocational","","","","","","","","","","",""
