"year","education","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"1990","college entrance qualification","Ostdeutschland, neue Bundeslaender","7.31","8","237","4","6","9","10","7","7.62","8","8"
"1990","college entrance qualification","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"1990","lower secondary degree","Ostdeutschland, neue Bundeslaender","7.62","8","254","3","6","10","10","7.26","7.98","8","9"
"1990","lower secondary degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"1990","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1990","no degree/no degree yet","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"1990","Other degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1990","Other degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"1990","secondary school degree","Ostdeutschland, neue Bundeslaender","7.56","8","976","4","6","10","10","7.4","7.72","8","9"
"1990","secondary school degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"1991","college entrance qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1991","college entrance qualification","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"1991","lower secondary degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1991","lower secondary degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"1991","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1991","no degree/no degree yet","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"1991","Other degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1991","Other degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"1991","secondary school degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1991","secondary school degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"1992","college entrance qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1992","college entrance qualification","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"1992","lower secondary degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1992","lower secondary degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"1992","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1992","no degree/no degree yet","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"1992","Other degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1992","Other degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"1992","secondary school degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1992","secondary school degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"1993","college entrance qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1993","college entrance qualification","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"1993","lower secondary degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1993","lower secondary degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"1993","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1993","no degree/no degree yet","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"1993","Other degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1993","Other degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"1993","secondary school degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1993","secondary school degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"1994","college entrance qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1994","college entrance qualification","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"1994","lower secondary degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1994","lower secondary degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"1994","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1994","no degree/no degree yet","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"1994","Other degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1994","Other degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"1994","secondary school degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1994","secondary school degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"1995","college entrance qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1995","college entrance qualification","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"1995","lower secondary degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1995","lower secondary degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"1995","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1995","no degree/no degree yet","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"1995","Other degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1995","Other degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"1995","secondary school degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1995","secondary school degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"1996","college entrance qualification","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1996","college entrance qualification","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"1996","lower secondary degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1996","lower secondary degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"1996","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1996","no degree/no degree yet","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"1996","Other degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1996","Other degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"1996","secondary school degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1996","secondary school degree","Westdeutschland, alte Bundeslaender","","","","","","","","","","",""
"1997","college entrance qualification","Ostdeutschland, neue Bundeslaender","6.56","7","118","3","5","8","9","6.16","6.96","7","7"
"1997","college entrance qualification","Westdeutschland, alte Bundeslaender","6.49","7","378","3","5","8","9","6.26","6.72","7","7"
"1997","lower secondary degree","Ostdeutschland, neue Bundeslaender","5.99","6","126","4","5","8","9","5.54","6.44","5","7"
"1997","lower secondary degree","Westdeutschland, alte Bundeslaender","6.35","7","986","3","5","8","10","6.2","6.5","7","7"
"1997","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1997","no degree/no degree yet","Westdeutschland, alte Bundeslaender","5.97","6","142","3","4","8","9","5.58","6.36","6","7"
"1997","Other degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1997","Other degree","Westdeutschland, alte Bundeslaender","6.38","7","394","3","5","8","10","6.14","6.62","7","7"
"1997","secondary school degree","Ostdeutschland, neue Bundeslaender","6.96","7","571","4","5","9","10","6.77","7.15","7","7"
"1997","secondary school degree","Westdeutschland, alte Bundeslaender","6.09","6.66","610","2","4","8","9","5.89","6.29","6","7"
"1998","college entrance qualification","Ostdeutschland, neue Bundeslaender","6.75","8","115","3","5","8","9","6.3","7.2","7","8"
"1998","college entrance qualification","Westdeutschland, alte Bundeslaender","6.76","7","455","3","5","9","10","6.55","6.97","7","7"
"1998","lower secondary degree","Ostdeutschland, neue Bundeslaender","6.72","7","132","3","5","8","10","6.3","7.14","7","8"
"1998","lower secondary degree","Westdeutschland, alte Bundeslaender","6.31","7","1026","3","5","8","10","6.16","6.46","7","7"
"1998","no degree/no degree yet","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
"1998","no degree/no degree yet","Westdeutschland, alte Bundeslaender","6.06","6","133","2","5","8","9","5.66","6.46","6","7"
"1998","Other degree","Ostdeutschland, neue Bundeslaender","","","","","","","","","","",""
