"year","education","hgtyp1hh","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"1990","college entrance qualification","(Married) couple without C.","2.77","3","308","2","2","3","4","5","2.68","2.86","1","5","2","3"
"1990","college entrance qualification","1-pers.-HH","2.4","2","185","2","2","3","4","5","2.29","2.51","1","5","2","2"
"1990","college entrance qualification","Couple + C. GT 16 ","2.65","2","277","2","2","3","4","5","2.54","2.76","1","5","2","3"
"1990","college entrance qualification","Couple + C. LE 16","2.65","3","265","2","2","3","4","4","2.55","2.75","1","5","2","3"
"1990","college entrance qualification","Couple + C. LE and GT 16","2.88","3","45","2","2","4","4","4","2.58","3.18","1","4","2","3"
"1990","college entrance qualification","Single parent","2.24","2","66","2","2","2","3","5","2.04","2.44","1","5","2","2"
"1990","lower secondary degree","(Married) couple without C.","2.97","3","1291","2","2","4","4","5","2.92","3.02","1","5","3","3"
"1990","lower secondary degree","1-pers.-HH","2.79","3","526","2","2","4","4","5","2.7","2.88","1","5","2","3"
"1990","lower secondary degree","Couple + C. GT 16 ","3.01","3","949","2","2","4","4","5","2.95","3.07","1","5","3","3"
"1990","lower secondary degree","Couple + C. LE 16","2.86","3","893","2","2","4","4","5","2.8","2.92","1","5","3","3"
"1990","lower secondary degree","Couple + C. LE and GT 16","2.83","3","340","2","2","4","4","5","2.72","2.94","1","5","2","3"
"1990","lower secondary degree","Single parent","2.81","3","232","2","2","4","4","5","2.67","2.95","1","5","2","3"
"1990","no degree/no degree yet","(Married) couple without C.","2.69","2","81","2","2","3","4","5","2.48","2.9","1","5","2","3"
"1990","no degree/no degree yet","1-pers.-HH","2.24","2","45","1","1","2","5","5","1.91","2.57","1","5","2","2"
"1990","no degree/no degree yet","Couple + C. GT 16 ","2.27","2","226","1","2","2","4","5","2.15","2.39","1","5","2","2"
"1990","no degree/no degree yet","Couple + C. LE 16","2.46","2","166","1","2","3","4","5","2.32","2.6","1","5","2","2"
"1990","no degree/no degree yet","Couple + C. LE and GT 16","2.36","2","180","1","2","3","4","5","2.21","2.51","1","5","2","2"
"1990","no degree/no degree yet","Single parent","2.8","2.38","40","1","2","4","4","5","2.42","3.18","1","5","2","3"
"1990","Other degree","(Married) couple without C.","2.41","2","157","1","2","3","4","5","2.26","2.56","1","5","2","2"
"1990","Other degree","1-pers.-HH","2.34","2","59","1","2","3","4","4","2.1","2.58","1","5","2","2"
"1990","Other degree","Couple + C. GT 16 ","2.59","2","188","2","2","3","4","5","2.46","2.72","1","5","2","2"
"1990","Other degree","Couple + C. LE 16","2.5","2","323","2","2","3","4","5","2.4","2.6","1","5","2","2"
"1990","Other degree","Couple + C. LE and GT 16","2.52","2","159","2","2","3","4","4","2.39","2.65","1","5","2","2"
"1990","Other degree","Single parent","2.66","2.57","30","1","2","3","4","5","2.21","3.11","1","5","2","3"
"1990","secondary school degree","(Married) couple without C.","2.88","3","438","2","2","4","4","5","2.8","2.96","1","5","3","3"
"1990","secondary school degree","1-pers.-HH","2.75","2","208","2","2","4","4","5","2.62","2.88","1","5","2","3"
"1990","secondary school degree","Couple + C. GT 16 ","2.72","3","364","2","2","3","4","5","2.62","2.82","1","5","2","3"
"1990","secondary school degree","Couple + C. LE 16","2.74","3","399","2","2","3","4","5","2.66","2.82","1","5","2","3"
"1990","secondary school degree","Couple + C. LE and GT 16","2.47","2","127","1","2","3","4","5","2.31","2.63","1","5","2","2"
"1990","secondary school degree","Single parent","2.62","2","77","2","2","3","4","5","2.43","2.81","1","5","2","2"
"1991","college entrance qualification","(Married) couple without C.","","","","","","","","","","","","","",""
"1991","college entrance qualification","1-pers.-HH","","","","","","","","","","","","","",""
"1991","college entrance qualification","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"1991","college entrance qualification","Couple + C. LE 16","","","","","","","","","","","","","",""
"1991","college entrance qualification","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1991","college entrance qualification","Single parent","","","","","","","","","","","","","",""
"1991","lower secondary degree","(Married) couple without C.","","","","","","","","","","","","","",""
"1991","lower secondary degree","1-pers.-HH","","","","","","","","","","","","","",""
"1991","lower secondary degree","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"1991","lower secondary degree","Couple + C. LE 16","","","","","","","","","","","","","",""
"1991","lower secondary degree","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1991","lower secondary degree","Single parent","","","","","","","","","","","","","",""
"1991","no degree/no degree yet","(Married) couple without C.","","","","","","","","","","","","","",""
"1991","no degree/no degree yet","1-pers.-HH","","","","","","","","","","","","","",""
"1991","no degree/no degree yet","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"1991","no degree/no degree yet","Couple + C. LE 16","","","","","","","","","","","","","",""
"1991","no degree/no degree yet","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1991","no degree/no degree yet","Single parent","","","","","","","","","","","","","",""
"1991","Other degree","(Married) couple without C.","","","","","","","","","","","","","",""
"1991","Other degree","1-pers.-HH","","","","","","","","","","","","","",""
"1991","Other degree","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"1991","Other degree","Couple + C. LE 16","","","","","","","","","","","","","",""
"1991","Other degree","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1991","Other degree","Single parent","","","","","","","","","","","","","",""
"1991","secondary school degree","(Married) couple without C.","","","","","","","","","","","","","",""
"1991","secondary school degree","1-pers.-HH","","","","","","","","","","","","","",""
"1991","secondary school degree","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"1991","secondary school degree","Couple + C. LE 16","","","","","","","","","","","","","",""
"1991","secondary school degree","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1991","secondary school degree","Single parent","","","","","","","","","","","","","",""
"1992","college entrance qualification","(Married) couple without C.","","","","","","","","","","","","","",""
"1992","college entrance qualification","1-pers.-HH","","","","","","","","","","","","","",""
"1992","college entrance qualification","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"1992","college entrance qualification","Couple + C. LE 16","","","","","","","","","","","","","",""
"1992","college entrance qualification","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1992","college entrance qualification","Single parent","","","","","","","","","","","","","",""
"1992","lower secondary degree","(Married) couple without C.","","","","","","","","","","","","","",""
"1992","lower secondary degree","1-pers.-HH","","","","","","","","","","","","","",""
"1992","lower secondary degree","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"1992","lower secondary degree","Couple + C. LE 16","","","","","","","","","","","","","",""
"1992","lower secondary degree","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1992","lower secondary degree","Single parent","","","","","","","","","","","","","",""
"1992","no degree/no degree yet","(Married) couple without C.","","","","","","","","","","","","","",""
"1992","no degree/no degree yet","1-pers.-HH","","","","","","","","","","","","","",""
"1992","no degree/no degree yet","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"1992","no degree/no degree yet","Couple + C. LE 16","","","","","","","","","","","","","",""
"1992","no degree/no degree yet","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1992","no degree/no degree yet","Single parent","","","","","","","","","","","","","",""
"1992","Other degree","(Married) couple without C.","","","","","","","","","","","","","",""
"1992","Other degree","1-pers.-HH","","","","","","","","","","","","","",""
"1992","Other degree","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"1992","Other degree","Couple + C. LE 16","","","","","","","","","","","","","",""
"1992","Other degree","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1992","Other degree","Single parent","","","","","","","","","","","","","",""
"1992","secondary school degree","(Married) couple without C.","","","","","","","","","","","","","",""
"1992","secondary school degree","1-pers.-HH","","","","","","","","","","","","","",""
"1992","secondary school degree","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"1992","secondary school degree","Couple + C. LE 16","","","","","","","","","","","","","",""
"1992","secondary school degree","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1992","secondary school degree","Single parent","","","","","","","","","","","","","",""
"1993","college entrance qualification","(Married) couple without C.","","","","","","","","","","","","","",""
"1993","college entrance qualification","1-pers.-HH","","","","","","","","","","","","","",""
"1993","college entrance qualification","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"1993","college entrance qualification","Couple + C. LE 16","","","","","","","","","","","","","",""
"1993","college entrance qualification","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1993","college entrance qualification","Single parent","","","","","","","","","","","","","",""
"1993","lower secondary degree","(Married) couple without C.","","","","","","","","","","","","","",""
"1993","lower secondary degree","1-pers.-HH","","","","","","","","","","","","","",""
"1993","lower secondary degree","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"1993","lower secondary degree","Couple + C. LE 16","","","","","","","","","","","","","",""
"1993","lower secondary degree","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1993","lower secondary degree","Single parent","","","","","","","","","","","","","",""
"1993","no degree/no degree yet","(Married) couple without C.","","","","","","","","","","","","","",""
"1993","no degree/no degree yet","1-pers.-HH","","","","","","","","","","","","","",""
"1993","no degree/no degree yet","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"1993","no degree/no degree yet","Couple + C. LE 16","","","","","","","","","","","","","",""
"1993","no degree/no degree yet","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1993","no degree/no degree yet","Single parent","","","","","","","","","","","","","",""
"1993","Other degree","(Married) couple without C.","","","","","","","","","","","","","",""
"1993","Other degree","1-pers.-HH","","","","","","","","","","","","","",""
"1993","Other degree","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"1993","Other degree","Couple + C. LE 16","","","","","","","","","","","","","",""
"1993","Other degree","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1993","Other degree","Single parent","","","","","","","","","","","","","",""
"1993","secondary school degree","(Married) couple without C.","","","","","","","","","","","","","",""
"1993","secondary school degree","1-pers.-HH","","","","","","","","","","","","","",""
"1993","secondary school degree","Couple + C. GT 16 ","","","","","","","","","","","","","",""
"1993","secondary school degree","Couple + C. LE 16","","","","","","","","","","","","","",""
"1993","secondary school degree","Couple + C. LE and GT 16","","","","","","","","","","","","","",""
"1993","secondary school degree","Single parent","","","","","","","","","","","","","",""
"1994","college entrance qualification","(Married) couple without C.","","","","","","","","","","","","","",""
"1994","college entrance qualification","1-pers.-HH","","","","","","","","","","","","","",""
