"pgoeffd","year","education","sampreg","n","percent","lower_confidence","upper_confidence"
"No","1988","lower secondary degree","West Germany","2146","0.797358732387099","0.781981638666716","0.812735826107482"
"No","1988","lower secondary degree","East Germany","","","",""
"No","1988","secondary school degree","West Germany","785","0.700928040724465","0.674065903780056","0.727790177668875"
"No","1988","secondary school degree","East Germany","","","",""
"No","1988","college entrance qualification","West Germany","432","0.57213464680181","0.536582624672987","0.607686668930632"
"No","1988","college entrance qualification","East Germany","","","",""
"No","1988","Other degree","West Germany","669","0.89413830376775","0.872001347221679","0.916275260313821"
"No","1988","Other degree","East Germany","","","",""
"No","1988","no degree/no degree yet","West Germany","355","0.917844933809679","0.890730420556069","0.94495944706329"
"No","1988","no degree/no degree yet","East Germany","","","",""
"Yes","1989","lower secondary degree","West Germany","479","0.199570807455307","0.184307446573089","0.214834168337525"
"Yes","1989","lower secondary degree","East Germany","","","",""
"Yes","1989","secondary school degree","West Germany","334","0.296801398824624","0.270328161706951","0.323274635942296"
"Yes","1989","secondary school degree","East Germany","","","",""
"Yes","1989","college entrance qualification","West Germany","312","0.398189452809408","0.364310055148623","0.432068850470193"
"Yes","1989","college entrance qualification","East Germany","","","",""
"Yes","1989","Other degree","West Germany","69","0.102512941428214","0.0807613400824981","0.124264542773929"
"Yes","1989","Other degree","East Germany","","","",""
"Yes","1989","no degree/no degree yet","West Germany","45","0.10780298054982","0.0772189082647501","0.13838705283489"
"Yes","1989","no degree/no degree yet","East Germany","","","",""
"No","1989","lower secondary degree","West Germany","2155","0.800429192544693","0.785165831662475","0.815692553426911"
"No","1989","lower secondary degree","East Germany","","","",""
"No","1989","secondary school degree","West Germany","810","0.703198601175376","0.676725364057703","0.729671838293049"
"No","1989","secondary school degree","East Germany","","","",""
"No","1989","college entrance qualification","West Germany","490","0.601810547190592","0.567931149529807","0.635689944851377"
"No","1989","college entrance qualification","East Germany","","","",""
"No","1989","Other degree","West Germany","678","0.897487058571786","0.875735457226071","0.919238659917502"
"No","1989","Other degree","East Germany","","","",""
"No","1989","no degree/no degree yet","West Germany","350","0.89219701945018","0.861612947165111","0.92278109173525"
"No","1989","no degree/no degree yet","East Germany","","","",""
"Yes","1990","lower secondary degree","West Germany","464","0.202699979525101","0.186991631572854","0.218408327477349"
"Yes","1990","lower secondary degree","East Germany","300","0.278894715716681","0.252689284430023","0.305100147003338"
"Yes","1990","secondary school degree","West Germany","333","0.301783326332293","0.274876038922646","0.328690613741941"
"Yes","1990","secondary school degree","East Germany","596","0.343150935685151","0.320753253295185","0.365548618075117"
"Yes","1990","college entrance qualification","West Germany","307","0.391608615010961","0.357549980202587","0.425667249819335"
"Yes","1990","college entrance qualification","East Germany","198","0.45146543195908","0.404914317468538","0.498016546449621"
"Yes","1990","Other degree","West Germany","62","0.0884940772497197","0.0675885163874405","0.109399638111999"
"Yes","1990","Other degree","East Germany","12","","",""
"Yes","1990","no degree/no degree yet","West Germany","38","0.0984829073774416","0.068162952582325","0.128802862172558"
"Yes","1990","no degree/no degree yet","East Germany","2","","",""
"No","1990","lower secondary degree","West Germany","2052","0.797300020474899","0.781591672522651","0.813008368427146"
"No","1990","lower secondary degree","East Germany","825","0.721105284283319","0.694899852996662","0.747310715569977"
"No","1990","secondary school degree","West Germany","785","0.698216673667707","0.671309386258059","0.725123961077354"
"No","1990","secondary school degree","East Germany","1130","0.656849064314849","0.634451381924883","0.679246746704815"
"No","1990","college entrance qualification","West Germany","482","0.608391384989039","0.574332750180665","0.642450019797413"
"No","1990","college entrance qualification","East Germany","241","0.54853456804092","0.501983453550379","0.595085682531462"
"No","1990","Other degree","West Germany","647","0.91150592275028","0.890600361888001","0.93241148361256"
"No","1990","Other degree","East Germany","22","","",""
"No","1990","no degree/no degree yet","West Germany","333","0.901517092622558","0.871197137827442","0.931837047417675"
"No","1990","no degree/no degree yet","East Germany","4","","",""
"Yes","1991","lower secondary degree","West Germany","474","0.203005270429781","0.187511274157227","0.218499266702335"
"Yes","1991","lower secondary degree","East Germany","213","0.277192973420632","0.246722926906085","0.30766301993518"
"Yes","1991","secondary school degree","West Germany","350","0.295588058525621","0.269283805628361","0.321892311422881"
"Yes","1991","secondary school degree","East Germany","510","0.321970939318046","0.298733147607452","0.34520873102864"
"Yes","1991","college entrance qualification","West Germany","327","0.387182297722228","0.35460801161386","0.419756583830596"
"Yes","1991","college entrance qualification","East Germany","162","0.419850158920988","0.370805633084836","0.46889468475714"
"Yes","1991","Other degree","West Germany","73","0.120646636255206","0.0968716769524884","0.144421595557925"
"Yes","1991","Other degree","East Germany","6","","",""
"Yes","1991","no degree/no degree yet","West Germany","46","0.133467605894229","0.099628992020648","0.167306219767809"
"Yes","1991","no degree/no degree yet","East Germany","1","","",""
"No","1991","lower secondary degree","West Germany","2115","0.796994729570219","0.781500733297665","0.812488725842774"
"No","1991","lower secondary degree","East Germany","616","0.722807026579368","0.69233698006482","0.753277073093915"
"No","1991","secondary school degree","West Germany","806","0.704411941474379","0.678107688577119","0.730716194371639"
"No","1991","secondary school degree","East Germany","1043","0.678029060681954","0.654791268971361","0.701266852392548"
"No","1991","college entrance qualification","West Germany","532","0.612817702277772","0.580243416169404","0.64539198838614"
"No","1991","college entrance qualification","East Germany","227","0.580149841079012","0.53110531524286","0.629194366915164"
"No","1991","Other degree","West Germany","648","0.879353363744794","0.855578404442075","0.903128323047512"
"No","1991","Other degree","East Germany","17","","",""
"No","1991","no degree/no degree yet","West Germany","342","0.866532394105771","0.832693780232191","0.900371007979352"
"No","1991","no degree/no degree yet","East Germany","2","","",""
"Yes","1992","lower secondary degree","West Germany","451","0.200000591157539","0.184158439329511","0.215842742985568"
"Yes","1992","lower secondary degree","East Germany","197","0.320829902898239","0.284636921466724","0.357022884329754"
"Yes","1992","secondary school degree","West Germany","361","0.308799796728977","0.282144371318129","0.335455222139824"
"Yes","1992","secondary school degree","East Germany","498","0.355411343040301","0.330158195308345","0.380664490772257"
"Yes","1992","college entrance qualification","West Germany","334","0.414806408796423","0.381527846565914","0.448084971026931"
"Yes","1992","college entrance qualification","East Germany","160","0.470197090328807","0.418277524425386","0.522116656232229"
"Yes","1992","Other degree","West Germany","68","0.107203364652985","0.0837426984558838","0.130664030850087"
"Yes","1992","Other degree","East Germany","6","","",""
"Yes","1992","no degree/no degree yet","West Germany","44","0.1668460160986","0.126861171187937","0.206830861009264"
"Yes","1992","no degree/no degree yet","East Germany","3","","",""
"No","1992","lower secondary degree","West Germany","1998","0.799999408842461","0.784157257014432","0.81584156067049"
"No","1992","lower secondary degree","East Germany","442","0.679170097101761","0.642977115670246","0.715363078533276"
"No","1992","secondary school degree","West Germany","793","0.691200203271023","0.664544777860176","0.71785562868187"
"No","1992","secondary school degree","East Germany","882","0.644588656959699","0.619335509227743","0.669841804691655"
"No","1992","college entrance qualification","West Germany","508","0.585193591203577","0.551915028973069","0.618472153434086"
"No","1992","college entrance qualification","East Germany","195","0.529802909671192","0.477883343767771","0.581722475574614"
"No","1992","Other degree","West Germany","600","0.892796635347015","0.869335969149913","0.916257301544116"
"No","1992","Other degree","East Germany","13","","",""
"No","1992","no degree/no degree yet","West Germany","290","0.833153983901399","0.793169138990736","0.873138828812063"
"No","1992","no degree/no degree yet","East Germany","6","","",""
"Yes","1993","lower secondary degree","West Germany","424","0.192776851075205","0.17705353345058","0.208500168699829"
"Yes","1993","lower secondary degree","East Germany","153","0.298311036598709","0.258835301708864","0.337786771488554"
"Yes","1993","secondary school degree","West Germany","372","0.303544230503316","0.277616029464496","0.329472431542136"
"Yes","1993","secondary school degree","East Germany","461","0.32586318390548","0.300721224014316","0.351005143796644"
"Yes","1993","college entrance qualification","West Germany","333","0.393385165577243","0.360906086586315","0.425864244568171"
"Yes","1993","college entrance qualification","East Germany","166","0.480915875552297","0.428720720799299","0.533111030305296"
"Yes","1993","Other degree","West Germany","62","0.113356751727652","0.0888143405331583","0.137899162922145"
"Yes","1993","Other degree","East Germany","5","","",""
"Yes","1993","no degree/no degree yet","West Germany","45","0.200392080946485","0.156939246405682","0.243844915487287"
"Yes","1993","no degree/no degree yet","East Germany","3","","",""
"No","1993","lower secondary degree","West Germany","1994","0.807223148924795","0.791499831300171","0.82294646654942"
"No","1993","lower secondary degree","East Germany","363","0.701688963401291","0.662213228511446","0.741164698291136"
"No","1993","secondary school degree","West Germany","836","0.696455769496684","0.670527568457864","0.722383970535504"
"No","1993","secondary school degree","East Germany","874","0.67413681609452","0.648994856203356","0.699278775985684"
"No","1993","college entrance qualification","West Germany","536","0.606614834422757","0.574135755431829","0.639093913413685"
"No","1993","college entrance qualification","East Germany","186","0.519084124447703","0.466888969694704","0.571279279200701"
"No","1993","Other degree","West Germany","579","0.886643248272349","0.862100837077855","0.911185659466842"
"No","1993","Other degree","East Germany","9","","",""
"No","1993","no degree/no degree yet","West Germany","281","0.799607919053515","0.756155084512712","0.843060753594318"
"No","1993","no degree/no degree yet","East Germany","5","","",""
"Yes","1994","lower secondary degree","West Germany","390","0.194864768348087","0.178187699804344","0.21154183689183"
"Yes","1994","lower secondary degree","East Germany","126","0.265731825586396","0.226215494968877","0.305248156203914"
"Yes","1994","secondary school degree","West Germany","374","0.318529001378032","0.291832562131725","0.345225440624339"
"Yes","1994","secondary school degree","East Germany","413","0.316256784225852","0.290550050884617","0.341963517567088"
"Yes","1994","college entrance qualification","West Germany","328","0.39394485008388","0.361569248182264","0.426320451985496"
"Yes","1994","college entrance qualification","East Germany","175","0.468526655159378","0.417817716958819","0.519235593359938"
"Yes","1994","Other degree","West Germany","56","0.112421399489934","0.0859738330456016","0.138868965934266"
"Yes","1994","Other degree","East Germany","5","","",""
"Yes","1994","no degree/no degree yet","West Germany","39","0.176627815450781","0.13235335213193","0.220902278769633"
"Yes","1994","no degree/no degree yet","East Germany","3","","",""
"No","1994","lower secondary degree","West Germany","1777","0.805135231651913","0.78845816310817","0.821812300195656"
"No","1994","lower secondary degree","East Germany","354","0.734268174413604","0.694751843796086","0.773784505031123"
"No","1994","secondary school degree","West Germany","796","0.681470998621968","0.654774559375661","0.708167437868275"
"No","1994","secondary school degree","East Germany","844","0.683743215774148","0.658036482432912","0.709449949115383"
"No","1994","college entrance qualification","West Germany","547","0.60605514991612","0.573679548014504","0.638430751817736"
"No","1994","college entrance qualification","East Germany","197","0.531473344840622","0.480764406640063","0.582182283041181"
"No","1994","Other degree","West Germany","492","0.887578600510066","0.861131034065734","0.914026166954398"
"No","1994","Other degree","East Germany","10","","",""
"No","1994","no degree/no degree yet","West Germany","246","0.823372184549219","0.779097721230368","0.86764664786807"
"No","1994","no degree/no degree yet","East Germany","5","","",""
"Yes","1995","lower secondary degree","West Germany","397","0.198661776142059","0.182008147326589","0.215315404957528"
"Yes","1995","lower secondary degree","East Germany","115","0.259447978044153","0.219819983611702","0.299075972476605"
"Yes","1995","secondary school degree","West Germany","389","0.301358617407201","0.276329016175056","0.326388218639347"
"Yes","1995","secondary school degree","East Germany","404","0.306179288773064","0.281182280300801","0.331176297245327"
"Yes","1995","college entrance qualification","West Germany","351","0.391823989807893","0.361056291541785","0.422591688074001"
"Yes","1995","college entrance qualification","East Germany","164","0.420827101611097","0.371254516237027","0.470399686985168"
"Yes","1995","Other degree","West Germany","90","0.145814413130127","0.119963973909047","0.171664852351208"
"Yes","1995","Other degree","East Germany","7","","",""
"Yes","1995","no degree/no degree yet","West Germany","39","0.166025385937479","0.121054247528769","0.210996524346189"
"Yes","1995","no degree/no degree yet","East Germany","1","","",""
"No","1995","lower secondary degree","West Germany","1808","0.801338223857941","0.784684595042472","0.817991852673411"
"No","1995","lower secondary degree","East Germany","355","0.740552021955847","0.700924027523395","0.780180016388298"
"No","1995","secondary school degree","West Germany","902","0.698641382592799","0.673611781360654","0.723670983824944"
"No","1995","secondary school degree","East Germany","902","0.693820711226936","0.668823702754673","0.718817719699199"
"No","1995","college entrance qualification","West Germany","616","0.608176010192107","0.577408311925999","0.638943708458215"
"No","1995","college entrance qualification","East Germany","217","0.579172898388903","0.529600313014832","0.628745483762973"
"No","1995","Other degree","West Germany","626","0.854185586869873","0.828335147648792","0.880036026090953"
"No","1995","Other degree","East Germany","8","","",""
"No","1995","no degree/no degree yet","West Germany","224","0.833974614062521","0.789003475653811","0.878945752471231"
"No","1995","no degree/no degree yet","East Germany","4","","",""
"Yes","1996","lower secondary degree","West Germany","389","0.198857375295536","0.181862875609512","0.21585187498156"
"Yes","1996","lower secondary degree","East Germany","101","0.262378519801657","0.220001653624449","0.304755385978865"
"Yes","1996","secondary school degree","West Germany","379","0.310324791532702","0.284647724914938","0.336001858150465"
"Yes","1996","secondary school degree","East Germany","383","0.307736952626117","0.282119245066973","0.33335466018526"
"Yes","1996","college entrance qualification","West Germany","339","0.378927695633333","0.348303913246341","0.409551478020324"
"Yes","1996","college entrance qualification","East Germany","154","0.39061965546253","0.340906824386374","0.440332486538686"
"Yes","1996","Other degree","West Germany","76","0.153235608456224","0.124858776498122","0.181612440414326"
"Yes","1996","Other degree","East Germany","4","","",""
"Yes","1996","no degree/no degree yet","West Germany","39","0.20520962151252","0.153575199486318","0.256844043538721"
"Yes","1996","no degree/no degree yet","East Germany","1","","",""
"No","1996","lower secondary degree","West Germany","1730","0.801142624704464","0.78414812501844","0.818137124390488"
"No","1996","lower secondary degree","East Germany","313","0.737621480198343","0.695244614021135","0.779998346375551"
"No","1996","secondary school degree","West Germany","868","0.689675208467298","0.663998141849535","0.715352275085062"
"No","1996","secondary school degree","East Germany","864","0.692263047373883","0.66664533981474","0.717880754933027"
"No","1996","college entrance qualification","West Germany","625","0.621072304366667","0.590448521979676","0.651696086753659"
"No","1996","college entrance qualification","East Germany","216","0.60938034453747","0.559667513461313","0.659093175613626"
"No","1996","Other degree","West Germany","543","0.846764391543776","0.818387559585674","0.875141223501878"
"No","1996","Other degree","East Germany","11","","",""
"No","1996","no degree/no degree yet","West Germany","196","0.79479037848748","0.743155956461278","0.846424800513682"
"No","1996","no degree/no degree yet","East Germany","4","","",""
"Yes","1997","lower secondary degree","West Germany","349","0.186210124115839","0.169404026520168","0.20301622171151"
"Yes","1997","lower secondary degree","East Germany","97","0.267677345000517","0.22373605218683","0.311618637814205"
"Yes","1997","secondary school degree","West Germany","379","0.30250823198268","0.277245263958544","0.327771200006816"
"Yes","1997","secondary school degree","East Germany","374","0.301644008639402","0.276035971282041","0.327252045996762"
"Yes","1997","college entrance qualification","West Germany","373","0.374004492968722","0.344222542888875","0.403786443048569"
"Yes","1997","college entrance qualification","East Germany","156","0.384287994100144","0.335186508162512","0.433389480037776"
"Yes","1997","Other degree","West Germany","74","0.175222434408254","0.143792519312167","0.206652349504341"
"Yes","1997","Other degree","East Germany","3","","",""
"Yes","1997","no degree/no degree yet","West Germany","36","0.175106320926594","0.124186003310837","0.226026638542351"
"Yes","1997","no degree/no degree yet","East Germany","2","","",""
"No","1997","lower secondary degree","West Germany","1712","0.813789875884161","0.79698377828849","0.830595973479832"
"No","1997","lower secondary degree","East Germany","293","0.732322654999483","0.688381362185796","0.77626394781317"
"No","1997","secondary school degree","West Germany","891","0.69749176801732","0.672228799993184","0.722754736041455"
"No","1997","secondary school degree","East Germany","860","0.698355991360598","0.672747954003238","0.723964028717959"
"No","1997","college entrance qualification","West Germany","641","0.625995507031278","0.596213556951431","0.655777457111125"
"No","1997","college entrance qualification","East Germany","221","0.615712005899856","0.566610519962224","0.664813491837488"
"No","1997","Other degree","West Germany","488","0.824777565591746","0.793347650495659","0.856207480687833"
"No","1997","Other degree","East Germany","10","","",""
"No","1997","no degree/no degree yet","West Germany","178","0.824893679073406","0.773973361457649","0.875813996689163"
"No","1997","no degree/no degree yet","East Germany","4","","",""
"Yes","1998","lower secondary degree","West Germany","379","0.192024478164928","0.175609778977092","0.208439177352764"
"Yes","1998","lower secondary degree","East Germany","86","0.237937014445356","0.1956214899529","0.280252538937812"
"Yes","1998","secondary school degree","West Germany","425","0.292727617641965","0.26923446503647","0.316220770247459"
"Yes","1998","secondary school degree","East Germany","399","0.320121705129815","0.294751927270816","0.345491482988814"
"Yes","1998","college entrance qualification","West Germany","414","0.363737658171632","0.336358632467123","0.391116683876142"
"Yes","1998","college entrance qualification","East Germany","151","0.381166120580588","0.332075518839907","0.430256722321269"
"Yes","1998","Other degree","West Germany","86","0.193287573691112","0.160494521967546","0.226080625414677"
"Yes","1998","Other degree","East Germany","4","","",""
"Yes","1998","no degree/no degree yet","West Germany","29","","",""
"Yes","1998","no degree/no degree yet","East Germany","","","",""
"No","1998","lower secondary degree","West Germany","1833","0.807975521835072","0.791560822647236","0.824390221022907"
"No","1998","lower secondary degree","East Germany","303","0.762062985554644","0.719747461062188","0.8043785100471"
"No","1998","secondary school degree","West Germany","1016","0.707272382358035","0.683779229752541","0.73076553496353"
"No","1998","secondary school degree","East Germany","900","0.679878294870185","0.654508517011186","0.705248072729184"
"No","1998","college entrance qualification","West Germany","772","0.636262341828368","0.608883316123858","0.663641367532877"
"No","1998","college entrance qualification","East Germany","225","0.618833879419412","0.569743277678731","0.667924481160093"
"No","1998","Other degree","West Germany","471","0.806712426308888","0.773919374585323","0.839505478032454"
"No","1998","Other degree","East Germany","11","","",""
"No","1998","no degree/no degree yet","West Germany","174","0.854412490325946","0.805895268446107","0.902929712205785"
"No","1998","no degree/no degree yet","East Germany","6","","",""
"Yes","1999","lower secondary degree","West Germany","336","0.184362082282497","0.167600267330665","0.201123897234328"
"Yes","1999","lower secondary degree","East Germany","87","0.248085885008422","0.20309426753916","0.293077502477685"
"Yes","1999","secondary school degree","West Germany","382","0.285178463176008","0.261173804271066","0.30918312208095"
"Yes","1999","secondary school degree","East Germany","366","0.309663239118839","0.283908147743126","0.335418330494552"
"Yes","1999","college entrance qualification","West Germany","396","0.356417789252598","0.328724803749035","0.384110774756162"
"Yes","1999","college entrance qualification","East Germany","155","0.385383055837189","0.336768502619672","0.433997609054706"
"Yes","1999","Other degree","West Germany","76","0.194820291083105","0.15938867372213","0.230251908444081"
"Yes","1999","Other degree","East Germany","3","","",""
"Yes","1999","no degree/no degree yet","West Germany","25","","",""
"Yes","1999","no degree/no degree yet","East Germany","","","",""
"No","1999","lower secondary degree","West Germany","1720","0.815637917717503","0.798876102765672","0.832399732669335"
"No","1999","lower secondary degree","East Germany","267","0.751914114991577","0.706922497522315","0.79690573246084"
"No","1999","secondary school degree","West Germany","977","0.714821536823992","0.69081687791905","0.738826195728934"
"No","1999","secondary school degree","East Germany","872","0.690336760881161","0.664581669505448","0.716091852256874"
"No","1999","college entrance qualification","West Germany","753","0.643582210747402","0.615889225243838","0.671275196250965"
"No","1999","college entrance qualification","East Germany","230","0.614616944162811","0.566002390945294","0.663231497380328"
"No","1999","Other degree","West Germany","404","0.805179708916895","0.769748091555919","0.84061132627787"
"No","1999","Other degree","East Germany","10","","",""
"No","1999","no degree/no degree yet","West Germany","173","0.858150871334227","0.80955373751959","0.906748005148864"
"No","1999","no degree/no degree yet","East Germany","6","","",""
"Yes","2000","lower secondary degree","West Germany","679","0.168322759175956","0.156782547816859","0.179862970535053"
"Yes","2000","lower secondary degree","East Germany","104","0.222682339389059","0.18550162689651","0.259863051881609"
"Yes","2000","secondary school degree","West Germany","750","0.251603415279639","0.235904552164708","0.267302278394571"
"Yes","2000","secondary school degree","East Germany","494","0.245364952878694","0.226363372274472","0.264366533482916"
"Yes","2000","college entrance qualification","West Germany","866","0.321157113434329","0.303219923137656","0.339094303731003"
"Yes","2000","college entrance qualification","East Germany","274","0.37262429758686","0.337184233156044","0.408064362017676"
"Yes","2000","Other degree","West Germany","130","0.176114280952654","0.15010578370754","0.202122778197768"
"Yes","2000","Other degree","East Germany","5","","",""
"Yes","2000","no degree/no degree yet","West Germany","24","","",""
"Yes","2000","no degree/no degree yet","East Germany","","","",""
"No","2000","lower secondary degree","West Germany","3359","0.831677240824044","0.820137029464947","0.843217452183141"
"No","2000","lower secondary degree","East Germany","377","0.777317660610941","0.740136948118391","0.81449837310349"
"No","2000","secondary school degree","West Germany","2185","0.748396584720361","0.732697721605429","0.764095447835292"
"No","2000","secondary school degree","East Germany","1476","0.754635047121306","0.735633466517084","0.773636627725528"
"No","2000","college entrance qualification","West Germany","1737","0.678842886565671","0.660905696268997","0.696780076862344"
"No","2000","college entrance qualification","East Germany","441","0.62737570241314","0.591935637982324","0.662815766843956"
"No","2000","Other degree","West Germany","694","0.823885719047346","0.797877221802232","0.84989421629246"
"No","2000","Other degree","East Germany","21","","",""
"No","2000","no degree/no degree yet","West Germany","164","0.891293707641721","0.846799146417635","0.935788268865807"
"No","2000","no degree/no degree yet","East Germany","12","","",""
"Yes","2001","lower secondary degree","West Germany","559","0.168742190005814","0.156017824308949","0.18146655570268"
"Yes","2001","lower secondary degree","East Germany","77","0.197225552526388","0.157633265515111","0.236817839537665"
"Yes","2001","secondary school degree","West Germany","676","0.259678908590684","0.242640935133902","0.276716882047465"
"Yes","2001","secondary school degree","East Germany","447","0.254370939293614","0.233954850926612","0.274787027660615"
"Yes","2001","college entrance qualification","West Germany","745","0.314392031419019","0.295450988767858","0.33333307407018"
"Yes","2001","college entrance qualification","East Germany","252","0.378403581054512","0.340858681478415","0.41594848063061"
"Yes","2001","Other degree","West Germany","108","0.166468081873557","0.138774298304325","0.194161865442789"
