"pgoeffd","year","e11103","education","n","percent","lower_confidence","upper_confidence"
"Yes","1984","Full Time","lower secondary degree","471","0.200681179049216","0.184886421788359","0.216475936310073"
"Yes","1984","Full Time","secondary school degree","285","0.313585019837477","0.283391379469831","0.343778660205124"
"Yes","1984","Full Time","college entrance qualification","244","0.454931938164234","0.413124994310111","0.496738882018356"
"Yes","1984","Full Time","Other degree","89","0.119037306989598","0.0980776713606963","0.1399969426185"
"Yes","1984","Full Time","no degree/no degree yet","53","0.12420630577742","0.0970108340424895","0.15140177751235"
"Yes","1984","Part Time","lower secondary degree","126","0.175993962258708","0.148369060490276","0.20361886402714"
"Yes","1984","Part Time","secondary school degree","72","0.25866978627593","0.208528787186979","0.308810785364881"
"Yes","1984","Part Time","college entrance qualification","100","0.468906510828318","0.402662218593189","0.535150803063447"
"Yes","1984","Part Time","Other degree","22","","",""
"Yes","1984","Part Time","no degree/no degree yet","11","","",""
"Yes","1984","Not Working","lower secondary degree","7","","",""
"Yes","1984","Not Working","secondary school degree","4","","",""
"Yes","1984","Not Working","college entrance qualification","13","","",""
"Yes","1984","Not Working","Other degree","1","","",""
"Yes","1984","Not Working","no degree/no degree yet","","","",""
"No","1984","Full Time","lower secondary degree","1999","0.799318820950784","0.783524063689927","0.815113578211641"
"No","1984","Full Time","secondary school degree","622","0.686414980162523","0.656221339794876","0.716608620530169"
"No","1984","Full Time","college entrance qualification","301","0.545068061835766","0.503261117981644","0.586875005689889"
"No","1984","Full Time","Other degree","828","0.880962693010402","0.8600030573815","0.901922328639304"
"No","1984","Full Time","no degree/no degree yet","512","0.87579369422258","0.84859822248765","0.902989165957511"
"No","1984","Part Time","lower secondary degree","604","0.824006037741292","0.79638113597286","0.851630939509724"
"No","1984","Part Time","secondary school degree","221","0.74133021372407","0.691189214635119","0.791471212813021"
"No","1984","Part Time","college entrance qualification","118","0.531093489171682","0.464849196936553","0.597337781406811"
"No","1984","Part Time","Other degree","134","0.888842543074869","0.839517495857464","0.938167590292274"
"No","1984","Part Time","no degree/no degree yet","85","0.918757760032378","0.864106028138022","0.973409491926733"
"No","1984","Not Working","lower secondary degree","81","0.918910401361309","0.861877441084362","0.975943361638255"
"No","1984","Not Working","secondary school degree","22","","",""
"No","1984","Not Working","college entrance qualification","26","","",""
"No","1984","Not Working","Other degree","15","","",""
"No","1984","Not Working","no degree/no degree yet","11","","",""
"Yes","1985","Full Time","lower secondary degree","419","0.211035942084489","0.193674642774605","0.228397241394373"
"Yes","1985","Full Time","secondary school degree","270","0.308881162381117","0.277929549463323","0.339832775298911"
"Yes","1985","Full Time","college entrance qualification","243","0.465167056150779","0.422782677097702","0.507551435203857"
"Yes","1985","Full Time","Other degree","72","0.104095657551476","0.0822545202112476","0.125936794891704"
"Yes","1985","Full Time","no degree/no degree yet","40","0.0938828230696923","0.0663791010819027","0.121386545057482"
"Yes","1985","Part Time","lower secondary degree","129","0.191654178494403","0.161738764774084","0.221569592214722"
"Yes","1985","Part Time","secondary school degree","68","0.272046958841094","0.217954710021464","0.326139207660723"
"Yes","1985","Part Time","college entrance qualification","72","0.414437997825872","0.340817272045278","0.488058723606466"
"Yes","1985","Part Time","Other degree","23","","",""
"Yes","1985","Part Time","no degree/no degree yet","6","","",""
"Yes","1985","Not Working","lower secondary degree","2","","",""
"Yes","1985","Not Working","secondary school degree","7","","",""
"Yes","1985","Not Working","college entrance qualification","8","","",""
"Yes","1985","Not Working","Other degree","","","",""
"Yes","1985","Not Working","no degree/no degree yet","2","","",""
"No","1985","Full Time","lower secondary degree","1703","0.788964057915511","0.771602758605627","0.806325357225395"
"No","1985","Full Time","secondary school degree","586","0.691118837618883","0.660167224701089","0.722070450536677"
"No","1985","Full Time","college entrance qualification","289","0.534832943849221","0.492448564796143","0.577217322902299"
"No","1985","Full Time","Other degree","679","0.895904342448524","0.874063205108296","0.917745479788752"
"No","1985","Full Time","no degree/no degree yet","392","0.906117176930308","0.878613454942518","0.933620898918097"
"No","1985","Part Time","lower secondary degree","536","0.808345821505597","0.778430407785278","0.838261235225916"
"No","1985","Part Time","secondary school degree","192","0.727953041158906","0.673860792339277","0.782045289978536"
"No","1985","Part Time","college entrance qualification","100","0.585562002174128","0.511941276393533","0.659182727954722"
"No","1985","Part Time","Other degree","103","0.804221325014139","0.734937269129205","0.873505380899074"
"No","1985","Part Time","no degree/no degree yet","63","0.899344174423943","0.828352737587956","0.970335611259929"
"No","1985","Not Working","lower secondary degree","38","0.947264620274579","0.878001062983647","1.01652817756551"
"No","1985","Not Working","secondary school degree","13","","",""
"No","1985","Not Working","college entrance qualification","8","","",""
"No","1985","Not Working","Other degree","8","","",""
"No","1985","Not Working","no degree/no degree yet","6","","",""
"Yes","1986","Full Time","lower secondary degree","398","0.209639381616713","0.191975665005823","0.227303098227603"
"Yes","1986","Full Time","secondary school degree","263","0.313150769719402","0.28150405978364","0.344797479655163"
"Yes","1986","Full Time","college entrance qualification","244","0.449838385398185","0.408300375030973","0.491376395765397"
"Yes","1986","Full Time","Other degree","57","0.0950293578427624","0.0734586170925886","0.116600098592936"
"Yes","1986","Full Time","no degree/no degree yet","34","0.0857391604636438","0.0573640891104455","0.114114231816842"
"Yes","1986","Part Time","lower secondary degree","117","0.209059556007226","0.17602309618779","0.242096015826661"
"Yes","1986","Part Time","secondary school degree","68","0.272294191988022","0.216554808812748","0.328033575163295"
"Yes","1986","Part Time","college entrance qualification","69","0.460741352887377","0.381237756821182","0.540244948953572"
"Yes","1986","Part Time","Other degree","20","","",""
"Yes","1986","Part Time","no degree/no degree yet","8","","",""
"Yes","1986","Not Working","lower secondary degree","4","","",""
"Yes","1986","Not Working","secondary school degree","4","","",""
"Yes","1986","Not Working","college entrance qualification","6","","",""
"Yes","1986","Not Working","Other degree","","","",""
"Yes","1986","Not Working","no degree/no degree yet","2","","",""
"No","1986","Full Time","lower secondary degree","1642","0.790360618383287","0.772696901772397","0.808024334994177"
"No","1986","Full Time","secondary school degree","562","0.686849230280598","0.655202520344837","0.71849594021636"
"No","1986","Full Time","college entrance qualification","307","0.550161614601815","0.508623604234604","0.591699624969027"
"No","1986","Full Time","Other degree","653","0.904970642157238","0.883399901407064","0.926541382907412"
"No","1986","Full Time","no degree/no degree yet","340","0.914260839536356","0.885885768183158","0.942635910889554"
"No","1986","Part Time","lower secondary degree","465","0.790940443992774","0.757903984173339","0.82397690381221"
"No","1986","Part Time","secondary school degree","177","0.727705808011978","0.671966424836705","0.783445191187252"
"No","1986","Part Time","college entrance qualification","82","0.539258647112623","0.459755051046428","0.618762243178818"
"No","1986","Part Time","Other degree","83","0.82487968015549","0.751480188473919","0.89827917183706"
"No","1986","Part Time","no degree/no degree yet","46","0.718665928203858","0.59873646085779","0.838595395549925"
"No","1986","Not Working","lower secondary degree","23","","",""
"No","1986","Not Working","secondary school degree","8","","",""
"No","1986","Not Working","college entrance qualification","9","","",""
"No","1986","Not Working","Other degree","4","","",""
"No","1986","Not Working","no degree/no degree yet","5","","",""
"Yes","1987","Full Time","lower secondary degree","390","0.207449180209794","0.189853647144225","0.225044713275363"
"Yes","1987","Full Time","secondary school degree","262","0.306059822921698","0.274968367997754","0.337151277845642"
"Yes","1987","Full Time","college entrance qualification","235","0.44166284360829","0.399895017360776","0.483430669855803"
"Yes","1987","Full Time","Other degree","61","0.102734077396925","0.0800473568530832","0.125420797940767"
"Yes","1987","Full Time","no degree/no degree yet","31","0.0918876157535769","0.0620892270721226","0.121686004435031"
"Yes","1987","Part Time","lower secondary degree","112","0.193782092430012","0.162312231793423","0.225251953066601"
"Yes","1987","Part Time","secondary school degree","82","0.332294419681704","0.274593579715668","0.389995259647741"
"Yes","1987","Part Time","college entrance qualification","82","0.451635873752445","0.37913595215885","0.524135795346039"
"Yes","1987","Part Time","Other degree","19","","",""
"Yes","1987","Part Time","no degree/no degree yet","10","","",""
"Yes","1987","Not Working","lower secondary degree","8","","",""
"Yes","1987","Not Working","secondary school degree","3","","",""
"Yes","1987","Not Working","college entrance qualification","8","","",""
"Yes","1987","Not Working","Other degree","2","","",""
"Yes","1987","Not Working","no degree/no degree yet","","","",""
"No","1987","Full Time","lower secondary degree","1650","0.792550819790206","0.774955286724637","0.810146352855775"
"No","1987","Full Time","secondary school degree","582","0.693940177078302","0.662848722154358","0.725031632002246"
"No","1987","Full Time","college entrance qualification","308","0.55833715639171","0.516569330144197","0.600104982639223"
"No","1987","Full Time","Other degree","627","0.897265922603075","0.874579202059233","0.919952643146917"
"No","1987","Full Time","no degree/no degree yet","330","0.908112384246423","0.878313995564969","0.937910772927877"
"No","1987","Part Time","lower secondary degree","494","0.806217907569988","0.774748046933399","0.837687768206578"
"No","1987","Part Time","secondary school degree","174","0.667705580318296","0.610004740352259","0.725406420284332"
"No","1987","Part Time","college entrance qualification","99","0.548364126247555","0.475864204653961","0.62086404784115"
"No","1987","Part Time","Other degree","85","0.853686513185687","0.785762582264973","0.921610444106401"
"No","1987","Part Time","no degree/no degree yet","54","0.795077086129981","0.696185809357267","0.893968362902694"
"No","1987","Not Working","lower secondary degree","28","","",""
"No","1987","Not Working","secondary school degree","12","","",""
"No","1987","Not Working","college entrance qualification","9","","",""
"No","1987","Not Working","Other degree","7","","",""
"No","1987","Not Working","no degree/no degree yet","5","","",""
"Yes","1988","Full Time","lower secondary degree","366","0.207227994727791","0.18938389544005","0.225072094015532"
"Yes","1988","Full Time","secondary school degree","246","0.304792687601861","0.273247662547993","0.336337712655728"
"Yes","1988","Full Time","college entrance qualification","221","0.423919913981028","0.381927038376429","0.465912789585628"
