"pgoeffd","year","e11102","education","n","percent","lower_confidence","upper_confidence"
"Yes","1984","Not Employed","lower secondary degree","7","","",""
"Yes","1984","Not Employed","secondary school degree","4","","",""
"Yes","1984","Not Employed","college entrance qualification","13","","",""
"Yes","1984","Not Employed","Other degree","1","","",""
"Yes","1984","Not Employed","no degree/no degree yet","","","",""
"Yes","1984","Employed","lower secondary degree","597","0.195025894150723","0.18129780167917","0.208753986622277"
"Yes","1984","Employed","secondary school degree","357","0.300616446674212","0.27467336611998","0.326559527228445"
"Yes","1984","Employed","college entrance qualification","344","0.458835467259918","0.423478176877849","0.494192757641987"
"Yes","1984","Employed","Other degree","111","0.117849528404547","0.0985572513644117","0.137141805444683"
"Yes","1984","Employed","no degree/no degree yet","64","0.116475759763828","0.092020382218678","0.140931137308979"
"No","1984","Not Employed","lower secondary degree","81","0.918910401361309","0.861877441084362","0.975943361638255"
"No","1984","Not Employed","secondary school degree","22","","",""
"No","1984","Not Employed","college entrance qualification","26","","",""
"No","1984","Not Employed","Other degree","15","","",""
"No","1984","Not Employed","no degree/no degree yet","11","","",""
"No","1984","Employed","lower secondary degree","2603","0.804974105849277","0.791246013377723","0.81870219832083"
"No","1984","Employed","secondary school degree","843","0.699383553325788","0.673440472771555","0.72532663388002"
"No","1984","Employed","college entrance qualification","419","0.541164532740082","0.505807242358013","0.576521823122151"
"No","1984","Employed","Other degree","962","0.882150471595453","0.862858194555317","0.901442748635588"
"No","1984","Employed","no degree/no degree yet","597","0.883524240236172","0.859068862691021","0.907979617781322"
"Yes","1985","Not Employed","lower secondary degree","2","","",""
"Yes","1985","Not Employed","secondary school degree","7","","",""
"Yes","1985","Not Employed","college entrance qualification","8","","",""
"Yes","1985","Not Employed","Other degree","","","",""
"Yes","1985","Not Employed","no degree/no degree yet","2","","",""
"Yes","1985","Employed","lower secondary degree","548","0.206461458545513","0.191434083873311","0.221488833217715"
"Yes","1985","Employed","secondary school degree","338","0.300739613597808","0.273834751193488","0.327644476002128"
"Yes","1985","Employed","college entrance qualification","315","0.453264385069849","0.416491623820467","0.49003714631923"
"Yes","1985","Employed","Other degree","95","0.117596240026803","0.0962766579361904","0.138915822117416"
"Yes","1985","Employed","no degree/no degree yet","46","0.0950009828669729","0.0693255761956634","0.120676389538282"
"No","1985","Not Employed","lower secondary degree","38","0.947264620274579","0.878001062983647","1.01652817756551"
"No","1985","Not Employed","secondary school degree","13","","",""
"No","1985","Not Employed","college entrance qualification","8","","",""
"No","1985","Not Employed","Other degree","8","","",""
"No","1985","Not Employed","no degree/no degree yet","6","","",""
"No","1985","Employed","lower secondary degree","2239","0.793538541454487","0.778511166782285","0.808565916126689"
"No","1985","Employed","secondary school degree","778","0.699260386402192","0.672355523997872","0.726165248806512"
