"pgoeffd","year","migback","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Yes","1984","no migration background","(0) in school","1","","",""
"Yes","1984","no migration background","(1a) inadequately completed","5","","",""
"Yes","1984","no migration background","(1b) general elementary school","121","0.170705038995331","0.143126404827204","0.198283673163457"
"Yes","1984","no migration background","(1c) basic vocational qualification","440","0.204006148142288","0.186952750163134","0.221059546121442"
"Yes","1984","no migration background","(2b) intermediate general qualification","54","0.277721698515833","0.214534859935459","0.340908537096208"
"Yes","1984","no migration background","(2a) intermediate vocational","273","0.302907662808947","0.272650269229009","0.333165056388884"
"Yes","1984","no migration background","(2c_gen) general maturity certificate","20","","",""
"Yes","1984","no migration background","(2c_voc) vocational maturity certificate","68","0.341541369126462","0.27531958414981","0.407763154103115"
"Yes","1984","no migration background","(3a) lower tertiary education","56","0.312803705644563","0.245259958149148","0.380347453139978"
"Yes","1984","no migration background","(3b) higher tertiary education","214","0.631390299842285","0.580410138883251","0.682370460801319"
"Yes","1984","direct migration background","(0) in school","","","",""
"Yes","1984","direct migration background","(1a) inadequately completed","57","0.0859888255717404","0.0642350565455721","0.107742594597909"
"Yes","1984","direct migration background","(1b) general elementary school","58","0.101602964550268","0.0788613869300638","0.124344542170472"
"Yes","1984","direct migration background","(1c) basic vocational qualification","43","0.0938476262424169","0.0699704457501462","0.117724806734687"
"Yes","1984","direct migration background","(2b) intermediate general qualification","4","","",""
"Yes","1984","direct migration background","(2a) intermediate vocational","13","","",""
"Yes","1984","direct migration background","(2c_gen) general maturity certificate","12","","",""
"Yes","1984","direct migration background","(2c_voc) vocational maturity certificate","16","","",""
"Yes","1984","direct migration background","(3a) lower tertiary education","3","","",""
"Yes","1984","direct migration background","(3b) higher tertiary education","33","0.466188394638374","0.353288849039622","0.579087940237127"
"Yes","1984","indirect migration background","(0) in school","","","",""
"Yes","1984","indirect migration background","(1a) inadequately completed","","","",""
"Yes","1984","indirect migration background","(1b) general elementary school","3","","",""
"Yes","1984","indirect migration background","(1c) basic vocational qualification","2","","",""
"Yes","1984","indirect migration background","(2b) intermediate general qualification","","","",""
"Yes","1984","indirect migration background","(2a) intermediate vocational","","","",""
"Yes","1984","indirect migration background","(2c_gen) general maturity certificate","1","","",""
"Yes","1984","indirect migration background","(2c_voc) vocational maturity certificate","","","",""
