"pgoeffd","year","education","migback","n","percent","lower_confidence","upper_confidence"
"Yes","1984","lower secondary degree","no migration background","564","0.196990116391666","0.182398487679791","0.21158174510354"
"Yes","1984","lower secondary degree","direct migration background","35","0.116788699916176","0.084995241065309","0.148582158767042"
"Yes","1984","lower secondary degree","indirect migration background","","","",""
"Yes","1984","secondary school degree","no migration background","344","0.299621540884698","0.272912285783879","0.326330795985517"
"Yes","1984","secondary school degree","direct migration background","","","",""
"Yes","1984","secondary school degree","indirect migration background","","","",""
"Yes","1984","college entrance qualification","no migration background","332","0.455932356759948","0.41990132342396","0.491963390095937"
"Yes","1984","college entrance qualification","direct migration background","","","",""
"Yes","1984","college entrance qualification","indirect migration background","","","",""
"Yes","1984","Other degree","no migration background","","","",""
"Yes","1984","Other degree","direct migration background","106","0.10488529248724","0.0864744390658223","0.123296145908658"
"Yes","1984","Other degree","indirect migration background","","","",""
"Yes","1984","no degree/no degree yet","no migration background","","","",""
"Yes","1984","no degree/no degree yet","direct migration background","58","0.0867884124012204","0.0649603975439352","0.108616427258506"
"Yes","1984","no degree/no degree yet","indirect migration background","","","",""
"No","1984","lower secondary degree","no migration background","2290","0.803009883608334","0.78841825489646","0.817601512320209"
"No","1984","lower secondary degree","direct migration background","357","0.883211300083824","0.851417841232958","0.915004758934691"
"No","1984","lower secondary degree","indirect migration background","37","0.708038790276855","0.57053503826793","0.84554254228578"
"No","1984","secondary school degree","no migration background","786","0.700378459115302","0.673669204014483","0.727087714216121"
"No","1984","secondary school degree","direct migration background","65","0.723915920630039","0.627153681308298","0.82067815995178"
"No","1984","secondary school degree","indirect migration background","","","",""
"No","1984","college entrance qualification","no migration background","402","0.544067643240052","0.508036609904063","0.58009867657604"
"No","1984","college entrance qualification","direct migration background","40","0.60850577997442","0.487981971269642","0.729029588679197"
"No","1984","college entrance qualification","indirect migration background","","","",""
"No","1984","Other degree","no migration background","","","",""
"No","1984","Other degree","direct migration background","958","0.89511470751276","0.876703854091342","0.913525560934178"
"No","1984","Other degree","indirect migration background","","","",""
"No","1984","no degree/no degree yet","no migration background","","","",""
"No","1984","no degree/no degree yet","direct migration background","581","0.91321158759878","0.891383572741494","0.935039602456065"
"No","1984","no degree/no degree yet","indirect migration background","","","",""
"Yes","1985","lower secondary degree","no migration background","517","0.211075013095519","0.194906600827892","0.227243425363145"
"Yes","1985","lower secondary degree","direct migration background","","","",""
"Yes","1985","lower secondary degree","indirect migration background","","","",""
"Yes","1985","secondary school degree","no migration background","329","0.306327704271387","0.278325447138895","0.334329961403878"
"Yes","1985","secondary school degree","direct migration background","","","",""
"Yes","1985","secondary school degree","indirect migration background","","","",""
"Yes","1985","college entrance qualification","no migration background","306","0.460636271443551","0.422695054054572","0.498577488832529"
"Yes","1985","college entrance qualification","direct migration background","","","",""
"Yes","1985","college entrance qualification","indirect migration background","","","",""
"Yes","1985","Other degree","no migration background","","","",""
"Yes","1985","Other degree","direct migration background","90","0.111050301787504","0.0900391444893909","0.132061459085617"
"Yes","1985","Other degree","indirect migration background","","","",""
"Yes","1985","no degree/no degree yet","no migration background","","","",""
"Yes","1985","no degree/no degree yet","direct migration background","44","0.080006994253664","0.0557866220867087","0.104227366420619"
"Yes","1985","no degree/no degree yet","indirect migration background","","","",""
"No","1985","lower secondary degree","no migration background","1930","0.788924986904481","0.772756574636855","0.805093399172108"
"No","1985","lower secondary degree","direct migration background","313","0.890380323667313","0.857221208260628","0.923539439073998"
"No","1985","lower secondary degree","indirect migration background","34","0.74084422745055","0.603326184995741","0.878362269905359"
"No","1985","secondary school degree","no migration background","712","0.693672295728613","0.665670038596122","0.721674552861105"
"No","1985","secondary school degree","direct migration background","67","0.772192540035158","0.680285269366381","0.864099810703934"
"No","1985","secondary school degree","indirect migration background","","","",""
"No","1985","college entrance qualification","no migration background","357","0.539363728556449","0.501422511167471","0.577304945945428"
"No","1985","college entrance qualification","direct migration background","38","0.671995555910503","0.546775389799938","0.797215722021068"
"No","1985","college entrance qualification","indirect migration background","","","",""
"No","1985","Other degree","no migration background","","","",""
"No","1985","Other degree","direct migration background","769","0.888949698212496","0.867938540914383","0.909960855510609"
"No","1985","Other degree","indirect migration background","","","",""
"No","1985","no degree/no degree yet","no migration background","","","",""
"No","1985","no degree/no degree yet","direct migration background","438","0.919993005746336","0.895772633579381","0.944213377913291"
"No","1985","no degree/no degree yet","indirect migration background","","","",""
"Yes","1986","lower secondary degree","no migration background","486","0.216070121645334","0.199109656544891","0.233030586745777"
"Yes","1986","lower secondary degree","direct migration background","","","",""
"Yes","1986","lower secondary degree","indirect migration background","","","",""
"Yes","1986","secondary school degree","no migration background","315","0.308447864123595","0.279590684089484","0.337305044157705"
"Yes","1986","secondary school degree","direct migration background","","","",""
"Yes","1986","secondary school degree","indirect migration background","","","",""
"Yes","1986","college entrance qualification","no migration background","302","0.456256684597467","0.418199493599771","0.494313875595163"
"Yes","1986","college entrance qualification","direct migration background","","","",""
"Yes","1986","college entrance qualification","indirect migration background","","","",""
"Yes","1986","Other degree","no migration background","","","",""
"Yes","1986","Other degree","direct migration background","72","0.0968389523182173","0.0762294506999055","0.117448453936529"
"Yes","1986","Other degree","indirect migration background","","","",""
"Yes","1986","no degree/no degree yet","no migration background","","","",""
"Yes","1986","no degree/no degree yet","direct migration background","39","0.0838192960376743","0.0568637800801287","0.11077481199522"
"Yes","1986","no degree/no degree yet","indirect migration background","","","",""
"No","1986","lower secondary degree","no migration background","1776","0.783929878354666","0.766969413254223","0.800890343455109"
"No","1986","lower secondary degree","direct migration background","311","0.884921250951949","0.850900834992374","0.918941666911524"
"No","1986","lower secondary degree","indirect migration background","43","0.735924474602414","0.612491626374527","0.859357322830301"
"No","1986","secondary school degree","no migration background","669","0.691552135876405","0.662694955842295","0.720409315910516"
"No","1986","secondary school degree","direct migration background","68","0.762241790607718","0.670657036583413","0.853826544632022"
"No","1986","secondary school degree","indirect migration background","","","",""
"No","1986","college entrance qualification","no migration background","356","0.543743315402533","0.505686124404837","0.581800506400229"
"No","1986","college entrance qualification","direct migration background","40","0.662583412276331","0.53762363559205","0.787543188960612"
"No","1986","college entrance qualification","indirect migration background","","","",""
"No","1986","Other degree","no migration background","","","",""
"No","1986","Other degree","direct migration background","719","0.903161047681783","0.882551546063471","0.923770549300094"
"No","1986","Other degree","indirect migration background","","","",""
"No","1986","no degree/no degree yet","no migration background","","","",""
"No","1986","no degree/no degree yet","direct migration background","367","0.916180703962326","0.88922518800478","0.943136219919871"
"No","1986","no degree/no degree yet","indirect migration background","","","",""
"Yes","1987","lower secondary degree","no migration background","473","0.21158601142714","0.194798995697472","0.228373027156809"
"Yes","1987","lower secondary degree","direct migration background","30","0.109822939340075","0.0775692631961424","0.142076615484008"
"Yes","1987","lower secondary degree","indirect migration background","","","",""
"Yes","1987","secondary school degree","no migration background","323","0.31322320102728","0.284619503723136","0.341826898331424"
"Yes","1987","secondary school degree","direct migration background","","","",""
"Yes","1987","secondary school degree","indirect migration background","","","",""
"Yes","1987","college entrance qualification","no migration background","304","0.4515532512333","0.414121950089239","0.488984552377361"
"Yes","1987","college entrance qualification","direct migration background","","","",""
"Yes","1987","college entrance qualification","indirect migration background","","","",""
"Yes","1987","Other degree","no migration background","","","",""
"Yes","1987","Other degree","direct migration background","76","0.101567483412939","0.0802724453399365","0.122862521485941"
"Yes","1987","Other degree","indirect migration background","","","",""
"Yes","1987","no degree/no degree yet","no migration background","","","",""
"Yes","1987","no degree/no degree yet","direct migration background","37","0.0808345946628557","0.05418868616703","0.107480503158681"
"Yes","1987","no degree/no degree yet","indirect migration background","","","",""
"No","1987","lower secondary degree","no migration background","1801","0.78841398857286","0.771626972843191","0.805201004302529"
"No","1987","lower secondary degree","direct migration background","331","0.890177060659925","0.857923384515992","0.922430736803858"
"No","1987","lower secondary degree","indirect migration background","40","0.75139884352803","0.627836540167726","0.874961146888333"
"No","1987","secondary school degree","no migration background","687","0.68677679897272","0.658173101668576","0.715380496276864"
"No","1987","secondary school degree","direct migration background","69","0.730700564627661","0.638540975349994","0.822860153905328"
"No","1987","secondary school degree","indirect migration background","","","",""
"No","1987","college entrance qualification","no migration background","375","0.5484467487667","0.511015447622639","0.585878049910761"
"No","1987","college entrance qualification","direct migration background","36","0.62320075073456","0.495134190579738","0.751267310889382"
"No","1987","college entrance qualification","indirect migration background","","","",""
"No","1987","Other degree","no migration background","","","",""
"No","1987","Other degree","direct migration background","697","0.898432516587061","0.877137478514059","0.919727554660064"
"No","1987","Other degree","indirect migration background","","","",""
"No","1987","no degree/no degree yet","no migration background","","","",""
"No","1987","no degree/no degree yet","direct migration background","365","0.919165405337144","0.892519496841319","0.94581131383297"
