"pgoeffd","year","migback","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"No","1984","indirect migration background","higher vocational","2","","","","2"
"No","1984","indirect migration background","higher education","2","","","","2"
"No","1984","indirect migration background","general elemantary","27","","","","2"
"No","1984","indirect migration background","inadequately","3","","","","2"
"No","1984","indirect migration background","in school","","","","","2"
"No","1984","indirect migration background","middle vocational","26","","","","2"
"No","1984","indirect migration background","vocational + Abi","","","","","2"
"No","1984","no migration background","higher vocational","272","0.660905345091267","0.615468290836497","0.706342399346038","2"
"No","1984","no migration background","higher education","255","0.481020025470601","0.438280930838713","0.523759120102488","2"
"No","1984","no migration background","inadequately","27","","","","2"
"No","1984","no migration background","general elemantary","725","0.805954557476081","0.780103682550454","0.831805432401707","2"
"No","1984","no migration background","in school","2","","","","2"
"No","1984","no migration background","middle vocational","2147","0.773345583914551","0.757785336645214","0.788905831183889","2"
"No","1984","no migration background","vocational + Abi","93","0.815797749274592","0.745254117584903","0.886341380964281","2"
"No","1984","direct migration background","in school","","","","","2"
"No","1984","direct migration background","inadequately","508","0.91020424189168","0.886547006092282","0.933861477691079","2"
"No","1984","direct migration background","general elemantary","640","0.886100142657507","0.862599349056487","0.909600936258527","2"
"No","1984","direct migration background","middle vocational","701","0.886781337431156","0.864342467108991","0.909220207753321","2"
"No","1984","direct migration background","vocational + Abi","85","0.875780579496627","0.810142686956357","0.941418472036897","2"
"No","1984","direct migration background","higher vocational","22","","","","2"
"No","1984","direct migration background","higher education","56","0.603131142003793","0.503157948613209","0.703104335394377","2"
"Yes","1984","no migration background","in school","1","","","","1"
"Yes","1984","no migration background","inadequately","5","","","","1"
"Yes","1984","no migration background","general elemantary","174","0.194045442523919","0.168194567598293","0.219896317449546","1"
"Yes","1984","no migration background","middle vocational","634","0.226654416085449","0.211094168816111","0.242214663354786","1"
"Yes","1984","no migration background","vocational + Abi","23","","","","1"
"Yes","1984","no migration background","higher vocational","145","0.339094654908732","0.293657600653962","0.384531709163503","1"
"Yes","1984","no migration background","higher education","270","0.5189799745294","0.476240879897512","0.561719069161287","1"
"Yes","1984","direct migration background","in school","","","","","1"
"Yes","1984","direct migration background","inadequately","53","0.0897957581083196","0.0661385223089209","0.113452993907718","1"
"Yes","1984","direct migration background","general elemantary","62","0.113899857342493","0.0903990637414728","0.137400650943513","1"
"Yes","1984","direct migration background","middle vocational","65","0.113218662568844","0.0907797922466788","0.135657532891009","1"
"Yes","1984","direct migration background","vocational + Abi","12","","","","1"
"Yes","1984","direct migration background","higher vocational","11","","","","1"
"Yes","1984","direct migration background","higher education","36","0.396868857996207","0.296895664605623","0.496842051386791","1"
"Yes","1984","indirect migration background","in school","","","","","1"
"Yes","1984","indirect migration background","inadequately","","","","","1"
"Yes","1984","indirect migration background","general elemantary","3","","","","1"
"Yes","1984","indirect migration background","middle vocational","2","","","","1"
"Yes","1984","indirect migration background","vocational + Abi","","","","","1"
"Yes","1984","indirect migration background","higher vocational","1","","","","1"
"Yes","1984","indirect migration background","higher education","1","","","","1"
"No","1985","indirect migration background","general elemantary","21","","","","2"
"No","1985","indirect migration background","inadequately","2","","","","2"
"No","1985","indirect migration background","in school","","","","","2"
"No","1985","indirect migration background","higher vocational","2","","","","2"
"No","1985","indirect migration background","higher education","1","","","","2"
"No","1985","no migration background","higher vocational","243","0.641773454896895","0.593627992692985","0.689918917100805","2"
"No","1985","indirect migration background","middle vocational","27","","","","2"
"No","1985","indirect migration background","vocational + Abi","","","","","2"
"No","1985","no migration background","higher education","240","0.487262424601126","0.443005718790545","0.531519130411707","2"
"No","1985","direct migration background","middle vocational","592","0.904262526139049","0.881538074817237","0.926986977460861","2"
