"year","education","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2002","college entrance qualification","direct migration background","24.28","24","306","20","22","26","29","33","23.87","24.69","16","37","24","25"
"2002","college entrance qualification","indirect migration background","23.68","23","186","19","21","26","28","35","23.17","24.19","17","35","22","24"
"2002","college entrance qualification","no migration background","24.53","24","5088","20","22","27","30","37","24.42","24.64","14","60","24","24"
"2002","lower secondary degree","direct migration background","26.07","26","723","21","23","28","31","39","25.76","26.38","17","50","25","26"
"2002","lower secondary degree","indirect migration background","23.82","23.06","256","19","21","26","28","38","23.32","24.32","13","41","23","25"
"2002","lower secondary degree","no migration background","26.29","26","7318","21","23","29","32","39","26.19","26.39","12","57","26","26"
"2002","no degree/no degree yet","direct migration background","26.06","26","257","20","22","29","32","38","25.47","26.65","18","52","25","27"
"2002","no degree/no degree yet","indirect migration background","21.84","22","88","18","20","24","27","28","21.21","22.47","13","29","20","22"
"2002","no degree/no degree yet","no migration background","22.73","22","559","19","20","25","28","33","22.45","23.01","16","36","21","22"
"2002","Other degree","direct migration background","26.23","26","1199","21","23","29","31","39","25.97","26.49","16","59","26","26"
"2002","Other degree","indirect migration background","","","","","","","","","","","","","",""
"2002","Other degree","no migration background","25.58","25","106","22","23","27","31","42","24.64","26.52","16","46","24","26"
"2002","secondary school degree","direct migration background","24.7","25","278","20","22","27","30","38","24.2","25.2","15","43","24","25"
"2002","secondary school degree","indirect migration background","23.96","23","210","19","21","26","29","43","23.28","24.64","16","61","22","24"
"2002","secondary school degree","no migration background","25.03","24","6159","20","22","27","31","37","24.92","25.14","15","66","24","25"
"2003","college entrance qualification","direct migration background","","","","","","","","","","","","","",""
"2003","college entrance qualification","indirect migration background","","","","","","","","","","","","","",""
"2003","college entrance qualification","no migration background","","","","","","","","","","","","","",""
"2003","lower secondary degree","direct migration background","","","","","","","","","","","","","",""
"2003","lower secondary degree","indirect migration background","","","","","","","","","","","","","",""
"2003","lower secondary degree","no migration background","","","","","","","","","","","","","",""
"2003","no degree/no degree yet","direct migration background","","","","","","","","","","","","","",""
"2003","no degree/no degree yet","indirect migration background","","","","","","","","","","","","","",""
"2003","no degree/no degree yet","no migration background","","","","","","","","","","","","","",""
"2003","Other degree","direct migration background","","","","","","","","","","","","","",""
"2003","Other degree","indirect migration background","","","","","","","","","","","","","",""
"2003","Other degree","no migration background","","","","","","","","","","","","","",""
