"year","migback","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2002","direct migration background","25.75","25","2804","21","23","28","31","39","25.58","25.92","15","59","25","26"
"2002","indirect migration background","23.56","23","777","19","21","26","28","36","23.26","23.86","13","61","23","23"
"2002","no migration background","25.44","25","19368","20","22","28","31","38","25.38","25.5","12","66","25","25"
"2003","direct migration background","","","","","","","","","","","","","",""
"2003","indirect migration background","","","","","","","","","","","","","",""
"2003","no migration background","","","","","","","","","","","","","",""
"2004","direct migration background","25.99","26","2524","21","23","29","32","39","25.81","26.17","14","69","26","26"
"2004","indirect migration background","23.91","24","794","19","21","26","29","35","23.64","24.18","13","40","23","24"
"2004","no migration background","25.62","25","18171","21","23","28","31","39","25.55","25.69","12","73","25","25"
"2005","direct migration background","","","","","","","","","","","","","",""
"2005","indirect migration background","","","","","","","","","","","","","",""
"2005","no migration background","","","","","","","","","","","","","",""
"2006","direct migration background","26.21","26","2381","21","23","29","32","40","26.02","26.4","15","57","26","26"
"2006","indirect migration background","24.43","24","816","19","21","27","29","39","24.13","24.73","13","58","23","24"
"2006","no migration background","25.86","25","18660","21","23","28","32","40","25.79","25.93","12","76","25","25"
"2007","direct migration background","","","","","","","","","","","","","",""
"2007","indirect migration background","","","","","","","","","","","","","",""
"2007","no migration background","","","","","","","","","","","","","",""
"2008","direct migration background","26.35","26","1903","21","23","29","32","40","26.14","26.56","15","66","26","26"
"2008","indirect migration background","24.67","24","767","19","22","27","30","38","24.35","24.99","13","63","24","24"
"2008","no migration background","26.1","25","16547","21","23","29","32","41","26.02","26.18","13","197","25","25"
"2009","direct migration background","","","","","","","","","","","","","",""
"2009","indirect migration background","","","","","","","","","","","","","",""
"2009","no migration background","","","","","","","","","","","","","",""
"2010","direct migration background","26.56","26","1465","21","23","29","33","42","26.31","26.81","16","64","26","26"
"2010","indirect migration background","25.01","24","653","19","21","28","31","39","24.65","25.37","13","45","24","25"
"2010","no migration background","26.29","26","14449","21","23","29","32","42","26.21","26.37","14","164","25","26"
"2011","direct migration background","","","","","","","","","","","","","",""
"2011","indirect migration background","","","","","","","","","","","","","",""
"2011","no migration background","","","","","","","","","","","","","",""
"2012","direct migration background","26.28","26","1929","21","23","29","32","40","26.07","26.49","15","59","26","26"
"2012","indirect migration background","25.13","24","790","19","21","28","32","42","24.78","25.48","16","50","24","25"
"2012","no migration background","26.3","26","17597","21","23","29","32","41","26.23","26.37","12","177","26","26"
"2013","direct migration background","","","","","","","","","","","","","",""
"2013","indirect migration background","","","","","","","","","","","","","",""
"2013","no migration background","","","","","","","","","","","","","",""
"2014","direct migration background","26.18","26","5076","21","23","29","32","40","26.04","26.32","15","65","26","26"
"2014","indirect migration background","25.26","24","1756","20","22","28","32","43","25.02","25.5","13","57","24","25"
"2014","no migration background","26.37","26","19986","21","23","29","33","43","26.3","26.44","13","147","25","26"
"2015","direct migration background","","","","","","","","","","","","","",""
"2015","indirect migration background","","","","","","","","","","","","","",""
"2015","no migration background","","","","","","","","","","","","","",""
"2016","direct migration background","26.4","26","4736","21","23","29","32","40","26.26","26.54","15","62","26","26"
"2016","indirect migration background","25.62","24","1506","20","22","28","33","42","25.33","25.91","16","91","24","25"
"2016","no migration background","26.51","26","17647","21","23","29","33","43","26.43","26.59","14","69","26","26"
"2017","direct migration background","","","","","","","","","","","","","",""
"2017","indirect migration background","","","","","","","","","","","","","",""
"2017","no migration background","","","","","","","","","","","","","",""
"2018","direct migration background","26.37","26","8015","21","23","29","32","40","26.26","26.48","14","84","26","26"
"2018","indirect migration background","25.79","25","1669","20","22","28","33","47","25.52","26.06","15","65","24","25"
"2018","no migration background","26.65","26","19278","21","23","29","33","44","26.57","26.73","11","95","26","26"
