"year","bula_h","education","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2002","Baden-Württemberg","college entrance qualification","24.29","24","670","20","22","26","29","34","24.02","24.56","15","40","24","24"
"2002","Baden-Württemberg","lower secondary degree","25.85","25","1018","21","23","28","31","39","25.59","26.11","15","48","25","26"
"2002","Baden-Württemberg","no degree/no degree yet","24.35","24","142","19","21","27","31","33","23.67","25.03","17","35","22","25"
"2002","Baden-Württemberg","Other degree","26.25","26","302","21","23","28","31","38","25.74","26.76","17","47","25","27"
"2002","Baden-Württemberg","secondary school degree","24.87","24","648","20","22","27","30","37","24.53","25.21","15","53","24","24"
"2002","Bavaria","college entrance qualification","24.32","24","786","20","22","27","29","35","24.06","24.58","14","40","24","24"
"2002","Bavaria","lower secondary degree","25.92","26","1378","21","23","28","31","38","25.7","26.14","12","50","25","26"
"2002","Bavaria","no degree/no degree yet","23.39","22","79","18","20","26","29","33","22.47","24.31","16","35","21","23"
"2002","Bavaria","Other degree","25.98","25.05","183","21","23","28","32","46","25.28","26.68","16","48","25","26"
"2002","Bavaria","secondary school degree","24.63","24","798","20","22","27","30","35","24.36","24.9","17","43","24","24"
"2002","Berlin","college entrance qualification","23.87","23.51","297","19","21","26","29","35","23.38","24.36","17","46","23","24"
"2002","Berlin","lower secondary degree","26.25","25","169","22","23","29","32","42","25.58","26.92","18","46","25","26"
"2002","Berlin","no degree/no degree yet","21.71","21.41","39","18","19","25","26","27","20.73","22.69","17","29","20","22"
"2002","Berlin","Other degree","25.55","25.04","37","20","23","29","30","30","23.81","27.29","17","45","23","27"
"2002","Berlin","secondary school degree","25.09","24","278","20","22","28","31","39","24.55","25.63","18","46","24","24"
"2002","Brandenburg","college entrance qualification","25.09","25","201","20","22","28","31","35","24.53","25.65","17","35","23","25"
"2002","Brandenburg","lower secondary degree","27.8","27","284","22","25","30","33","47","27.21","28.39","16","47","26","28"
"2002","Brandenburg","no degree/no degree yet","","","","","","","","","","","","","",""
"2002","Brandenburg","Other degree","","","","","","","","","","","","","",""
"2002","Brandenburg","secondary school degree","25.38","25","427","20","22","28","32","37","24.99","25.77","18","44","24","25"
"2002","Bremen","college entrance qualification","24.24","24","46","20","21","25","30","33","23.14","25.34","18","34","21","25"
"2002","Bremen","lower secondary degree","26.06","25","61","20","24","28","32","57","24.67","27.45","16","57","24","26"
"2002","Bremen","no degree/no degree yet","","","","","","","","","","","","","",""
"2002","Bremen","Other degree","","","","","","","","","","","","","",""
"2002","Bremen","secondary school degree","24.79","25","48","20","21","27","30","31","23.88","25.7","18","31","24","26"
"2002","Hamburg","college entrance qualification","23.11","22.07","113","20","21","25","26","34","22.52","23.7","18","34","22","24"
"2002","Hamburg","lower secondary degree","25.71","25.58","90","21","23","27","29","40","24.56","26.86","18","48","24","26"
"2002","Hamburg","no degree/no degree yet","","","","","","","","","","","","","",""
"2002","Hamburg","Other degree","","","","","","","","","","","","","",""
"2002","Hamburg","secondary school degree","24.91","23.21","101","19","21","26","30","56","23.77","26.05","16","56","22","24"
"2002","Hesse","college entrance qualification","24.57","24","458","20","22","26","29","36","24.21","24.93","17","46","24","25"
"2002","Hesse","lower secondary degree","26.64","26","520","21","24","29","32","39","26.23","27.05","16","47","26","27"
"2002","Hesse","no degree/no degree yet","25.4","24","64","21","22","27","31","38","24.22","26.58","17","39","23","26"
"2002","Hesse","Other degree","26.27","26","144","21","23","29","31","43","25.46","27.08","18","56","25","27"
"2002","Hesse","secondary school degree","24.93","24.86","435","21","22","27","30","35","24.55","25.31","16","47","24","25"
"2002","Lower Saxony","college entrance qualification","25.02","24","445","20","22","27","30","41","24.63","25.41","17","60","24","25"
"2002","Lower Saxony","lower secondary degree","26.1","26","753","21","23","28","31","39","25.79","26.41","16","45","26","26"
"2002","Lower Saxony","no degree/no degree yet","23.77","23","86","19","21","26","29","33","22.87","24.67","17","36","22","24"
"2002","Lower Saxony","Other degree","26.54","27","92","21","24","28","32","40","25.62","27.46","18","40","25","27"
"2002","Lower Saxony","secondary school degree","24.89","24","571","20","22","27","31","37","24.53","25.25","16","52","24","25"
"2002","Mecklenburg-Western Pomerania","college entrance qualification","24.14","24","101","19","21","26","28","33","23.43","24.85","17","36","23","26"
"2002","Mecklenburg-Western Pomerania","lower secondary degree","27","27","131","22","25","30","32","36","26.34","27.66","17","37","26","28"
"2002","Mecklenburg-Western Pomerania","no degree/no degree yet","","","","","","","","","","","","","",""
