"year","e11102","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2002","Employed","East Germany","25.18","25","3319","20","22","28","31","37","25.04","25.32","15","55","25","25"
"2002","Employed","West Germany","25.17","25","11401","20","22","27","30","38","25.09","25.25","12","66","25","25"
"2002","Not Employed","East Germany","26.3","26","2102","21","23","29","32","39","26.1","26.5","14","53","26","26"
"2002","Not Employed","West Germany","25.68","25","6127","20","23","28","31","39","25.57","25.79","13","59","25","25"
"2003","Employed","East Germany","","","","","","","","","","","","","",""
"2003","Employed","West Germany","","","","","","","","","","","","","",""
"2003","Not Employed","East Germany","","","","","","","","","","","","","",""
"2003","Not Employed","West Germany","","","","","","","","","","","","","",""
"2004","Employed","East Germany","25.2","25","3065","20","22","28","31","38","25.05","25.35","15","62","25","25"
"2004","Employed","West Germany","25.35","25","10308","21","22","28","31","39","25.27","25.43","14","69","25","25"
"2004","Not Employed","East Germany","26.51","26","2151","21","23","29","33","40","26.31","26.71","13","57","26","26"
"2004","Not Employed","West Germany","25.88","25","5965","21","23","28","32","40","25.76","26","12","73","25","25"
"2005","Employed","East Germany","","","","","","","","","","","","","",""
"2005","Employed","West Germany","","","","","","","","","","","","","",""
"2005","Not Employed","East Germany","","","","","","","","","","","","","",""
"2005","Not Employed","West Germany","","","","","","","","","","","","","",""
"2006","Employed","East Germany","25.47","25","3044","20","22","28","31","38","25.31","25.63","15","59","25","25"
"2006","Employed","West Germany","25.58","25","10314","21","22","28","31","39","25.49","25.67","14","61","25","25"
"2006","Not Employed","East Germany","26.82","26","2221","21","24","29","33","40","26.61","27.03","14","76","26","27"
"2006","Not Employed","West Germany","26.12","25","6278","21","23","29","32","41","26","26.24","12","65","25","26"
"2007","Employed","East Germany","","","","","","","","","","","","","",""
"2007","Employed","West Germany","","","","","","","","","","","","","",""
"2007","Not Employed","East Germany","","","","","","","","","","","","","",""
"2007","Not Employed","West Germany","","","","","","","","","","","","","",""
"2008","Employed","East Germany","25.62","25","2786","21","22","28","32","39","25.45","25.79","13","99","25","25"
"2008","Employed","West Germany","25.89","25","9026","21","23","28","32","40","25.79","25.99","13","197","25","25"
"2008","Not Employed","East Germany","26.88","26","1979","21","24","30","33","42","26.64","27.12","16","137","26","27"
