"year","e11102","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2002","Employed","general elemantary","25.03","25","1333","19","22","28","31","38","24.78","25.28","12","56","24","25"
"2002","Employed","higher education","24.94","25","3602","21","22","27","30","36","24.82","25.06","16","43","24","25"
"2002","Employed","higher vocational","25.77","25","1254","21","23","28","31","39","25.54","26","16","45","25","26"
"2002","Employed","in school","21.51","21","127","19","20","23","24","28","21.04","21.98","17","36","20","21"
"2002","Employed","inadequately","26.21","26","121","21","23","29","33","38","25.42","27","17","39","25","26"
"2002","Employed","middle vocational","25.33","25","7314","20","22","28","31","38","25.23","25.43","16","66","25","25"
"2002","Employed","vocational + Abi","24.36","24","865","20","22","26","29","38","24.07","24.65","17","60","24","24"
"2002","Not Employed","general elemantary","26.23","26","1548","21","23","29","32","39","25.98","26.48","13","59","25","26"
"2002","Not Employed","higher education","25.68","25","947","21","23","28","31","39","25.42","25.94","14","46","25","26"
"2002","Not Employed","higher vocational","26.12","26","481","21","24","29","31","37","25.75","26.49","15","48","25","26"
"2002","Not Employed","in school","21.88","22","479","19","20","24","26","32","21.62","22.14","13","33","21","21"
"2002","Not Employed","inadequately","26.92","27","163","21","24","30","32","38","26.17","27.67","16","52","26","28"
"2002","Not Employed","middle vocational","26","26","4239","21","23","28","31","39","25.86","26.14","15","57","25","26"
"2002","Not Employed","vocational + Abi","24.86","24","306","20","21","27","30","38","24.36","25.36","17","42","23","25"
"2003","Employed","general elemantary","","","","","","","","","","","","","",""
"2003","Employed","higher education","","","","","","","","","","","","","",""
"2003","Employed","higher vocational","","","","","","","","","","","","","",""
"2003","Employed","in school","","","","","","","","","","","","","",""
"2003","Employed","inadequately","","","","","","","","","","","","","",""
"2003","Employed","middle vocational","","","","","","","","","","","","","",""
"2003","Employed","vocational + Abi","","","","","","","","","","","","","",""
"2003","Not Employed","general elemantary","","","","","","","","","","","","","",""
"2003","Not Employed","higher education","","","","","","","","","","","","","",""
"2003","Not Employed","higher vocational","","","","","","","","","","","","","",""
"2003","Not Employed","in school","","","","","","","","","","","","","",""
"2003","Not Employed","inadequately","","","","","","","","","","","","","",""
"2003","Not Employed","middle vocational","","","","","","","","","","","","","",""
"2003","Not Employed","vocational + Abi","","","","","","","","","","","","","",""
"2004","Employed","general elemantary","25.15","25","1139","20","22","28","31","39","24.88","25.42","14","65","24","25"
"2004","Employed","higher education","24.97","25","3293","20","22","27","30","37","24.84","25.1","16","58","24","25"
"2004","Employed","higher vocational","26.03","26","1142","21","23","28","31","39","25.77","26.29","16","65","25","26"
"2004","Employed","in school","21.13","21","93","18","19","22","25","29","20.54","21.72","17","30","20","22"
"2004","Employed","inadequately","26.49","25","102","21","23","29","33","36","25.53","27.45","16","43","25","27"
"2004","Employed","middle vocational","25.53","25","6593","21","23","28","31","38","25.43","25.63","16","55","25","25"
"2004","Employed","vocational + Abi","24.57","24","867","20","22","26","30","38","24.29","24.85","16","69","24","24"
"2004","Not Employed","general elemantary","26.66","26","1412","21","23","30","33","42","26.38","26.94","12","73","26","26"
"2004","Not Employed","higher education","25.88","25","989","21","23","28","31","39","25.63","26.13","15","49","25","26"
"2004","Not Employed","higher vocational","26.47","26","489","21","24","29","32","41","26.08","26.86","16","49","26","26"
"2004","Not Employed","in school","21.64","21","539","18","19","23","26","32","21.37","21.91","14","35","21","21"
"2004","Not Employed","inadequately","26.75","27","148","21","24","29","32","38","25.93","27.57","16","49","26","28"
"2004","Not Employed","middle vocational","26.22","26","4142","21","23","29","32","40","26.08","26.36","13","67","26","26"
"2004","Not Employed","vocational + Abi","25.47","25","282","20","22","28","33","37","24.96","25.98","16","45","24","25"
"2005","Employed","general elemantary","","","","","","","","","","","","","",""
"2005","Employed","higher education","","","","","","","","","","","","","",""
"2005","Employed","higher vocational","","","","","","","","","","","","","",""
"2005","Employed","in school","","","","","","","","","","","","","",""
"2005","Employed","inadequately","","","","","","","","","","","","","",""
"2005","Employed","middle vocational","","","","","","","","","","","","","",""
"2005","Employed","vocational + Abi","","","","","","","","","","","","","",""
"2005","Not Employed","general elemantary","","","","","","","","","","","","","",""
"2005","Not Employed","higher education","","","","","","","","","","","","","",""
"2005","Not Employed","higher vocational","","","","","","","","","","","","","",""
"2005","Not Employed","in school","","","","","","","","","","","","","",""
"2005","Not Employed","inadequately","","","","","","","","","","","","","",""
"2005","Not Employed","middle vocational","","","","","","","","","","","","","",""
"2005","Not Employed","vocational + Abi","","","","","","","","","","","","","",""
"2006","Employed","general elemantary","25.49","25","1015","20","22","28","32","41","25.18","25.8","16","60","24","25"
"2006","Employed","higher education","25.06","25","3400","20","22","27","30","36","24.93","25.19","14","47","25","25"
"2006","Employed","higher vocational","26.15","25","1126","21","23","29","32","39","25.89","26.41","16","51","25","26"
"2006","Employed","in school","22.97","22","68","19","20","25","29","34","22.11","23.83","16","34","21","22"
"2006","Employed","inadequately","26.39","26","92","20","22","30","33","39","25.33","27.45","17","42","24","27"
"2006","Employed","middle vocational","25.86","25","6560","21","23","28","32","39","25.75","25.97","15","61","25","25"
"2006","Employed","vocational + Abi","24.63","24","913","20","22","27","30","37","24.36","24.9","14","46","24","25"
"2006","Not Employed","general elemantary","26.85","26","1457","21","24","29","33","43","26.58","27.12","13","76","26","26"
"2006","Not Employed","higher education","25.91","25","1166","21","23","28","31","39","25.67","26.15","16","67","25","26"
"2006","Not Employed","higher vocational","26.88","26","517","21","24","29","32","53","26.45","27.31","14","64","26","27"
"2006","Not Employed","in school","22.43","22","324","18","20","24","26","58","22.02","22.84","16","58","21","22"
"2006","Not Employed","inadequately","27.23","27","150","20","24","31","34","37","26.34","28.12","17","57","27","29"
"2006","Not Employed","middle vocational","26.4","26","4449","21","23","29","32","40","26.26","26.54","12","65","26","26"
"2006","Not Employed","vocational + Abi","25.48","25","297","20","22","28","32","39","24.93","26.03","17","61","24","26"
"2007","Employed","general elemantary","","","","","","","","","","","","","",""
"2007","Employed","higher education","","","","","","","","","","","","","",""
"2007","Employed","higher vocational","","","","","","","","","","","","","",""
"2007","Employed","in school","","","","","","","","","","","","","",""
"2007","Employed","inadequately","","","","","","","","","","","","","",""
"2007","Employed","middle vocational","","","","","","","","","","","","","",""
"2007","Employed","vocational + Abi","","","","","","","","","","","","","",""
"2007","Not Employed","general elemantary","","","","","","","","","","","","","",""
"2007","Not Employed","higher education","","","","","","","","","","","","","",""
"2007","Not Employed","higher vocational","","","","","","","","","","","","","",""
"2007","Not Employed","in school","","","","","","","","","","","","","",""
"2007","Not Employed","inadequately","","","","","","","","","","","","","",""
"2007","Not Employed","middle vocational","","","","","","","","","","","","","",""
"2007","Not Employed","vocational + Abi","","","","","","","","","","","","","",""
"2008","Employed","general elemantary","25.64","25","823","20","22","28","32","41","25.31","25.97","13","54","24","25"
"2008","Employed","higher education","25.28","25","3028","21","22","27","31","37","25.13","25.43","13","47","25","25"
"2008","Employed","higher vocational","26.57","26","953","21","23","29","33","42","26.27","26.87","16","49","26","26"
"2008","Employed","in school","22.15","22","64","19","20","24","26","29","21.36","22.94","17","36","22","24"
"2008","Employed","inadequately","26.17","26","70","20","22","30","33","40","24.95","27.39","18","46","24","27"
"2008","Employed","middle vocational","26.21","25","5850","21","23","29","32","40","26.08","26.34","15","197","25","26"
"2008","Employed","vocational + Abi","25.04","25","830","20","22","27","31","39","24.75","25.33","16","49","24","25"
"2008","Not Employed","general elemantary","27.18","26","1173","22","23","30","34","44","26.85","27.51","15","73","26","27"
"2008","Not Employed","higher education","25.94","26","1154","21","23","28","31","35","25.65","26.23","16","137","25","26"
"2008","Not Employed","higher vocational","27.08","26","457","22","24","30","33","46","26.67","27.49","17","46","26","27"
"2008","Not Employed","in school","22.67","22","287","18","20","24","27","35","22.2","23.14","15","59","21","22"
