"year","education","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2005","college entrance qualification","3.54","3","5187","3.5","3.58","1","2","5","6"
"2005","lower secondary degree","3.8","4","7073","3.76","3.84","1","2","5","6"
"2005","no degree/no degree yet","3.79","4","902","3.67","3.91","1","2","5","6"
"2005","Other degree","3.85","4","1114","3.74","3.96","1","2","5","6"
"2005","secondary school degree","3.74","4","6010","3.7","3.78","1","2","5","6"
"2006","college entrance qualification","","","","","","","","",""
"2006","lower secondary degree","","","","","","","","",""
"2006","no degree/no degree yet","","","","","","","","",""
"2006","Other degree","","","","","","","","",""
"2006","secondary school degree","","","","","","","","",""
"2007","college entrance qualification","","","","","","","","",""
"2007","lower secondary degree","","","","","","","","",""
"2007","no degree/no degree yet","","","","","","","","",""
"2007","Other degree","","","","","","","","",""
"2007","secondary school degree","","","","","","","","",""
"2008","college entrance qualification","","","","","","","","",""
"2008","lower secondary degree","","","","","","","","",""
"2008","no degree/no degree yet","","","","","","","","",""
"2008","Other degree","","","","","","","","",""
"2008","secondary school degree","","","","","","","","",""
"2009","college entrance qualification","3.52","3","4890","3.48","3.56","2","2","5","6"
"2009","lower secondary degree","3.66","4","5907","3.62","3.7","1","2","5","6"
"2009","no degree/no degree yet","3.81","4","484","3.66","3.96","2","3","5","6"
"2009","Other degree","3.74","4","800","3.62","3.86","1","2","5","6"
"2009","secondary school degree","3.67","4","5399","3.63","3.71","2","2","5","6"
"2010","college entrance qualification","","","","","","","","",""
"2010","lower secondary degree","","","","","","","","",""
"2010","no degree/no degree yet","","","","","","","","",""
"2010","Other degree","","","","","","","","",""
"2010","secondary school degree","","","","","","","","",""
"2011","college entrance qualification","","","","","","","","",""
"2011","lower secondary degree","","","","","","","","",""
"2011","no degree/no degree yet","","","","","","","","",""
"2011","Other degree","","","","","","","","",""
"2011","secondary school degree","","","","","","","","",""
"2012","college entrance qualification","3.43","3","2145","3.36","3.5","1","2","5","6"
"2012","lower secondary degree","3.69","4","1407","3.6","3.78","1","2","5","6"
"2012","no degree/no degree yet","3.92","4","352","3.74","4.1","2","3","5","7"
"2012","Other degree","3.82","4","677","3.68","3.96","1","2","5","6"
"2012","secondary school degree","3.61","4","2386","3.54","3.68","1","2","5","6"
"2013","college entrance qualification","3.49","3","5381","3.45","3.53","2","2","5","6"
"2013","lower secondary degree","3.72","4","5819","3.67","3.77","1","2","5","6"
"2013","no degree/no degree yet","3.89","4","484","3.73","4.05","1","2","5","6"
"2013","Other degree","3.76","4","1013","3.65","3.87","1","2","5","6"
"2013","secondary school degree","3.67","4","5626","3.63","3.71","2","2","5","6"
"2014","college entrance qualification","","","","","","","","",""
"2014","lower secondary degree","","","","","","","","",""
"2014","no degree/no degree yet","","","","","","","","",""
"2014","Other degree","","","","","","","","",""
"2014","secondary school degree","","","","","","","","",""
"2015","college entrance qualification","","","","","","","","",""
"2015","lower secondary degree","","","","","","","","",""
"2015","no degree/no degree yet","","","","","","","","",""
"2015","Other degree","","","","","","","","",""
"2015","secondary school degree","","","","","","","","",""
"2016","college entrance qualification","","","","","","","","",""
"2016","lower secondary degree","","","","","","","","",""
"2016","no degree/no degree yet","","","","","","","","",""
"2016","Other degree","","","","","","","","",""
"2016","secondary school degree","","","","","","","","",""
"2017","college entrance qualification","3.5","3","7945","3.46","3.54","2","2","5","6"
"2017","lower secondary degree","3.7","4","6098","3.66","3.74","1","2","5","6"
"2017","no degree/no degree yet","3.75","4","1857","3.66","3.84","1","2","5","6"
"2017","Other degree","3.65","4","4558","3.6","3.7","1","2","5","6"
"2017","secondary school degree","3.71","4","7615","3.67","3.75","2","2","5","6"
"2018","college entrance qualification","","","","","","","","",""
"2018","lower secondary degree","","","","","","","","",""
"2018","no degree/no degree yet","","","","","","","","",""
"2018","Other degree","","","","","","","","",""
"2018","secondary school degree","","","","","","","","",""
"2019","college entrance qualification","3.31","3","8543","3.28","3.34","1","2","4","6"
"2019","lower secondary degree","3.43","3","5301","3.38","3.48","1","2","5","6"
"2019","no degree/no degree yet","3.76","4","777","3.63","3.89","1","2","5","6"
"2019","Other degree","3.44","3","2549","3.37","3.51","1","2","5","6"
"2019","secondary school degree","3.44","3","7418","3.4","3.48","1","2","5","6"
