"year","migback","pgisced97","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","direct migration background","general elemantary","3.91","4","566","1","2","5","7","3.76","4.06","4","4"
"2005","direct migration background","higher education","3.62","4","336","1","2","5","6","3.44","3.8","3","4"
"2005","direct migration background","higher vocational","3.55","4","131","1","2","5","6","3.25","3.85","3","4"
"2005","direct migration background","in school","3.79","4","55","2","3","5","6","3.41","4.17","3","4"
"2005","direct migration background","inadequately","3.75","4","146","1","2","5","6","3.44","4.06","3","4"
"2005","direct migration background","middle vocational","3.88","4","870","1","2","5","6","3.76","4","4","4"
"2005","direct migration background","vocational + Abi","3.68","4","217","1","2","5","6","3.46","3.9","3","4"
"2005","indirect migration background","general elemantary","3.95","4","182","2","3","5","6","3.71","4.19","4","4"
"2005","indirect migration background","higher education","3.32","3","69","2","2","4","6","2.93","3.71","2","4"
"2005","indirect migration background","higher vocational","3.49","3.77","41","1","2","5","5","2.94","4.04","2","5"
"2005","indirect migration background","in school","3.75","4","90","1","2","5","6","3.41","4.09","3","4"
"2005","indirect migration background","inadequately","","","","","","","","","","",""
"2005","indirect migration background","middle vocational","3.46","3","336","1","2","5","6","3.29","3.63","3","4"
"2005","indirect migration background","vocational + Abi","3.52","3","45","1","2","4","6","2.99","4.05","3","4"
"2005","no migration background","general elemantary","3.99","4","1652","1","3","5","6","3.9","4.08","4","4"
"2005","no migration background","higher education","3.54","3","3759","1","2","5","6","3.49","3.59","3","3"
"2005","no migration background","higher vocational","3.54","4","1377","1","2","5","6","3.45","3.63","3","4"
"2005","no migration background","in school","3.73","4","505","1","2","5","6","3.58","3.88","3","4"
"2005","no migration background","inadequately","4.02","4","82","1","2","6","7","3.55","4.49","3","5"
"2005","no migration background","middle vocational","3.75","4","9033","1","2","5","6","3.71","3.79","4","4"
"2005","no migration background","vocational + Abi","3.65","4","870","2","2","5","6","3.54","3.76","3","4"
"2006","direct migration background","general elemantary","","","","","","","","","","",""
"2006","direct migration background","higher education","","","","","","","","","","",""
"2006","direct migration background","higher vocational","","","","","","","","","","",""
"2006","direct migration background","in school","","","","","","","","","","",""
"2006","direct migration background","inadequately","","","","","","","","","","",""
"2006","direct migration background","middle vocational","","","","","","","","","","",""
"2006","direct migration background","vocational + Abi","","","","","","","","","","",""
"2006","indirect migration background","general elemantary","","","","","","","","","","",""
"2006","indirect migration background","higher education","","","","","","","","","","",""
"2006","indirect migration background","higher vocational","","","","","","","","","","",""
"2006","indirect migration background","in school","","","","","","","","","","",""
"2006","indirect migration background","inadequately","","","","","","","","","","",""
"2006","indirect migration background","middle vocational","","","","","","","","","","",""
"2006","indirect migration background","vocational + Abi","","","","","","","","","","",""
"2006","no migration background","general elemantary","","","","","","","","","","",""
"2006","no migration background","higher education","","","","","","","","","","",""
"2006","no migration background","higher vocational","","","","","","","","","","",""
"2006","no migration background","in school","","","","","","","","","","",""
"2006","no migration background","inadequately","","","","","","","","","","",""
"2006","no migration background","middle vocational","","","","","","","","","","",""
"2006","no migration background","vocational + Abi","","","","","","","","","","",""
"2007","direct migration background","general elemantary","","","","","","","","","","",""
"2007","direct migration background","higher education","","","","","","","","","","",""
"2007","direct migration background","higher vocational","","","","","","","","","","",""
"2007","direct migration background","in school","","","","","","","","","","",""
"2007","direct migration background","inadequately","","","","","","","","","","",""
"2007","direct migration background","middle vocational","","","","","","","","","","",""
"2007","direct migration background","vocational + Abi","","","","","","","","","","",""
"2007","indirect migration background","general elemantary","","","","","","","","","","",""
"2007","indirect migration background","higher education","","","","","","","","","","",""
"2007","indirect migration background","higher vocational","","","","","","","","","","",""
"2007","indirect migration background","in school","","","","","","","","","","",""
"2007","indirect migration background","inadequately","","","","","","","","","","",""
"2007","indirect migration background","middle vocational","","","","","","","","","","",""
"2007","indirect migration background","vocational + Abi","","","","","","","","","","",""
"2007","no migration background","general elemantary","","","","","","","","","","",""
"2007","no migration background","higher education","","","","","","","","","","",""
"2007","no migration background","higher vocational","","","","","","","","","","",""
"2007","no migration background","in school","","","","","","","","","","",""
"2007","no migration background","inadequately","","","","","","","","","","",""
"2007","no migration background","middle vocational","","","","","","","","","","",""
"2007","no migration background","vocational + Abi","","","","","","","","","","",""
"2008","direct migration background","general elemantary","","","","","","","","","","",""
"2008","direct migration background","higher education","","","","","","","","","","",""
"2008","direct migration background","higher vocational","","","","","","","","","","",""
"2008","direct migration background","in school","","","","","","","","","","",""
"2008","direct migration background","inadequately","","","","","","","","","","",""
"2008","direct migration background","middle vocational","","","","","","","","","","",""
"2008","direct migration background","vocational + Abi","","","","","","","","","","",""
"2008","indirect migration background","general elemantary","","","","","","","","","","",""
"2008","indirect migration background","higher education","","","","","","","","","","",""
"2008","indirect migration background","higher vocational","","","","","","","","","","",""
"2008","indirect migration background","in school","","","","","","","","","","",""
"2008","indirect migration background","inadequately","","","","","","","","","","",""
"2008","indirect migration background","middle vocational","","","","","","","","","","",""
"2008","indirect migration background","vocational + Abi","","","","","","","","","","",""
"2008","no migration background","general elemantary","","","","","","","","","","",""
"2008","no migration background","higher education","","","","","","","","","","",""
"2008","no migration background","higher vocational","","","","","","","","","","",""
"2008","no migration background","in school","","","","","","","","","","",""
"2008","no migration background","inadequately","","","","","","","","","","",""
"2008","no migration background","middle vocational","","","","","","","","","","",""
"2008","no migration background","vocational + Abi","","","","","","","","","","",""
"2009","direct migration background","general elemantary","3.77","4","356","1","2","5","6","3.59","3.95","4","4"
"2009","direct migration background","higher education","3.71","4","293","2","2","5","6","3.51","3.91","3","4"
"2009","direct migration background","higher vocational","3.49","3","95","1","2","5","6","3.17","3.81","3","4"
"2009","direct migration background","in school","","","","","","","","","","",""
"2009","direct migration background","inadequately","3.89","4","91","2","3","5","6","3.56","4.22","4","4"
"2009","direct migration background","middle vocational","3.67","3.54","610","1","2","5","6","3.53","3.81","3","4"
"2009","direct migration background","vocational + Abi","3.8","4","168","1","3","5","6","3.54","4.06","3","4"
"2009","indirect migration background","general elemantary","3.45","4","145","1","2","4","6","3.19","3.71","3","4"
"2009","indirect migration background","higher education","3.24","3","88","1","2","4","5","2.91","3.57","3","4"
"2009","indirect migration background","higher vocational","4.11","4","30","2","3","6","7","3.48","4.74","3","5"
"2009","indirect migration background","in school","3.67","4","49","1","2","5","6","3.14","4.2","3","5"
"2009","indirect migration background","inadequately","","","","","","","","","","",""
"2009","indirect migration background","middle vocational","3.54","3","288","1","2","5","6","3.34","3.74","3","4"
"2009","indirect migration background","vocational + Abi","3.62","3.24","36","2","2","5","6","3.14","4.1","3","5"
"2009","no migration background","general elemantary","3.86","4","1289","1","2","5","6","3.76","3.96","4","4"
"2009","no migration background","higher education","3.51","3","3649","2","2","5","6","3.46","3.56","3","3"
"2009","no migration background","higher vocational","3.53","3","1201","1","2","5","6","3.44","3.62","3","4"
"2009","no migration background","in school","3.66","3","251","2","2","5","6","3.46","3.86","3","4"
"2009","no migration background","inadequately","3.97","4","66","1","2","6","7","3.48","4.46","3","5"
"2009","no migration background","middle vocational","3.65","4","8139","1","2","5","6","3.61","3.69","4","4"
"2009","no migration background","vocational + Abi","3.6","4","795","2","2","5","6","3.48","3.72","3","4"
"2010","direct migration background","general elemantary","","","","","","","","","","",""
"2010","direct migration background","higher education","","","","","","","","","","",""
"2010","direct migration background","higher vocational","","","","","","","","","","",""
"2010","direct migration background","in school","","","","","","","","","","",""
"2010","direct migration background","inadequately","","","","","","","","","","",""
"2010","direct migration background","middle vocational","","","","","","","","","","",""
"2010","direct migration background","vocational + Abi","","","","","","","","","","",""
"2010","indirect migration background","general elemantary","","","","","","","","","","",""
"2010","indirect migration background","higher education","","","","","","","","","","",""
"2010","indirect migration background","higher vocational","","","","","","","","","","",""
"2010","indirect migration background","in school","","","","","","","","","","",""
"2010","indirect migration background","inadequately","","","","","","","","","","",""
"2010","indirect migration background","middle vocational","","","","","","","","","","",""
"2010","indirect migration background","vocational + Abi","","","","","","","","","","",""
"2010","no migration background","general elemantary","","","","","","","","","","",""
"2010","no migration background","higher education","","","","","","","","","","",""
"2010","no migration background","higher vocational","","","","","","","","","","",""
"2010","no migration background","in school","","","","","","","","","","",""
"2010","no migration background","inadequately","","","","","","","","","","",""
"2010","no migration background","middle vocational","","","","","","","","","","",""
"2010","no migration background","vocational + Abi","","","","","","","","","","",""
"2011","direct migration background","general elemantary","","","","","","","","","","",""
"2011","direct migration background","higher education","","","","","","","","","","",""
"2011","direct migration background","higher vocational","","","","","","","","","","",""
"2011","direct migration background","in school","","","","","","","","","","",""
"2011","direct migration background","inadequately","","","","","","","","","","",""
"2011","direct migration background","middle vocational","","","","","","","","","","",""
"2011","direct migration background","vocational + Abi","","","","","","","","","","",""
"2011","indirect migration background","general elemantary","","","","","","","","","","",""
"2011","indirect migration background","higher education","","","","","","","","","","",""
"2011","indirect migration background","higher vocational","","","","","","","","","","",""
"2011","indirect migration background","in school","","","","","","","","","","",""
"2011","indirect migration background","inadequately","","","","","","","","","","",""
"2011","indirect migration background","middle vocational","","","","","","","","","","",""
"2011","indirect migration background","vocational + Abi","","","","","","","","","","",""
"2011","no migration background","general elemantary","","","","","","","","","","",""
"2011","no migration background","higher education","","","","","","","","","","",""
"2011","no migration background","higher vocational","","","","","","","","","","",""
"2011","no migration background","in school","","","","","","","","","","",""
"2011","no migration background","inadequately","","","","","","","","","","",""
"2011","no migration background","middle vocational","","","","","","","","","","",""
"2011","no migration background","vocational + Abi","","","","","","","","","","",""
"2012","direct migration background","general elemantary","3.86","4","214","1","2","5","6","3.62","4.1","3","4"
"2012","direct migration background","higher education","3.61","3","228","1","2","5","6","3.37","3.85","3","4"
"2012","direct migration background","higher vocational","","","","","","","","","","",""
"2012","direct migration background","in school","","","","","","","","","","",""
