"year","age_gr","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","16-34 y.","3.71","4","5319","2","2","5","6","3.67","3.75","4","4"
"2005","35-65 y.","3.71","4","11588","1","2","5","6","3.68","3.74","4","4"
"2005","66 and older","3.81","4","3765","1","2","5","6","3.75","3.87","4","4"
"2006","16-34 y.","","","","","","","","","","",""
"2006","35-65 y.","","","","","","","","","","",""
"2006","66 and older","","","","","","","","","","",""
"2007","16-34 y.","","","","","","","","","","",""
"2007","35-65 y.","","","","","","","","","","",""
"2007","66 and older","","","","","","","","","","",""
"2008","16-34 y.","","","","","","","","","","",""
"2008","35-65 y.","","","","","","","","","","",""
"2008","66 and older","","","","","","","","","","",""
"2009","16-34 y.","3.61","4","3990","2","2","5","6","3.56","3.66","4","4"
"2009","35-65 y.","3.63","4","9851","1","2","5","6","3.6","3.66","3","4"
"2009","66 and older","3.72","4","4145","1","2","5","6","3.67","3.77","4","4"
"2010","16-34 y.","","","","","","","","","","",""
"2010","35-65 y.","","","","","","","","","","",""
"2010","66 and older","","","","","","","","","","",""
"2011","16-34 y.","","","","","","","","","","",""
"2011","35-65 y.","","","","","","","","","","",""
"2011","66 and older","","","","","","","","","","",""
"2012","16-34 y.","3.78","4","2199","2","2","5","6","3.71","3.85","4","4"
"2012","35-65 y.","3.55","3","4898","1","2","5","6","3.5","3.6","3","3"
"2012","66 and older","","","","","","","","","","",""
"2013","16-34 y.","3.67","4","3693","2","2","5","6","3.62","3.72","4","4"
"2013","35-65 y.","3.61","4","10210","1","2","5","6","3.58","3.64","4","4"
"2013","66 and older","3.72","4","4940","1","2","5","6","3.67","3.77","4","4"
"2014","16-34 y.","","","","","","","","","","",""
"2014","35-65 y.","","","","","","","","","","",""
"2014","66 and older","","","","","","","","","","",""
"2015","16-34 y.","","","","","","","","","","",""
"2015","35-65 y.","","","","","","","","","","",""
"2015","66 and older","","","","","","","","","","",""
"2016","16-34 y.","","","","","","","","","","",""
"2016","35-65 y.","","","","","","","","","","",""
"2016","66 and older","","","","","","","","","","",""
"2017","16-34 y.","3.82","4","7570","2","2","5","6","3.78","3.86","4","4"
"2017","35-65 y.","3.57","3","16678","1","2","5","6","3.54","3.6","3","3"
"2017","66 and older","3.63","4","5031","1","2","5","6","3.58","3.68","4","4"
"2018","16-34 y.","","","","","","","","","","",""
"2018","35-65 y.","","","","","","","","","","",""
"2018","66 and older","","","","","","","","","","",""
"2019","16-34 y.","3.58","4","5432","2","2","5","6","3.54","3.62","3","4"
"2019","35-65 y.","3.35","3","15130","1","2","5","6","3.32","3.38","3","3"
"2019","66 and older","3.42","3","5203","1","2","5","6","3.37","3.47","3","3"
