"year","education","migback","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2005","college entrance qualification","direct migration background","3.41","3","264","3.21","3.61","1","2","5","6"
"2005","college entrance qualification","indirect migration background","3.58","4","196","3.35","3.81","2","2","5","6"
"2005","college entrance qualification","no migration background","3.55","3","4727","3.5","3.6","1","2","5","6"
"2005","lower secondary degree","direct migration background","3.87","4","598","3.73","4.01","1","2","5","6"
"2005","lower secondary degree","indirect migration background","3.63","4","253","3.42","3.84","1","2","5","6"
"2005","lower secondary degree","no migration background","3.8","4","6222","3.76","3.84","1","2","5","6"
"2005","no degree/no degree yet","direct migration background","3.66","3","218","3.42","3.9","1","2","5","6"
"2005","no degree/no degree yet","indirect migration background","3.94","4","98","3.61","4.27","2","2","5","6"
"2005","no degree/no degree yet","no migration background","3.82","4","586","3.68","3.96","1","2","5","7"
"2005","Other degree","direct migration background","3.84","4","986","3.73","3.95","1","2","5","6"
"2005","Other degree","indirect migration background","","","","","","","","",""
"2005","Other degree","no migration background","3.99","4","110","3.6","4.38","1","2","6","7"
"2005","secondary school degree","direct migration background","4.01","4","241","3.79","4.23","2","3","5","6"
"2005","secondary school degree","indirect migration background","3.58","3","202","3.35","3.81","2","2","5","6"
"2005","secondary school degree","no migration background","3.73","4","5567","3.69","3.77","1","2","5","6"
"2006","college entrance qualification","direct migration background","","","","","","","","",""
"2006","college entrance qualification","indirect migration background","","","","","","","","",""
"2006","college entrance qualification","no migration background","","","","","","","","",""
"2006","lower secondary degree","direct migration background","","","","","","","","",""
"2006","lower secondary degree","indirect migration background","","","","","","","","",""
"2006","lower secondary degree","no migration background","","","","","","","","",""
"2006","no degree/no degree yet","direct migration background","","","","","","","","",""
"2006","no degree/no degree yet","indirect migration background","","","","","","","","",""
"2006","no degree/no degree yet","no migration background","","","","","","","","",""
"2006","Other degree","direct migration background","","","","","","","","",""
"2006","Other degree","indirect migration background","","","","","","","","",""
"2006","Other degree","no migration background","","","","","","","","",""
"2006","secondary school degree","direct migration background","","","","","","","","",""
"2006","secondary school degree","indirect migration background","","","","","","","","",""
"2006","secondary school degree","no migration background","","","","","","","","",""
"2007","college entrance qualification","direct migration background","","","","","","","","",""
"2007","college entrance qualification","indirect migration background","","","","","","","","",""
"2007","college entrance qualification","no migration background","","","","","","","","",""
"2007","lower secondary degree","direct migration background","","","","","","","","",""
"2007","lower secondary degree","indirect migration background","","","","","","","","",""
"2007","lower secondary degree","no migration background","","","","","","","","",""
"2007","no degree/no degree yet","direct migration background","","","","","","","","",""
