"ple0004","year","education","sex","n","percent","lower_confidence","upper_confidence"
"Strong","2002","lower secondary degree","Male","531","0.140335324051457","0.129643439502031","0.151027208600883"
"Strong","2002","lower secondary degree","Female","829","0.216980860608527","0.204666585203407","0.229295136013647"
"Strong","2002","secondary school degree","Male","144","0.0536531679212144","0.0454307786537126","0.0618755571887162"
"Strong","2002","secondary school degree","Female","253","0.0924630402461046","0.0832793126220627","0.101646767870147"
"Strong","2002","college entrance qualification","Male","121","0.0494621737054439","0.041760666186483","0.0571636812244049"
"Strong","2002","college entrance qualification","Female","121","0.0731058654466656","0.0630162664622283","0.0831954644311029"
"Strong","2002","Other degree","Male","67","0.0936842397425976","0.0710737074708054","0.11629477201439"
"Strong","2002","Other degree","Female","99","0.156021526158259","0.128807319088355","0.183235733228163"
"Strong","2002","no degree/no degree yet","Male","32","0.0771372380044866","0.051889641071163","0.10238483493781"
"Strong","2002","no degree/no degree yet","Female","36","0.106671619779249","0.0791701806475281","0.13417305891097"
"A little","2002","lower secondary degree","Male","1335","0.33606824359171","0.32152766534314","0.350608821840279"
"A little","2002","lower secondary degree","Female","1653","0.398550598687733","0.383923666731676","0.41317753064379"
"A little","2002","secondary school degree","Male","688","0.239829791245192","0.224249263295972","0.255410319194411"
"A little","2002","secondary school degree","Female","1067","0.289757283877341","0.275375150072192","0.30413941768249"
"A little","2002","college entrance qualification","Male","568","0.196588717167914","0.182473008054264","0.210704426281565"
"A little","2002","college entrance qualification","Female","537","0.244835664270203","0.228169302575298","0.261502025965108"
"A little","2002","Other degree","Male","204","0.344259652369969","0.307391890994113","0.381127413745824"
"A little","2002","Other degree","Female","223","0.327040905500792","0.291857885857719","0.362223925143865"
"A little","2002","no degree/no degree yet","Male","54","0.172292820993034","0.136558017613136","0.208027624372933"
"A little","2002","no degree/no degree yet","Female","105","0.252315998654635","0.213620820676425","0.291011176632845"
"Not at all","2002","lower secondary degree","Male","2188","0.523596432356833","0.508222248841276","0.53897061587239"
"Not at all","2002","lower secondary degree","Female","1822","0.38446854070374","0.369935131844574","0.399001949562907"
"Not at all","2002","secondary school degree","Male","2053","0.706517040833594","0.689900984818319","0.723133096848869"
"Not at all","2002","secondary school degree","Female","2502","0.617779675876554","0.602374152897128","0.633185198855981"
"Not at all","2002","college entrance qualification","Male","2356","0.753949109126642","0.738650993833262","0.769247224420021"
