"ple0004","year","bula_h","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"A little","2002","Lower Saxony","higher vocational","39","0.380670966187861","0.296881613933617","0.464460318442105","2"
"A little","2002","Baden-Württemberg","in school","5","","","","2"
"A little","2002","Baden-Württemberg","inadequately","17","","","","2"
"A little","2002","Mecklenburg-Western Pomerania","general elemantary","15","","","","2"
"A little","2002","Bremen","higher education","4","","","","2"
"A little","2002","North Rhine-Westphalia","in school","11","","","","2"
"A little","2002","North Rhine-Westphalia","inadequately","42","0.387993187469408","0.293886679772891","0.482099695165926","2"
"A little","2002","North Rhine-Westphalia","general elemantary","208","0.350123662532503","0.312845983742606","0.387401341322401","2"
"A little","2002","North Rhine-Westphalia","middle vocational","684","0.307425602654885","0.288821040094576","0.326030165215194","2"
"A little","2002","Lower Saxony","higher education","80","0.25136924646111","0.203156952038264","0.299581540883956","2"
"A little","2002","Bremen","in school","","","","","2"
"A little","2002","Bremen","inadequately","","","","","2"
"A little","2002","Baden-Württemberg","general elemantary","172","0.395605193681783","0.352529047143462","0.438681340220104","2"
"A little","2002","Bremen","middle vocational","25","","","","2"
"A little","2002","Mecklenburg-Western Pomerania","middle vocational","99","0.352724998202887","0.2953041226983","0.410145873707474","2"
"A little","2002","Bavaria","inadequately","6","","","","2"
"A little","2002","Brandenburg","in school","3","","","","2"
"A little","2002","Brandenburg","inadequately","1","","","","2"
"A little","2002","Brandenburg","vocational + Abi","5","","","","2"
"A little","2002","Brandenburg","higher vocational","34","0.424016563705798","0.317052579024612","0.530980548386985","2"
"A little","2002","Brandenburg","higher education","102","0.47788650687752","0.416577702963116","0.539195310791925","2"
"A little","2002","Mecklenburg-Western Pomerania","in school","","","","","2"
"A little","2002","Mecklenburg-Western Pomerania","inadequately","1","","","","2"
"A little","2002","Bremen","higher vocational","4","","","","2"
"A little","2002","Berlin","higher education","77","0.303421592682282","0.247323708192727","0.359519477171837","2"
"A little","2002","Rhineland-Palatinate,Saarland","higher education","43","0.312630131627882","0.245649407024278","0.379610856231486","2"
"A little","2002","Baden-Württemberg","higher vocational","61","0.325693931193727","0.263627124617443","0.387760737770011","2"
"A little","2002","Bremen","general elemantary","7","","","","2"
"A little","2002","Bremen","vocational + Abi","3","","","","2"
"A little","2002","Brandenburg","general elemantary","22","","","","2"
"A little","2002","Brandenburg","middle vocational","159","0.333179604424462","0.291273856339395","0.375085352509529","2"
"A little","2002","Hesse","middle vocational","202","0.267901459280493","0.236782103148279","0.299020815412706","2"
"A little","2002","Hesse","vocational + Abi","21","","","","2"
"A little","2002","Hesse","higher vocational","35","0.325688544450222","0.235185958375366","0.416191130525078","2"
"A little","2002","Rhineland-Palatinate,Saarland","middle vocational","198","0.303147704928832","0.269458358964216","0.336837050893448","2"
"A little","2002","Baden-Württemberg","middle vocational","347","0.28668588414982","0.262075314456083","0.311296453843556","2"
"A little","2002","Baden-Württemberg","vocational + Abi","32","0.300018690080311","0.22383569050987","0.376201689650752","2"
"A little","2002","Baden-Württemberg","higher education","92","0.19938841314632","0.164367780855357","0.234409045437283","2"
"A little","2002","Bavaria","in school","4","","","","2"
"A little","2002","Bavaria","general elemantary","137","0.336116874596024","0.291100669526616","0.381133079665431","2"
"A little","2002","Bavaria","middle vocational","509","0.310941454653116","0.289047192295197","0.332835717011034","2"
"A little","2002","Bavaria","vocational + Abi","29","","","","2"
"A little","2002","Berlin","inadequately","2","","","","2"
"A little","2002","Berlin","general elemantary","23","","","","2"
"A little","2002","Berlin","middle vocational","118","0.36183362068512","0.311418966012515","0.412248275357725","2"
"A little","2002","Berlin","vocational + Abi","9","","","","2"
"A little","2002","Berlin","higher vocational","30","0.372852179546881","0.258754490727253","0.486949868366509","2"
"A little","2002","North Rhine-Westphalia","vocational + Abi","84","0.23754925551025","0.193402710942608","0.281695800077891","2"
"A little","2002","North Rhine-Westphalia","higher vocational","94","0.293937800231899","0.246278931065017","0.341596669398782","2"
"A little","2002","North Rhine-Westphalia","higher education","181","0.225806262009822","0.198367881045365","0.25324464297428","2"
"A little","2002","Hesse","in school","3","","","","2"
"A little","2002","Rhineland-Palatinate,Saarland","vocational + Abi","12","","","","2"
"A little","2002","Rhineland-Palatinate,Saarland","higher vocational","25","","","","2"
"A little","2002","Hesse","inadequately","8","","","","2"
"A little","2002","Hesse","general elemantary","67","0.271362863398797","0.214144562623674","0.328581164173921","2"
"A little","2002","Hesse","higher education","73","0.23104724263608","0.186951693330639","0.275142791941521","2"
"A little","2002","Rhineland-Palatinate,Saarland","in school","2","","","","2"
"A little","2002","Rhineland-Palatinate,Saarland","inadequately","10","","","","2"
"A little","2002","Rhineland-Palatinate,Saarland","general elemantary","70","0.302432525951231","0.244563287450671","0.360301764451792","2"
"A little","2002","Bavaria","higher vocational","81","0.347401466118847","0.288960569397223","0.405842362840471","2"
"A little","2002","Bavaria","higher education","125","0.227016513342214","0.194175094240952","0.259857932443476","2"
"A little","2002","Berlin","in school","4","","","","2"
"A little","2002","Schleswig-Holstein","in school","","","","","2"
"A little","2002","Schleswig-Holstein","inadequately","2","","","","2"
"A little","2002","Schleswig-Holstein","general elemantary","28","","","","2"
"A little","2002","Schleswig-Holstein","middle vocational","84","0.245635888041759","0.202637304909229","0.288634471174288","2"
"A little","2002","Schleswig-Holstein","vocational + Abi","9","","","","2"
"A little","2002","Schleswig-Holstein","higher vocational","15","","","","2"
"A little","2002","Hamburg","vocational + Abi","2","","","","2"
"A little","2002","Hamburg","higher vocational","6","","","","2"
"A little","2002","Hamburg","higher education","11","","","","2"
"A little","2002","Lower Saxony","in school","6","","","","2"
"A little","2002","Lower Saxony","inadequately","15","","","","2"
"A little","2002","Lower Saxony","general elemantary","85","0.36348932578881","0.306946908738943","0.420031742838676","2"
"A little","2002","Lower Saxony","middle vocational","307","0.320570718536885","0.29223408284323","0.34890735423054","2"
"A little","2002","Lower Saxony","vocational + Abi","32","0.255531040310372","0.178762660079657","0.332299420541086","2"
"A little","2002","Mecklenburg-Western Pomerania","vocational + Abi","","","","","2"
"A little","2002","Mecklenburg-Western Pomerania","higher vocational","16","","","","2"
"A little","2002","Mecklenburg-Western Pomerania","higher education","59","0.534235536110239","0.451899852373626","0.616571219846853","2"
"A little","2002","Saxony","in school","1","","","","2"
"A little","2002","Saxony","inadequately","1","","","","2"
"A little","2002","Saxony","general elemantary","33","0.280640568196542","0.202496786060495","0.358784350332589","2"
"A little","2002","Saxony-Anhalt","higher vocational","39","0.41617164006756","0.315990619551074","0.516352660584046","2"
"A little","2002","Saxony-Anhalt","higher education","82","0.414093377229316","0.350436179150613","0.477750575308019","2"
"A little","2002","Thuringia","in school","1","","","","2"
"A little","2002","Thuringia","inadequately","1","","","","2"
"A little","2002","Thuringia","general elemantary","21","","","","2"
"A little","2002","Thuringia","middle vocational","199","0.355920606129642","0.317352038848222","0.394489173411063","2"
"A little","2002","Thuringia","vocational + Abi","6","","","","2"
"A little","2002","Thuringia","higher vocational","34","0.46520467964663","0.35156027240648","0.57884908688678","2"
"A little","2002","Thuringia","higher education","41","0.277516119071518","0.211919755644972","0.343112482498063","2"
"A little","2002","Schleswig-Holstein","higher education","22","","","","2"
"A little","2002","Hamburg","in school","1","","","","2"
"A little","2002","Hamburg","inadequately","1","","","","2"
"A little","2002","Hamburg","general elemantary","7","","","","2"
"A little","2002","Hamburg","middle vocational","40","0.299720566067567","0.228733037285478","0.370708094849657","2"
