"ple0004","year","education","pgisced97","n","percent","lower_confidence","upper_confidence"
"Strong","2002","lower secondary degree","in school","","","",""
"Strong","2002","lower secondary degree","inadequately","","","",""
"Strong","2002","lower secondary degree","general elemantary","388","0.234094229512996","0.214845971961854","0.253342487064138"
"Strong","2002","lower secondary degree","middle vocational","881","0.166244744515891","0.156619301059964","0.175870187971818"
"Strong","2002","lower secondary degree","vocational + Abi","4","","",""
"Strong","2002","lower secondary degree","higher vocational","66","0.149147831410029","0.118558868281132","0.179736794538926"
"Strong","2002","lower secondary degree","higher education","21","","",""
"Strong","2002","secondary school degree","in school","","","",""
"Strong","2002","secondary school degree","inadequately","","","",""
"Strong","2002","secondary school degree","general elemantary","29","","",""
"Strong","2002","secondary school degree","middle vocational","277","0.0773515623849401","0.069595994545825","0.0851071302240552"
"Strong","2002","secondary school degree","vocational + Abi","5","","",""
"Strong","2002","secondary school degree","higher vocational","41","0.0736137525114561","0.055204596763171","0.0920229082597413"
"Strong","2002","secondary school degree","higher education","45","0.068664380192519","0.0496853174105943","0.0876434429744437"
"Strong","2002","college entrance qualification","in school","","","",""
"Strong","2002","college entrance qualification","inadequately","","","",""
"Strong","2002","college entrance qualification","general elemantary","","","",""
"Strong","2002","college entrance qualification","middle vocational","7","","",""
"Strong","2002","college entrance qualification","vocational + Abi","54","0.0831127744954991","0.0656866254105319","0.100538923580466"
"Strong","2002","college entrance qualification","higher vocational","17","","",""
"Strong","2002","college entrance qualification","higher education","164","0.0677449324530465","0.059377306563327","0.0761125583427661"
"Strong","2002","Other degree","in school","","","",""
"Strong","2002","Other degree","inadequately","6","","",""
"Strong","2002","Other degree","general elemantary","71","0.189257944599064","0.150822664213269","0.227693224984858"
"Strong","2002","Other degree","middle vocational","53","0.104067102102818","0.0763137090035582","0.131820495202077"
"Strong","2002","Other degree","vocational + Abi","16","","",""
"Strong","2002","Other degree","higher vocational","6","","",""
"Strong","2002","Other degree","higher education","14","","",""
"Strong","2002","no degree/no degree yet","in school","4","","",""
"Strong","2002","no degree/no degree yet","inadequately","55","0.209831998154832","0.159051706380607","0.260612289929057"
"Strong","2002","no degree/no degree yet","general elemantary","","","",""
"Strong","2002","no degree/no degree yet","middle vocational","7","","",""
"Strong","2002","no degree/no degree yet","vocational + Abi","","","",""
"Strong","2002","no degree/no degree yet","higher vocational","2","","",""
"Strong","2002","no degree/no degree yet","higher education","","","",""
"A little","2002","lower secondary degree","in school","","","",""
"A little","2002","lower secondary degree","inadequately","","","",""
"A little","2002","lower secondary degree","general elemantary","650","0.37309833203892","0.351113671580479","0.395082992497362"
"A little","2002","lower secondary degree","middle vocational","2026","0.361139937862195","0.348721467029038","0.373558408695352"
"A little","2002","lower secondary degree","vocational + Abi","8","","",""
"A little","2002","lower secondary degree","higher vocational","204","0.39979596936028","0.357733197468073","0.441858741252487"
"A little","2002","lower secondary degree","higher education","100","0.512194365819735","0.442745947796452","0.581642783843019"
"A little","2002","secondary school degree","in school","","","",""
"A little","2002","secondary school degree","inadequately","","","",""
"A little","2002","secondary school degree","general elemantary","127","0.20983171310645","0.178695860182638","0.240967566030262"
"A little","2002","secondary school degree","middle vocational","1167","0.256138398399512","0.243466422279561","0.268810374519462"
"A little","2002","secondary school degree","vocational + Abi","10","","",""
"A little","2002","secondary school degree","higher vocational","233","0.305753498174024","0.273274628138655","0.338232368209394"
"A little","2002","secondary school degree","higher education","218","0.375353303466706","0.339012606799254","0.411694000134159"
"A little","2002","college entrance qualification","in school","","","",""
"A little","2002","college entrance qualification","inadequately","","","",""
"A little","2002","college entrance qualification","general elemantary","","","",""
"A little","2002","college entrance qualification","middle vocational","86","0.132818903117246","0.10931626146838","0.156321544766113"
"A little","2002","college entrance qualification","vocational + Abi","192","0.219953437700964","0.193805634073515","0.246101241328413"
"A little","2002","college entrance qualification","higher vocational","89","0.296809989587423","0.250384956262021","0.343235022912826"
"A little","2002","college entrance qualification","higher education","738","0.228903258027306","0.21491457296516","0.242891943089451"
"A little","2002","Other degree","in school","","","",""
"A little","2002","Other degree","inadequately","9","","",""
"A little","2002","Other degree","general elemantary","149","0.355131116167629","0.308175048771404","0.402087183563853"
"A little","2002","Other degree","middle vocational","135","0.307734503344295","0.265783142441242","0.349685864247347"
"A little","2002","Other degree","vocational + Abi","49","0.355770478391611","0.277576716042236","0.433964240740986"
"A little","2002","Other degree","higher vocational","29","","",""
"A little","2002","Other degree","higher education","56","0.321236179536686","0.257624847907869","0.384847511165503"
"A little","2002","no degree/no degree yet","in school","43","0.0801946521642485","0.0587296368689119","0.101659667459585"
"A little","2002","no degree/no degree yet","inadequately","99","0.421999222733217","0.360407882974608","0.483590562491827"
"A little","2002","no degree/no degree yet","general elemantary","","","",""
"A little","2002","no degree/no degree yet","middle vocational","15","","",""
"A little","2002","no degree/no degree yet","vocational + Abi","","","",""
"A little","2002","no degree/no degree yet","higher vocational","2","","",""
"A little","2002","no degree/no degree yet","higher education","","","",""
"Not at all","2002","lower secondary degree","in school","","","",""
"Not at all","2002","lower secondary degree","inadequately","","","",""
"Not at all","2002","lower secondary degree","general elemantary","821","0.392807438448084","0.370607004221997","0.415007872674171"
"Not at all","2002","lower secondary degree","middle vocational","2840","0.472615317621914","0.459707728126885","0.485522907116943"
"Not at all","2002","lower secondary degree","vocational + Abi","20","","",""
"Not at all","2002","lower secondary degree","higher vocational","251","0.451056199229691","0.408328599170754","0.493783799288628"
"Not at all","2002","lower secondary degree","higher education","78","0.375909875186614","0.308614212283212","0.443205538090015"
"Not at all","2002","secondary school degree","in school","","","",""
"Not at all","2002","secondary school degree","inadequately","","","",""
"Not at all","2002","secondary school degree","general elemantary","501","0.73048994600812","0.696561808997666","0.764418083018574"
"Not at all","2002","secondary school degree","middle vocational","3114","0.666510039215548","0.652823121365938","0.680196957065158"
"Not at all","2002","secondary school degree","vocational + Abi","22","","",""
"Not at all","2002","secondary school degree","higher vocational","499","0.62063274931452","0.586426488173969","0.65483901045507"
"Not at all","2002","secondary school degree","higher education","419","0.555982316340775","0.518692819234879","0.59327181344667"
"Not at all","2002","college entrance qualification","in school","","","",""
"Not at all","2002","college entrance qualification","inadequately","","","",""
"Not at all","2002","college entrance qualification","general elemantary","","","",""
"Not at all","2002","college entrance qualification","middle vocational","708","0.859155152824285","0.83506507993752","0.88324522571105"
"Not at all","2002","college entrance qualification","vocational + Abi","718","0.696933787803537","0.667922026570258","0.725945549036816"
"Not at all","2002","college entrance qualification","higher vocational","266","0.661933734321219","0.61386255279709","0.710004915845347"
"Not at all","2002","college entrance qualification","higher education","2563","0.703351809519648","0.68814270558077","0.718560913458526"
"Not at all","2002","Other degree","in school","","","",""
"Not at all","2002","Other degree","inadequately","21","","",""
"Not at all","2002","Other degree","general elemantary","179","0.455610939233308","0.406744194487949","0.504477683978667"
