"plh0176","year","e11102","e11103","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","2004","Not Employed","Full Time","","","","","0"
"0 Completely dissatisfied","2004","Not Employed","Part Time","","","","","0"
"0 Completely dissatisfied","2004","Not Employed","Not Working","689","0.0854823885825441","0.0791826781836021","0.091782098981486","0"
"0 Completely dissatisfied","2004","Employed","Full Time","122","0.0156857565546812","0.0130343661120713","0.0183371469972912","0"
"0 Completely dissatisfied","2004","Employed","Part Time","249","0.0616822313921355","0.0549605733118807","0.0684038894723902","0"
"0 Completely dissatisfied","2004","Employed","Not Working","","","","","0"
"1 on Scale 1 to 10","2004","Employed","Part Time","195","0.0505471082432131","0.0444263351924715","0.0566678812939546","1"
"1 on Scale 1 to 10","2004","Not Employed","Not Working","354","0.0444604869046038","0.0398164286743951","0.0491045451348125","1"
"1 on Scale 1 to 10","2004","Not Employed","Part Time","","","","","1"
"1 on Scale 1 to 10","2004","Employed","Full Time","130","0.0166824593454095","0.0139495136815032","0.0194154050093158","1"
"1 on Scale 1 to 10","2004","Not Employed","Full Time","","","","","1"
"1 on Scale 1 to 10","2004","Employed","Not Working","","","","","1"
"10 Completely satisfied","2004","Not Employed","Not Working","389","0.0538489035045709","0.0487631547109153","0.0589346522982265","10"
"10 Completely satisfied","2004","Not Employed","Part Time","","","","","10"
"10 Completely satisfied","2004","Employed","Part Time","201","0.0424824878054712","0.0368474122689396","0.0481175633420028","10"
"10 Completely satisfied","2004","Employed","Not Working","","","","","10"
"10 Completely satisfied","2004","Not Employed","Full Time","","","","","10"
"10 Completely satisfied","2004","Employed","Full Time","412","0.0429349028418336","0.0386094652741512","0.047260340409516","10"
"2 on Scale 1 to 10","2004","Not Employed","Not Working","532","0.0648633773277343","0.0593142647485364","0.0704124899069322","2"
"2 on Scale 1 to 10","2004","Employed","Full Time","278","0.0382930108484129","0.03419818713181","0.0423878345650159","2"
"2 on Scale 1 to 10","2004","Employed","Not Working","","","","","2"
"2 on Scale 1 to 10","2004","Not Employed","Part Time","","","","","2"
"2 on Scale 1 to 10","2004","Employed","Part Time","317","0.064183092368943","0.0573356691508609","0.0710305155870251","2"
"2 on Scale 1 to 10","2004","Not Employed","Full Time","","","","","2"
"3 on Scale 1 to 10","2004","Not Employed","Part Time","","","","","3"
"3 on Scale 1 to 10","2004","Employed","Full Time","519","0.0725132980833623","0.0669795836788545","0.0780470124878701","3"
"3 on Scale 1 to 10","2004","Not Employed","Not Working","662","0.0914658390269661","0.08497073193658","0.0979609461173522","3"
"3 on Scale 1 to 10","2004","Not Employed","Full Time","","","","","3"
"3 on Scale 1 to 10","2004","Employed","Part Time","475","0.100679614900933","0.0922724532067538","0.109086776595112","3"
"3 on Scale 1 to 10","2004","Employed","Not Working","","","","","3"
"4 on Scale 1 to 10","2004","Not Employed","Not Working","683","0.0901195584945149","0.083667654200052","0.0965714627889777","4"
"4 on Scale 1 to 10","2004","Employed","Full Time","587","0.075919628445102","0.0702678389720013","0.0815714179182027","4"
"4 on Scale 1 to 10","2004","Employed","Not Working","","","","","4"
"4 on Scale 1 to 10","2004","Not Employed","Part Time","","","","","4"
"4 on Scale 1 to 10","2004","Employed","Part Time","439","0.0919574948482146","0.0838838793347835","0.100031110361646","4"
"4 on Scale 1 to 10","2004","Not Employed","Full Time","","","","","4"
"5 on Scale 1 to 10","2004","Not Employed","Not Working","1168","0.1578277664284","0.149613318355913","0.166042214500888","5"
"5 on Scale 1 to 10","2004","Not Employed","Part Time","","","","","5"
"5 on Scale 1 to 10","2004","Employed","Full Time","1183","0.145344547264717","0.137824008189864","0.152865086339571","5"
"5 on Scale 1 to 10","2004","Employed","Part Time","763","0.164483938592131","0.15412630464739","0.174841572536872","5"
"5 on Scale 1 to 10","2004","Employed","Not Working","","","","","5"
"5 on Scale 1 to 10","2004","Not Employed","Full Time","","","","","5"
"6 on Scale 1 to 10","2004","Not Employed","Not Working","734","0.0984017195379341","0.0916906134327214","0.105112825643147","6"
"6 on Scale 1 to 10","2004","Employed","Not Working","","","","","6"
"6 on Scale 1 to 10","2004","Employed","Part Time","586","0.113263610692977","0.104409114099689","0.122118107286264","6"
"6 on Scale 1 to 10","2004","Not Employed","Part Time","","","","","6"
"6 on Scale 1 to 10","2004","Employed","Full Time","1082","0.126518572278072","0.119425113564855","0.133612030991289","6"
"6 on Scale 1 to 10","2004","Not Employed","Full Time","","","","","6"
"7 on Scale 1 to 10","2004","Not Employed","Part Time","","","","","7"
"7 on Scale 1 to 10","2004","Employed","Full Time","1614","0.197054895756825","0.188567184277082","0.205542607236568","7"
"7 on Scale 1 to 10","2004","Employed","Part Time","694","0.139165898582664","0.129495429204441","0.148836367960887","7"
"7 on Scale 1 to 10","2004","Employed","Not Working","","","","","7"
"7 on Scale 1 to 10","2004","Not Employed","Not Working","908","0.124443659701449","0.117006370663153","0.131880948739745","7"
"7 on Scale 1 to 10","2004","Not Employed","Full Time","","","","","7"
"8 on Scale 1 to 10","2004","Not Employed","Part Time","","","","","8"
"8 on Scale 1 to 10","2004","Not Employed","Not Working","1053","0.13923964415482","0.131439389081906","0.147039899227734","8"
"8 on Scale 1 to 10","2004","Employed","Part Time","717","0.1253882335462","0.116135768385978","0.134640698706422","8"
"8 on Scale 1 to 10","2004","Employed","Not Working","","","","","8"
"8 on Scale 1 to 10","2004","Employed","Full Time","1796","0.197848104965819","0.189347529626368","0.206348680305271","8"
"8 on Scale 1 to 10","2004","Not Employed","Full Time","","","","","8"
"9 on Scale 1 to 10","2004","Employed","Not Working","","","","","9"
"9 on Scale 1 to 10","2004","Not Employed","Full Time","","","","","9"
"9 on Scale 1 to 10","2004","Not Employed","Not Working","395","0.0498466563364623","0.0449432137980399","0.0547500988748848","9"
"9 on Scale 1 to 10","2004","Employed","Full Time","714","0.0712048236157646","0.0657173966944263","0.076692250537103","9"
"9 on Scale 1 to 10","2004","Employed","Part Time","285","0.046166289027118","0.0403032845567129","0.0520292934975231","9"
"9 on Scale 1 to 10","2004","Not Employed","Part Time","","","","","9"
"0 Completely dissatisfied","2005","Not Employed","Not Working","775","0.095220713040328","0.0884930065044752","0.101948419576181","0"
"0 Completely dissatisfied","2005","Employed","Full Time","138","0.0221777140228614","0.0189551977631404","0.0254002302825825","0"
"0 Completely dissatisfied","2005","Employed","Part Time","251","0.0659675655156826","0.0588898452836333","0.0730452857477319","0"
"0 Completely dissatisfied","2005","Employed","Not Working","","","","","0"
"0 Completely dissatisfied","2005","Not Employed","Part Time","","","","","0"
"0 Completely dissatisfied","2005","Not Employed","Full Time","","","","","0"
"1 on Scale 1 to 10","2005","Employed","Part Time","202","0.0538843314875211","0.0474463377245903","0.060322325250452","1"
"1 on Scale 1 to 10","2005","Employed","Full Time","128","0.0183249929889186","0.0153899630349604","0.0212600229428768","1"
"1 on Scale 1 to 10","2005","Not Employed","Part Time","","","","","1"
"1 on Scale 1 to 10","2005","Not Employed","Not Working","337","0.0453838477122549","0.0406130055847464","0.0501546898397633","1"
"1 on Scale 1 to 10","2005","Not Employed","Full Time","","","","","1"
"1 on Scale 1 to 10","2005","Employed","Not Working","","","","","1"
"10 Completely satisfied","2005","Not Employed","Not Working","412","0.0593773919164857","0.0539605237628255","0.0647942600701459","10"
"10 Completely satisfied","2005","Not Employed","Part Time","","","","","10"
"10 Completely satisfied","2005","Employed","Not Working","","","","","10"
"10 Completely satisfied","2005","Not Employed","Full Time","","","","","10"
"10 Completely satisfied","2005","Employed","Full Time","400","0.0455130902472029","0.0409520919232887","0.0500740885711172","10"
"10 Completely satisfied","2005","Employed","Part Time","192","0.0394346863584181","0.0338852377979074","0.0449841349189289","10"
"2 on Scale 1 to 10","2005","Not Employed","Part Time","","","","","2"
"2 on Scale 1 to 10","2005","Not Employed","Not Working","507","0.0697973201090347","0.0639569796218214","0.075637660596248","2"
"2 on Scale 1 to 10","2005","Employed","Full Time","248","0.0360781401346493","0.0319972984435956","0.0401589818257029","2"
"2 on Scale 1 to 10","2005","Employed","Part Time","273","0.059857838443384","0.0530938249668555","0.0666218519199126","2"
"2 on Scale 1 to 10","2005","Employed","Not Working","","","","","2"
"2 on Scale 1 to 10","2005","Not Employed","Full Time","","","","","2"
