"year","migback","regtyp","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","direct migration background","Rural Area","4.52","4.67","403","2.67","3.67","5.33","6.33","7","4.39","4.65","1","7","4.33333349227905","4.66666650772095"
"2005","direct migration background","Urban Area","4.27","4.33","1958","2.67","3.33","5","6","7","4.21","4.33","1","7","4","4.33333349227905"
"2005","indirect migration background","Rural Area","4.72","4.53","107","3.67","4","5","6.33","7","4.51","4.93","1","7","4.33333349227905","4.66666650772095"
"2005","indirect migration background","Urban Area","4.67","4.67","724","3","4","5.33","6.33","7","4.58","4.76","1","7","4.66666650772095","5"
"2005","no migration background","Rural Area","4.37","4.33","6345","2.67","3.67","5.33","6","7","4.34","4.4","1","7","4.33333349227905","4.33333349227905"
"2005","no migration background","Urban Area","4.51","4.67","11185","3","3.67","5.33","6","7","4.49","4.53","1","7","4.66666650772095","4.66666650772095"
"2006","direct migration background","Rural Area","","","","","","","","","","","","","",""
"2006","direct migration background","Urban Area","","","","","","","","","","","","","",""
"2006","indirect migration background","Rural Area","","","","","","","","","","","","","",""
"2006","indirect migration background","Urban Area","","","","","","","","","","","","","",""
"2006","no migration background","Rural Area","","","","","","","","","","","","","",""
"2006","no migration background","Urban Area","","","","","","","","","","","","","",""
"2007","direct migration background","Rural Area","","","","","","","","","","","","","",""
"2007","direct migration background","Urban Area","","","","","","","","","","","","","",""
"2007","indirect migration background","Rural Area","","","","","","","","","","","","","",""
"2007","indirect migration background","Urban Area","","","","","","","","","","","","","",""
"2007","no migration background","Rural Area","","","","","","","","","","","","","",""
"2007","no migration background","Urban Area","","","","","","","","","","","","","",""
"2008","direct migration background","Rural Area","","","","","","","","","","","","","",""
"2008","direct migration background","Urban Area","","","","","","","","","","","","","",""
"2008","indirect migration background","Rural Area","","","","","","","","","","","","","",""
"2008","indirect migration background","Urban Area","","","","","","","","","","","","","",""
"2008","no migration background","Rural Area","","","","","","","","","","","","","",""
"2008","no migration background","Urban Area","","","","","","","","","","","","","",""
"2009","direct migration background","Rural Area","4.25","4.33","315","2.5","3.33","5","6","7","4.11","4.39","1","7","4","4.33333349227905"
"2009","direct migration background","Urban Area","4.28","4.33","1341","2.67","3.33","5.33","6","7","4.21","4.35","1","7","4","4.33333349227905"
