"pli0097_h","year","education","sex","n","percent","lower_confidence","upper_confidence"
"Daily","1985","lower secondary degree","Male","","","",""
"Daily","1985","lower secondary degree","Female","","","",""
"Daily","1985","secondary school degree","Male","","","",""
"Daily","1985","secondary school degree","Female","","","",""
"Daily","1985","college entrance qualification","Male","","","",""
"Daily","1985","college entrance qualification","Female","","","",""
"Daily","1985","Other degree","Male","","","",""
"Daily","1985","Other degree","Female","","","",""
"Daily","1985","no degree/no degree yet","Male","","","",""
"Daily","1985","no degree/no degree yet","Female","","","",""
"Min 1x per week","1985","lower secondary degree","Male","27","","",""
"Min 1x per week","1985","lower secondary degree","Female","3","","",""
"Min 1x per week","1985","secondary school degree","Male","13","","",""
"Min 1x per week","1985","secondary school degree","Female","10","","",""
"Min 1x per week","1985","college entrance qualification","Male","30","0.0412261022165507","0.0270728017340148","0.0553794026990867"
"Min 1x per week","1985","college entrance qualification","Female","6","","",""
"Min 1x per week","1985","Other degree","Male","7","","",""
"Min 1x per week","1985","Other degree","Female","2","","",""
"Min 1x per week","1985","no degree/no degree yet","Male","3","","",""
"Min 1x per week","1985","no degree/no degree yet","Female","1","","",""
"Min 1x per month","1985","lower secondary degree","Male","62","0.0252096353164375","0.0190903519631767","0.0313289186696983"
"Min 1x per month","1985","lower secondary degree","Female","28","","",""
"Min 1x per month","1985","secondary school degree","Male","22","","",""
"Min 1x per month","1985","secondary school degree","Female","18","","",""
"Min 1x per month","1985","college entrance qualification","Male","34","0.0444765418268628","0.0298008132472253","0.0591522704065003"
"Min 1x per month","1985","college entrance qualification","Female","21","","",""
"Min 1x per month","1985","Other degree","Male","7","","",""
"Min 1x per month","1985","Other degree","Female","2","","",""
"Min 1x per month","1985","no degree/no degree yet","Male","3","","",""
"Min 1x per month","1985","no degree/no degree yet","Female","1","","",""
"Rarely","1985","lower secondary degree","Male","125","0.0481047600425651","0.0397516102000267","0.0564579098851035"
"Rarely","1985","lower secondary degree","Female","65","0.0212689710169192","0.0159987093680652","0.0265392326657732"
"Rarely","1985","secondary school degree","Male","72","0.0939518769147143","0.0736066326573399","0.114297121172089"
"Rarely","1985","secondary school degree","Female","56","0.051255956351608","0.0380490816560411","0.064462831047175"
"Rarely","1985","college entrance qualification","Male","94","0.126798022319432","0.103110093821466","0.150485950817398"
"Rarely","1985","college entrance qualification","Female","56","0.118229263789136","0.0885289869112939","0.147929540666978"
"Rarely","1985","Other degree","Male","16","","",""
"Rarely","1985","Other degree","Female","6","","",""
"Rarely","1985","no degree/no degree yet","Male","16","","",""
"Rarely","1985","no degree/no degree yet","Female","6","","",""
"Never","1985","lower secondary degree","Male","2307","0.915920150441937","0.905087457375875","0.926752843507999"
"Never","1985","lower secondary degree","Female","2783","0.96893594773152","0.962598653853585","0.975273241609456"
"Never","1985","secondary school degree","Male","683","0.859305219707998","0.835058819845303","0.883551619570693"
"Never","1985","secondary school degree","Female","987","0.922668836715748","0.906671283869595","0.938666389561902"
"Never","1985","college entrance qualification","Male","600","0.787499333637154","0.758377498843358","0.816621168430951"
"Never","1985","college entrance qualification","Female","371","0.822960215313486","0.787849067982657","0.858071362644314"
"Never","1985","Other degree","Male","707","0.964374446367245","0.950992539433133","0.977756353301357"
"Never","1985","Other degree","Female","470","0.979446811347115","0.966754009359358","0.992139613334872"
"Never","1985","no degree/no degree yet","Male","488","0.937744746443555","0.916774992912547","0.958714499974564"
"Never","1985","no degree/no degree yet","Female","573","0.972053913099424","0.958652033750115","0.985455792448733"
"Daily","1986","lower secondary degree","Male","","","",""
"Daily","1986","lower secondary degree","Female","","","",""
"Daily","1986","secondary school degree","Male","","","",""
