"pli0097_h","year","bula_h","education","n","percent","lower_confidence","upper_confidence"
"Daily","1985","Schleswig-Holstein","lower secondary degree","","","",""
"Daily","1985","Schleswig-Holstein","secondary school degree","","","",""
"Daily","1985","Schleswig-Holstein","college entrance qualification","","","",""
"Daily","1985","Schleswig-Holstein","Other degree","","","",""
"Daily","1985","Schleswig-Holstein","no degree/no degree yet","","","",""
"Daily","1985","Hamburg","lower secondary degree","","","",""
"Daily","1985","Hamburg","secondary school degree","","","",""
"Daily","1985","Hamburg","college entrance qualification","","","",""
"Daily","1985","Hamburg","Other degree","","","",""
"Daily","1985","Hamburg","no degree/no degree yet","","","",""
"Daily","1985","Lower Saxony","lower secondary degree","","","",""
"Daily","1985","Lower Saxony","secondary school degree","","","",""
"Daily","1985","Lower Saxony","college entrance qualification","","","",""
"Daily","1985","Lower Saxony","Other degree","","","",""
"Daily","1985","Lower Saxony","no degree/no degree yet","","","",""
"Daily","1985","Bremen","lower secondary degree","","","",""
"Daily","1985","Bremen","secondary school degree","","","",""
"Daily","1985","Bremen","college entrance qualification","","","",""
"Daily","1985","Bremen","Other degree","","","",""
"Daily","1985","Bremen","no degree/no degree yet","","","",""
"Daily","1985","North Rhine-Westphalia","lower secondary degree","","","",""
"Daily","1985","North Rhine-Westphalia","secondary school degree","","","",""
"Daily","1985","North Rhine-Westphalia","college entrance qualification","","","",""
"Daily","1985","North Rhine-Westphalia","Other degree","","","",""
"Daily","1985","North Rhine-Westphalia","no degree/no degree yet","","","",""
"Daily","1985","Hesse","lower secondary degree","","","",""
"Daily","1985","Hesse","secondary school degree","","","",""
"Daily","1985","Hesse","college entrance qualification","","","",""
"Daily","1985","Hesse","Other degree","","","",""
"Daily","1985","Hesse","no degree/no degree yet","","","",""
"Daily","1985","Rhineland-Palatinate,Saarland","lower secondary degree","","","",""
"Daily","1985","Rhineland-Palatinate,Saarland","secondary school degree","","","",""
"Daily","1985","Rhineland-Palatinate,Saarland","college entrance qualification","","","",""
"Daily","1985","Rhineland-Palatinate,Saarland","Other degree","","","",""
"Daily","1985","Rhineland-Palatinate,Saarland","no degree/no degree yet","","","",""
"Daily","1985","Baden-Württemberg","lower secondary degree","","","",""
"Daily","1985","Baden-Württemberg","secondary school degree","","","",""
"Daily","1985","Baden-Württemberg","college entrance qualification","","","",""
"Daily","1985","Baden-Württemberg","Other degree","","","",""
"Daily","1985","Baden-Württemberg","no degree/no degree yet","","","",""
"Daily","1985","Bavaria","lower secondary degree","","","",""
"Daily","1985","Bavaria","secondary school degree","","","",""
"Daily","1985","Bavaria","college entrance qualification","","","",""
"Daily","1985","Bavaria","Other degree","","","",""
"Daily","1985","Bavaria","no degree/no degree yet","","","",""
"Daily","1985","Berlin","lower secondary degree","","","",""
"Daily","1985","Berlin","secondary school degree","","","",""
"Daily","1985","Berlin","college entrance qualification","","","",""
"Daily","1985","Berlin","Other degree","","","",""
"Daily","1985","Berlin","no degree/no degree yet","","","",""
"Daily","1985","Brandenburg","lower secondary degree","","","",""
"Daily","1985","Brandenburg","secondary school degree","","","",""
"Daily","1985","Brandenburg","college entrance qualification","","","",""
"Daily","1985","Brandenburg","Other degree","","","",""
"Daily","1985","Brandenburg","no degree/no degree yet","","","",""
"Daily","1985","Mecklenburg-Western Pomerania","lower secondary degree","","","",""
"Daily","1985","Mecklenburg-Western Pomerania","secondary school degree","","","",""
"Daily","1985","Mecklenburg-Western Pomerania","college entrance qualification","","","",""
"Daily","1985","Mecklenburg-Western Pomerania","Other degree","","","",""
"Daily","1985","Mecklenburg-Western Pomerania","no degree/no degree yet","","","",""
"Daily","1985","Saxony","lower secondary degree","","","",""
"Daily","1985","Saxony","secondary school degree","","","",""
"Daily","1985","Saxony","college entrance qualification","","","",""
"Daily","1985","Saxony","Other degree","","","",""
"Daily","1985","Saxony","no degree/no degree yet","","","",""
"Daily","1985","Saxony-Anhalt","lower secondary degree","","","",""
"Daily","1985","Saxony-Anhalt","secondary school degree","","","",""
"Daily","1985","Saxony-Anhalt","college entrance qualification","","","",""
"Daily","1985","Saxony-Anhalt","Other degree","","","",""
"Daily","1985","Saxony-Anhalt","no degree/no degree yet","","","",""
"Daily","1985","Thuringia","lower secondary degree","","","",""
"Daily","1985","Thuringia","secondary school degree","","","",""
"Daily","1985","Thuringia","college entrance qualification","","","",""
"Daily","1985","Thuringia","Other degree","","","",""
"Daily","1985","Thuringia","no degree/no degree yet","","","",""
"Min 1x per week","1985","Schleswig-Holstein","lower secondary degree","","","",""
"Min 1x per week","1985","Schleswig-Holstein","secondary school degree","","","",""
"Min 1x per week","1985","Schleswig-Holstein","college entrance qualification","","","",""
"Min 1x per week","1985","Schleswig-Holstein","Other degree","","","",""
"Min 1x per week","1985","Schleswig-Holstein","no degree/no degree yet","","","",""
"Min 1x per week","1985","Hamburg","lower secondary degree","","","",""
"Min 1x per week","1985","Hamburg","secondary school degree","","","",""
"Min 1x per week","1985","Hamburg","college entrance qualification","","","",""
"Min 1x per week","1985","Hamburg","Other degree","","","",""
"Min 1x per week","1985","Hamburg","no degree/no degree yet","","","",""
"Min 1x per week","1985","Lower Saxony","lower secondary degree","","","",""
"Min 1x per week","1985","Lower Saxony","secondary school degree","","","",""
"Min 1x per week","1985","Lower Saxony","college entrance qualification","","","",""
"Min 1x per week","1985","Lower Saxony","Other degree","","","",""
"Min 1x per week","1985","Lower Saxony","no degree/no degree yet","","","",""
"Min 1x per week","1985","Bremen","lower secondary degree","","","",""
"Min 1x per week","1985","Bremen","secondary school degree","","","",""
"Min 1x per week","1985","Bremen","college entrance qualification","","","",""
"Min 1x per week","1985","Bremen","Other degree","","","",""
"Min 1x per week","1985","Bremen","no degree/no degree yet","","","",""
"Min 1x per week","1985","North Rhine-Westphalia","lower secondary degree","","","",""
"Min 1x per week","1985","North Rhine-Westphalia","secondary school degree","","","",""
"Min 1x per week","1985","North Rhine-Westphalia","college entrance qualification","","","",""
"Min 1x per week","1985","North Rhine-Westphalia","Other degree","","","",""
"Min 1x per week","1985","North Rhine-Westphalia","no degree/no degree yet","","","",""
"Min 1x per week","1985","Hesse","lower secondary degree","","","",""
"Min 1x per week","1985","Hesse","secondary school degree","","","",""
"Min 1x per week","1985","Hesse","college entrance qualification","","","",""
"Min 1x per week","1985","Hesse","Other degree","","","",""
"Min 1x per week","1985","Hesse","no degree/no degree yet","","","",""
"Min 1x per week","1985","Rhineland-Palatinate,Saarland","lower secondary degree","","","",""
"Min 1x per week","1985","Rhineland-Palatinate,Saarland","secondary school degree","","","",""
"Min 1x per week","1985","Rhineland-Palatinate,Saarland","college entrance qualification","","","",""
"Min 1x per week","1985","Rhineland-Palatinate,Saarland","Other degree","","","",""
"Min 1x per week","1985","Rhineland-Palatinate,Saarland","no degree/no degree yet","","","",""
"Min 1x per week","1985","Baden-Württemberg","lower secondary degree","","","",""
"Min 1x per week","1985","Baden-Württemberg","secondary school degree","","","",""
"Min 1x per week","1985","Baden-Württemberg","college entrance qualification","","","",""
"Min 1x per week","1985","Baden-Württemberg","Other degree","","","",""
"Min 1x per week","1985","Baden-Württemberg","no degree/no degree yet","","","",""
"Min 1x per week","1985","Bavaria","lower secondary degree","","","",""
"Min 1x per week","1985","Bavaria","secondary school degree","","","",""
"Min 1x per week","1985","Bavaria","college entrance qualification","","","",""
"Min 1x per week","1985","Bavaria","Other degree","","","",""
"Min 1x per week","1985","Bavaria","no degree/no degree yet","","","",""
"Min 1x per week","1985","Berlin","lower secondary degree","","","",""
"Min 1x per week","1985","Berlin","secondary school degree","","","",""
"Min 1x per week","1985","Berlin","college entrance qualification","","","",""
"Min 1x per week","1985","Berlin","Other degree","","","",""
"Min 1x per week","1985","Berlin","no degree/no degree yet","","","",""
"Min 1x per week","1985","Brandenburg","lower secondary degree","","","",""
"Min 1x per week","1985","Brandenburg","secondary school degree","","","",""
"Min 1x per week","1985","Brandenburg","college entrance qualification","","","",""
"Min 1x per week","1985","Brandenburg","Other degree","","","",""
"Min 1x per week","1985","Brandenburg","no degree/no degree yet","","","",""
"Min 1x per week","1985","Mecklenburg-Western Pomerania","lower secondary degree","","","",""
"Min 1x per week","1985","Mecklenburg-Western Pomerania","secondary school degree","","","",""
"Min 1x per week","1985","Mecklenburg-Western Pomerania","college entrance qualification","","","",""
"Min 1x per week","1985","Mecklenburg-Western Pomerania","Other degree","","","",""
"Min 1x per week","1985","Mecklenburg-Western Pomerania","no degree/no degree yet","","","",""
"Min 1x per week","1985","Saxony","lower secondary degree","","","",""
"Min 1x per week","1985","Saxony","secondary school degree","","","",""
"Min 1x per week","1985","Saxony","college entrance qualification","","","",""
"Min 1x per week","1985","Saxony","Other degree","","","",""
"Min 1x per week","1985","Saxony","no degree/no degree yet","","","",""
"Min 1x per week","1985","Saxony-Anhalt","lower secondary degree","","","",""
"Min 1x per week","1985","Saxony-Anhalt","secondary school degree","","","",""
"Min 1x per week","1985","Saxony-Anhalt","college entrance qualification","","","",""
"Min 1x per week","1985","Saxony-Anhalt","Other degree","","","",""
"Min 1x per week","1985","Saxony-Anhalt","no degree/no degree yet","","","",""
"Min 1x per week","1985","Thuringia","lower secondary degree","","","",""
"Min 1x per week","1985","Thuringia","secondary school degree","","","",""
"Min 1x per week","1985","Thuringia","college entrance qualification","","","",""
"Min 1x per week","1985","Thuringia","Other degree","","","",""
"Min 1x per week","1985","Thuringia","no degree/no degree yet","","","",""
"Min 1x per month","1985","Schleswig-Holstein","lower secondary degree","","","",""
"Min 1x per month","1985","Schleswig-Holstein","secondary school degree","","","",""
"Min 1x per month","1985","Schleswig-Holstein","college entrance qualification","","","",""
"Min 1x per month","1985","Schleswig-Holstein","Other degree","","","",""
"Min 1x per month","1985","Schleswig-Holstein","no degree/no degree yet","","","",""
"Min 1x per month","1985","Hamburg","lower secondary degree","","","",""
"Min 1x per month","1985","Hamburg","secondary school degree","","","",""
"Min 1x per month","1985","Hamburg","college entrance qualification","","","",""
"Min 1x per month","1985","Hamburg","Other degree","","","",""
"Min 1x per month","1985","Hamburg","no degree/no degree yet","","","",""
"Min 1x per month","1985","Lower Saxony","lower secondary degree","","","",""
"Min 1x per month","1985","Lower Saxony","secondary school degree","","","",""
"Min 1x per month","1985","Lower Saxony","college entrance qualification","","","",""
"Min 1x per month","1985","Lower Saxony","Other degree","","","",""
"Min 1x per month","1985","Lower Saxony","no degree/no degree yet","","","",""
"Min 1x per month","1985","Bremen","lower secondary degree","","","",""
"Min 1x per month","1985","Bremen","secondary school degree","","","",""
"Min 1x per month","1985","Bremen","college entrance qualification","","","",""
"Min 1x per month","1985","Bremen","Other degree","","","",""
"Min 1x per month","1985","Bremen","no degree/no degree yet","","","",""
"Min 1x per month","1985","North Rhine-Westphalia","lower secondary degree","","","",""
"Min 1x per month","1985","North Rhine-Westphalia","secondary school degree","","","",""
"Min 1x per month","1985","North Rhine-Westphalia","college entrance qualification","","","",""
"Min 1x per month","1985","North Rhine-Westphalia","Other degree","","","",""
"Min 1x per month","1985","North Rhine-Westphalia","no degree/no degree yet","","","",""
"Min 1x per month","1985","Hesse","lower secondary degree","","","",""
"Min 1x per month","1985","Hesse","secondary school degree","","","",""
"Min 1x per month","1985","Hesse","college entrance qualification","","","",""
"Min 1x per month","1985","Hesse","Other degree","","","",""
"Min 1x per month","1985","Hesse","no degree/no degree yet","","","",""
"Min 1x per month","1985","Rhineland-Palatinate,Saarland","lower secondary degree","","","",""
"Min 1x per month","1985","Rhineland-Palatinate,Saarland","secondary school degree","","","",""
"Min 1x per month","1985","Rhineland-Palatinate,Saarland","college entrance qualification","","","",""
"Min 1x per month","1985","Rhineland-Palatinate,Saarland","Other degree","","","",""
"Min 1x per month","1985","Rhineland-Palatinate,Saarland","no degree/no degree yet","","","",""
"Min 1x per month","1985","Baden-Württemberg","lower secondary degree","","","",""
"Min 1x per month","1985","Baden-Württemberg","secondary school degree","","","",""
"Min 1x per month","1985","Baden-Württemberg","college entrance qualification","","","",""
"Min 1x per month","1985","Baden-Württemberg","Other degree","","","",""
"Min 1x per month","1985","Baden-Württemberg","no degree/no degree yet","","","",""
"Min 1x per month","1985","Bavaria","lower secondary degree","","","",""
"Min 1x per month","1985","Bavaria","secondary school degree","","","",""
"Min 1x per month","1985","Bavaria","college entrance qualification","","","",""
"Min 1x per month","1985","Bavaria","Other degree","","","",""
"Min 1x per month","1985","Bavaria","no degree/no degree yet","","","",""
"Min 1x per month","1985","Berlin","lower secondary degree","","","",""
"Min 1x per month","1985","Berlin","secondary school degree","","","",""
"Min 1x per month","1985","Berlin","college entrance qualification","","","",""
"Min 1x per month","1985","Berlin","Other degree","","","",""
"Min 1x per month","1985","Berlin","no degree/no degree yet","","","",""
"Min 1x per month","1985","Brandenburg","lower secondary degree","","","",""
"Min 1x per month","1985","Brandenburg","secondary school degree","","","",""
"Min 1x per month","1985","Brandenburg","college entrance qualification","","","",""
"Min 1x per month","1985","Brandenburg","Other degree","","","",""
"Min 1x per month","1985","Brandenburg","no degree/no degree yet","","","",""
"Min 1x per month","1985","Mecklenburg-Western Pomerania","lower secondary degree","","","",""
"Min 1x per month","1985","Mecklenburg-Western Pomerania","secondary school degree","","","",""
"Min 1x per month","1985","Mecklenburg-Western Pomerania","college entrance qualification","","","",""
"Min 1x per month","1985","Mecklenburg-Western Pomerania","Other degree","","","",""
"Min 1x per month","1985","Mecklenburg-Western Pomerania","no degree/no degree yet","","","",""
"Min 1x per month","1985","Saxony","lower secondary degree","","","",""
"Min 1x per month","1985","Saxony","secondary school degree","","","",""
"Min 1x per month","1985","Saxony","college entrance qualification","","","",""
"Min 1x per month","1985","Saxony","Other degree","","","",""
"Min 1x per month","1985","Saxony","no degree/no degree yet","","","",""
"Min 1x per month","1985","Saxony-Anhalt","lower secondary degree","","","",""
"Min 1x per month","1985","Saxony-Anhalt","secondary school degree","","","",""
"Min 1x per month","1985","Saxony-Anhalt","college entrance qualification","","","",""
"Min 1x per month","1985","Saxony-Anhalt","Other degree","","","",""
"Min 1x per month","1985","Saxony-Anhalt","no degree/no degree yet","","","",""
"Min 1x per month","1985","Thuringia","lower secondary degree","","","",""
"Min 1x per month","1985","Thuringia","secondary school degree","","","",""
"Min 1x per month","1985","Thuringia","college entrance qualification","","","",""
"Min 1x per month","1985","Thuringia","Other degree","","","",""
"Min 1x per month","1985","Thuringia","no degree/no degree yet","","","",""
"Rarely","1985","Schleswig-Holstein","lower secondary degree","","","",""
"Rarely","1985","Schleswig-Holstein","secondary school degree","","","",""
"Rarely","1985","Schleswig-Holstein","college entrance qualification","","","",""
"Rarely","1985","Schleswig-Holstein","Other degree","","","",""
"Rarely","1985","Schleswig-Holstein","no degree/no degree yet","","","",""
"Rarely","1985","Hamburg","lower secondary degree","","","",""
"Rarely","1985","Hamburg","secondary school degree","","","",""
"Rarely","1985","Hamburg","college entrance qualification","","","",""
"Rarely","1985","Hamburg","Other degree","","","",""
"Rarely","1985","Hamburg","no degree/no degree yet","","","",""
"Rarely","1985","Lower Saxony","lower secondary degree","","","",""
"Rarely","1985","Lower Saxony","secondary school degree","","","",""
"Rarely","1985","Lower Saxony","college entrance qualification","","","",""
"Rarely","1985","Lower Saxony","Other degree","","","",""
"Rarely","1985","Lower Saxony","no degree/no degree yet","","","",""
"Rarely","1985","Bremen","lower secondary degree","","","",""
"Rarely","1985","Bremen","secondary school degree","","","",""
"Rarely","1985","Bremen","college entrance qualification","","","",""
"Rarely","1985","Bremen","Other degree","","","",""
"Rarely","1985","Bremen","no degree/no degree yet","","","",""
"Rarely","1985","North Rhine-Westphalia","lower secondary degree","45","0.0272623384165869","0.0187045027283755","0.0358201741047982"
"Rarely","1985","North Rhine-Westphalia","secondary school degree","39","0.0862372505981632","0.0609127279767943","0.111561773219532"
"Rarely","1985","North Rhine-Westphalia","college entrance qualification","56","0.150501028789854","0.11421454904631","0.186787508533397"
"Rarely","1985","North Rhine-Westphalia","Other degree","","","",""
"Rarely","1985","North Rhine-Westphalia","no degree/no degree yet","","","",""
"Rarely","1985","Hesse","lower secondary degree","","","",""
"Rarely","1985","Hesse","secondary school degree","","","",""
"Rarely","1985","Hesse","college entrance qualification","","","",""
"Rarely","1985","Hesse","Other degree","","","",""
"Rarely","1985","Hesse","no degree/no degree yet","","","",""
"Rarely","1985","Rhineland-Palatinate,Saarland","lower secondary degree","","","",""
"Rarely","1985","Rhineland-Palatinate,Saarland","secondary school degree","","","",""
"Rarely","1985","Rhineland-Palatinate,Saarland","college entrance qualification","","","",""
"Rarely","1985","Rhineland-Palatinate,Saarland","Other degree","","","",""
"Rarely","1985","Rhineland-Palatinate,Saarland","no degree/no degree yet","","","",""
"Rarely","1985","Baden-Württemberg","lower secondary degree","31","0.0295866371041638","0.0187947029193468","0.0403785712889808"
"Rarely","1985","Baden-Württemberg","secondary school degree","","","",""
"Rarely","1985","Baden-Württemberg","college entrance qualification","","","",""
"Rarely","1985","Baden-Württemberg","Other degree","","","",""
"Rarely","1985","Baden-Württemberg","no degree/no degree yet","","","",""
"Rarely","1985","Bavaria","lower secondary degree","41","0.0408316133680408","0.0284665530228431","0.0531966737132386"
"Rarely","1985","Bavaria","secondary school degree","","","",""
"Rarely","1985","Bavaria","college entrance qualification","","","",""
"Rarely","1985","Bavaria","Other degree","","","",""
"Rarely","1985","Bavaria","no degree/no degree yet","","","",""
"Rarely","1985","Berlin","lower secondary degree","","","",""
"Rarely","1985","Berlin","secondary school degree","","","",""
"Rarely","1985","Berlin","college entrance qualification","","","",""
"Rarely","1985","Berlin","Other degree","","","",""
"Rarely","1985","Berlin","no degree/no degree yet","","","",""
"Rarely","1985","Brandenburg","lower secondary degree","","","",""
"Rarely","1985","Brandenburg","secondary school degree","","","",""
"Rarely","1985","Brandenburg","college entrance qualification","","","",""
"Rarely","1985","Brandenburg","Other degree","","","",""
"Rarely","1985","Brandenburg","no degree/no degree yet","","","",""
"Rarely","1985","Mecklenburg-Western Pomerania","lower secondary degree","","","",""
"Rarely","1985","Mecklenburg-Western Pomerania","secondary school degree","","","",""
"Rarely","1985","Mecklenburg-Western Pomerania","college entrance qualification","","","",""
"Rarely","1985","Mecklenburg-Western Pomerania","Other degree","","","",""
"Rarely","1985","Mecklenburg-Western Pomerania","no degree/no degree yet","","","",""
"Rarely","1985","Saxony","lower secondary degree","","","",""
"Rarely","1985","Saxony","secondary school degree","","","",""
"Rarely","1985","Saxony","college entrance qualification","","","",""
"Rarely","1985","Saxony","Other degree","","","",""
"Rarely","1985","Saxony","no degree/no degree yet","","","",""
"Rarely","1985","Saxony-Anhalt","lower secondary degree","","","",""
"Rarely","1985","Saxony-Anhalt","secondary school degree","","","",""
"Rarely","1985","Saxony-Anhalt","college entrance qualification","","","",""
"Rarely","1985","Saxony-Anhalt","Other degree","","","",""
"Rarely","1985","Saxony-Anhalt","no degree/no degree yet","","","",""
"Rarely","1985","Thuringia","lower secondary degree","","","",""
"Rarely","1985","Thuringia","secondary school degree","","","",""
"Rarely","1985","Thuringia","college entrance qualification","","","",""
"Rarely","1985","Thuringia","Other degree","","","",""
"Rarely","1985","Thuringia","no degree/no degree yet","","","",""
"Never","1985","Schleswig-Holstein","lower secondary degree","179","0.913222476715944","0.873811973815215","0.952632979616674"
"Never","1985","Schleswig-Holstein","secondary school degree","75","0.916801369375865","0.856656124508014","0.976946614243716"
"Never","1985","Schleswig-Holstein","college entrance qualification","","","",""
"Never","1985","Schleswig-Holstein","Other degree","","","",""
"Never","1985","Schleswig-Holstein","no degree/no degree yet","","","",""
"Never","1985","Hamburg","lower secondary degree","114","0.980995172502545","0.956253983825654","1.00573636117944"
"Never","1985","Hamburg","secondary school degree","55","0.950060162398008","0.894479822037363","1.00564050275865"
"Never","1985","Hamburg","college entrance qualification","30","0.884282579209064","0.776759042801587","0.99180611561654"
"Never","1985","Hamburg","Other degree","33","0.946255162068425","0.872588778448327","1.01992154568852"
"Never","1985","Hamburg","no degree/no degree yet","","","",""
"Never","1985","Lower Saxony","lower secondary degree","563","0.954726027945432","0.937935895417522","0.971516160473343"
