"pli0097_h","year","education","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Daily","1985","lower secondary degree","1-pers.-HH","","","",""
"Daily","1985","lower secondary degree","(Married) couple without C. ","","","",""
"Daily","1985","lower secondary degree","Single parent ","","","",""
"Daily","1985","lower secondary degree","Couple + C. LE 16 ","","","",""
"Daily","1985","lower secondary degree","Couple + C. GT 16 ","","","",""
"Daily","1985","lower secondary degree","Couple + C. LE and GT 16","","","",""
"Daily","1985","secondary school degree","1-pers.-HH","","","",""
"Daily","1985","secondary school degree","(Married) couple without C. ","","","",""
"Daily","1985","secondary school degree","Single parent ","","","",""
"Daily","1985","secondary school degree","Couple + C. LE 16 ","","","",""
"Daily","1985","secondary school degree","Couple + C. GT 16 ","","","",""
"Daily","1985","secondary school degree","Couple + C. LE and GT 16","","","",""
"Daily","1985","college entrance qualification","1-pers.-HH","","","",""
"Daily","1985","college entrance qualification","(Married) couple without C. ","","","",""
"Daily","1985","college entrance qualification","Single parent ","","","",""
"Daily","1985","college entrance qualification","Couple + C. LE 16 ","","","",""
"Daily","1985","college entrance qualification","Couple + C. GT 16 ","","","",""
"Daily","1985","college entrance qualification","Couple + C. LE and GT 16","","","",""
"Daily","1985","Other degree","1-pers.-HH","","","",""
"Daily","1985","Other degree","(Married) couple without C. ","","","",""
"Daily","1985","Other degree","Single parent ","","","",""
"Daily","1985","Other degree","Couple + C. LE 16 ","","","",""
"Daily","1985","Other degree","Couple + C. GT 16 ","","","",""
"Daily","1985","Other degree","Couple + C. LE and GT 16","","","",""
"Daily","1985","no degree/no degree yet","1-pers.-HH","","","",""
"Daily","1985","no degree/no degree yet","(Married) couple without C. ","","","",""
"Daily","1985","no degree/no degree yet","Single parent ","","","",""
"Daily","1985","no degree/no degree yet","Couple + C. LE 16 ","","","",""
"Daily","1985","no degree/no degree yet","Couple + C. GT 16 ","","","",""
"Daily","1985","no degree/no degree yet","Couple + C. LE and GT 16","","","",""
"Min 1x per week","1985","lower secondary degree","1-pers.-HH","1","","",""
"Min 1x per week","1985","lower secondary degree","(Married) couple without C. ","6","","",""
"Min 1x per week","1985","lower secondary degree","Single parent ","1","","",""
"Min 1x per week","1985","lower secondary degree","Couple + C. LE 16 ","7","","",""
"Min 1x per week","1985","lower secondary degree","Couple + C. GT 16 ","6","","",""
"Min 1x per week","1985","lower secondary degree","Couple + C. LE and GT 16","8","","",""
"Min 1x per week","1985","secondary school degree","1-pers.-HH","1","","",""
"Min 1x per week","1985","secondary school degree","(Married) couple without C. ","4","","",""
"Min 1x per week","1985","secondary school degree","Single parent ","1","","",""
"Min 1x per week","1985","secondary school degree","Couple + C. LE 16 ","6","","",""
"Min 1x per week","1985","secondary school degree","Couple + C. GT 16 ","6","","",""
"Min 1x per week","1985","secondary school degree","Couple + C. LE and GT 16","4","","",""
"Min 1x per week","1985","college entrance qualification","1-pers.-HH","8","","",""
"Min 1x per week","1985","college entrance qualification","(Married) couple without C. ","6","","",""
"Min 1x per week","1985","college entrance qualification","Single parent ","1","","",""
"Min 1x per week","1985","college entrance qualification","Couple + C. LE 16 ","7","","",""
