"pli0097_h","year","age_gr","education","n","percent","lower_confidence","upper_confidence"
"Daily","1985","16-34 y.","lower secondary degree","","","",""
"Daily","1985","16-34 y.","secondary school degree","","","",""
"Daily","1985","16-34 y.","college entrance qualification","","","",""
"Daily","1985","16-34 y.","Other degree","","","",""
"Daily","1985","16-34 y.","no degree/no degree yet","","","",""
"Daily","1985","35-65 y.","lower secondary degree","","","",""
"Daily","1985","35-65 y.","secondary school degree","","","",""
"Daily","1985","35-65 y.","college entrance qualification","","","",""
"Daily","1985","35-65 y.","Other degree","","","",""
"Daily","1985","35-65 y.","no degree/no degree yet","","","",""
"Daily","1985","66 and older","lower secondary degree","","","",""
"Daily","1985","66 and older","secondary school degree","","","",""
"Daily","1985","66 and older","college entrance qualification","","","",""
"Daily","1985","66 and older","Other degree","","","",""
"Daily","1985","66 and older","no degree/no degree yet","","","",""
"Min 1x per week","1985","16-34 y.","lower secondary degree","","","",""
"Min 1x per week","1985","16-34 y.","secondary school degree","","","",""
"Min 1x per week","1985","16-34 y.","college entrance qualification","","","",""
"Min 1x per week","1985","16-34 y.","Other degree","","","",""
"Min 1x per week","1985","16-34 y.","no degree/no degree yet","","","",""
"Min 1x per week","1985","35-65 y.","lower secondary degree","","","",""
"Min 1x per week","1985","35-65 y.","secondary school degree","","","",""
"Min 1x per week","1985","35-65 y.","college entrance qualification","","","",""
"Min 1x per week","1985","35-65 y.","Other degree","","","",""
"Min 1x per week","1985","35-65 y.","no degree/no degree yet","","","",""
"Min 1x per week","1985","66 and older","lower secondary degree","","","",""
"Min 1x per week","1985","66 and older","secondary school degree","","","",""
"Min 1x per week","1985","66 and older","college entrance qualification","","","",""
"Min 1x per week","1985","66 and older","Other degree","","","",""
"Min 1x per week","1985","66 and older","no degree/no degree yet","","","",""
"Min 1x per month","1985","16-34 y.","lower secondary degree","","","",""
"Min 1x per month","1985","16-34 y.","secondary school degree","","","",""
"Min 1x per month","1985","16-34 y.","college entrance qualification","","","",""
"Min 1x per month","1985","16-34 y.","Other degree","","","",""
"Min 1x per month","1985","16-34 y.","no degree/no degree yet","","","",""
"Min 1x per month","1985","35-65 y.","lower secondary degree","65","0.0213463504333993","0.0161508550434682","0.0265418458233303"
"Min 1x per month","1985","35-65 y.","secondary school degree","","","",""
"Min 1x per month","1985","35-65 y.","college entrance qualification","32","0.0620541809353866","0.0408011981079486","0.0833071637628245"
"Min 1x per month","1985","35-65 y.","Other degree","","","",""
"Min 1x per month","1985","35-65 y.","no degree/no degree yet","","","",""
"Min 1x per month","1985","66 and older","lower secondary degree","","","",""
"Min 1x per month","1985","66 and older","secondary school degree","","","",""
"Min 1x per month","1985","66 and older","college entrance qualification","","","",""
"Min 1x per month","1985","66 and older","Other degree","","","",""
"Min 1x per month","1985","66 and older","no degree/no degree yet","","","",""
"Rarely","1985","16-34 y.","lower secondary degree","54","0.0355919176055082","0.0265364437050338","0.0446473915059826"
"Rarely","1985","16-34 y.","secondary school degree","73","0.0796548488527314","0.0626856969698475","0.0966240007356154"
"Rarely","1985","16-34 y.","college entrance qualification","84","0.1395182421416","0.112547692707895","0.166488791575305"
"Rarely","1985","16-34 y.","Other degree","","","",""
"Rarely","1985","16-34 y.","no degree/no degree yet","","","",""
"Rarely","1985","35-65 y.","lower secondary degree","125","0.0402312234164353","0.0331677947301755","0.0472946521026951"
"Rarely","1985","35-65 y.","secondary school degree","48","0.063260161632519","0.0454170860951564","0.0811032371698816"
"Rarely","1985","35-65 y.","college entrance qualification","63","0.126783426326322","0.0974719482619536","0.15609490439069"
"Rarely","1985","35-65 y.","Other degree","","","",""
"Rarely","1985","35-65 y.","no degree/no degree yet","","","",""
"Rarely","1985","66 and older","lower secondary degree","","","",""
"Rarely","1985","66 and older","secondary school degree","","","",""
"Rarely","1985","66 and older","college entrance qualification","","","",""
"Rarely","1985","66 and older","Other degree","","","",""
"Rarely","1985","66 and older","no degree/no degree yet","","","",""
"Never","1985","16-34 y.","lower secondary degree","1529","0.947740333952154","0.936862734422674","0.958617933481635"
