"pli0097_h","year","migback","regtyp","n","percent","lower_confidence","upper_confidence"
"Daily","1985","no migration background","Urban Area","","","",""
"Daily","1985","no migration background","Rural Area","","","",""
"Daily","1985","direct migration background","Urban Area","","","",""
"Daily","1985","direct migration background","Rural Area","","","",""
"Daily","1985","indirect migration background","Urban Area","","","",""
"Daily","1985","indirect migration background","Rural Area","","","",""
"Min 1x per week","1985","no migration background","Urban Area","66","0.0109495971701637","0.00831443884033611","0.0135847554999913"
"Min 1x per week","1985","no migration background","Rural Area","24","","",""
"Min 1x per week","1985","direct migration background","Urban Area","12","","",""
"Min 1x per week","1985","direct migration background","Rural Area","1","","",""
"Min 1x per week","1985","indirect migration background","Urban Area","","","",""
"Min 1x per week","1985","indirect migration background","Rural Area","","","",""
"Min 1x per month","1985","no migration background","Urban Area","132","0.020647851364301","0.0170469990952882","0.0242487036333138"
"Min 1x per month","1985","no migration background","Rural Area","43","0.0210260041420399","0.01455441337358","0.0274975949104998"
"Min 1x per month","1985","direct migration background","Urban Area","20","","",""
"Min 1x per month","1985","direct migration background","Rural Area","3","","",""
"Min 1x per month","1985","indirect migration background","Urban Area","1","","",""
"Min 1x per month","1985","indirect migration background","Rural Area","","","",""
"Rarely","1985","no migration background","Urban Area","337","0.0526587293502636","0.0470030230603862","0.058314435640141"
"Rarely","1985","no migration background","Rural Area","111","0.0560571884314782","0.0456810539061688","0.0664333229567875"
"Rarely","1985","direct migration background","Urban Area","56","0.0302886645755087","0.0236602161671843","0.0369171129838331"
"Rarely","1985","direct migration background","Rural Area","8","","",""
"Rarely","1985","indirect migration background","Urban Area","4","","",""
"Rarely","1985","indirect migration background","Rural Area","1","","",""
"Never","1985","no migration background","Urban Area","5456","0.915743822115272","0.908710082173544","0.922777562057"
"Never","1985","no migration background","Rural Area","1710","0.911683593135619","0.898884185773412","0.924483000497825"
"Never","1985","direct migration background","Urban Area","2480","0.953488347220979","0.945343383346968","0.961633311094991"
"Never","1985","direct migration background","Rural Area","329","0.936595113040369","0.91073036741741","0.962459858663328"
"Never","1985","indirect migration background","Urban Area","119","0.953088696435895","0.915871585371759","0.990305807500031"
"Never","1985","indirect migration background","Rural Area","16","","",""
"Daily","1986","no migration background","Urban Area","","","",""
"Daily","1986","no migration background","Rural Area","","","",""
"Daily","1986","direct migration background","Urban Area","","","",""
"Daily","1986","direct migration background","Rural Area","","","",""
"Daily","1986","indirect migration background","Urban Area","","","",""
"Daily","1986","indirect migration background","Rural Area","","","",""
"Min 1x per week","1986","no migration background","Urban Area","57","0.00955708565345067","0.00704016451235563","0.0120740067945457"
"Min 1x per week","1986","no migration background","Rural Area","19","","",""
"Min 1x per week","1986","direct migration background","Urban Area","17","","",""
"Min 1x per week","1986","direct migration background","Rural Area","2","","",""
"Min 1x per week","1986","indirect migration background","Urban Area","","","",""
"Min 1x per week","1986","indirect migration background","Rural Area","1","","",""
"Min 1x per month","1986","no migration background","Urban Area","113","0.0187118643915246","0.0152063726402958","0.0222173561427533"
"Min 1x per month","1986","no migration background","Rural Area","38","0.0220171859793629","0.0152174909036174","0.0288168810551084"
"Min 1x per month","1986","direct migration background","Urban Area","12","","",""
"Min 1x per month","1986","direct migration background","Rural Area","5","","",""
"Min 1x per month","1986","indirect migration background","Urban Area","1","","",""
"Min 1x per month","1986","indirect migration background","Rural Area","","","",""
"Rarely","1986","no migration background","Urban Area","326","0.0550228003457772","0.0491238579573536","0.0609217427342008"
"Rarely","1986","no migration background","Rural Area","100","0.0515821830250082","0.0413329201579301","0.0618314458920863"
